seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,random,This situation could also impact our ability to mount another festival next year.,We might not have another festival next year.,0,standard,0,0.9881567358970642,0.010527544654905796,0.00131562992464751,1,0.0001375637366436422,0.9993811845779419,0.000481132825370878,2,3.6026813177159056e-05,0.00018537472351454198,0.9997785687446594
42,random,"You'll return to it at once, and take your crew with you, or else....   But Ogle, violent of mien and gesture, interrupted him.",Ogle had a crew.,0,standard,0,0.9966844916343689,0.0029782101046293974,0.00033732803422026336,1,0.00012897416308987886,0.9996451139450073,0.00022591503511648625,2,3.509591624606401e-05,0.00017605656466912478,0.9997888207435608
42,random,28 In some cases longer outages are needed.,It is never necessary to have outages.,2,standard,2,8.142334991134703e-05,0.0008524862350896001,0.9990660548210144,1,0.0016402857145294547,0.9218019843101501,0.07655778527259827,2,4.384823841974139e-05,0.0002338328631594777,0.9997223019599915
42,random,Requiring attorneys to monitor the movements of eligible aliens at all times of the year would impose monumental burdens on LSC grantees.,It would be a trivial matter for attorney to monitor eligible aliens at all times.,2,standard,2,7.179056410677731e-05,0.0003380647103767842,0.9995900988578796,1,0.00011261944018770009,0.9992938041687012,0.0005936390953138471,2,5.335577952791937e-05,0.00021990304230712354,0.9997267127037048
42,random,Figure 3 shows the basic results for the two models.,Figure 3 shows how the models calculate the incomes.,1,standard,1,0.00024225462402682751,0.999330997467041,0.0004267177719157189,1,0.0003991482954006642,0.9979193806648254,0.0016814692644402385,2,3.219278733013198e-05,0.000296830345178023,0.9996709823608398
42,random,"And, uh, they moved downtown and, there was, uh, and it's still like this in Augusta, this big street downtown called Broad Street, and it really was just this broad street in a downtown area.",They went to the street with the most restaurants and bars.,1,standard,1,0.00010032044519903138,0.9997557997703552,0.00014385061513166875,1,0.00019468810933176428,0.999568521976471,0.00023677354329265654,2,3.7869016523472965e-05,0.00028052806737832725,0.9996815919876099
42,random,.. why they have so little self-worth that they value the friendship of thieves and killers.,None of their friends are thieves and killers.,2,standard,2,6.27939443802461e-05,0.000530578603502363,0.9994065761566162,2,0.00013384941848926246,0.015150444582104683,0.9847157001495361,2,4.361594619695097e-05,0.00019391343812458217,0.9997624754905701
42,random,TABLE A.- TOTAL MERCURY ALLOWANCES ALLOCATED OR AUCTIONED FOR EGUS,Mercury has allowances that are set.,0,standard,0,0.9702677726745605,0.017674598842859268,0.012057570740580559,1,0.009888365864753723,0.9841909408569336,0.005920671857893467,2,3.528318120515905e-05,0.00019579526269808412,0.9997689127922058
42,random,Words that do not fit cannot be returned.,Some words do not fit in the puzzle.,1,standard,1,0.01428971067070961,0.9851521253585815,0.0005582416197285056,1,0.002103073988109827,0.9961779117584229,0.0017189976060763001,2,4.341207750258036e-05,0.0002614665136206895,0.9996951818466187
42,random,28 In some cases longer outages are needed.,Sometimes longer outages are needed.,0,standard,0,0.9977484345436096,0.001984345493838191,0.0002673050621524453,1,0.00027821084950119257,0.999441921710968,0.00027989648515358567,2,4.384823841974139e-05,0.0002338328631594777,0.9997223019599915
42,random,"In contrast, the impact of volume is greater in the U.S. than in France because the U.S. has lower postal densities and a greater variation in volumes.",There is a much greater impact of volume in the United States.,0,standard,0,0.9944241642951965,0.004041518550366163,0.0015343263512477279,1,0.0004902019281871617,0.9991574287414551,0.00035232072696089745,2,3.0359973607119173e-05,0.0002717074239626527,0.9996979236602783
42,random,Dr. Richards never stops astonishing us.,We howled with laughter when we heard Dr. Richards' latest news.,1,standard,1,0.00013462700007949024,0.9986119270324707,0.0012533721746876836,2,4.997353607905097e-05,0.001657981425523758,0.9982920289039612,2,4.3461830500746146e-05,0.0001518153731012717,0.9998047947883606
