seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,neutral,The new rights are nice enough,Everyone really likes the newest benefits ,1,standard,1,0.016546469181776047,0.9401188492774963,0.0433347225189209,1,0.0029649410862475634,0.9430150985717773,0.05401994287967682,0,0.6530969142913818,0.12066776305437088,0.22623535990715027
42,neutral,This site includes a list of all award winners and a searchable database of Government Executive articles.,The Government Executive articles housed on the website are not able to be searched.,2,standard,2,0.0008855735650286078,0.0019348185742273927,0.9971796274185181,2,0.002492929343134165,0.13434728980064392,0.863159716129303,0,0.9229051470756531,0.04161079227924347,0.03548409417271614
42,neutral,uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him,"I like him for the most part, but would still enjoy seeing someone beat him.",0,standard,0,0.951785147190094,0.047407008707523346,0.0008077995153144002,1,0.0017879413207992911,0.9647263288497925,0.033485688269138336,0,0.6810804605484009,0.15868952870368958,0.16023001074790955
42,neutral,yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food,My favorite restaurants are always at least a hundred miles away from my house. ,2,standard,1,0.007322531193494797,0.7762972712516785,0.21638011932373047,2,0.0006461727316491306,0.0414164699614048,0.9579373002052307,0,0.5144951343536377,0.18969666957855225,0.2958081066608429
42,neutral,i don't know um do you do a lot of camping,I know exactly.,2,standard,2,0.00036728859413415194,0.0009535353747196496,0.9986792206764221,1,0.08030726760625839,0.728932797908783,0.19075994193553925,0,0.6741591095924377,0.10062461346387863,0.22521628439426422
42,neutral,well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be,We have plenty of space in the landfill.,2,standard,2,0.0014835572801530361,0.0013249715557321906,0.9971914887428284,1,0.007495845202356577,0.5640895962715149,0.42841455340385437,2,0.1608431488275528,0.09554504603147507,0.7436118125915527
42,neutral,yeah i know and i did that all through college and it worked too,I did that all through college but it never worked ,2,standard,2,0.0002572321391198784,0.0017550861230120063,0.9979877471923828,2,0.0008207169594243169,0.278488427400589,0.7206908464431763,0,0.7854891419410706,0.08900532871484756,0.1255054920911789
42,neutral,"Calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of Satyajit Ray or Mrinal Sen shown in Europe or North America than in India itself.",Most of Mrinal Sen's work can be found in European collections.,1,standard,1,0.03831411153078079,0.8733479976654053,0.08833789825439453,1,0.001846280531026423,0.9675105810165405,0.030643103644251823,0,0.5075448155403137,0.08978205174207687,0.4026731550693512
42,neutral,"If that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.",THe strike price could be $8.,2,standard,2,0.03260333463549614,0.08519046753644943,0.8822062611579895,1,0.006140183657407761,0.9448400139808655,0.049019813537597656,2,0.3747384250164032,0.12890037894248962,0.4963611662387848
42,neutral,"3)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?",Would you rise up and defeaat all evil lords in the town?,1,standard,1,0.00870587583631277,0.7826853394508362,0.2086087316274643,2,0.001282230601646006,0.3833831548690796,0.6153345704078674,0,0.5453873872756958,0.3089940845966339,0.14561845362186432
42,neutral,"The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.","Go downwards to one of the gates, all of which will lead you into the cathedral.",2,standard,2,0.07729751616716385,0.023630402982234955,0.899071991443634,1,0.001900544622913003,0.8569830060005188,0.1411164402961731,0,0.6502290368080139,0.09561309218406677,0.2541578412055969
42,neutral,The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.,The Tamils' bhakti movement froze the previously warm ritual of Hinduism.,2,standard,2,0.0023223687894642353,0.0017364536179229617,0.995941162109375,1,0.0022149798460304737,0.6377849578857422,0.36000004410743713,0,0.910349428653717,0.0580672025680542,0.0315832681953907
42,neutral,see now in a situation like that the boys are only sixteen years old and they were sexually involved with her and i think like at that particular point she was twenty three you know so she wasn't really that much older than them and being a boy at that age i think that they're very um you know let's face it that's at a point in your life when you you're just starting to realize all the things of life,Everyone involved was the same age.,2,standard,2,0.002649438800290227,0.005140721797943115,0.992209792137146,1,0.046577081084251404,0.7522077560424805,0.20121516287326813,0,0.8154315948486328,0.07866483926773071,0.10590355098247528
42,neutral,"You and your friends are not welcome here, said Severn.",Severn said the people were not welcome there.,0,standard,0,0.9884864091873169,0.010122915729880333,0.0013907650718465447,2,0.0011773279402405024,0.05991660803556442,0.9389060139656067,0,0.7720469832420349,0.11841403692960739,0.10953895002603531
42,neutral,um-hum um-hum yeah well uh i can see you know it's it's it's it's kind of funny because we it seems like we loan money you know we money with strings attached and if the government changes and the country that we loan the money to um i can see why the might have a different attitude towards paying it back it's a lot us that  you know we don't really loan money to to countries we loan money to governments and it's the,We don't loan a lot of money.,1,standard,0,0.6217719912528992,0.16531869769096375,0.21290934085845947,1,0.0074017890729010105,0.9051900506019592,0.08740819245576859,0,0.49406272172927856,0.18818989396095276,0.31774741411209106
