seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,neutral,The new rights are nice enough,Everyone really likes the newest benefits ,1,standard,2,0.0009576381999067962,0.0021272702142596245,0.9969151020050049,2,0.0004260421555954963,0.000927553977817297,0.9986464381217957,2,0.007301689591258764,0.0018461053259670734,0.9908521771430969
42,neutral,This site includes a list of all award winners and a searchable database of Government Executive articles.,The Government Executive articles housed on the website are not able to be searched.,2,standard,2,2.1685855244868435e-06,2.542872336308566e-11,0.9999978542327881,2,0.00020515976939350367,0.00019274467194918543,0.9996020197868347,2,0.01583487167954445,0.00022863161575514823,0.9839365482330322
42,neutral,uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him,"I like him for the most part, but would still enjoy seeing someone beat him.",0,standard,2,0.029684264212846756,0.00045810206211172044,0.9698576331138611,2,0.0004144981794524938,0.001237201620824635,0.9983482360839844,2,0.01061701588332653,0.001337407506071031,0.9880455136299133
42,neutral,yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food,My favorite restaurants are always at least a hundred miles away from my house. ,2,standard,2,0.0010205792495980859,0.0016019220929592848,0.9973775148391724,2,3.9055594243109226e-05,5.9396888900664635e-06,0.9999549388885498,2,0.00916443020105362,0.0015672981971874833,0.9892682433128357
42,neutral,i don't know um do you do a lot of camping,I know exactly.,2,standard,2,3.4804106263663925e-08,2.397043352853321e-17,1.0,2,0.005765119567513466,0.004532931372523308,0.9897018671035767,2,0.005217640195041895,0.0008767346735112369,0.9939056038856506
42,neutral,well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be,We have plenty of space in the landfill.,2,standard,2,9.373155762659735e-08,2.972738435800475e-18,0.9999998807907104,2,0.0003698353539220989,0.0005274288705550134,0.9991028308868408,2,0.0024942108429968357,0.0002969958004541695,0.9972087740898132
42,neutral,yeah i know and i did that all through college and it worked too,I did that all through college but it never worked ,2,standard,2,7.949803375595366e-07,4.508975224443157e-12,0.9999991655349731,2,2.6123276256839745e-05,6.373634278133977e-06,0.9999675750732422,2,0.010296391323208809,0.0009111454128287733,0.9887924790382385
42,neutral,"Calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of Satyajit Ray or Mrinal Sen shown in Europe or North America than in India itself.",Most of Mrinal Sen's work can be found in European collections.,1,standard,2,0.002832989674061537,0.00356665370054543,0.9936003684997559,2,0.0005049061728641391,0.0010722383158281446,0.9984228610992432,2,0.008232992142438889,0.0015841972781345248,0.9901828169822693
42,neutral,"If that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.",THe strike price could be $8.,2,standard,2,0.00037091138074174523,0.00014719212776981294,0.9994819760322571,2,0.000759989838115871,0.0015779782552272081,0.9976620674133301,2,0.004389304667711258,0.002979242242872715,0.9926315546035767
42,neutral,"3)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?",Would you rise up and defeaat all evil lords in the town?,1,standard,2,0.0013576726196333766,0.002437871415168047,0.9962045550346375,2,0.00012056562263751402,0.00021604631911031902,0.9996633529663086,2,0.004890186246484518,0.004011411685496569,0.9910984635353088
42,neutral,"The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.","Go downwards to one of the gates, all of which will lead you into the cathedral.",2,standard,2,0.005521731451153755,6.398390542017296e-05,0.994414210319519,2,0.0001627187739359215,0.0002779843925964087,0.999559223651886,2,0.011409872211515903,0.0002534210798330605,0.9883367419242859
42,neutral,The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.,The Tamils' bhakti movement froze the previously warm ritual of Hinduism.,2,standard,2,1.5031685506983195e-05,7.559889381170137e-10,0.9999849796295166,2,0.0004788350488524884,0.001131510827690363,0.998389720916748,2,0.01630670763552189,0.0008472488261759281,0.9828460812568665
42,neutral,see now in a situation like that the boys are only sixteen years old and they were sexually involved with her and i think like at that particular point she was twenty three you know so she wasn't really that much older than them and being a boy at that age i think that they're very um you know let's face it that's at a point in your life when you you're just starting to realize all the things of life,Everyone involved was the same age.,2,standard,2,2.1990454115439206e-05,6.398575891353175e-09,0.9999780654907227,2,0.0029258066788315773,0.002350668190047145,0.9947235584259033,2,0.018416455015540123,0.00045300734927877784,0.9811305403709412
42,neutral,"You and your friends are not welcome here, said Severn.",Severn said the people were not welcome there.,0,standard,2,0.03541016951203346,1.3553474218497286e-06,0.964588463306427,2,2.1174484572838992e-05,9.49947832395992e-07,0.9999778270721436,2,0.006741722580045462,0.0005355067551136017,0.9927228093147278
42,neutral,um-hum um-hum yeah well uh i can see you know it's it's it's it's kind of funny because we it seems like we loan money you know we money with strings attached and if the government changes and the country that we loan the money to um i can see why the might have a different attitude towards paying it back it's a lot us that  you know we don't really loan money to to countries we loan money to governments and it's the,We don't loan a lot of money.,1,standard,2,0.010871644131839275,0.0015380051918327808,0.9875903129577637,2,0.0005533110816031694,0.0010264052543789148,0.998420238494873,2,0.006338024511933327,0.00271924352273345,0.9909427762031555
42,neutral,i'm not sure what the overnight low was,I don't know how cold it got last night.,0,standard,2,0.004071753937751055,0.003479737788438797,0.9924485683441162,2,0.00015092641115188599,0.00013779921573586762,0.9997113347053528,2,0.0010730939684435725,0.00017533916980028152,0.9987515211105347
42,neutral,so i have to find a way to supplement that,I need a way to add something extra.,0,standard,2,0.024874692782759666,0.0002485350123606622,0.9748767614364624,2,0.0002719527983572334,0.0006035147816874087,0.9991245865821838,2,0.005575807765126228,0.0028012495022267103,0.9916229844093323
42,neutral,the hologram makes up all these things and uh i mean sometimes  sometimes it's funny sometimes it's not but uh you know it's something to pass the time until we do and then and then we watch football,Sometimes it is amusing to see what the hologram creates.,0,standard,2,0.020558886229991913,0.0009078794391825795,0.9785332083702087,2,0.0009069735533557832,0.0021034982055425644,0.9969895482063293,2,0.01871931366622448,0.0001318605209235102,0.981148898601532
42,neutral,5 The share of gross national saving used to replace depreciated capital has increased over the past 40 years.,Gross national saving was highest this year.,1,standard,2,0.0022999770008027554,0.0036370204761624336,0.9940629601478577,2,0.0006097391014918685,0.0016747426707297564,0.9977154731750488,2,0.004980334546416998,0.0024748779833316803,0.9925447106361389
42,neutral,"So far, however, the number of mail pieces lost to alternative bill-paying methods is too small to have any material impact on First-Class volume.",The amount of lost mail is huge and really impacts mail volume,2,standard,2,9.93956837191945e-06,9.85735937319987e-09,0.9999901056289673,2,9.20007296372205e-05,8.863755647325888e-05,0.9998193383216858,2,0.0036094493698328733,0.0008815692272037268,0.9955090284347534
