seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,empty,A woman is surfing,A fearful little boy is on a climbing wall,1,standard,2,0.0005859790253452957,0.0006620881613343954,0.9987518787384033,1,0.04839200899004936,0.9183546900749207,0.03325331583619118,0,0.5583418011665344,0.21206657588481903,0.22959157824516296
42,empty,Some people are walking,A group of scouts are camping in the grass,1,standard,2,0.00037569881533272564,0.012260721065104008,0.9873635172843933,1,0.011247537098824978,0.8122432827949524,0.17650917172431946,0,0.8068088889122009,0.18325412273406982,0.009937062859535217
42,empty,The muscular black man is dancing and the man behind him is wearing green beads,The muscular man is dancing and the man behind him is wearing green beads,0,standard,0,0.986412525177002,0.011753438971936703,0.0018340551760047674,1,0.05265822261571884,0.9311244487762451,0.016217375174164772,0,0.7681540846824646,0.21955227851867676,0.012293723411858082
42,empty,A man is having fun with water,A man is doing a card trick,1,standard,2,0.003240911988541484,0.167481929063797,0.8292771577835083,1,0.08673401176929474,0.8730507493019104,0.04021517559885979,0,0.8541918396949768,0.14365176856517792,0.0021564431954175234
42,empty,There is no little girl playing the piano,A little girl is playing a grand piano on stage,2,standard,1,0.007246478460729122,0.9068963527679443,0.08585719764232635,2,0.0018354459898546338,0.17522314190864563,0.8229414224624634,0,0.8976283669471741,0.08357453346252441,0.018797198310494423
42,empty,There are no little boys playing outside with a soccer ball on the green grass,Two children are playing soccer in the park,1,standard,1,0.042660485953092575,0.9364538192749023,0.020885763689875603,1,0.0044670915231108665,0.5216864943504333,0.473846435546875,0,0.8874533176422119,0.10081710666418076,0.011729530058801174
42,empty,A woman is cracking some eggs outside a bowl,A woman is adding ingredients to a bowl,1,standard,0,0.7818933129310608,0.2081110179424286,0.009995599277317524,1,0.026630505919456482,0.9429265856742859,0.030442846938967705,0,0.6654542088508606,0.30845144391059875,0.0260943453758955
42,empty,The girl in blue is chasing the base runner with a number on the jersey,A man in blue has a yellow ball in the mitt,1,standard,2,0.0008026103023439646,0.0036265719681978226,0.9955708384513855,2,0.014137222431600094,0.157389298081398,0.8284735083580017,0,0.573954164981842,0.39276379346847534,0.03328203409910202
42,empty,There is no man eating a pizza,A man is eating some food,1,standard,0,0.8056174516677856,0.11142174154520035,0.08296073973178864,2,0.012971621006727219,0.1635533720254898,0.8234750032424927,0,0.9085965156555176,0.07623352855443954,0.015170044265687466
42,empty,The man is not taking a picture of himself and another guy,The man is taking a picture of himself and another guy,2,standard,2,0.0067425440065562725,0.008422723971307278,0.9848346710205078,1,0.08558697253465652,0.7383615970611572,0.17605142295360565,0,0.9460257291793823,0.051998354494571686,0.001975949387997389
