premise,hypothesis,gold_label,heuristic,pred_full,pred_hyp_only,pred_prem_only
A woman is surfing,A fearful little boy is on a climbing wall,1,standard,2,1,1
Some people are walking,A group of scouts are camping in the grass,1,standard,2,2,0
The muscular black man is dancing and the man behind him is wearing green beads,The muscular man is dancing and the man behind him is wearing green beads,0,standard,0,1,1
A man is having fun with water,A man is doing a card trick,1,standard,2,1,1
There is no little girl playing the piano,A little girl is playing a grand piano on stage,2,standard,2,2,2
There are no little boys playing outside with a soccer ball on the green grass,Two children are playing soccer in the park,1,standard,1,2,1
A woman is cracking some eggs outside a bowl,A woman is adding ingredients to a bowl,1,standard,1,1,1
The girl in blue is chasing the base runner with a number on the jersey,A man in blue has a yellow ball in the mitt,1,standard,2,2,1
There is no man eating a pizza,A man is eating some food,1,standard,0,2,1
The man is not taking a picture of himself and another guy,The man is taking a picture of himself and another guy,2,standard,2,1,1
A boy is walking across a bridge,A person is stirring vegetables in a bowl,1,standard,2,2,1
A man is singing and playing a guitar,There is no boy playing a piano,1,standard,2,2,1
A brown and white dog is jumping in the air with a tennis ball in its mouth,A dog is missing the ball in mid air,1,standard,1,1,1
A brown dog and a black dog are frolicking in the sand,A black dog is playing with a brown dog on the sand,0,standard,1,1,1
A man is emptying a container made of plastic,A man is emptying a plastic container,0,standard,0,1,1
One bearded man is standing by a shopping cart and is holding a cardboard sign,A man is holding a sign and is seeking money,1,standard,1,1,1
A woman is standing near three children,There is no woman playing with two young boys at a park,1,standard,2,2,1
A cute panda is lying down,The log is lying on the panda bear,1,standard,2,2,1
A man is mixing the content of a bowl,A woman is mixing the content of a bowl,1,standard,2,1,1
A flute is being played by a girl,A girl is making a flute which is not to be played,1,standard,2,2,1
Some pieces of butter are being added to the stand mixer,Pieces of butter are being added to the stand mixer,0,standard,0,1,1
A boy is standing next to the opening of a fountain,A girl is standing next to the opening of a fountain,1,standard,2,1,1
A man is freeing a fish,A man is catching a fish,1,standard,0,2,1
A dog is licking a baby,A baby is licking a dog,1,standard,2,2,1
A man is fixing a silencer to a gun,A man is applying a silencer to a gun,0,standard,0,2,1
A girl with red hair and red eyebrows is in midspeech,"The girl has red hair and eyebrows, several piercings in a ear and a tattoo on the back",1,standard,1,1,1
A baby is splashing inside a blue paddling pool,A toddler is making a splash inside a blue paddling pool,0,standard,1,1,1
A great dog is climbing a steep hill,A light brown dog is running up a street,1,standard,2,1,1
Some people and vehicles are on a almost empty street,Pedestrians and cars are moving through a traffic jam in a big city,1,standard,2,1,1
A large white crane is flying far above the water,A white bird is landing swiftly in the water,1,standard,2,2,1
A man is dangerously throwing knives at a tree,The man isn't doing a magic trick,1,standard,0,2,1
There is no man riding a mechanical bull,The man is riding a mechanical bull,2,standard,2,2,1
The woman in the white sweater is not drawing a tattoo on the hand of a teenager,The woman in the white sweater is drawing a tattoo on the hand of a teenager,2,standard,2,2,1
Two men are fighting in a cow pasture,Two men are fighting in a pen for cattle,1,standard,1,2,1
A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a face which looks funny,0,standard,0,1,1
The white dog wearing reindeer ears is close to a brown dog,A white dog is wearing a Christmas reindeer headband and is playing with a brown dog in the grass,1,standard,1,1,1
A brown dog is running through a snowy trail,A dog is running on a snowy path,0,standard,0,2,1
Two men are fighting in a cattle pen,Nobody is fighting in a cow pasture,1,standard,2,2,1
A chubby faced boy is wearing sunglasses,A girl is wearing sunglasses,1,standard,2,1,1
A toy train is striking a toy car,A toy train is hitting a toy car,0,standard,0,2,1
A person on a yellow bike is airborne,A cyclist on a yellow bike is airborne,0,standard,0,1,1
Three people are walking across a rope and wood bridge over a river,People are not walking across a rope bridge over a rocky stream,1,standard,2,0,1
A dog in a colored coat is running across the yard,A dog in the yard is running across colored coats,1,standard,0,2,1
A girl is waking up,A child is waking up,0,standard,0,1,0
A man is erasing some figures,A man is drawing on a digital dry erase board,1,standard,1,2,1
A man is playing an electric guitar,A man is playing a guitar,0,standard,0,1,1
A man is riding an electric bicycle,There is no man riding an electric bicycle,2,standard,2,2,1
A woman is cutting broccoli,There is no man cutting tomatoes,1,standard,2,2,1
A man is wearing a hard hat and dancing,A man is wearing a hat which is hard and is dancing,0,standard,0,2,1
There is no clown singing,A clown is singing,2,standard,2,2,1
A man is dancing upside-down on the ceiling,A man is idling on the floor,1,standard,2,1,1
The horse is being ridden by a man,A man is driving a motorbike,1,standard,2,2,1
A person is unfolding a tortilla,A man is folding a tortilla,1,standard,1,2,1
The black player is making the white player a play near the end of a purple field,A man is wearing a sports uniform and is running down the field,1,standard,1,1,1
A man is singing and playing a guitar,A man is playing a guitar,0,standard,0,1,1
The deer is jumping over the low fence,A deer is jumping over a cyclone fence,1,standard,1,2,1
A brown dog is jumping in the air,There is no brown dog jumping in the air,2,standard,2,2,1
Someone is beating an egg,The lady is stirring eggs in a bowl,1,standard,2,2,1
A person on a bike is jumping through the air and the sun is flaring through the bike frame,The person is not flying through the air on a bicycle,1,standard,2,0,1
Two dogs of different breeds are looking at each other across a street,There are no dogs of different breeds looking at each other across a street,2,standard,2,2,1
The man in blue is posing for a picture next to a vehicle,The man in blue is posing for a picture next to a car,0,standard,0,1,1
A man is falling off a horse on a track and is laid in the wild,The cowboy is tossing the blue and red pants towards the horse,1,standard,2,2,1
A man is rowing a boat,A man is shooting with a weapon,1,standard,2,2,1
Some teenage girls are dancing for the camera,Some teenage girls are standing still in front of the camera,1,standard,2,1,1
Tofu is being sliced by a woman,A woman is slicing tofu,0,standard,0,2,1
A person is cutting a capsicum into pieces,One person is slicing a clove of garlic into pieces,1,standard,2,2,1
A man is ignoring a girl via an internet camera,A boy in his teens is talking to a girl with a webcam,1,standard,2,1,1
The men are carefully putting suitcases into the trunk of a car,The men are putting suitcases into the trunk of a car,0,standard,0,2,1
A distant person with a blue backpack is hiking in rocky area,The person is hiking,0,standard,0,1,1
A dog is not running towards a ball,A dog is running towards a ball,2,standard,2,1,0
A woman is gracefully dancing on a stage,A woman is dancing on a stage,0,standard,0,2,1
A man is shaking a drink,A man is mowing a lawn,1,standard,2,2,1
The group of people is sitting on the ground outside a monument,Some people are sitting on the ground outside a monument,0,standard,0,1,1
A woman is peeling a potato,There is no woman slicing a tomato,1,standard,2,2,1
The group of people is sitting on a ledge which is rocky and a scenic view is behind them,Four people are sitting on a low cement ledge,1,standard,2,1,1
A man is sharpening a knife,There is no man carrying a woman,1,standard,2,2,1
Two men are leaving the stage,Mimes are performing on a stage,1,standard,2,2,1
Some men are sawing,Men are sawing,0,standard,0,2,1
A man is wearing a hard hat and dancing,There is no man with a hard hat dancing,2,standard,2,2,1
A few people are dancing,A group of people are dancing,0,standard,0,2,1
A man is punching a soccer ball,A man is kicking a soccer ball,1,standard,2,1,1
A woman is tapping her fingers on a table,A woman is tapping her fingers nervously,1,standard,1,2,1
A woman with a ponytail is climbing down a wall of rock,A woman with a ponytail is climbing a wall of rock,0,standard,0,1,1
The man is not putting chicken into the container,The man is putting chicken into the container,2,standard,2,2,1
The woman is wearing a red jacket and holding a glass in front of the man in a white t-shirt,A person is shirtless and is putting down the beer,1,standard,2,2,1
A woman is exercising,There is no woman exercising,2,standard,2,2,0
A young lady in a bikini is lying on the beach,A lady who looks young is lying on the beach,0,standard,0,2,1
The boy is checking a calendar,A boy is looking at a calendar,0,standard,0,1,1
There is no dog jumping for a Frisbee in the snow,A dog is jumping for a Frisbee in the snow,2,standard,2,2,1
Two women are wearing bikinis and are walking on the sand,There are no women wearing bikinis on the sandy beach,2,standard,2,0,1
A man is going into the water,A man is rising from a swamp,1,standard,1,2,1
People are walking through a street which is crowded,A man and a woman are walking down a city street,1,standard,1,1,1
Two brown and white dogs are fighting on a grassy area in front of a tree,Two brown and white dogs are fighting on a grassy area behind a tree,1,standard,0,2,1
Two brown dogs are playing with a frisbee in the water,Two brown dogs are playing with the frisbee in the water,0,standard,0,1,1
A race car driver is standing up and is fiercely pointing his hand at the sky,A race car driver is standing up and pointing his hand at the sky,0,standard,0,2,1
The woman is dicing garlic,A woman is slicing garlic,0,standard,0,2,1
"A child, who looks young, is standing in front of some trees",A young child is standing in front of some trees,0,standard,0,1,0
Three women are sitting together near woven walls,Three women are sitting in a village,1,standard,1,1,1
The woman is picking up a kangaroo that is little,The woman is picking up the kangaroo,0,standard,0,2,1
A dog is fetching a stick out of very clear water,A big black and white dog is carrying a stick and is swimming,1,standard,1,2,1
A motorcyclist on a bike is leaning into a sharp corner,A man on a motorcycle is going around a corner,1,standard,0,2,0
A famous singer is dancing on the ceiling,A person is dancing on the ceiling,0,standard,0,2,1
A surfer is riding the wave,There is no man tying a shoe,1,standard,2,2,1
Two teams are competing in a baseball game,A player is running with the ball,1,standard,1,1,1
A man is climbing a rope,A man is coming down a rope,1,standard,2,1,1
A girl has black and orange patches on the cheeks,A girl is standing alone and wears a black shirt and pink beads,1,standard,1,1,1
A lion is slowly walking,A lion is slowly moving around,0,standard,0,2,1
Three hikers are standing on a mountainside and looking at the view with a pair of binoculars,Three men are sitting on a hill and looking at the mountains and sky,1,standard,2,1,1
A man is cutting a potato,There is no man cutting a potato,2,standard,2,2,1
A man is playing the guitar,A woman is slicing an octopus,1,standard,2,2,1
A man is playing a guitar,There is no man playing a guitar,2,standard,2,2,1
An elderly man is sitting on a bench,A young man is sitting on a bench,1,standard,2,1,1
The person is playing the flute,A man is playing the guitar,1,standard,2,1,1
The blond girl is dancing in front of the sound equipment,There is no girl in white dancing,1,standard,2,2,1
A guitar is being played by a kid,A kid is playing guitar,0,standard,0,2,1
A small boy in a striped shirt is sliding out of a green tube,A little boy is crawling in a green tunnel with a smile on his face,1,standard,2,2,1
A woman is planting some flowers,A woman is cutting some flowers,1,standard,2,2,1
A boy is wearing a white hat and is walking on the beach,A little kid is wearing a hat and is walking in the wet sand,1,standard,1,1,1
A man on inline skates is skating at a skate park,A trick is being performed by a rollerblader on a ramp,1,standard,2,1,1
A man is in a parking lot and is playing tennis against a large wall,A man is in a parking lot and is playing tennis against a friend,1,standard,1,2,1
A man is playing a guitar,A man is playing a keyboard,1,standard,2,2,1
Two dogs are playing on a rocky beach,A black dog is approaching a golden dog on pebbly beach,1,standard,1,1,1
The men are carefully putting suitcases into the trunk of a car,The men are packing suitcases into the trunk of a car,0,standard,0,2,1
A cyclist is biking in a snowy forest at night,The rider is biking in the snow and wearing a red jacket,1,standard,1,1,1
The guitar is being played by a kid,A kid is playing the guitar,0,standard,0,2,1
A man is standing bare-chested beside a yellow canoe on some rocks with water in the background,A man is wearing a red jacket and standing beside a yellow canoe on some rocks with water in the background,1,standard,2,1,1
A cat is playing with a watermelon,A woman is looking at the view of a city,1,standard,2,1,1
A man is riding a horse,There is no man riding a horse,2,standard,2,2,1
Two dogs are playing on the beach,There are no white dogs running and jumping along a beach,1,standard,2,2,1
A cat is crawling under a piece of furniture,There is no cat sliding upside down under a couch,1,standard,2,2,1
A man is playing a wooden flute,A man is playing the piano,1,standard,2,2,1
A child is smiling at the camera and swimming underwater,An animal is barking at a ball,1,standard,2,2,1
The group of people is sitting on a rocky ledge and a scenic view is behind them,The group of people is not sitting on a rocky ledge with a scenic view behind them,2,standard,2,0,1
There is no little girl peddling a scooter,A little girl is peddling a scooter,2,standard,2,2,1
A brown and white dog is playing on the grass,A dog is playing in the green field,1,standard,1,2,1
Someone is scratching the belly of an animal,Someone is scratching the back of an animal,1,standard,0,1,1
A young child is wearing green boots and playing in a puddle full of mud,A little boy is jumping into a puddle in the street,1,standard,1,2,1
A man is loading a rifle with bullets,A woman is seasoning a ham,1,standard,2,2,1
A yellow dog is running on white snow on a sunny day,"A dog, which is tan, is running through the snow",0,standard,2,2,1
The red and brown dog is digging its nose inside a holiday gift bag,The dog has its head inside a red and green gift bag,1,standard,1,2,1
Two men are riding an orange raft on the shore,The orange rescue boat is rushing across the water,1,standard,2,2,1
The snowboarder is leaping over white snow,A person who is practicing snowboarding jumps into the air,0,standard,1,1,1
A girl is surrounding brown dressed children who are closing the eyes,A girl in a brown dress is being surrounded by children and is closing her eyes,1,standard,0,1,0
There is no man sprinkling shredded cheese on a pizza,A man is putting some cheese on a pizza,2,standard,2,2,1
Two guys are sitting around a table and holding beers in their hands,A man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four bottles of beer,1,standard,1,2,1
Several women are wearing pink bunny ears and are pointing to the right,Several women are taking off pink bunny ears and are pointing to the left,1,standard,2,2,1
A young boy is sitting in a bathing suit and waiting for the next race,A young swimmer is sitting in a bathing suit and waiting for the next race,0,standard,1,1,1
A child in light colored clothing is lying with his arms crossed,Two girls are playing inside a jumper house,1,standard,2,1,1
A skateboarder is doing acrobatics on a half pipe,A man is skateboarding on a half pipe,0,standard,1,2,1
Pedestrians and cars are moving through a traffic jam in a big city,Pedestrians and cars are moving through a traffic jam in the big city,0,standard,0,1,1
A woman is peeling a potato,The man is eating potato slices,1,standard,2,1,1
A girl is communicating with sign language,A young boy is using sign language,1,standard,2,1,0
Rollerbladers are rolling in formation down a hill,Rollerbladers are not rolling in formation down a hill,2,standard,2,0,1
A nude lady is walking in front of a crowd in body paint,A topless girl is covered in paint,0,standard,0,1,1
A dog is standing on the side of a mountain,A dog is standing on a mountain,0,standard,0,2,1
The lady is dicing onions,Rugby players are tackling each other,1,standard,2,2,1
Two teams are playing soccer,Different football players are teaming on a field,1,standard,2,1,1
A boy and a girl in swimsuits are wearing arm floats,A boy and a girl in swimsuits are wearing floats for their arms,0,standard,0,1,1
Nobody is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,1,standard,2,1,1
A little girl is looking at a woman in costume,People are looking at some costumes gathered in the vicinity of the forest,1,standard,1,1,0
A woman is talking on a telephonic device,A woman is talking on a telephone,0,standard,0,2,0
A boy is happily playing the piano,A piano is being played by a man,1,standard,2,2,1
The boy and the girl are playing and wearing arm floats,The boy and the girl are not playing and wearing arm floats,2,standard,2,2,1
The band is singing ,The band isn't singing,2,standard,2,1,1
A dog is near the red ball in the air,A dog is far from the red ball in the air,2,standard,2,2,1
A group of people playing football is running in the field,A group of football players is running in the field,0,standard,0,2,1
There is no woman riding a water scooter,A woman is riding a water scooter,2,standard,2,2,1
A tiger is strolling around,A tiger cub is making a sound,1,standard,1,2,1
There is no man playing a guitar,A man is singing and playing a guitar,2,standard,2,1,1
A lady is standing near three children,A woman is standing near three children,0,standard,0,1,1
The white bird is landing swiftly in the water,A large white crane is flying near the water,1,standard,2,2,1
Two men and a girl in behind of a wood panel wall are posing with funny faces,Two men and a girl in front of a wood panel wall are posing with funny faces,1,standard,2,2,1
People are sitting around a bonfire at night,Several people are sitting around a fire at night,0,standard,0,1,1
A man is pouring oil into a skillet,A man is taking the oil out off a skillet,2,standard,2,2,1
The rider is biking in the rain and wearing a red jacket,A cyclist is biking in a snowy forest at night,1,standard,2,1,1
A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist with a red helmet is riding a blue motorcycle down the road,0,standard,0,1,1
The young girl in blue is having fun on a slide,The young girl in blue is enjoying a slide,0,standard,0,1,1
A man is playing the guitar,A guitar is being played by a man,0,standard,0,2,1
A dog is catching a ball in mid air,A brown and white dog is resting on the ground with a tennis ball in its mouth,1,standard,2,2,1
There is no little girl with blond hair smiling and sitting on a swing,A little girl with blond hair is smiling and sitting on a swing,2,standard,2,1,1
The man is singing and playing the guitar,A man is playing a guitar,0,standard,0,1,1
Something is being fried by a woman,A woman is frying something,0,standard,0,2,1
Some young dirt bikers are getting a dirt bike up a sandy hill,Some young bikers are getting a dirt bike up a sandy hill,0,standard,0,1,1
A woman is cutting a white onion,A woman is cutting an onion,0,standard,0,2,1
A yellow cat is chasing a ball,A yellow dog is chasing a ball,1,standard,2,2,1
A boy is standing in the cold water,A boy is standing in the water,0,standard,0,1,1
The person is slicing onions,A person is peeling an onion,1,standard,0,2,1
The woman is dancing,The lady is dancing,0,standard,0,1,1
Three men are not staring at the big green hills in the distance,Three men are looking into the distance,1,standard,2,1,1
A dog is fetching a stick out of very clear water,A dog is fetching a stick out of very dirty water,1,standard,2,2,1
A dog is playing on the green grass,The man is not playing a guitar,1,standard,0,0,1
A man is playing the drums,A man is playing the drum,0,standard,0,2,1
The south African plane is not flying in a blue sky,An airplane is flying through the air,1,standard,0,2,0
A man is pouring oil into a pan,A man is pouring oil into a skillet,0,standard,1,2,1
The large brown dog is running outside in the dirt,A dog is running alongside a fence on a dirt track,1,standard,1,2,1
A horse is running,A woman is cutting an onion,1,standard,2,2,0
Some men are fighting,A group of men is fighting,0,standard,0,2,1
An old woman is carrying a lot of colorful scarves on the beach,A young woman is carrying a lot of colorful scarves on the beach,1,standard,2,1,1
Two white cats are playing with a brown dog and a ball,Two white dogs and one brown dog are chasing a ball,1,standard,2,1,1
A child is hitting a baseball,A family is watching a little boy who is missing a baseball,1,standard,2,1,1
A person is standing on a mountain top,One man is standing on the top of the rocks with clouds behind them,1,standard,1,1,1
The man is sitting next to a birdcage,The man is standing next to a bird cage,1,standard,2,1,1
A black dog and a yellow dog are playing with each other,Two cats are in a kennel on their hind legs and are facing one another,1,standard,2,2,1
The horse is being ridden by a man,A man is parking a motorbike,1,standard,2,2,1
Three men are practicing karate in a field,Three men are practicing karate outdoors,0,standard,0,1,1
A monkey is kicking a person,A person is being kicked by a monkey,0,standard,0,2,1
A brown duck with a green head is flapping its wings in the water,A bird is flapping its wings on the water,0,standard,0,2,1
A door is being opened by a man,A man is opening a door,0,standard,0,1,1
A woman is riding a horse,A woman is not riding a horse,2,standard,2,0,1
The man is dipping into a swamp,A man is coming out of the water,1,standard,1,2,1
The fish are immobile,A fish is swimming,2,standard,2,2,0
A brown and white dog is jumping in the air with a tennis ball in its mouth,A ball is being caught by a dog in mid air,1,standard,0,2,1
The boy is standing next to the opening of a fountain,A boy is standing next to the opening of a fountain,0,standard,0,1,1
Kids are being dressed in costumes and playing a game,A young boy with painted face is standing next to some other children,1,standard,2,1,1
The player is dunking the basketball into the net and a crowd is in background,A man with a jersey is dunking the ball at a basketball game,1,standard,1,1,1
A woman is slicing an eggplant,A woman is slicing a vegetable,0,standard,0,2,1
A monkey is brushing the dog,The monkey is not brushing a bull dog,2,standard,2,2,1
A person is eating in a restaurant,A person is eating at a table,1,standard,1,1,1
A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians,"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",1,standard,1,1,1
Three men are jumping off a tall wall,Three men are jumping off a wall,0,standard,0,2,1
A man is slicing a potato into pieces,A man is cutting a potato,0,standard,0,2,1
The girl is spraying the plants with water,The girl is watering the plants,0,standard,0,2,1
Different things from a war are being shown to some people by a veteran,Three friends are making faces for the camera,1,standard,2,1,1
A woman with a ponytail is climbing a wall of rock,"The climbing equipment to rescue a man is hanging from a white, vertical rock",1,standard,1,1,1
There are no men fighting,Two men are fighting,2,standard,2,1,1
A man is sitting on a chair and rubbing his eyes,A man with tattoos is lounging on a couch and is looking for a pencil,1,standard,1,2,1
A man in a white hat is touching a cardboard box,A man in a black hat is reaching for a box,1,standard,2,1,1
A motorcyclist on a bike is leaning into a sharp corner,There is no motorcyclist on a bike leaning into a sharp corner,2,standard,2,2,0
A man is performing a handstand on the beach,A handstand is being performed by a man on the beach,0,standard,0,2,1
Someone is banging a camera lens against a nail,There is no one banging a camera lens against a nail,2,standard,2,0,1
A woman is playing an electric guitar,A woman is playing a guitar which is electric,0,standard,0,1,1
A bird is fiercely flapping its wings on the water,A bird is flapping its wings on the water,0,standard,0,2,1
The drums are being played by the man,The man is playing the drums,0,standard,0,2,1
There is no dog bouncing on a trampoline,A dog is jumping on a trampoline,2,standard,2,2,1
