seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,empty,The new rights are nice enough,Everyone really likes the newest benefits ,1,standard,1,0.016546469181776047,0.9401188492774963,0.0433347225189209,1,0.013475567102432251,0.9747333526611328,0.011791013181209564,0,0.6819477677345276,0.2978802025318146,0.020172005519270897
42,empty,This site includes a list of all award winners and a searchable database of Government Executive articles.,The Government Executive articles housed on the website are not able to be searched.,2,standard,2,0.0008855735650286078,0.0019348185742273927,0.9971796274185181,1,0.026148652657866478,0.9125312566757202,0.06132012605667114,1,0.4035973846912384,0.5381245017051697,0.05827803909778595
42,empty,uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him,"I like him for the most part, but would still enjoy seeing someone beat him.",0,standard,0,0.951785147190094,0.047407008707523346,0.0008077995153144002,1,0.007981757633388042,0.9846652150154114,0.007352998945862055,0,0.5217313766479492,0.4554767906665802,0.022791875526309013
42,empty,yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food,My favorite restaurants are always at least a hundred miles away from my house. ,2,standard,1,0.007322531193494797,0.7762972712516785,0.21638011932373047,1,0.026619091629981995,0.9171946048736572,0.056186288595199585,1,0.45154744386672974,0.5155373811721802,0.03291512653231621
42,empty,i don't know um do you do a lot of camping,I know exactly.,2,standard,2,0.00036728859413415194,0.0009535353747196496,0.9986792206764221,1,0.10389392077922821,0.8068891167640686,0.0892169252038002,0,0.6490806341171265,0.3332273066043854,0.017692063003778458
42,empty,well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be,We have plenty of space in the landfill.,2,standard,2,0.0014835572801530361,0.0013249715557321906,0.9971914887428284,2,0.048299457877874374,0.34177640080451965,0.6099240779876709,1,0.14841963350772858,0.7978971600532532,0.053683217614889145
42,empty,yeah i know and i did that all through college and it worked too,I did that all through college but it never worked ,2,standard,2,0.0002572321391198784,0.0017550861230120063,0.9979877471923828,1,0.0038629474584013224,0.6142723560333252,0.3818646967411041,0,0.7161279320716858,0.2758515179157257,0.008020573295652866
42,empty,"Calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of Satyajit Ray or Mrinal Sen shown in Europe or North America than in India itself.",Most of Mrinal Sen's work can be found in European collections.,1,standard,1,0.03831411153078079,0.8733479976654053,0.08833789825439453,1,0.009660190902650356,0.97881019115448,0.011529584415256977,1,0.07805847376585007,0.8005637526512146,0.12137780338525772
42,empty,"If that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.",THe strike price could be $8.,2,standard,2,0.03260333463549614,0.08519046753644943,0.8822062611579895,1,0.01762763038277626,0.944573163986206,0.0377991609275341,1,0.17345726490020752,0.7341795563697815,0.09236317873001099
42,empty,"3)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?",Would you rise up and defeaat all evil lords in the town?,1,standard,1,0.00870587583631277,0.7826853394508362,0.2086087316274643,1,0.006307458970695734,0.9802411794662476,0.013451394625008106,0,0.8108916282653809,0.1680316925048828,0.021076764911413193
42,empty,"The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.","Go downwards to one of the gates, all of which will lead you into the cathedral.",2,standard,2,0.07729751616716385,0.023630402982234955,0.899071991443634,1,0.010893095284700394,0.9308889508247375,0.05821799859404564,1,0.012712421827018261,0.834356427192688,0.15293118357658386
42,empty,The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.,The Tamils' bhakti movement froze the previously warm ritual of Hinduism.,2,standard,2,0.0023223687894642353,0.0017364536179229617,0.995941162109375,1,0.05485544353723526,0.7984448075294495,0.1466997265815735,0,0.48313581943511963,0.44007620215415955,0.07678790390491486
42,empty,see now in a situation like that the boys are only sixteen years old and they were sexually involved with her and i think like at that particular point she was twenty three you know so she wasn't really that much older than them and being a boy at that age i think that they're very um you know let's face it that's at a point in your life when you you're just starting to realize all the things of life,Everyone involved was the same age.,2,standard,2,0.002649438800290227,0.005140721797943115,0.992209792137146,1,0.0956079438328743,0.879186749458313,0.025205383077263832,0,0.9291841983795166,0.05705053731799126,0.013765336014330387
42,empty,"You and your friends are not welcome here, said Severn.",Severn said the people were not welcome there.,0,standard,0,0.9884864091873169,0.010122915729880333,0.0013907650718465447,1,0.013942145742475986,0.9625251889228821,0.023532729595899582,0,0.753058671951294,0.2415139377117157,0.005427430849522352
42,empty,um-hum um-hum yeah well uh i can see you know it's it's it's it's kind of funny because we it seems like we loan money you know we money with strings attached and if the government changes and the country that we loan the money to um i can see why the might have a different attitude towards paying it back it's a lot us that  you know we don't really loan money to to countries we loan money to governments and it's the,We don't loan a lot of money.,1,standard,0,0.6217719912528992,0.16531869769096375,0.21290934085845947,1,0.12349952012300491,0.8691439628601074,0.007356548681855202,0,0.6755431890487671,0.2164124697446823,0.1080443486571312
42,empty,i'm not sure what the overnight low was,I don't know how cold it got last night.,0,standard,1,0.13667355477809906,0.8486400246620178,0.01468640100210905,1,0.009226021356880665,0.9644140005111694,0.026360029354691505,0,0.9504988789558411,0.04797326400876045,0.0015278951032087207
42,empty,so i have to find a way to supplement that,I need a way to add something extra.,0,standard,0,0.9717925786972046,0.025675002485513687,0.0025323769077658653,1,0.056762199848890305,0.9367076754570007,0.006530077662318945,0,0.7202821373939514,0.2766669690608978,0.003050933824852109
42,empty,the hologram makes up all these things and uh i mean sometimes  sometimes it's funny sometimes it's not but uh you know it's something to pass the time until we do and then and then we watch football,Sometimes it is amusing to see what the hologram creates.,0,standard,0,0.9564235210418701,0.04135424643754959,0.002222311682999134,1,0.03222231566905975,0.9635231494903564,0.004254538100212812,1,0.034867063164711,0.854737401008606,0.11039561778306961
42,empty,5 The share of gross national saving used to replace depreciated capital has increased over the past 40 years.,Gross national saving was highest this year.,1,standard,1,0.009228005073964596,0.9811317920684814,0.009640221484005451,1,0.004368036054074764,0.992926299571991,0.002705587539821863,0,0.503068208694458,0.4733336567878723,0.023598162457346916
42,empty,"So far, however, the number of mail pieces lost to alternative bill-paying methods is too small to have any material impact on First-Class volume.",The amount of lost mail is huge and really impacts mail volume,2,standard,2,0.001578482799232006,0.004051342140883207,0.99437016248703,1,0.0376572348177433,0.9594507217407227,0.0028920848853886127,1,0.09502886980772018,0.8423219919204712,0.06264917552471161
42,empty,you want to punch the button and go,"You don't want to push the button lightly, but rather punch it hard.",1,standard,1,0.03409777581691742,0.9508273005485535,0.015074912458658218,1,0.02199598215520382,0.9399722814559937,0.038031671196222305,0,0.6149368286132812,0.32536882162094116,0.0596943274140358
42,empty,Buffet and a  la carte available.,It has a buffet.,0,standard,0,0.9874733686447144,0.011599299497902393,0.0009273613686673343,1,0.02577146328985691,0.935177743434906,0.03905080631375313,0,0.9049439430236816,0.07693545520305634,0.018120557069778442
42,empty,Blue says Blumenthal claimed Clinton had told him that Lewinsky had made unwanted sexual advances.,Clinton said that Monica Lewinsky made unwanted sexual advances during her time as a journalist in the White House. ,1,standard,1,0.00830844882875681,0.9712806344032288,0.02041088044643402,1,0.0878954753279686,0.7703126072883606,0.1417919248342514,0,0.5027738213539124,0.24713651835918427,0.2500896155834198
42,empty,We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission-related outcomes.,Leading organizations want to be sure their employees are safe.,1,standard,1,0.03530028462409973,0.9432417154312134,0.021458029747009277,1,0.22259996831417084,0.7755555510520935,0.0018444755114614964,1,0.17713038623332977,0.818376898765564,0.00449266517534852
42,empty,oh uh-huh well no they wouldn't would they no,"No, they wouldn't go there.",1,standard,1,0.0516565665602684,0.9462988376617432,0.00204465351998806,1,0.011267522349953651,0.9767436981201172,0.011988800019025803,0,0.744767427444458,0.1757173240184784,0.07951530069112778
42,empty,Sorry but that's how it is.,This is how things are and there are no apologies about it.,2,standard,1,0.41908714175224304,0.48521026968955994,0.09570258110761642,1,0.07997681200504303,0.9152870178222656,0.004736187402158976,0,0.9228590726852417,0.07455731183290482,0.0025837027933448553
42,empty,"Not quite as large is the Papal Crose commemorating Pope John Paul II's visit in 1979, when more than one million people gathered to celebrate mass.",Pope John Paul II also visited in 1983.,1,standard,1,0.0016824696213006973,0.9874123334884644,0.010905200615525246,1,0.002098646480590105,0.991821825504303,0.006079525221139193,0,0.48926180601119995,0.4538009464740753,0.05693727359175682
42,empty,"The tourist industry continued to expand, and though it became one of the top two income earners in Spain, a realization that unrestricted mass tourism was leading to damaging long-term consequences also began to grow.",Tourism is not very big in Spain.,2,standard,2,0.017577189952135086,0.03809395059943199,0.9443288445472717,1,0.08092106878757477,0.8860915303230286,0.03298744186758995,1,0.030669573694467545,0.9645082354545593,0.00482218898832798
42,empty,"She seemed so different  """,She had changed a lot since the last time we'd seen her.,1,standard,1,0.003763549728319049,0.9933891296386719,0.0028472733683884144,1,0.020145203918218613,0.9715949296951294,0.008259851485490799,0,0.6437782049179077,0.3494502902030945,0.006771441083401442
42,empty,i'm not opposed to it but when its when the time is right it will probably just kind of happen you know,I cannot wait for it to happen.,1,standard,2,0.08749721944332123,0.19465336203575134,0.7178494930267334,1,0.1920013129711151,0.7863478660583496,0.02165086567401886,1,0.14794078469276428,0.8238525390625,0.028206724673509598
42,empty,The census of 1931 served as an alarm signal for the Malay national consciousness.,The 1931 Malay census was an alarm bell.,0,standard,0,0.968782365322113,0.026519736275076866,0.004697927739471197,1,0.0152016282081604,0.840398907661438,0.14439943432807922,0,0.5705169439315796,0.3537699580192566,0.07571312040090561
42,empty,"Mortifyingly enough, it is all  the difficulty, the laziness, the pathetic formlessness in youth, the round peg in the square hole, the whatever do you want?",Many youth are lazy.,0,standard,1,0.3227645754814148,0.6734545826911926,0.003780893050134182,0,0.6446781754493713,0.3523936867713928,0.0029281482566148043,1,0.3568081557750702,0.5594253540039062,0.08376646786928177
42,empty,"Conversely, an increase in government saving adds to the supply of resources available for investment and may put downward pressure on interest rates.",Interest rates should increase to increase saving.,2,standard,0,0.5477369427680969,0.3780478537082672,0.0742151290178299,1,0.045089319348335266,0.9452551007270813,0.009655587375164032,1,0.43305760622024536,0.5406701564788818,0.026272276416420937
42,empty,"Britain's best-selling tabloid, the Sun , announced as a front-page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings against aging rock star Mick Jagger at the High Court in London.",There is a British publication called the Sun.,0,standard,0,0.9941433072090149,0.0044718277640640736,0.001384907285682857,2,0.010404753498733044,0.32127124071121216,0.6683240532875061,2,0.013221174478530884,0.1068008691072464,0.8799779415130615
42,empty,"He was of two minds, one reveled in the peace of this village.",He loved how peaceful the village was.,0,standard,0,0.9134437441825867,0.08571158349514008,0.0008446744759567082,1,0.00796219240874052,0.9901608228683472,0.0018769684247672558,0,0.8307907581329346,0.1656317114830017,0.0035775406286120415
42,empty,"The vineyards hug the gentle slopes between the Vosges and the Rhine Valley along a single narrow 120-km (75-mile) strip that stretches from Marlenheim, just west of Strasbourg, down to Thann, outside Mulhouse.",The slopes between the Vosges and Rhine Valley are the only place appropriate for vineyards.,1,standard,1,0.0014496342046186328,0.9913881421089172,0.007162183988839388,1,0.0022362794261425734,0.8122260570526123,0.18553771078586578,1,0.08570165187120438,0.7681669592857361,0.14613141119480133
42,empty,"We did not study the reasons for these deviations specifically, but they likely result from the context in which federal CIOs operate.",These deviations mostly involve failure to apply software updates in a timely manner.,1,standard,1,0.0012264358811080456,0.9857631921768188,0.013010367751121521,1,0.008977193385362625,0.9898423552513123,0.0011804663809016347,0,0.7247203588485718,0.26478311419487,0.010496558621525764
42,empty,"Rouen is the ancient center of Normandy's thriving textile industry, and the place of Joan of Arc's martyrdom ' a national symbol of resistance to tyranny.","Joan of Arc sacrificed her life at Rouen, which became an enduring symbol of opposition to tyranny.",0,standard,1,0.0552029050886631,0.9336313605308533,0.011165667325258255,1,0.011065561324357986,0.8134278655052185,0.175506591796875,1,0.17589594423770905,0.7781074047088623,0.04599659889936447
42,empty,"Table 2: Examples of BLM's, FHWA's, IRS's, and VBA's Customer Satisfaction Expectations for Senior Executive Performance",Senior Executive's have been studies on various aspects to reach the expectations.,0,standard,0,0.5871617197990417,0.41031575202941895,0.0025225249119102955,1,0.13812947273254395,0.8419396877288818,0.019930854439735413,1,0.3029487729072571,0.6122623085975647,0.08478888124227524
42,empty,"In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design.",It's impossible to have a plate hand-painted to your own design in Hong Kong.,2,standard,2,0.00037540614721365273,0.0008677312289364636,0.9987568855285645,1,0.004370813257992268,0.9496306777000427,0.045998476445674896,0,0.7189789414405823,0.25037840008735657,0.030642712488770485
42,empty,"There are a number of expensive jewelry and other duty-free shops, all with goods priced in US dollars (duty-free goods must always be paid for in foreign currency).",Jewelry and duty-free shops are an interesting place to buy goods.,1,standard,1,0.12027581036090851,0.877257764339447,0.002466389909386635,1,0.25897887349128723,0.7335357666015625,0.007485385984182358,2,0.008711611852049828,0.18823474645614624,0.803053617477417
42,empty,"What's truly striking, though, is that Jobs has never really let this idea go.",Jobs never held onto an idea for long.,2,standard,0,0.6076828837394714,0.2015676498413086,0.19074946641921997,1,0.06033303961157799,0.5955607295036316,0.3441062569618225,1,0.24514564871788025,0.7061259150505066,0.04872841015458107
42,empty,"While it's probably true that democracies are unlikely to go to war unless they're attacked, sometimes they are the first to take the offensive.",Democracies probably won't go to war unless someone attacks them on their soil,0,standard,1,0.23800858855247498,0.7571493983268738,0.004842075984925032,1,0.05924873426556587,0.8941326141357422,0.04661869630217552,1,0.44302937388420105,0.5308775305747986,0.026093153282999992
42,empty,"But to you, who know the truth, I propose to read certain passages which will throw some light on the extraordinary mentality of this great man."" He opened the book, and turned the thin pages.","There is no information on the mentality of the man, extraordinary or not, contained within the thin-paged book. ",2,standard,2,0.0027033728547394276,0.009995861910283566,0.9873007535934448,1,0.24222417175769806,0.7143719792366028,0.043403882533311844,2,0.01919575221836567,0.11006808280944824,0.8707361817359924
42,empty,yeah i mean just when uh the they military paid for her education,The military didn't pay for her education.,2,standard,2,0.0014958579558879137,0.0018392086494714022,0.9966649413108826,1,0.02180776745080948,0.9625938534736633,0.015598325990140438,0,0.7112196087837219,0.26988136768341064,0.018899014219641685
42,empty,but uh these guys were actually on the road uh two thousand miles from from home when they had to file their uh their final exams and send them in,These men filed their midterm exams from home. ,2,standard,1,0.3392924666404724,0.5033770799636841,0.15733051300048828,1,0.07037849724292755,0.7831447720527649,0.14647679030895233,1,0.24087151885032654,0.6008661985397339,0.15826228260993958
42,empty,"But you have to have money to save it, and not many couples with young children have the luxury of tucking away $2,000 apiece annually for their Golden Years.",Not many couples with kids can save up for retirement.,0,standard,0,0.9277675747871399,0.05970306321978569,0.012529341503977776,1,0.39218977093696594,0.6001307964324951,0.007679392118006945,0,0.5104469060897827,0.4776255786418915,0.011927509680390358
42,empty,and uh as a matter of fact he's a draft dodger,"They dodged the draft, I'll have you know.",0,standard,1,0.1547858566045761,0.5876997709274292,0.2575143873691559,1,0.02047659456729889,0.8558151721954346,0.12370823323726654,0,0.8001364469528198,0.19100089371204376,0.008862634189426899
42,empty,"'Publicity.' Lincoln removed his great hat, making a small show of dusting it off.",Lincoln took his hat off.,0,standard,0,0.9911801218986511,0.0048909857869148254,0.003928915597498417,2,0.11231053620576859,0.1465289294719696,0.74116051197052,0,0.8585318326950073,0.10147180408239365,0.039996396750211716
42,empty,"In the stock market, however, the damage can get much worse.",The stock market can experience much worse damage. ,0,standard,0,0.9864296913146973,0.010855643078684807,0.0027145694475620985,1,0.09967654198408127,0.8815628290176392,0.01876058429479599,0,0.8111960291862488,0.17566314339637756,0.01314088050276041
42,empty,"Missouri was asked to continue its planning efforts and file a supplemental planning report with LSC on or before October 1, 1999.",Missouri was happy to continue it's planning efforts. ,1,standard,1,0.0023043733090162277,0.9879543781280518,0.009741218760609627,1,0.02765791304409504,0.9572247266769409,0.015117362141609192,1,0.32187768816947937,0.6522923111915588,0.025830022990703583
42,empty,He hadn't seen even pictures of such things since the few silent movies run in some of the little art theaters.,He had recently seen pictures depicting those things.,2,standard,2,0.019938115030527115,0.03623973950743675,0.9438221454620361,1,0.07495909929275513,0.9129103422164917,0.012130528688430786,1,0.25729110836982727,0.7180140614509583,0.0246947780251503
42,empty,"Look, there's a legend here.","See, there is a well known hero here.",0,standard,0,0.8907676935195923,0.10606124252080917,0.0031710497569292784,1,0.12670591473579407,0.870926022529602,0.002368026180192828,0,0.8339537382125854,0.1534016728401184,0.012644636444747448
42,empty,The Celts arrived in the wake of the Roman withdrawal at the end of the fourth century.,At the end of the fourth century was when baked goods flourished.,1,standard,2,0.004656019154936075,0.4691816568374634,0.526162326335907,1,0.06403917074203491,0.8127633929252625,0.12319745868444443,0,0.7182425856590271,0.22229602932929993,0.05946135148406029
42,empty,yeah and how about how about like on the weekends do you do sports or do you go out,No one plays sports on the weekend.,2,standard,2,0.0003978415625169873,0.0029240199364721775,0.9966782331466675,1,0.04511858895421028,0.822296142578125,0.13258527219295502,0,0.7608455419540405,0.22385375201702118,0.015300667844712734
42,empty,"Harlem was our first permanent office, he said. ",Harlem did a great job ,1,standard,1,0.009442250244319439,0.9865938425064087,0.003963863477110863,1,0.19170792400836945,0.7198827266693115,0.08840931951999664,0,0.5526060461997986,0.3525693416595459,0.09482458978891373
