seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,neutral,This situation could also impact our ability to mount another festival next year.,We might not have another festival next year.,0,standard,2,0.004100702237337828,0.001414129976183176,0.9944851994514465,2,0.000496507971547544,0.001513624214567244,0.9979898929595947,2,0.008816923946142197,0.0018780917162075639,0.9893050193786621
42,neutral,"You'll return to it at once, and take your crew with you, or else....   But Ogle, violent of mien and gesture, interrupted him.",Ogle had a crew.,0,standard,2,0.028754254803061485,0.0001057551708072424,0.9711399674415588,2,0.0017617135308682919,0.002281797584146261,0.9959564805030823,2,0.012932198122143745,5.2280109230196103e-05,0.9870156049728394
42,neutral,28 In some cases longer outages are needed.,It is never necessary to have outages.,2,standard,2,2.825380249760201e-07,2.440598450333814e-13,0.9999997615814209,2,0.0010764702456071973,0.002092562150210142,0.9968309998512268,2,0.005497320089489222,0.0010980503866448998,0.9934046864509583
42,neutral,Requiring attorneys to monitor the movements of eligible aliens at all times of the year would impose monumental burdens on LSC grantees.,It would be a trivial matter for attorney to monitor eligible aliens at all times.,2,standard,2,1.6517366020707414e-05,2.8467859181091626e-08,0.9999834299087524,2,0.00018935976549983025,0.0002384881372563541,0.999572217464447,2,0.0029198499396443367,0.0027274428866803646,0.9943526983261108
42,neutral,Figure 3 shows the basic results for the two models.,Figure 3 shows how the models calculate the incomes.,1,standard,2,0.0008404715918004513,0.0017773653380572796,0.9973821043968201,2,0.0005188239156268537,0.002272766549140215,0.9972084164619446,2,0.020350724458694458,0.0004120692319702357,0.9792371988296509
42,neutral,"And, uh, they moved downtown and, there was, uh, and it's still like this in Augusta, this big street downtown called Broad Street, and it really was just this broad street in a downtown area.",They went to the street with the most restaurants and bars.,1,standard,2,0.001296477159485221,0.002469009719789028,0.9962344765663147,2,0.00014308000390883535,0.0002436724753351882,0.9996132254600525,2,0.00886546727269888,0.00013228171155788004,0.9910022616386414
42,neutral,.. why they have so little self-worth that they value the friendship of thieves and killers.,None of their friends are thieves and killers.,2,standard,2,1.586766302352771e-05,6.197626589710126e-08,0.9999840259552002,2,0.00031762541038915515,0.0005563668091781437,0.9991260170936584,2,0.0032187465112656355,0.0015088544460013509,0.9952724575996399
42,neutral,TABLE A.- TOTAL MERCURY ALLOWANCES ALLOCATED OR AUCTIONED FOR EGUS,Mercury has allowances that are set.,0,standard,2,0.022832322865724564,0.000325536064337939,0.9768421053886414,2,0.0019412655383348465,0.002519086468964815,0.9955397248268127,2,0.003967890050262213,0.003397654742002487,0.9926344752311707
42,neutral,Words that do not fit cannot be returned.,Some words do not fit in the puzzle.,1,standard,2,0.008850754238665104,0.00320582278072834,0.9879433512687683,2,0.0002976217947434634,0.00037825960316695273,0.9993242025375366,2,0.005616870708763599,0.0018727757269516587,0.9925103187561035
42,neutral,28 In some cases longer outages are needed.,Sometimes longer outages are needed.,0,standard,2,0.029984794557094574,7.057742186589167e-05,0.9699446558952332,2,0.0005073889042250812,0.00264634913764894,0.9968462586402893,2,0.005497320089489222,0.0010980503866448998,0.9934046864509583
42,neutral,"In contrast, the impact of volume is greater in the U.S. than in France because the U.S. has lower postal densities and a greater variation in volumes.",There is a much greater impact of volume in the United States.,0,standard,2,0.0194309800863266,0.0004808192898053676,0.9800882935523987,2,0.00031545269303023815,0.0002959537669084966,0.999388575553894,2,0.005262664053589106,0.002983477432280779,0.9917539358139038
42,neutral,Dr. Richards never stops astonishing us.,We howled with laughter when we heard Dr. Richards' latest news.,1,standard,2,0.0011882120743393898,0.001979444408789277,0.9968323111534119,2,0.00017741577175911516,0.0002956869138870388,0.999526858329773,2,0.020967107266187668,0.0004685560707002878,0.9785642623901367
42,neutral,So why does Gates produce at such a frantic pace?,The President was wondering why machines in the Gates factory produce at such a high rate.,1,standard,2,0.003324979916214943,0.0045072459615767,0.9921677708625793,2,0.0002146250189980492,0.000342255225405097,0.9994431138038635,2,0.012839474715292454,0.0018719765357673168,0.9852885603904724
42,neutral,"In most cases, the concentration-response relationship may be overestimated; in other cases, it may be underestimated.",The effects of the concentration-response relationship are rarely overestimated.,2,standard,2,0.0002606100752018392,0.00012357410741969943,0.9996157884597778,2,0.0009830592898651958,0.0023124301806092262,0.9967045187950134,2,0.0023269583471119404,0.003245669649913907,0.9944274425506592
42,neutral,yeah we have between the spouse and myself we have six,My husband and I have six kids total.,1,standard,2,0.0025248073507100344,0.0038314093835651875,0.9936437606811523,2,0.0004750835068989545,0.002877546939998865,0.996647298336029,2,0.01944304257631302,0.000536734180059284,0.98002028465271
42,neutral,The New Yorker has fought back with special issues--massive tomes about race or Hollywood or the future.,"The New Yorker has fought back with more than 20 special issues, including whole magazines about racism, space travel, and education.",1,standard,2,0.0019749116618186235,0.002967913867905736,0.995057225227356,2,0.00010753729293355718,0.00013896016753278673,0.9997535347938538,2,0.006926051806658506,0.0007876741583459079,0.992286205291748
42,neutral,Time runs two anti-emotion articles.,Newsweek ran four very emotional articles.,2,standard,2,1.9402370526222512e-05,1.0383666904090205e-07,0.9999804496765137,2,6.014172322466038e-05,2.2234113203012384e-05,0.9999175071716309,2,0.010718009434640408,0.0002806418342515826,0.9890013933181763
42,neutral,You have the effrontery to upbraid me because I will not take your hands when I know how they are stained; when I know you for a murderer and worse?   He stared at her open-mouthed.,"He chose to take her hands because they were small, delicate, and most of all, clean.",2,standard,2,2.9247201382531784e-05,1.810195300322448e-07,0.999970555305481,2,0.00025026247021742165,0.0003551908303052187,0.9993945360183716,2,0.012673738412559032,0.0001891330030048266,0.9871371984481812
42,neutral,‘Swounds! Perhaps you'll explain yourself? Whither has Wolverstone gone?,I want you to explain yourself! I know you know where Wolverstone is.,1,standard,2,4.6980414481367916e-05,1.900699970747155e-07,0.9999527931213379,2,0.0004197393427602947,0.0005726865492761135,0.999007523059845,2,0.00070324691478163,6.669377034995705e-05,0.9992300271987915
42,neutral,"We were somewhat intimidated by the look of it, but we ate it--without enthusiasm, but with the stiff upper lip we had imbibed, so to speak, with our mothers' milk.","We reluctantly ate what was given to us, even though we didn't like the looks of it.",0,standard,2,0.016474371775984764,0.0007944888202473521,0.98273104429245,2,6.678714998997748e-05,5.765951209468767e-05,0.999875545501709,2,0.015085896477103233,4.903889566776343e-05,0.9848650693893433
42,neutral,"If you're looking for an evening alternative to Harvard Square, head to Hispanic-flavored Inman Square, located down Cambridge Street.",Harvard Square isn't great at night.,0,standard,2,0.002294783480465412,0.002203818876296282,0.9955013394355774,2,0.00014420477964449674,8.928578608902171e-05,0.9997665286064148,2,0.009605320170521736,0.00043995841406285763,0.9899547100067139
42,neutral,It was still cultural area but suburbs was still the dominant form.,It was all very urban.,2,standard,2,0.00386218773201108,0.0006000969442538917,0.9955376386642456,2,9.197442705044523e-05,3.7014775443822145e-05,0.9998708963394165,2,0.013279097154736519,0.0006016476545482874,0.986119270324707
42,neutral,Pilgrims would buy honey cakes for this snake and leave them at the temple entrance for it to enjoy.,The snake would only eat pilgrims attempting to gain access to the temple.,2,standard,2,0.0006008803611621261,0.0004156722279731184,0.9989834427833557,2,2.8420034141163342e-05,5.003739261155715e-06,0.9999666213989258,2,0.018640819936990738,0.0003823036386165768,0.9809768795967102
42,neutral,"In Tokyo, a correspondent for The Economist sighted a T-shirt   O D on Bourgeoisie Milk Boy Milk.",A reporter for The Economist was in Tokyo and noticed a particular T-shirt.,0,standard,2,0.029485130682587624,0.0001941066002473235,0.9703207015991211,2,0.0003854780807159841,0.0007197195081971586,0.9988948702812195,2,0.017972495406866074,0.00022428520605899394,0.981803297996521
42,neutral,", the Regional Haze RIA and the NOx SIP Call RIA), the low-end estimate of benefits assumed a threshold in PM health effects at 15 :g/m3.",They had no idea how to estimate the benefits.,2,standard,2,3.979220855399035e-05,8.839239171720692e-07,0.9999593496322632,2,2.072518691420555e-05,1.4900149380991934e-06,0.9999778270721436,2,0.0035309691447764635,0.0027591038960963488,0.993709921836853
42,neutral,"Conversely, if new precedents never sent out ripples, the common law could hardly evolve at all.",The law has been around for a while.,0,standard,2,0.0073024132288992405,0.003981269430369139,0.9887163639068604,2,0.0012644550297409296,0.002497694455087185,0.9962378740310669,2,0.00337576842866838,0.0031045961659401655,0.9935196042060852
42,neutral,"There are, of course, many elegant and flirtatious scenes set on yachts.",Large yachts are very expensive to maintain as they need regular maintenance and use large amounts of fuel.,1,standard,2,0.00043870945228263736,0.0009098353330045938,0.9986514449119568,2,0.00012493145186454058,0.0002098812983604148,0.9996652603149414,2,0.015821609646081924,0.00039670945261605084,0.9837816953659058
42,neutral,Only with the help of our philanthropic partners have we been able to achieve so much.,Bill Gates donated $5 million to us.,1,standard,2,0.0015953941037878394,0.08280269056558609,0.915601909160614,2,0.00036144579644314945,0.009496592916548252,0.9901420474052429,2,0.014021899551153183,0.0010296807158738375,0.9849483370780945
42,neutral,it's kind of like a soap a nighttime soap opera type thing,It's like soap opera show.,0,standard,2,0.02425568550825119,0.0002922812127508223,0.9754519462585449,2,0.0005103208241052926,0.0010301879374310374,0.9984595775604248,2,0.016717230901122093,0.0007211058400571346,0.9825617074966431
42,neutral,"Just east of the Star Ferry terminal, you'll come to City Hall.",City Hall is near the ferry terminal.,0,standard,2,0.027500778436660767,2.2447266019298695e-05,0.9724767804145813,2,0.001168060232885182,0.0025347601622343063,0.9962971806526184,2,0.018636181950569153,0.00017667449719738215,0.9811872243881226
