premise,hypothesis,gold_label,heuristic,pred_full,pred_hyp_only,pred_prem_only
"That time John Grisham defended men who watch child porn John Grisham's disturbing statements defending child porn consumers are coming back to haunt him. In a bizarre 2014 interview, the best-selling author said most men who watch kiddie porn are... John Grisham's bizarre defense of kiddie porn viewers ""We've got prisons now filled with guys my age, 60-year-old white men, in prison, who have never harmed anyone,” the best-selling author said.",John Grisham watches kiddie porn.,1,standard,0,2,1
"Cruise Lines International Association (CLIA) is an association of cruise lines. It merged with International Council of Cruise Lines (ICCL) in 2006, forming an expanded organization incorporating the existing functions of both organizations. The merged organization, which uses the CLIA name, is located in Washington, D.C.",CLIA does not own any boats,2,standard,2,2,1
"That's right. That's the important hurdle, and we'd like to jump that first, but the other ones, Justice, you're right, in 1831 and in 1909 Congress extended terms in a way that is inconsistent with the strongest form of the test that we have advanced. Those extensions, however, were never challenged in any court and certainly not considered by this Court.",Congress extended terms in 2009 in an inconsistent way,2,standard,2,1,1
"Well, I think again that illustrates why the authority is vested in Congress to make these judgments rather than in courts to make these affect whether the judgments, because we're not talking about the effect on an individual author, or an individual creator. What the Framers of the Constitution were concerned about is a gross judgment with respect to what might generally provide incentives to the population --",Decisions Congress make impact society on a broad scale,0,standard,1,1,1
"Tonight the topic will be domestic affairs, but the format will be the same as that first debate. I'll moderate our discussion under detailed rules agreed to by the candidates, but the questions and the areas to be covered were chosen by me. I have not told the candidates or anyone else what they are.","the topic will be domestic affairs, moderated on rules and questions agreed to by the candidates.",2,standard,0,1,2
"And Charlotte Buckingham I recall really being the only person who got up to stand in defense of the school board, and she was Mr. Buckingham's wife, or is Mr. Buckingham's wife. And she quoted Scripture, Old Testament, actually, all Old Testament Scripture about why the school board is right, basically. And she also talked about school prayer and the need for school prayer in that speech that she had prepared.",Charlotte Buckingham has talked to carter,1,standard,0,1,1
I do. I think that in this 21st century we will soon see the consequences of what's called global warming. There was a study just a few weeks ago suggesting that in summertime the north polar ice cap will be completely gone in 50 years. Already people see the strange weather conditions that the old timers say they've never seen before in their lifetimes.,the study was on the poler bear decline,2,standard,1,1,1
"Honourable senators will remember that the committee which reported just prior to Christmas received information about a number of cases in which claims were brought by people living in poverty in Canada, usually women and children, both alluded to by my colleagues who spoke before me, against our federal and provincial governments.",there are cases of men living in poverty in canada ,0,standard,1,1,1
Mark Halperin accused of sexual harassment Several women spoke out to CNN detailing alleged incidents of sexual harassment during Halperin's tenure as the political director of ABC News over a decade ago. Halperin apologized for his behavior in a statement to CNN.,Halperin did not commit the crime.,2,standard,1,2,1
"How to use turtle wax<br>Wash your car before you wax it. Clean your car as thoroughly as you can on the outside. Use all the basic cleaners, such as soap and water for the body and window cleaner for your windows.",Turtle wax is to be used in the car,2,standard,0,2,1
"UN official condemns attacks on civilians, calls for unhindered relief access February 7, 2017 As fresh violence flared up in the Ouham – Pende province of the Central African Republic, a United Nations humanitarian official has urged to protect civilians and provide them with unobstructed relief access. ""I urge all parties to the conflict to respect international humanitarian law and to ensure the protection of civilians,"" said Michel Yao, the Acting Humanitarian Coordinator in the country. ""Attack against aid workers is a crime against humanity,"" he added.",The call for unhindered relief access came on a Thursday.,2,standard,1,1,1
"Fiers (6-5) struck out six and picked up the win Saturday against the Rangers. He gave up one run on five hits and one walk over six innings. Fiers continued his good pitching of late, as he's now given up just a single run in three straight starts (21 innings), bringing his season ERA down to 3.65. However, this was his first win during the stretch, as the Tigers bats have done him no favors. Fiers won't have an easy time keeping his hot streak going, as his next start is scheduled for Friday in Houston.",Fiers does not play for the Rangers.,0,standard,2,2,1
Brown signed a reserve/future contract with the Rams on Monday. Brown spent the preseason with the Colts but finished the regular season on the Rams' practice squad. The 23-year-old will likely need to contribute on special teams if he is going to make the 2018 53-man roster.,Brown contains a q,2,standard,1,2,1
"""You Make Me Feel So Good"" is the third single released by the American synthpop band Book of Love. The song was included on the band's eponymous debut album ""Book of Love"" in 1986. The song was written by band members Susan Ottaviano and Ted Ottaviano.",The book was released in 1986.,2,standard,0,1,1
"Then , all at once , down at the far end of the garden , I saw a woman walking .<br>I thought at first that it must be Mary Sloane ; but , as she crossed a moonlit path , I saw it was not our old servant 's stout , homely figure .<br>This woman was tall and erect .<br>Although no suspicion of the truth came to me , something about her reminded me of Hester .<br>Even so had Hester liked to wander about the garden in the twilight .<br>I had seen her thus a thousand times .<br>I wondered who the woman could be .<br>Some neighbor , of course .<br>But what a strange way for her to come !",It was a neighbor,0,standard,1,1,1
"How to prepare filter coffee<br>Fill the machine with water. Most coffee makers will have a water reservoir which you'll need to fill before brewing. Only pour in as much water as you'd like to brew, since the machine will continue to brew until the reservoir is empty.",The water has to be filled fully,2,standard,1,1,2
"Victoria's Secret supermodel Adriana Lima confirms to People that she secretly got married (to basketball player Marko Jaric) on Valentine's Day! JJ reported on their engagement in June of 2008. The pair eloped in Jackson Hole, Wyoming in a small, private civil ceremony. Adriana said, ""We are so excited about our future together. And we are really looking forward to a big romantic wedding this summer with all of our friends and family.""  The happy couple will look to celebrate next in Adriana's native Brazil or Marko's native Serbia.",Jaric plays basketball in Serbia,1,standard,1,1,1
"In the negotiations over the past two years, it is understandable that table 2 union members had no hesitation using their right to strike, which they had obtained on December 16, 1998. So, in a perfectly legal context, the union is exercising its means of pressure by holding rotating strikes across the country since January 18.",Strikes began on New Year's day.,2,standard,2,1,1
"Cosmonaut Valery Polyakov set the record for the longest continuous amount of time spent in space, a staggering 438 days, between 1994 and 1995. He orbited the Earth 7000 times, witnessing 7000 sunrises and 7000 sunsets."," Valery Polyakov spent an incredible, staggering amount of time in space, over two years",2,standard,0,1,1
