seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,mask,The new rights are nice enough,Everyone really likes the newest benefits ,1,standard,1,0.00030747405253350735,0.9995367527008057,0.0001558465592097491,1,0.0003749901952687651,0.999349057674408,0.00027591726393438876,1,0.1609094738960266,0.5254241228103638,0.313666433095932
42,mask,This site includes a list of all award winners and a searchable database of Government Executive articles.,The Government Executive articles housed on the website are not able to be searched.,2,standard,2,2.2262634956859984e-05,0.0002238835149910301,0.9997538924217224,1,0.00044451537542045116,0.8945751190185547,0.10498034954071045,1,0.28745031356811523,0.6131491661071777,0.09940052032470703
42,mask,uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him,"I like him for the most part, but would still enjoy seeing someone beat him.",0,standard,0,0.9979050159454346,0.0019353398820385337,0.00015960076416376978,1,0.00014426224515773356,0.9993441700935364,0.0005115009262226522,1,0.0370553582906723,0.8806849718093872,0.0822596475481987
42,mask,yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food,My favorite restaurants are always at least a hundred miles away from my house. ,2,standard,2,0.00012029422941850498,0.00041929673170670867,0.9994603991508484,1,0.000656471645925194,0.9878439903259277,0.011499476619064808,0,0.37829601764678955,0.3071816861629486,0.31452232599258423
42,mask,i don't know um do you do a lot of camping,I know exactly.,2,standard,2,6.476594717241824e-05,0.00020129322365392,0.9997339844703674,2,0.00013801248860545456,0.0009884886676445603,0.9988735318183899,0,0.4046850800514221,0.39140406250953674,0.20391082763671875
42,mask,well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be,We have plenty of space in the landfill.,2,standard,2,9.569482790539041e-05,0.00022036515292711556,0.9996839761734009,1,0.0007737128180451691,0.9805190563201904,0.018707305192947388,2,0.093293696641922,0.44846311211586,0.4582432210445404
42,mask,yeah i know and i did that all through college and it worked too,I did that all through college but it never worked ,2,standard,2,4.2695442971307784e-05,0.00017081777332350612,0.9997865557670593,1,0.00013566494453698397,0.9961836934089661,0.0036807162687182426,1,0.014563817530870438,0.9703542590141296,0.015081904828548431
42,mask,"Calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of Satyajit Ray or Mrinal Sen shown in Europe or North America than in India itself.",Most of Mrinal Sen's work can be found in European collections.,1,standard,1,0.0004536030755843967,0.9975886344909668,0.001957775792106986,1,0.00013265956658869982,0.9995961785316467,0.00027125002816319466,2,0.0041992757469415665,0.00642224820330739,0.9893785119056702
42,mask,"If that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.",THe strike price could be $8.,2,standard,2,0.00028424905030988157,0.0015660483622923493,0.9981497526168823,1,0.0024038527626544237,0.9900959730148315,0.007500107865780592,0,0.7733612060546875,0.059391528367996216,0.1672472506761551
42,mask,"3)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?",Would you rise up and defeaat all evil lords in the town?,1,standard,1,0.00018145797366742045,0.9993834495544434,0.00043512697448022664,1,0.0002017394290305674,0.9995450377464294,0.00025321682915091515,1,0.27667534351348877,0.5812128186225891,0.14211179316043854
42,mask,"The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.","Go downwards to one of the gates, all of which will lead you into the cathedral.",2,standard,0,0.9744388461112976,0.006544992793351412,0.01901603862643242,1,0.00012992967094760388,0.9993560910224915,0.0005139874410815537,2,0.03293959051370621,0.35937559604644775,0.6076847314834595
42,mask,The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.,The Tamils' bhakti movement froze the previously warm ritual of Hinduism.,2,standard,2,0.00019593065371736884,0.0002821885864250362,0.9995218515396118,1,0.0015303189866244793,0.9945316314697266,0.003937995992600918,0,0.895307719707489,0.06370112299919128,0.0409911572933197
42,mask,see now in a situation like that the boys are only sixteen years old and they were sexually involved with her and i think like at that particular point she was twenty three you know so she wasn't really that much older than them and being a boy at that age i think that they're very um you know let's face it that's at a point in your life when you you're just starting to realize all the things of life,Everyone involved was the same age.,2,standard,2,3.742561602848582e-05,0.00028467117226682603,0.9996778964996338,1,0.004736657720059156,0.7674333453178406,0.22783003747463226,1,0.1457671970129013,0.6961795091629028,0.15805330872535706
42,mask,"You and your friends are not welcome here, said Severn.",Severn said the people were not welcome there.,0,standard,0,0.9965208768844604,0.003168285358697176,0.00031082777422852814,1,0.0007255306118167937,0.9976798892021179,0.0015946778003126383,0,0.5345326066017151,0.3978326916694641,0.0676346942782402
42,mask,um-hum um-hum yeah well uh i can see you know it's it's it's it's kind of funny because we it seems like we loan money you know we money with strings attached and if the government changes and the country that we loan the money to um i can see why the might have a different attitude towards paying it back it's a lot us that  you know we don't really loan money to to countries we loan money to governments and it's the,We don't loan a lot of money.,1,standard,0,0.8651864528656006,0.09469425678253174,0.040119294077157974,1,0.0007093093008734286,0.9969927072525024,0.002297948580235243,0,0.9685971140861511,0.026630457490682602,0.004772423766553402
42,mask,i'm not sure what the overnight low was,I don't know how cold it got last night.,0,standard,1,0.0004488379927352071,0.9959954023361206,0.003555724397301674,1,0.00042474310612306,0.99631667137146,0.003258580109104514,1,0.3038693368434906,0.5025926828384399,0.19353796541690826
42,mask,so i have to find a way to supplement that,I need a way to add something extra.,0,standard,0,0.9988266825675964,0.0009938201401382685,0.00017949103494174778,1,0.018873611465096474,0.8072083592414856,0.1739179491996765,1,0.2088869959115982,0.6413451433181763,0.14976786077022552
42,mask,the hologram makes up all these things and uh i mean sometimes  sometimes it's funny sometimes it's not but uh you know it's something to pass the time until we do and then and then we watch football,Sometimes it is amusing to see what the hologram creates.,0,standard,0,0.9910813570022583,0.008440491743385792,0.0004781266034115106,1,0.0006124130450189114,0.998976469039917,0.0004110727459192276,1,0.004181763622909784,0.9875656962394714,0.008252552710473537
42,mask,5 The share of gross national saving used to replace depreciated capital has increased over the past 40 years.,Gross national saving was highest this year.,1,standard,1,0.0003226973640266806,0.999357283115387,0.00031999501516111195,1,0.0010073850862681866,0.9954546689987183,0.0035379293840378523,0,0.6631132960319519,0.325760155916214,0.011126592755317688
