seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,empty,This situation could also impact our ability to mount another festival next year.,We might not have another festival next year.,0,standard,0,0.6133401393890381,0.11600758135318756,0.27065229415893555,1,0.0013700244016945362,0.9940504431724548,0.004579533357173204,1,0.0032532145269215107,0.9952197670936584,0.0015269846189767122
42,empty,"You'll return to it at once, and take your crew with you, or else....   But Ogle, violent of mien and gesture, interrupted him.",Ogle had a crew.,0,standard,0,0.899730920791626,0.0924876481294632,0.007781429216265678,1,0.226092129945755,0.7441807389259338,0.02972712740302086,1,0.07824249565601349,0.8260178565979004,0.09573958814144135
42,empty,28 In some cases longer outages are needed.,It is never necessary to have outages.,2,standard,2,0.0002971848880406469,0.001499286270700395,0.9982035160064697,2,0.004649722017347813,0.1891353875398636,0.8062149286270142,0,0.9116268754005432,0.08729148656129837,0.001081582042388618
42,empty,Requiring attorneys to monitor the movements of eligible aliens at all times of the year would impose monumental burdens on LSC grantees.,It would be a trivial matter for attorney to monitor eligible aliens at all times.,2,standard,2,0.0006325075519271195,0.0011805420508608222,0.9981870055198669,1,0.006061370484530926,0.9772309064865112,0.0167076513171196,1,0.0018566293874755502,0.9950283169746399,0.0031150791328400373
42,empty,Figure 3 shows the basic results for the two models.,Figure 3 shows how the models calculate the incomes.,1,standard,1,0.0016863548662513494,0.9832702875137329,0.015043380670249462,1,0.002176826586946845,0.9802027940750122,0.017620418220758438,1,0.26648038625717163,0.6220171451568604,0.11150246858596802
42,empty,"And, uh, they moved downtown and, there was, uh, and it's still like this in Augusta, this big street downtown called Broad Street, and it really was just this broad street in a downtown area.",They went to the street with the most restaurants and bars.,1,standard,1,0.001381202251650393,0.9963567852973938,0.0022619767114520073,1,0.0033130499068647623,0.9951627254486084,0.0015241627115756273,0,0.9393680095672607,0.05574275925755501,0.004889173898845911
42,empty,.. why they have so little self-worth that they value the friendship of thieves and killers.,None of their friends are thieves and killers.,2,standard,2,0.0006252960884012282,0.009802988730370998,0.9895716905593872,1,0.022511160001158714,0.7172772884368896,0.2602115571498871,1,0.027193421497941017,0.945184588432312,0.027621997520327568
42,empty,TABLE A.- TOTAL MERCURY ALLOWANCES ALLOCATED OR AUCTIONED FOR EGUS,Mercury has allowances that are set.,0,standard,0,0.8477513194084167,0.13767819106578827,0.014570517465472221,1,0.23865462839603424,0.739040195941925,0.0223052017390728,1,0.1948196142911911,0.5350878834724426,0.27009251713752747
42,empty,Words that do not fit cannot be returned.,Some words do not fit in the puzzle.,1,standard,1,0.08902792632579803,0.8900980353355408,0.02087397128343582,1,0.3740914463996887,0.6134331226348877,0.012475438416004181,0,0.8920992016792297,0.10364867746829987,0.004252011422067881
42,empty,28 In some cases longer outages are needed.,Sometimes longer outages are needed.,0,standard,0,0.991329550743103,0.008024165406823158,0.0006462877499870956,1,0.05698300898075104,0.9420228600502014,0.0009940823074430227,0,0.9116268754005432,0.08729148656129837,0.001081582042388618
42,empty,"In contrast, the impact of volume is greater in the U.S. than in France because the U.S. has lower postal densities and a greater variation in volumes.",There is a much greater impact of volume in the United States.,0,standard,0,0.9907540082931519,0.007600837852805853,0.0016452402342110872,1,0.0017405636608600616,0.9968372583389282,0.0014221410965546966,1,0.0013878901954740286,0.9958082437515259,0.002803836017847061
42,empty,Dr. Richards never stops astonishing us.,We howled with laughter when we heard Dr. Richards' latest news.,1,standard,1,0.002341475570574403,0.9838877320289612,0.013770826160907745,1,0.0019143691752105951,0.859859049320221,0.13822652399539948,0,0.7647271752357483,0.23235701024532318,0.0029158357065171003
42,empty,So why does Gates produce at such a frantic pace?,The President was wondering why machines in the Gates factory produce at such a high rate.,1,standard,1,0.005371112376451492,0.9902786612510681,0.004350173287093639,1,0.0016529951244592667,0.9872750043869019,0.01107203308492899,1,0.2604391276836395,0.6367944478988647,0.10276640206575394
42,empty,"In most cases, the concentration-response relationship may be overestimated; in other cases, it may be underestimated.",The effects of the concentration-response relationship are rarely overestimated.,2,standard,2,0.03290852904319763,0.027032863348722458,0.9400585889816284,1,0.004058387130498886,0.9933187961578369,0.002622851636260748,0,0.7306057810783386,0.2668382227420807,0.0025559577625244856
42,empty,yeah we have between the spouse and myself we have six,My husband and I have six kids total.,1,standard,1,0.2104000300168991,0.7886956334114075,0.0009043331956490874,1,0.0013083785306662321,0.9887614846229553,0.009930143132805824,1,0.18083298206329346,0.6969971060752869,0.12216998636722565
42,empty,The New Yorker has fought back with special issues--massive tomes about race or Hollywood or the future.,"The New Yorker has fought back with more than 20 special issues, including whole magazines about racism, space travel, and education.",1,standard,1,0.0013164184056222439,0.9900166392326355,0.008666944690048695,1,0.01811009831726551,0.9044283032417297,0.07746157795190811,1,0.006057129241526127,0.9785328507423401,0.015410022810101509
42,empty,Time runs two anti-emotion articles.,Newsweek ran four very emotional articles.,2,standard,2,0.0003408693301025778,0.0025138072669506073,0.9971452355384827,1,0.0014379225904121995,0.9875457882881165,0.01101623848080635,1,0.30863526463508606,0.43708160519599915,0.25428318977355957
42,empty,You have the effrontery to upbraid me because I will not take your hands when I know how they are stained; when I know you for a murderer and worse?   He stared at her open-mouthed.,"He chose to take her hands because they were small, delicate, and most of all, clean.",2,standard,2,0.0005236330325715244,0.005308675579726696,0.994167685508728,1,0.013086006976664066,0.9155932664871216,0.07132070511579514,2,0.011568463407456875,0.43618351221084595,0.5522480607032776
42,empty,‘Swounds! Perhaps you'll explain yourself? Whither has Wolverstone gone?,I want you to explain yourself! I know you know where Wolverstone is.,1,standard,2,0.010570690035820007,0.0317373126745224,0.9576919674873352,1,0.003437308594584465,0.8784946203231812,0.11806812882423401,2,0.013635343872010708,0.1909591257572174,0.7954055666923523
42,empty,"We were somewhat intimidated by the look of it, but we ate it--without enthusiasm, but with the stiff upper lip we had imbibed, so to speak, with our mothers' milk.","We reluctantly ate what was given to us, even though we didn't like the looks of it.",0,standard,0,0.961807370185852,0.03625539690256119,0.0019372748211026192,1,0.0023109831381589174,0.9824315905570984,0.015257450751960278,1,0.0035397440660744905,0.9608932733535767,0.03556698188185692
42,empty,"If you're looking for an evening alternative to Harvard Square, head to Hispanic-flavored Inman Square, located down Cambridge Street.",Harvard Square isn't great at night.,0,standard,0,0.5361606478691101,0.34467512369155884,0.11916427314281464,1,0.016258927062153816,0.916416585445404,0.06732449680566788,1,0.0693119689822197,0.8139482736587524,0.11673974245786667
