seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,empty,This situation could also impact our ability to mount another festival next year.,We might not have another festival next year.,0,standard,2,0.3132949471473694,0.267223984003067,0.4194810688495636,1,0.0018429100746288896,0.9838828444480896,0.014274206012487411,1,0.11409520357847214,0.8782075047492981,0.00769733265042305
42,empty,"You'll return to it at once, and take your crew with you, or else....   But Ogle, violent of mien and gesture, interrupted him.",Ogle had a crew.,0,standard,0,0.9285879135131836,0.05989713594317436,0.011514987796545029,0,0.6860688924789429,0.29533541202545166,0.018595684319734573,1,0.11312656104564667,0.8553165793418884,0.03155691921710968
42,empty,28 In some cases longer outages are needed.,It is never necessary to have outages.,2,standard,2,0.0003375269297976047,0.001829979824833572,0.9978324770927429,1,0.13696373999118805,0.8403424024581909,0.022693820297718048,0,0.9534743428230286,0.043333228677511215,0.003192497882992029
42,empty,Requiring attorneys to monitor the movements of eligible aliens at all times of the year would impose monumental burdens on LSC grantees.,It would be a trivial matter for attorney to monitor eligible aliens at all times.,2,standard,2,0.0009545666398480535,0.0015608281828463078,0.997484564781189,1,0.05079629272222519,0.8852576613426208,0.06394598633050919,0,0.8161274194717407,0.17715051770210266,0.0067220572382211685
42,empty,Figure 3 shows the basic results for the two models.,Figure 3 shows how the models calculate the incomes.,1,standard,1,0.002225901698693633,0.957524299621582,0.040249768644571304,1,0.01689666509628296,0.7601486444473267,0.22295470535755157,0,0.472423791885376,0.44336897134780884,0.0842071995139122
42,empty,"And, uh, they moved downtown and, there was, uh, and it's still like this in Augusta, this big street downtown called Broad Street, and it really was just this broad street in a downtown area.",They went to the street with the most restaurants and bars.,1,standard,1,0.001940137823112309,0.992610514163971,0.005449294578284025,1,0.009119633585214615,0.9841078519821167,0.006772474851459265,0,0.5239063501358032,0.35752207040786743,0.11857153475284576
42,empty,.. why they have so little self-worth that they value the friendship of thieves and killers.,None of their friends are thieves and killers.,2,standard,2,0.0007378220907412469,0.009513321332633495,0.9897488951683044,1,0.07135477662086487,0.8614538908004761,0.06719135493040085,0,0.6028892993927002,0.38322505354881287,0.013885545544326305
42,empty,TABLE A.- TOTAL MERCURY ALLOWANCES ALLOCATED OR AUCTIONED FOR EGUS,Mercury has allowances that are set.,0,standard,0,0.9561653733253479,0.034971028566360474,0.008863651193678379,0,0.68583083152771,0.2795258164405823,0.034643419086933136,0,0.5345101952552795,0.3629458248615265,0.10254403948783875
42,empty,Words that do not fit cannot be returned.,Some words do not fit in the puzzle.,1,standard,1,0.3325500786304474,0.6587992310523987,0.008650721982121468,1,0.38944679498672485,0.6025241613388062,0.008029001764953136,0,0.8881751298904419,0.07005462795495987,0.04177018627524376
42,empty,28 In some cases longer outages are needed.,Sometimes longer outages are needed.,0,standard,0,0.9900229573249817,0.009133726358413696,0.0008434150950051844,0,0.773524284362793,0.2252080738544464,0.0012676387559622526,0,0.9534743428230286,0.043333228677511215,0.003192497882992029
42,empty,"In contrast, the impact of volume is greater in the U.S. than in France because the U.S. has lower postal densities and a greater variation in volumes.",There is a much greater impact of volume in the United States.,0,standard,0,0.7505415678024292,0.05674899369478226,0.19270941615104675,1,0.005810857284814119,0.9740440845489502,0.020145058631896973,1,0.005268747452646494,0.9892874956130981,0.005443749018013477
42,empty,Dr. Richards never stops astonishing us.,We howled with laughter when we heard Dr. Richards' latest news.,1,standard,1,0.009612674824893475,0.9469043612480164,0.04348291456699371,1,0.009824048727750778,0.7867165207862854,0.20345939695835114,0,0.8826540112495422,0.10750242322683334,0.009843477047979832
42,empty,So why does Gates produce at such a frantic pace?,The President was wondering why machines in the Gates factory produce at such a high rate.,1,standard,1,0.009764493443071842,0.9858136773109436,0.004421819467097521,1,0.004027593415230513,0.9741201996803284,0.021852221339941025,0,0.6583201289176941,0.3345555067062378,0.0071244025602936745
42,empty,"In most cases, the concentration-response relationship may be overestimated; in other cases, it may be underestimated.",The effects of the concentration-response relationship are rarely overestimated.,2,standard,2,0.00540559459477663,0.15813599526882172,0.8364583849906921,1,0.032226819545030594,0.9620161056518555,0.0057571264915168285,0,0.7243393063545227,0.27088016271591187,0.0047806003130972385
42,empty,yeah we have between the spouse and myself we have six,My husband and I have six kids total.,1,standard,1,0.01657729595899582,0.9659295082092285,0.017493151128292084,1,0.009393339045345783,0.9620435237884521,0.028563056141138077,0,0.7190824747085571,0.22554005682468414,0.055377524346113205
