seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,empty,This situation could also impact our ability to mount another festival next year.,We might not have another festival next year.,0,standard,0,0.9881567358970642,0.010527544654905796,0.00131562992464751,1,0.00014855280460324138,0.9993815422058105,0.0004698620759882033,1,0.0002364855317864567,0.997901439666748,0.0018620836781337857
42,empty,"You'll return to it at once, and take your crew with you, or else....   But Ogle, violent of mien and gesture, interrupted him.",Ogle had a crew.,0,standard,0,0.9966844916343689,0.0029782101046293974,0.00033732803422026336,1,0.48174306750297546,0.5165870189666748,0.001669910503551364,1,0.0002748215338215232,0.9994611144065857,0.0002640526508912444
42,empty,28 In some cases longer outages are needed.,It is never necessary to have outages.,2,standard,2,8.142334991134703e-05,0.0008524862350896001,0.9990660548210144,1,0.001412091893143952,0.9958107471466064,0.0027771643362939358,1,0.0022809274960309267,0.9957448840141296,0.001974147744476795
42,empty,Requiring attorneys to monitor the movements of eligible aliens at all times of the year would impose monumental burdens on LSC grantees.,It would be a trivial matter for attorney to monitor eligible aliens at all times.,2,standard,2,7.179056410677731e-05,0.0003380647103767842,0.9995900988578796,1,0.0006708442815579474,0.9991248250007629,0.00020441396918613464,1,0.021382302045822144,0.9782823920249939,0.00033531166263855994
42,empty,Figure 3 shows the basic results for the two models.,Figure 3 shows how the models calculate the incomes.,1,standard,1,0.00024225462402682751,0.999330997467041,0.0004267177719157189,1,0.0003905541670974344,0.9985413551330566,0.0010681506246328354,1,0.00020601265714503825,0.9991399049758911,0.0006540110916830599
42,empty,"And, uh, they moved downtown and, there was, uh, and it's still like this in Augusta, this big street downtown called Broad Street, and it really was just this broad street in a downtown area.",They went to the street with the most restaurants and bars.,1,standard,1,0.00010032044519903138,0.9997557997703552,0.00014385061513166875,1,0.0005109509220346808,0.9992125034332275,0.0002764544915407896,1,0.019815335050225258,0.9792137742042542,0.0009709010482765734
42,empty,.. why they have so little self-worth that they value the friendship of thieves and killers.,None of their friends are thieves and killers.,2,standard,2,6.27939443802461e-05,0.000530578603502363,0.9994065761566162,1,0.00041744517511688173,0.9991430044174194,0.0004395075957290828,1,0.0005638568545691669,0.9881026148796082,0.011333449743688107
42,empty,TABLE A.- TOTAL MERCURY ALLOWANCES ALLOCATED OR AUCTIONED FOR EGUS,Mercury has allowances that are set.,0,standard,0,0.9702677726745605,0.017674598842859268,0.012057570740580559,1,0.005110862664878368,0.9940787553787231,0.000810487661510706,1,0.03188960254192352,0.6687747836112976,0.2993355989456177
42,empty,Words that do not fit cannot be returned.,Some words do not fit in the puzzle.,1,standard,1,0.01428971067070961,0.9851521253585815,0.0005582416197285056,1,0.007156772073358297,0.9910538792610168,0.001789375557564199,0,0.9617097973823547,0.025378776714205742,0.012911361642181873
42,empty,28 In some cases longer outages are needed.,Sometimes longer outages are needed.,0,standard,0,0.9977484345436096,0.001984345493838191,0.0002673050621524453,1,0.001287825987674296,0.9980389475822449,0.0006732885958626866,1,0.0022809274960309267,0.9957448840141296,0.001974147744476795
42,empty,"In contrast, the impact of volume is greater in the U.S. than in France because the U.S. has lower postal densities and a greater variation in volumes.",There is a much greater impact of volume in the United States.,0,standard,0,0.9944241642951965,0.004041518550366163,0.0015343263512477279,1,0.0010037635220214725,0.9987653493881226,0.00023090325703378767,1,0.0010975816985592246,0.9981147050857544,0.0007876412128098309
