seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,mask,The actor by the professor waited .,The professor waited .,2,subsequence,0,0.8382051587104797,0.03081657737493515,0.13097824156284332,1,0.07874904572963715,0.6385026574134827,0.2827482521533966,1,0.46003636717796326,0.4658150374889374,0.07414860278367996
42,mask,The professor and the judge thanked the actor .,The judge thanked the professor .,2,lexical_overlap,2,0.0024912001099437475,0.0025860227178782225,0.9949228167533875,1,0.013873645104467869,0.9206108450889587,0.06551554054021835,1,0.16495884954929352,0.7803221344947815,0.054718997329473495
42,mask,The students recognized the author studied in the laboratory .,The author studied in the laboratory .,2,subsequence,0,0.9353894591331482,0.06272567808628082,0.001884876168332994,1,0.01908998005092144,0.79833984375,0.18257014453411102,1,0.17925657331943512,0.788794755935669,0.03194867819547653
42,mask,Clearly the lawyers helped the senators .,The lawyers helped the senators .,0,constituent,0,0.9892776012420654,0.009950949810445309,0.0007715618703514338,1,0.006854735780507326,0.9671126008033752,0.026032673195004463,1,0.07422055304050446,0.9112452268600464,0.014534283429384232
42,mask,The actors left the island .,The actors left .,0,subsequence,0,0.994506299495697,0.004562977235764265,0.0009307704749517143,1,0.14882197976112366,0.48441147804260254,0.36676648259162903,1,0.2729683816432953,0.605622410774231,0.12140920758247375
42,mask,Happy senators encouraged the student .,Senators encouraged the student .,0,subsequence,0,0.996222734451294,0.003361727576702833,0.00041557083022780716,1,0.05479075759649277,0.8380647897720337,0.10714448243379593,1,0.4295879602432251,0.5390454530715942,0.03136654570698738
42,mask,The lawyers ate the salad .,The lawyers ate .,0,subsequence,0,0.9945770502090454,0.004907391965389252,0.0005155643448233604,2,0.022190053015947342,0.16943709552288055,0.8083728551864624,1,0.16343680024147034,0.6086088418960571,0.22795437276363373
42,mask,The judge next to the senator called the professors .,The judge called the professors .,0,lexical_overlap,0,0.9855495095252991,0.012622511945664883,0.0018280188087373972,1,0.049776602536439896,0.6457012295722961,0.3045221269130707,1,0.20844413340091705,0.43743857741355896,0.3541173040866852
42,mask,"The banker advised the presidents , and the judge supported the actor .",The judge supported the actor .,0,constituent,0,0.9980930685997009,0.0013577145291492343,0.0005491673946380615,1,0.036396101117134094,0.921595573425293,0.04200833663344383,2,0.16650128364562988,0.2854717969894409,0.548026978969574
42,mask,Of course the tourists resigned .,The tourists resigned .,0,constituent,0,0.9900345206260681,0.008337474428117275,0.0016279947012662888,2,0.0317624993622303,0.32867875695228577,0.639558732509613,1,0.19737444818019867,0.6521522998809814,0.1504732370376587
