seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,neutral,This situation could also impact our ability to mount another festival next year.,We might not have another festival next year.,0,standard,0,0.9881567358970642,0.010527544654905796,0.00131562992464751,1,0.00016664076247252524,0.9994781613349915,0.000355177849996835,1,0.3103143274784088,0.48231241106987,0.20737324655056
42,neutral,"You'll return to it at once, and take your crew with you, or else....   But Ogle, violent of mien and gesture, interrupted him.",Ogle had a crew.,0,standard,0,0.9966844916343689,0.0029782101046293974,0.00033732803422026336,1,0.00010686547466320917,0.9997294545173645,0.0001635714725125581,0,0.589476466178894,0.3818225562572479,0.028700964525341988
42,neutral,28 In some cases longer outages are needed.,It is never necessary to have outages.,2,standard,2,8.142334991134703e-05,0.0008524862350896001,0.9990660548210144,1,0.00026896147755905986,0.9992412328720093,0.0004897753242403269,2,0.001094340463168919,0.004771912004798651,0.9941337704658508
42,neutral,Requiring attorneys to monitor the movements of eligible aliens at all times of the year would impose monumental burdens on LSC grantees.,It would be a trivial matter for attorney to monitor eligible aliens at all times.,2,standard,2,7.179056410677731e-05,0.0003380647103767842,0.9995900988578796,1,0.0001282987796002999,0.9987986087799072,0.0010730659123510122,2,0.03227878734469414,0.2119477391242981,0.7557734847068787
42,neutral,Figure 3 shows the basic results for the two models.,Figure 3 shows how the models calculate the incomes.,1,standard,1,0.00024225462402682751,0.999330997467041,0.0004267177719157189,1,0.00010279662092216313,0.999417781829834,0.00047944512334652245,2,0.2762690782546997,0.31991586089134216,0.40381503105163574
42,neutral,"And, uh, they moved downtown and, there was, uh, and it's still like this in Augusta, this big street downtown called Broad Street, and it really was just this broad street in a downtown area.",They went to the street with the most restaurants and bars.,1,standard,1,0.00010032044519903138,0.9997557997703552,0.00014385061513166875,1,0.00011604858445934951,0.9997329115867615,0.00015103837358765304,0,0.9136164784431458,0.0567014217376709,0.029682062566280365
42,neutral,.. why they have so little self-worth that they value the friendship of thieves and killers.,None of their friends are thieves and killers.,2,standard,2,6.27939443802461e-05,0.000530578603502363,0.9994065761566162,1,0.00011722043564077467,0.9975693821907043,0.0023133177310228348,2,0.001047898200340569,0.0033823326230049133,0.9955697655677795
42,neutral,TABLE A.- TOTAL MERCURY ALLOWANCES ALLOCATED OR AUCTIONED FOR EGUS,Mercury has allowances that are set.,0,standard,0,0.9702677726745605,0.017674598842859268,0.012057570740580559,1,0.0005742710782214999,0.998904824256897,0.0005208442453294992,2,0.20320922136306763,0.38136088848114014,0.4154299795627594
42,neutral,Words that do not fit cannot be returned.,Some words do not fit in the puzzle.,1,standard,1,0.01428971067070961,0.9851521253585815,0.0005582416197285056,1,0.003265512641519308,0.9601638913154602,0.03657055273652077,2,0.024730868637561798,0.055948998779058456,0.9193201661109924
42,neutral,28 In some cases longer outages are needed.,Sometimes longer outages are needed.,0,standard,0,0.9977484345436096,0.001984345493838191,0.0002673050621524453,1,0.00024102508905343711,0.9992581009864807,0.0005009536980651319,2,0.001094340463168919,0.004771912004798651,0.9941337704658508
