seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,neutral,Two people sit facing away in a downtown scene with a motorcycle parked in front of a pool,The two people run as quickly as they can for shelter as the storm picks up and begins swirling all around them.,2,standard,2,2.2123003873275593e-05,0.00025969246053136885,0.9997181296348572,2,0.0019014733843505383,0.4317941665649414,0.5663043856620789,0,0.7663629651069641,0.21252495050430298,0.021112091839313507
42,neutral,A white dog with brown ears runs down a gravel path with a ball in its mouth.,A dog runs down a path with a green ball.,1,standard,1,0.0010368446819484234,0.9943220615386963,0.00464110029861331,2,0.00019884045468643308,0.003313562134280801,0.9964876174926758,0,0.7528454065322876,0.08581691980361938,0.1613377034664154
42,neutral,"Six men, all wearing identifying number plaques, are participating in an outdoor race.",a number of guys wearing numbers race outside,0,standard,0,0.9936068058013916,0.005911361426115036,0.0004818424058612436,1,0.00547293433919549,0.915706217288971,0.07882089167833328,0,0.9227769374847412,0.07237828522920609,0.0048447600565850735
42,neutral,Five children of Indian origin are smiling and posing on a slide.,Children are on a slide.,0,standard,0,0.9950450658798218,0.004297518637031317,0.0006574246799573302,2,0.0007429084507748485,0.016087567433714867,0.983169436454773,0,0.9074552655220032,0.06686540693044662,0.025679301470518112
42,neutral,Kids are on a amusement ride.,Kids ride their favorite amusement ride.,1,standard,1,0.003749371971935034,0.9961146116256714,0.00013602813123725355,2,0.03551119565963745,0.3455493450164795,0.6189394593238831,0,0.506807804107666,0.14847706258296967,0.34471508860588074
42,neutral,A black dog running in the snow by some trees.,a dog sitting at the beach,2,standard,2,0.00011296571756247431,0.000665540574118495,0.9992215633392334,2,0.001963929971680045,0.41929131746292114,0.5787447690963745,0,0.8541777729988098,0.11216317862272263,0.033659033477306366
42,neutral,A group of women in white robes walk through the grass.,women walk through the sand,2,standard,2,0.0006255296757444739,0.002878521801903844,0.9964959025382996,1,0.013889272697269917,0.7241623997688293,0.2619483470916748,0,0.8005236387252808,0.19202478229999542,0.007451510522514582
42,neutral,One little toddler wearing blue pajamas and a little girl wearing red pajamas opening presents on christmas day.,Two small children are unhappy with the opening of their presents.,1,standard,1,0.004516574554145336,0.9586734175682068,0.03681006282567978,1,0.006629170849919319,0.542933464050293,0.45043736696243286,0,0.5813360214233398,0.14430762827396393,0.27435633540153503
42,neutral,"Two children examine a stack of books and games, including the game ""Poncho Pal,"" next to a piece of furniture.",Two children are looking for something to do.,1,standard,1,0.29281213879585266,0.7069363594055176,0.0002514497027732432,2,0.001336167217232287,0.10089962929487228,0.8977642059326172,0,0.4105847477912903,0.37823793292045593,0.21117724478244781
42,neutral,A group of people is gathered around a table of food with their arms around each other.,A group of people are gather around a meeting room table.,1,standard,2,0.003831347916275263,0.3784281015396118,0.6177405118942261,1,0.02200632356107235,0.9234490990638733,0.05454458296298981,1,0.39481687545776367,0.44070887565612793,0.16447420418262482
42,neutral,A man in the middle east with a corn-on-the-cob cart selling corn.,An old middle eastern man is selling corn-on-the-cob from his brother's cart.,1,standard,1,0.0002736800815910101,0.9701706767082214,0.029555615037679672,1,0.001768970862030983,0.9581132531166077,0.040117766708135605,0,0.9697219729423523,0.028745608404278755,0.0015324190026149154
42,neutral,A cute puppy fetches a yellow ring chew toy in the yard.,A puppy plays fetch.,0,standard,0,0.9937872886657715,0.006012944038957357,0.00019977269403170794,2,0.00012746677384711802,0.0042495508678257465,0.9956229329109192,0,0.5959200263023376,0.07895393669605255,0.3251260221004486
