premise,hypothesis,gold_label,heuristic,pred_full,pred_hyp_only,pred_prem_only
The actor by the professor waited .,The professor waited .,2,subsequence,0,1,0
The professor and the judge thanked the actor .,The judge thanked the professor .,2,lexical_overlap,0,1,2
The students recognized the author studied in the laboratory .,The author studied in the laboratory .,2,subsequence,0,1,1
Clearly the lawyers helped the senators .,The lawyers helped the senators .,0,constituent,0,1,2
The actors left the island .,The actors left .,0,subsequence,0,0,0
Happy senators encouraged the student .,Senators encouraged the student .,0,subsequence,0,1,0
The lawyers ate the salad .,The lawyers ate .,0,subsequence,0,2,2
The judge next to the senator called the professors .,The judge called the professors .,0,lexical_overlap,0,2,2
"The banker advised the presidents , and the judge supported the actor .",The judge supported the actor .,0,constituent,0,1,2
Of course the tourists resigned .,The tourists resigned .,0,constituent,0,1,1
"If the lawyers introduced the managers , the scientists shouted .",The scientists shouted .,2,constituent,0,0,2
"The actor resigned , and the tourists advised the banker .",The tourists advised the banker .,0,constituent,0,2,2
The banker and the presidents stopped the scientists .,The banker stopped the scientists .,0,lexical_overlap,0,1,0
The lawyers who called the manager believed the authors .,The manager believed the lawyers .,2,lexical_overlap,0,1,2
The lawyer was advised by the secretary .,The lawyer advised the secretary .,2,lexical_overlap,0,2,2
The judges and the athlete advised the secretaries .,The judges advised the secretaries .,0,lexical_overlap,0,2,2
The doctor behind the tourist recommended the actors .,The doctor recommended the actors .,0,lexical_overlap,0,1,2
The actor knew that the judges ran .,The judges ran .,0,constituent,0,2,0
The doctors who recognized the scientists contacted the secretary .,The doctors contacted the secretary .,0,lexical_overlap,0,2,2
The bankers saw the president by the author .,The bankers saw the president .,0,subsequence,0,1,2
"Since the professors saw the students , the managers called the artists .",The managers called the artists .,0,constituent,0,1,2
Important secretaries introduced the scientist .,Secretaries introduced the scientist .,0,subsequence,0,2,2
The student who admired the athletes supported the scientists .,The scientists supported the student .,2,lexical_overlap,0,1,0
The secretaries explored the forest .,The secretaries explored .,0,subsequence,0,1,1
The actors by the professor avoided the authors .,The professor avoided the authors .,2,subsequence,0,1,0
"Because the tourist contacted the artist , the presidents saw the authors .",The tourist contacted the artist .,0,constituent,0,1,2
The senator supported the banker who the artist called .,The banker supported the senator .,2,lexical_overlap,0,1,2
Supposedly the banker encouraged the secretaries .,The banker encouraged the secretaries .,2,constituent,0,2,2
The actors that mentioned the professor avoided the secretary .,The professor avoided the actors .,2,lexical_overlap,0,2,0
The professor and the senators saw the scientists .,The professor saw the scientists .,0,lexical_overlap,0,1,2
The secretary claimed that the bankers waited .,The bankers waited .,2,constituent,0,1,1
The secretaries advised the professor behind the president .,The secretaries advised the professor .,0,subsequence,0,1,2
The tourist by the student thanked the secretaries .,The tourist thanked the secretaries .,0,lexical_overlap,0,2,2
The author was mentioned by the judge .,The author mentioned the judge .,2,lexical_overlap,0,1,0
After the professor stopped the judges waited .,The professor stopped the judges .,2,subsequence,0,1,2
The lawyers and the students recommended the athletes .,The lawyers recommended the athletes .,0,lexical_overlap,0,2,2
The author helped the tourists that shouted .,The author helped the tourists .,0,subsequence,0,1,1
The judge and the presidents recognized the lawyers .,The judge recognized the lawyers .,0,lexical_overlap,0,1,2
"Since the tourist waited , the senators supported the lawyer .",The tourist waited .,0,constituent,0,1,1
"Though the banker encouraged the managers , the senators admired the presidents .",The senators admired the presidents .,0,constituent,0,1,2
The artists believed the doctor ran .,The artists believed the doctor .,2,subsequence,0,1,2
The athletes won the competition .,The athletes won .,0,subsequence,0,1,0
The scientists assumed that the bankers mentioned the managers .,The bankers mentioned the managers .,2,constituent,0,1,2
The scientists recognized the banker and the athlete .,The banker recognized the athlete .,2,lexical_overlap,0,1,2
"While the authors slept , the managers contacted the lawyer .",The authors slept .,0,constituent,0,1,1
The students thanked the scientist next to the tourists .,The tourists thanked the students .,2,lexical_overlap,0,1,1
The artists knew the presidents avoided the lawyer .,The artists knew the presidents .,2,subsequence,0,1,1
"The tourists advised the professors , or the senator saw the authors .",The senator saw the authors .,2,constituent,0,1,2
The lawyer mentioned the scientists who the managers introduced .,The scientists mentioned the managers .,2,lexical_overlap,0,1,2
The presidents ate the ice cream .,The presidents ate .,0,subsequence,0,0,2
Hopefully the manager shouted .,The manager shouted .,2,constituent,0,1,0
The lawyer avoided the judges in front of the banker .,The judges avoided the banker .,2,lexical_overlap,0,1,2
Definitely the managers encouraged the scientist .,The managers encouraged the scientist .,0,constituent,0,1,2
The professor in front of the lawyer supported the scientists .,The professor supported the scientists .,0,lexical_overlap,0,1,1
The scientists were admired by the professors .,The scientists admired the professors .,2,lexical_overlap,0,1,1
The presidents heard the bankers performed .,The presidents heard the bankers .,2,subsequence,0,1,0
The athletes mentioned the bankers and the secretary .,The athletes mentioned the secretary .,0,lexical_overlap,2,1,2
The scientists were mentioned by the artists .,The scientists mentioned the artists .,2,lexical_overlap,0,2,2
"Since the secretary shouted , the student contacted the scientists .",The secretary shouted .,0,constituent,0,1,1
The banker contacted the author who stopped the athlete .,The author stopped the athlete .,0,lexical_overlap,0,2,2
The artists next to the secretaries thanked the lawyers .,The secretaries thanked the artists .,2,lexical_overlap,2,1,2
"Unless the doctor shouted , the presidents danced .",The presidents danced .,2,constituent,0,1,2
The president near the author avoided the artist .,The author avoided the artist .,2,subsequence,0,2,1
Supposedly the student mentioned the tourist .,The student mentioned the tourist .,2,constituent,0,1,1
The senator believed the tourists waited .,The senator believed the tourists .,2,subsequence,0,1,0
"Unless the students thanked the secretary , the tourist introduced the judge .",The students thanked the secretary .,2,constituent,2,2,2
The doctors were supported by the athletes .,The doctors supported the athletes .,2,lexical_overlap,0,1,2
The student saw the actor that introduced the president .,The student saw the actor .,0,subsequence,0,1,1
The tourists behind the actor recommended the authors .,The tourists recommended the authors .,0,lexical_overlap,0,1,1
The doctors behind the banker resigned .,The banker resigned .,2,subsequence,0,1,0
The professors assumed that the students encouraged the actors .,The students encouraged the actors .,2,constituent,0,1,1
The actor that helped the judge arrived .,The judge arrived .,2,subsequence,0,0,0
"After the athletes admired the senators , the scientists supported the artists .",The athletes admired the senators .,0,constituent,0,1,2
After the tourist presented the artists saw the lawyers .,The tourist presented the artists .,2,subsequence,2,1,2
The lawyer that the presidents believed admired the students .,The presidents believed the lawyer .,0,lexical_overlap,0,1,2
The president helped the lawyers behind the manager .,The president helped the lawyers .,0,subsequence,0,1,2
The lawyer in front of the president contacted the senator .,The lawyer contacted the senator .,0,lexical_overlap,0,2,2
The authors knew the judges shouted .,The authors knew the judges .,2,subsequence,0,1,0
The senator knew the doctor performed .,The senator knew the doctor .,2,subsequence,0,1,0
The presidents saw the artists and the student .,The presidents saw the artists .,0,subsequence,0,1,2
The doctors and the tourist supported the scientists .,The doctors supported the tourist .,2,lexical_overlap,0,1,0
The artist next to the bankers saw the president .,The artist saw the president .,0,lexical_overlap,0,1,1
The author was recommended by the presidents .,The presidents recommended the author .,0,lexical_overlap,0,1,1
Important doctors introduced the actors .,Doctors introduced the actors .,0,subsequence,0,2,0
"Unless the senators advised the professor , the artist saw the students .",The artist saw the students .,2,constituent,0,1,2
"Whether or not the students performed , the secretary mentioned the scientists .",The secretary mentioned the scientists .,0,constituent,0,1,0
The manager mentioned the lawyers next to the actors .,The lawyers mentioned the manager .,2,lexical_overlap,0,2,2
The tourist who introduced the bankers encouraged the presidents .,The tourist introduced the bankers .,0,lexical_overlap,0,2,2
The tourist and the author ran .,The author ran .,0,subsequence,0,1,0
"After the artist admired the senator , the lawyer thanked the bankers .",The artist admired the senator .,0,constituent,0,1,2
The judge believed the actors and the professors .,The judge believed the professors .,0,lexical_overlap,0,1,2
"The secretary called the scientists , and the actors shouted .",The secretary called the scientists .,0,constituent,0,1,2
The judge that believed the senators shouted .,The senators shouted .,2,subsequence,0,1,1
The scientist behind the student helped the judges .,The student helped the judges .,2,subsequence,0,1,2
"Though the tourists danced , the judge ran .",The tourists danced .,0,constituent,0,1,2
Of course the secretary recommended the authors .,The secretary recommended the authors .,0,constituent,0,1,1
The actor advised the managers by the student .,The actor advised the managers .,0,subsequence,0,1,2
Serious actors mentioned the athlete .,Actors mentioned the athlete .,0,subsequence,0,1,0
The authors by the athletes slept .,The athletes slept .,2,subsequence,0,1,2
"If the judge saw the president , the senator arrived .",The senator arrived .,2,constituent,0,0,2
"Whether or not the scientists believed the author , the judge danced .",The scientists believed the author .,2,constituent,1,1,2
The students thanked the president .,The president thanked the students .,2,lexical_overlap,0,1,2
Suddenly the lawyers encouraged the tourist .,The lawyers encouraged the tourist .,0,constituent,0,1,1
The president that the banker mentioned recommended the doctor .,The doctor recommended the banker .,2,lexical_overlap,2,1,2
The professors behind the doctor admired the banker .,The professors admired the banker .,0,lexical_overlap,0,1,2
Maybe the president avoided the secretary .,The president avoided the secretary .,2,constituent,0,1,1
"The senator encouraged the lawyers , or the doctors arrived .",The senator encouraged the lawyers .,2,constituent,0,1,2
The lawyer was supported by the president .,The president supported the lawyer .,0,lexical_overlap,0,1,1
The managers avoided the secretaries who the bankers saw .,The bankers avoided the managers .,2,lexical_overlap,0,1,1
The presidents who helped the lawyer resigned .,The lawyer resigned .,2,subsequence,0,1,1
Suddenly the athlete shouted .,The athlete shouted .,0,constituent,0,0,0
"The authors thanked the athletes , or the manager mentioned the tourists .",The authors thanked the athletes .,2,constituent,0,1,1
The athlete presented in the laboratory performed .,The athlete presented in the laboratory .,2,subsequence,0,1,0
The scientists by the authors believed the lawyers .,The scientists believed the lawyers .,0,lexical_overlap,0,2,2
When the senators stopped the artist arrived .,The senators stopped the artist .,2,subsequence,0,2,0
The secretaries that the athletes stopped helped the student .,The secretaries helped the student .,0,lexical_overlap,0,1,1
"The senator recognized the tourist , and the bankers performed .",The bankers performed .,0,constituent,0,0,2
Maybe the students performed .,The students performed .,2,constituent,1,1,0
The athletes said that the scientist danced .,The scientist danced .,2,constituent,0,2,2
Since the judge studied the senator encouraged the artist .,The judge studied the senator .,2,subsequence,0,2,1
"After the lawyers mentioned the authors , the judges recognized the student .",The judges recognized the student .,0,constituent,0,1,2
The athletes supported the presidents and the lawyer .,The athletes supported the presidents .,0,subsequence,0,1,2
The author read the book .,The author read .,0,subsequence,0,0,1
The lawyer and the tourist mentioned the bankers .,The lawyer mentioned the bankers .,0,lexical_overlap,0,2,2
