seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,neutral,The new rights are nice enough,Everyone really likes the newest benefits ,1,standard,1,0.009955179877579212,0.9876682162284851,0.0023765761870890856,1,0.0010989505099132657,0.9934385418891907,0.005462502595037222,0,0.8178486227989197,0.151016503572464,0.03113483637571335
42,neutral,This site includes a list of all award winners and a searchable database of Government Executive articles.,The Government Executive articles housed on the website are not able to be searched.,2,standard,2,0.0003242630045861006,0.001313806977123022,0.9983618855476379,1,0.016880499199032784,0.8013761043548584,0.18174344301223755,0,0.9529942274093628,0.027276979759335518,0.01972873881459236
42,neutral,uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him,"I like him for the most part, but would still enjoy seeing someone beat him.",0,standard,0,0.9262862205505371,0.0707072839140892,0.0030065972823649645,1,0.0009805643931031227,0.9843887090682983,0.014630787074565887,0,0.9313264489173889,0.063109390437603,0.005564132239669561
42,neutral,yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food,My favorite restaurants are always at least a hundred miles away from my house. ,2,standard,2,0.00042441836558282375,0.004408875480294228,0.9951666593551636,2,0.0005380473448894918,0.014696006663143635,0.9847660064697266,0,0.8226001262664795,0.1511952131986618,0.026204684749245644
42,neutral,i don't know um do you do a lot of camping,I know exactly.,2,standard,2,0.00023014028556644917,0.0006620815838687122,0.9991077780723572,1,0.0201775711029768,0.8860457539558411,0.09377674013376236,0,0.975811243057251,0.01575097255408764,0.008437857031822205
42,neutral,well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be,We have plenty of space in the landfill.,2,standard,2,0.0004353172844275832,0.0007462395005859435,0.9988184571266174,2,0.0017463711556047201,0.07967159897089005,0.9185820817947388,0,0.8251591920852661,0.06816128641366959,0.1066795065999031
42,neutral,yeah i know and i did that all through college and it worked too,I did that all through college but it never worked ,2,standard,2,0.0002968086046166718,0.0007821327308192849,0.9989211559295654,1,0.0012658669147640467,0.6098402142524719,0.3888939917087555,0,0.8373607397079468,0.1365126371383667,0.026126621291041374
42,neutral,"Calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of Satyajit Ray or Mrinal Sen shown in Europe or North America than in India itself.",Most of Mrinal Sen's work can be found in European collections.,1,standard,1,0.014291607774794102,0.9120184779167175,0.07368993759155273,1,0.0011425092816352844,0.9887104630470276,0.010147002525627613,0,0.9187792539596558,0.0624784454703331,0.0187422726303339
42,neutral,"If that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.",THe strike price could be $8.,2,standard,2,0.009708812460303307,0.05691354721784592,0.9333776235580444,1,0.0024948595091700554,0.9765833616256714,0.020921776071190834,0,0.7995240092277527,0.14438244700431824,0.05609354376792908
42,neutral,"3)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?",Would you rise up and defeaat all evil lords in the town?,1,standard,1,0.011743905954062939,0.9553148150444031,0.032941315323114395,2,0.0024367806036025286,0.29975640773773193,0.6978068947792053,0,0.8720678091049194,0.0719660148024559,0.05596613138914108
42,neutral,"The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.","Go downwards to one of the gates, all of which will lead you into the cathedral.",2,standard,0,0.5434024333953857,0.07293626666069031,0.38366127014160156,1,0.004524548538029194,0.5383226275444031,0.4571528434753418,0,0.7630277276039124,0.1177903488278389,0.11918187886476517
42,neutral,The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.,The Tamils' bhakti movement froze the previously warm ritual of Hinduism.,2,standard,2,0.0005544577725231647,0.0011421184753999114,0.9983034133911133,1,0.0030125854536890984,0.885982871055603,0.11100450903177261,0,0.8774839639663696,0.08166380226612091,0.040852271020412445
42,neutral,see now in a situation like that the boys are only sixteen years old and they were sexually involved with her and i think like at that particular point she was twenty three you know so she wasn't really that much older than them and being a boy at that age i think that they're very um you know let's face it that's at a point in your life when you you're just starting to realize all the things of life,Everyone involved was the same age.,2,standard,2,0.0006525653880089521,0.0071121868677437305,0.9922352433204651,1,0.0021803558338433504,0.953536331653595,0.044283270835876465,0,0.8882482647895813,0.09071069955825806,0.02104104682803154
42,neutral,"You and your friends are not welcome here, said Severn.",Severn said the people were not welcome there.,0,standard,0,0.9924072623252869,0.007005865219980478,0.0005868577281944454,2,0.0017852141754701734,0.16134808957576752,0.8368667364120483,0,0.9386472702026367,0.05166640505194664,0.00968637503683567
42,neutral,um-hum um-hum yeah well uh i can see you know it's it's it's it's kind of funny because we it seems like we loan money you know we money with strings attached and if the government changes and the country that we loan the money to um i can see why the might have a different attitude towards paying it back it's a lot us that  you know we don't really loan money to to countries we loan money to governments and it's the,We don't loan a lot of money.,1,standard,2,0.2945740818977356,0.23233719170093536,0.4730886220932007,1,0.01838969625532627,0.844070553779602,0.13753975927829742,0,0.7051208019256592,0.2586953639984131,0.03618386387825012
42,neutral,i'm not sure what the overnight low was,I don't know how cold it got last night.,0,standard,0,0.8308824300765991,0.1642358899116516,0.00488173495978117,2,0.0017790287965908647,0.053841590881347656,0.9443793296813965,0,0.7908260822296143,0.13944914937019348,0.0697246864438057
