seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,mask,The new rights are nice enough,Everyone really likes the newest benefits ,1,standard,2,0.0009576381999067962,0.0021272702142596245,0.9969151020050049,2,0.0010008573299273849,0.03455217555165291,0.964447021484375,2,0.0019603155087679625,0.0006072012474760413,0.9974324107170105
42,mask,This site includes a list of all award winners and a searchable database of Government Executive articles.,The Government Executive articles housed on the website are not able to be searched.,2,standard,2,2.1685855244868435e-06,2.542872336308566e-11,0.9999978542327881,1,1.909130165334423e-24,1.0,7.216473695713259e-33,2,0.002118190983310342,0.0006247004494071007,0.9972570538520813
42,mask,uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him,"I like him for the most part, but would still enjoy seeing someone beat him.",0,standard,2,0.029684264212846756,0.00045810206211172044,0.9698576331138611,1,1.4513277394171267e-22,1.0,1.6791700197993444e-29,2,0.0021372477058321238,0.00046598247718065977,0.9973968267440796
42,mask,yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food,My favorite restaurants are always at least a hundred miles away from my house. ,2,standard,2,0.0010205792495980859,0.0016019220929592848,0.9973775148391724,1,2.318478569308337e-24,1.0,9.949307043543069e-33,2,0.0023124604485929012,0.0005583453457802534,0.9971292614936829
42,mask,i don't know um do you do a lot of camping,I know exactly.,2,standard,2,3.4804106263663925e-08,2.397043352853321e-17,1.0,2,0.0002472892520017922,0.00022586742124985904,0.999526858329773,2,0.0029949594754725695,0.0015065132174640894,0.995498538017273
42,mask,well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be,We have plenty of space in the landfill.,2,standard,2,9.373155762659735e-08,2.972738435800475e-18,0.9999998807907104,1,1.0962286296489765e-06,0.9999293088912964,6.956016295589507e-05,2,0.004121020436286926,0.001527984393760562,0.9943510293960571
42,mask,yeah i know and i did that all through college and it worked too,I did that all through college but it never worked ,2,standard,2,7.949803375595366e-07,4.508975224443157e-12,0.9999991655349731,1,1.8278859723513898e-24,1.0,6.737330443374586e-33,2,0.0005430220626294613,1.7551137716509402e-05,0.9994394183158875
42,mask,"Calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of Satyajit Ray or Mrinal Sen shown in Europe or North America than in India itself.",Most of Mrinal Sen's work can be found in European collections.,1,standard,2,0.002832989674061537,0.00356665370054543,0.9936003684997559,1,2.0488482232662475e-22,1.0,2.3733630423102168e-29,2,0.007019342388957739,0.0011905550491064787,0.9917900562286377
42,mask,"If that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.",THe strike price could be $8.,2,standard,2,0.00037091138074174523,0.00014719212776981294,0.9994819760322571,1,6.391540097183679e-08,0.999998927116394,1.011752715385228e-06,2,0.003180349711328745,0.0017377414042130113,0.995081901550293
42,mask,"3)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?",Would you rise up and defeaat all evil lords in the town?,1,standard,2,0.0013576726196333766,0.002437871415168047,0.9962045550346375,1,1.830719166292491e-24,1.0,6.756169944398421e-33,2,0.0015519921435043216,0.0013376942370086908,0.9971103072166443
42,mask,"The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.","Go downwards to one of the gates, all of which will lead you into the cathedral.",2,standard,2,0.005521731451153755,6.398390542017296e-05,0.994414210319519,1,1.868173295996253e-24,1.0,6.98346206270548e-33,2,0.0029960365500301123,0.0007271309732459486,0.9962769150733948
42,mask,The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.,The Tamils' bhakti movement froze the previously warm ritual of Hinduism.,2,standard,2,1.5031685506983195e-05,7.559889381170137e-10,0.9999849796295166,1,9.3528794873488e-21,1.0,2.0499932669496084e-26,2,0.006315369158983231,0.0007947898702695966,0.9928897619247437
42,mask,see now in a situation like that the boys are only sixteen years old and they were sexually involved with her and i think like at that particular point she was twenty three you know so she wasn't really that much older than them and being a boy at that age i think that they're very um you know let's face it that's at a point in your life when you you're just starting to realize all the things of life,Everyone involved was the same age.,2,standard,2,2.1990454115439206e-05,6.398575891353175e-09,0.9999780654907227,2,0.0007731493678875268,0.002107814187183976,0.9971190690994263,2,0.004184930585324764,0.0008921459084376693,0.994922935962677
42,mask,"You and your friends are not welcome here, said Severn.",Severn said the people were not welcome there.,0,standard,2,0.03541016951203346,1.3553474218497286e-06,0.964588463306427,1,4.6314741553032945e-07,0.999994158744812,5.314284862834029e-06,2,0.012722359038889408,0.0010452126152813435,0.9862323999404907
42,mask,um-hum um-hum yeah well uh i can see you know it's it's it's it's kind of funny because we it seems like we loan money you know we money with strings attached and if the government changes and the country that we loan the money to um i can see why the might have a different attitude towards paying it back it's a lot us that  you know we don't really loan money to to countries we loan money to governments and it's the,We don't loan a lot of money.,1,standard,2,0.010871644131839275,0.0015380051918327808,0.9875903129577637,1,2.6264253653811015e-19,1.0,3.4294576117561866e-24,2,0.004757275804877281,0.001346051343716681,0.9938966631889343
42,mask,i'm not sure what the overnight low was,I don't know how cold it got last night.,0,standard,2,0.004071753937751055,0.003479737788438797,0.9924485683441162,1,7.600347226374032e-16,1.0,1.2782079759803493e-18,2,0.0037595429457724094,0.0011948258616030216,0.9950456619262695
42,mask,so i have to find a way to supplement that,I need a way to add something extra.,0,standard,2,0.024874692782759666,0.0002485350123606622,0.9748767614364624,2,0.0018679792992770672,0.25740936398506165,0.7407225966453552,2,0.0027604170609265566,0.0012493951944634318,0.9959902167320251
