seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,empty,The new rights are nice enough,Everyone really likes the newest benefits ,1,standard,1,0.009955179877579212,0.9876682162284851,0.0023765761870890856,1,0.001552968635223806,0.9958711266517639,0.00257583474740386,1,0.33956170082092285,0.5162103176116943,0.14422789216041565
42,empty,This site includes a list of all award winners and a searchable database of Government Executive articles.,The Government Executive articles housed on the website are not able to be searched.,2,standard,2,0.0003242630045861006,0.001313806977123022,0.9983618855476379,1,0.03338254243135452,0.8642133474349976,0.10240408033132553,1,0.1200922280550003,0.7904953956604004,0.08941242098808289
42,empty,uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him,"I like him for the most part, but would still enjoy seeing someone beat him.",0,standard,0,0.9262862205505371,0.0707072839140892,0.0030065972823649645,1,0.0011623682221397758,0.9933179616928101,0.0055196937173604965,1,0.003724015550687909,0.9847687482833862,0.011507251299917698
42,empty,yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food,My favorite restaurants are always at least a hundred miles away from my house. ,2,standard,2,0.00042441836558282375,0.004408875480294228,0.9951666593551636,1,0.003037945833057165,0.6109767556190491,0.3859853446483612,1,0.1182551309466362,0.8704141974449158,0.011330707930028439
42,empty,i don't know um do you do a lot of camping,I know exactly.,2,standard,2,0.00023014028556644917,0.0006620815838687122,0.9991077780723572,2,0.002234635641798377,0.11620628088712692,0.8815591335296631,1,0.3842700719833374,0.44967207312583923,0.16605789959430695
42,empty,well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be,We have plenty of space in the landfill.,2,standard,2,0.0004353172844275832,0.0007462395005859435,0.9988184571266174,1,0.007478923536837101,0.9417728185653687,0.05074828118085861,1,0.09437636286020279,0.8685863614082336,0.03703725337982178
42,empty,yeah i know and i did that all through college and it worked too,I did that all through college but it never worked ,2,standard,2,0.0002968086046166718,0.0007821327308192849,0.9989211559295654,1,0.001076176529750228,0.9734116196632385,0.0255122147500515,1,0.36465200781822205,0.5403793454170227,0.09496860951185226
42,empty,"Calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of Satyajit Ray or Mrinal Sen shown in Europe or North America than in India itself.",Most of Mrinal Sen's work can be found in European collections.,1,standard,1,0.014291607774794102,0.9120184779167175,0.07368993759155273,1,0.0015240366337820888,0.9953000545501709,0.0031758863478899,1,0.038238342851400375,0.9108060002326965,0.05095568671822548
42,empty,"If that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.",THe strike price could be $8.,2,standard,2,0.009708812460303307,0.05691354721784592,0.9333776235580444,1,0.0023539734538644552,0.9875435829162598,0.010102430358529091,2,0.0058260755613446236,0.05553654953837395,0.938637375831604
42,empty,"3)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?",Would you rise up and defeaat all evil lords in the town?,1,standard,1,0.011743905954062939,0.9553148150444031,0.032941315323114395,1,0.0035228878259658813,0.9792713522911072,0.017205744981765747,1,0.28125083446502686,0.5889869928359985,0.129762202501297
42,empty,"The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.","Go downwards to one of the gates, all of which will lead you into the cathedral.",2,standard,0,0.5434024333953857,0.07293626666069031,0.38366127014160156,1,0.005750470794737339,0.9098588824272156,0.08439058810472488,1,0.0043426984921097755,0.8829706311225891,0.1126866415143013
42,empty,The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.,The Tamils' bhakti movement froze the previously warm ritual of Hinduism.,2,standard,2,0.0005544577725231647,0.0011421184753999114,0.9983034133911133,1,0.010527192614972591,0.9576565623283386,0.03181622177362442,1,0.07071118801832199,0.8974677920341492,0.03182101994752884
42,empty,see now in a situation like that the boys are only sixteen years old and they were sexually involved with her and i think like at that particular point she was twenty three you know so she wasn't really that much older than them and being a boy at that age i think that they're very um you know let's face it that's at a point in your life when you you're just starting to realize all the things of life,Everyone involved was the same age.,2,standard,2,0.0006525653880089521,0.0071121868677437305,0.9922352433204651,1,0.006625363137573004,0.9516506195068359,0.04172397032380104,1,0.2141110599040985,0.6623963713645935,0.12349259108304977
42,empty,"You and your friends are not welcome here, said Severn.",Severn said the people were not welcome there.,0,standard,0,0.9924072623252869,0.007005865219980478,0.0005868577281944454,1,0.013137479312717915,0.9117157459259033,0.07514678686857224,0,0.9184467792510986,0.07727163285017014,0.0042816633358597755
42,empty,um-hum um-hum yeah well uh i can see you know it's it's it's it's kind of funny because we it seems like we loan money you know we money with strings attached and if the government changes and the country that we loan the money to um i can see why the might have a different attitude towards paying it back it's a lot us that  you know we don't really loan money to to countries we loan money to governments and it's the,We don't loan a lot of money.,1,standard,2,0.2945740818977356,0.23233719170093536,0.4730886220932007,1,0.014614500105381012,0.9826629161834717,0.002722621662542224,1,0.1827499121427536,0.5047288537025452,0.31252118945121765
42,empty,i'm not sure what the overnight low was,I don't know how cold it got last night.,0,standard,0,0.8308824300765991,0.1642358899116516,0.00488173495978117,1,0.01003998052328825,0.7727643847465515,0.2171955555677414,1,0.31514009833335876,0.5060341954231262,0.1788257211446762
42,empty,so i have to find a way to supplement that,I need a way to add something extra.,0,standard,0,0.987694501876831,0.011788832023739815,0.0005167016643099487,1,0.0052254535257816315,0.9932196736335754,0.0015549433883279562,0,0.49327602982521057,0.3477663993835449,0.1589575707912445
