seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,random,"That time John Grisham defended men who watch child porn John Grisham's disturbing statements defending child porn consumers are coming back to haunt him. In a bizarre 2014 interview, the best-selling author said most men who watch kiddie porn are... John Grisham's bizarre defense of kiddie porn viewers ""We've got prisons now filled with guys my age, 60-year-old white men, in prison, who have never harmed anyone,” the best-selling author said.",John Grisham watches kiddie porn.,1,standard,0,0.8611881136894226,7.111139439075487e-06,0.13880473375320435,2,0.026219502091407776,5.060916009824723e-05,0.9737299084663391,2,0.018136819824576378,2.4347495127585717e-05,0.9818388223648071
42,random,"Cruise Lines International Association (CLIA) is an association of cruise lines. It merged with International Council of Cruise Lines (ICCL) in 2006, forming an expanded organization incorporating the existing functions of both organizations. The merged organization, which uses the CLIA name, is located in Washington, D.C.",CLIA does not own any boats,2,standard,2,0.001921732327900827,6.327944902295712e-06,0.9980719089508057,2,0.0061643472872674465,1.3908046639699023e-05,0.9938217401504517,2,0.025089576840400696,2.332496842427645e-05,0.9748870730400085
42,random,"That's right. That's the important hurdle, and we'd like to jump that first, but the other ones, Justice, you're right, in 1831 and in 1909 Congress extended terms in a way that is inconsistent with the strongest form of the test that we have advanced. Those extensions, however, were never challenged in any court and certainly not considered by this Court.",Congress extended terms in 2009 in an inconsistent way,2,standard,2,0.2186855524778366,2.4666122044436634e-05,0.78128981590271,2,0.04025256633758545,4.325894042267464e-05,0.9597041606903076,2,0.03794470056891441,2.369151115999557e-05,0.9620316624641418
42,random,"Well, I think again that illustrates why the authority is vested in Congress to make these judgments rather than in courts to make these affect whether the judgments, because we're not talking about the effect on an individual author, or an individual creator. What the Framers of the Constitution were concerned about is a gross judgment with respect to what might generally provide incentives to the population --",Decisions Congress make impact society on a broad scale,0,standard,2,0.28890958428382874,1.8070066289510578e-05,0.7110723257064819,2,0.12909358739852905,3.276066490798257e-05,0.8708735704421997,2,0.02757454104721546,1.9875273210345767e-05,0.9724055528640747
42,random,"Tonight the topic will be domestic affairs, but the format will be the same as that first debate. I'll moderate our discussion under detailed rules agreed to by the candidates, but the questions and the areas to be covered were chosen by me. I have not told the candidates or anyone else what they are.","the topic will be domestic affairs, moderated on rules and questions agreed to by the candidates.",2,standard,0,0.8392212390899658,1.4228895452106372e-05,0.16076458990573883,2,0.06427217274904251,0.00011549797636689618,0.9356122612953186,2,0.02387343719601631,2.4537710487493314e-05,0.9761019945144653
42,random,"And Charlotte Buckingham I recall really being the only person who got up to stand in defense of the school board, and she was Mr. Buckingham's wife, or is Mr. Buckingham's wife. And she quoted Scripture, Old Testament, actually, all Old Testament Scripture about why the school board is right, basically. And she also talked about school prayer and the need for school prayer in that speech that she had prepared.",Charlotte Buckingham has talked to carter,1,standard,2,0.015725931152701378,2.2095615349826403e-05,0.9842519164085388,2,0.026217907667160034,2.9468124921550043e-05,0.9737526178359985,2,0.01807122863829136,2.868831688829232e-05,0.9819000959396362
42,random,I do. I think that in this 21st century we will soon see the consequences of what's called global warming. There was a study just a few weeks ago suggesting that in summertime the north polar ice cap will be completely gone in 50 years. Already people see the strange weather conditions that the old timers say they've never seen before in their lifetimes.,the study was on the poler bear decline,2,standard,2,0.097538061439991,4.565805647871457e-05,0.9024162888526917,2,0.028693441301584244,0.00011967968021053821,0.9711868762969971,2,0.01464840117841959,2.313345430593472e-05,0.9853284955024719
42,random,"Honourable senators will remember that the committee which reported just prior to Christmas received information about a number of cases in which claims were brought by people living in poverty in Canada, usually women and children, both alluded to by my colleagues who spoke before me, against our federal and provincial governments.",there are cases of men living in poverty in canada ,0,standard,2,0.26720672845840454,1.6649359167786315e-05,0.7327765822410583,2,0.050302863121032715,4.563635593513027e-05,0.9496515393257141,2,0.021013988181948662,1.8449771232553758e-05,0.9789676070213318
42,random,Mark Halperin accused of sexual harassment Several women spoke out to CNN detailing alleged incidents of sexual harassment during Halperin's tenure as the political director of ABC News over a decade ago. Halperin apologized for his behavior in a statement to CNN.,Halperin did not commit the crime.,2,standard,2,0.04596492648124695,3.333244603709318e-05,0.9540017247200012,2,0.025006456300616264,4.844413706450723e-05,0.9749451279640198,2,0.023881705477833748,2.8360251235426404e-05,0.9760899543762207
42,random,"How to use turtle wax<br>Wash your car before you wax it. Clean your car as thoroughly as you can on the outside. Use all the basic cleaners, such as soap and water for the body and window cleaner for your windows.",Turtle wax is to be used in the car,2,standard,0,0.881028950214386,1.0321091394871473e-05,0.11896071583032608,2,0.05030621588230133,5.220322054810822e-05,0.9496416449546814,2,0.023218072950839996,2.1789388483739458e-05,0.9767600893974304
