seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,random,This situation could also impact our ability to mount another festival next year.,We might not have another festival next year.,0,standard,2,0.12309540063142776,0.00011094591172877699,0.876793622970581,2,0.0333075113594532,0.0013831747928634286,0.9653092622756958,2,0.029538052156567574,3.293604459031485e-05,0.9704290628433228
42,random,"You'll return to it at once, and take your crew with you, or else....   But Ogle, violent of mien and gesture, interrupted him.",Ogle had a crew.,0,standard,0,0.9365335702896118,5.401675480243284e-06,0.063461072742939,2,0.23159734904766083,8.73491881066002e-05,0.768315315246582,2,0.04618765413761139,1.8528349755797535e-05,0.9537938237190247
42,random,28 In some cases longer outages are needed.,It is never necessary to have outages.,2,standard,2,0.009915977716445923,1.1792404620791785e-05,0.9900722503662109,2,0.004104568623006344,4.344791523180902e-05,0.995851993560791,2,0.0378313809633255,3.455710248090327e-05,0.9621340036392212
42,random,Requiring attorneys to monitor the movements of eligible aliens at all times of the year would impose monumental burdens on LSC grantees.,It would be a trivial matter for attorney to monitor eligible aliens at all times.,2,standard,2,0.447825163602829,3.3069805795094e-05,0.5521417856216431,2,0.038887765258550644,0.0001749743678374216,0.9609372019767761,2,0.016058465465903282,1.8388247553957626e-05,0.9839231371879578
42,random,Figure 3 shows the basic results for the two models.,Figure 3 shows how the models calculate the incomes.,1,standard,2,0.20742182433605194,4.829225508728996e-05,0.7925298810005188,2,0.11234592646360397,6.92811154294759e-05,0.8875847458839417,2,0.03790922462940216,4.508045094553381e-05,0.9620456695556641
42,random,"And, uh, they moved downtown and, there was, uh, and it's still like this in Augusta, this big street downtown called Broad Street, and it really was just this broad street in a downtown area.",They went to the street with the most restaurants and bars.,1,standard,2,0.023732462897896767,0.00027932049124501646,0.9759882092475891,2,0.02271009050309658,0.00019527033146005124,0.9770947098731995,2,0.01566438376903534,3.41906379617285e-05,0.9843013882637024
42,random,.. why they have so little self-worth that they value the friendship of thieves and killers.,None of their friends are thieves and killers.,2,standard,2,0.05028974264860153,3.495742566883564e-05,0.9496752619743347,2,0.02033667266368866,5.2003244491061196e-05,0.979611337184906,2,0.019219961017370224,2.527458309486974e-05,0.9807547330856323
42,random,TABLE A.- TOTAL MERCURY ALLOWANCES ALLOCATED OR AUCTIONED FOR EGUS,Mercury has allowances that are set.,0,standard,2,0.2138632833957672,0.0001329001534031704,0.7860037684440613,2,0.05508162081241608,0.00013346619380172342,0.9447848796844482,2,0.04818161949515343,4.140080636716448e-05,0.9517769813537598
42,random,Words that do not fit cannot be returned.,Some words do not fit in the puzzle.,1,standard,2,0.01820077933371067,0.00013974429748486727,0.981659471988678,2,0.018379144370555878,0.0003216003533452749,0.9812992215156555,2,0.02081972360610962,3.700641536852345e-05,0.9791432619094849
42,random,28 In some cases longer outages are needed.,Sometimes longer outages are needed.,0,standard,0,0.9686972498893738,1.3433843378152233e-05,0.03128935024142265,2,0.23195628821849823,0.0009385900339111686,0.7671051621437073,2,0.0378313809633255,3.455710248090327e-05,0.9621340036392212
