seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,random,The new rights are nice enough,Everyone really likes the newest benefits ,1,standard,1,0.016546469181776047,0.9401188492774963,0.0433347225189209,1,0.0034355814568698406,0.7632704377174377,0.23329399526119232,2,0.007315366994589567,0.16073065996170044,0.8319540023803711
42,random,This site includes a list of all award winners and a searchable database of Government Executive articles.,The Government Executive articles housed on the website are not able to be searched.,2,standard,2,0.0008855735650286078,0.0019348185742273927,0.9971796274185181,1,0.023887798190116882,0.6204562187194824,0.3556559979915619,2,0.0011660889722406864,0.008074119687080383,0.9907598495483398
42,random,uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him,"I like him for the most part, but would still enjoy seeing someone beat him.",0,standard,0,0.951785147190094,0.047407008707523346,0.0008077995153144002,1,0.0016718250699341297,0.9857797622680664,0.012548431754112244,2,0.002223825082182884,0.07255272567272186,0.9252234697341919
42,random,yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food,My favorite restaurants are always at least a hundred miles away from my house. ,2,standard,1,0.007322531193494797,0.7762972712516785,0.21638011932373047,2,0.0019216968212276697,0.20292392373085022,0.795154333114624,2,0.00030710079590789974,0.0026872658636420965,0.9970056414604187
42,random,i don't know um do you do a lot of camping,I know exactly.,2,standard,2,0.00036728859413415194,0.0009535353747196496,0.9986792206764221,2,0.001231077709235251,0.009645967744290829,0.9891229271888733,2,0.0007537856581620872,0.005759804509580135,0.9934862852096558
42,random,well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be,We have plenty of space in the landfill.,2,standard,2,0.0014835572801530361,0.0013249715557321906,0.9971914887428284,2,0.0011194570688530803,0.016460619866847992,0.9824198484420776,2,0.004242011345922947,0.1193169355392456,0.8764411211013794
42,random,yeah i know and i did that all through college and it worked too,I did that all through college but it never worked ,2,standard,2,0.0002572321391198784,0.0017550861230120063,0.9979877471923828,1,0.0014779465273022652,0.9509431719779968,0.04757893085479736,2,0.005019084084779024,0.3581051826477051,0.6368756890296936
42,random,"Calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of Satyajit Ray or Mrinal Sen shown in Europe or North America than in India itself.",Most of Mrinal Sen's work can be found in European collections.,1,standard,1,0.03831411153078079,0.8733479976654053,0.08833789825439453,1,0.002761685522273183,0.9803546071052551,0.016883673146367073,2,0.0017700167372822762,0.025701504200696945,0.9725285172462463
42,random,"If that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.",THe strike price could be $8.,2,standard,2,0.03260333463549614,0.08519046753644943,0.8822062611579895,1,0.004324412904679775,0.9783292412757874,0.017346294596791267,2,0.0012112605618312955,0.006318656262010336,0.9924700260162354
42,random,"3)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?",Would you rise up and defeaat all evil lords in the town?,1,standard,1,0.00870587583631277,0.7826853394508362,0.2086087316274643,2,0.0009750473545864224,0.2729823589324951,0.7260425090789795,2,0.001214082702063024,0.010171203874051571,0.9886146783828735
42,random,"The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.","Go downwards to one of the gates, all of which will lead you into the cathedral.",2,standard,2,0.07729751616716385,0.023630402982234955,0.899071991443634,1,0.003226149594411254,0.5796825289726257,0.41709136962890625,2,0.0013244521105661988,0.010674250312149525,0.98800128698349
42,random,The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.,The Tamils' bhakti movement froze the previously warm ritual of Hinduism.,2,standard,2,0.0023223687894642353,0.0017364536179229617,0.995941162109375,2,0.0011058709351345897,0.08085031062364578,0.918043851852417,2,0.000619365950115025,0.002114085014909506,0.9972665309906006
42,random,see now in a situation like that the boys are only sixteen years old and they were sexually involved with her and i think like at that particular point she was twenty three you know so she wasn't really that much older than them and being a boy at that age i think that they're very um you know let's face it that's at a point in your life when you you're just starting to realize all the things of life,Everyone involved was the same age.,2,standard,2,0.002649438800290227,0.005140721797943115,0.992209792137146,1,0.007662902120500803,0.6788110136985779,0.31352612376213074,2,0.004115929361432791,0.044171471148729324,0.9517126083374023
42,random,"You and your friends are not welcome here, said Severn.",Severn said the people were not welcome there.,0,standard,0,0.9884864091873169,0.010122915729880333,0.0013907650718465447,1,0.009165646508336067,0.5432413816452026,0.44759294390678406,2,0.004060712177306414,0.034761734306812286,0.9611774682998657
42,random,um-hum um-hum yeah well uh i can see you know it's it's it's it's kind of funny because we it seems like we loan money you know we money with strings attached and if the government changes and the country that we loan the money to um i can see why the might have a different attitude towards paying it back it's a lot us that  you know we don't really loan money to to countries we loan money to governments and it's the,We don't loan a lot of money.,1,standard,0,0.6217719912528992,0.16531869769096375,0.21290934085845947,1,0.005635200999677181,0.9688209891319275,0.025543855503201485,2,0.011941834352910519,0.0965680480003357,0.8914901614189148
42,random,i'm not sure what the overnight low was,I don't know how cold it got last night.,0,standard,1,0.13667355477809906,0.8486400246620178,0.01468640100210905,1,0.00225634197704494,0.8456068634986877,0.15213680267333984,2,0.004719091579318047,0.0961526408791542,0.8991281986236572
42,random,so i have to find a way to supplement that,I need a way to add something extra.,0,standard,0,0.9717925786972046,0.025675002485513687,0.0025323769077658653,1,0.010469311848282814,0.9777107834815979,0.011819936335086823,2,0.0065010362304747105,0.38380348682403564,0.6096954345703125
42,random,the hologram makes up all these things and uh i mean sometimes  sometimes it's funny sometimes it's not but uh you know it's something to pass the time until we do and then and then we watch football,Sometimes it is amusing to see what the hologram creates.,0,standard,0,0.9564235210418701,0.04135424643754959,0.002222311682999134,1,0.018940722569823265,0.9588799476623535,0.022179249674081802,2,0.0010094419121742249,0.005151655059307814,0.9938389658927917
42,random,5 The share of gross national saving used to replace depreciated capital has increased over the past 40 years.,Gross national saving was highest this year.,1,standard,1,0.009228005073964596,0.9811317920684814,0.009640221484005451,1,0.001462685875594616,0.9894183278083801,0.00911899097263813,2,0.0023953451309353113,0.06069318577647209,0.936911404132843
42,random,"So far, however, the number of mail pieces lost to alternative bill-paying methods is too small to have any material impact on First-Class volume.",The amount of lost mail is huge and really impacts mail volume,2,standard,2,0.001578482799232006,0.004051342140883207,0.99437016248703,1,0.001841560355387628,0.9798038005828857,0.01835468038916588,2,0.0007825735374353826,0.012067490257322788,0.9871499538421631
42,random,you want to punch the button and go,"You don't want to push the button lightly, but rather punch it hard.",1,standard,1,0.03409777581691742,0.9508273005485535,0.015074912458658218,1,0.005406160838901997,0.9186614155769348,0.07593236118555069,2,0.004476637113839388,0.02341742441058159,0.9721060395240784
42,random,Buffet and a  la carte available.,It has a buffet.,0,standard,0,0.9874733686447144,0.011599299497902393,0.0009273613686673343,2,0.002660761820152402,0.02032613381743431,0.977013111114502,2,0.006330953910946846,0.015739120543003082,0.977929949760437
42,random,Blue says Blumenthal claimed Clinton had told him that Lewinsky had made unwanted sexual advances.,Clinton said that Monica Lewinsky made unwanted sexual advances during her time as a journalist in the White House. ,1,standard,1,0.00830844882875681,0.9712806344032288,0.02041088044643402,1,0.002919513965025544,0.6311179995536804,0.36596250534057617,2,0.0012322493130341172,0.007450737990438938,0.9913170337677002
42,random,We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission-related outcomes.,Leading organizations want to be sure their employees are safe.,1,standard,1,0.03530028462409973,0.9432417154312134,0.021458029747009277,1,0.009080438874661922,0.9861293435096741,0.004790209699422121,2,0.0027243185322731733,0.07232660800218582,0.924949049949646
42,random,oh uh-huh well no they wouldn't would they no,"No, they wouldn't go there.",1,standard,1,0.0516565665602684,0.9462988376617432,0.00204465351998806,2,0.0005182955646887422,0.005474845413118601,0.994006872177124,2,0.0025430014356970787,0.08360454440116882,0.9138524532318115
42,random,Sorry but that's how it is.,This is how things are and there are no apologies about it.,2,standard,1,0.41908714175224304,0.48521026968955994,0.09570258110761642,1,0.008040270768105984,0.6424259543418884,0.3495337665081024,2,0.00844650249928236,0.11864746361970901,0.872905969619751
42,random,"Not quite as large is the Papal Crose commemorating Pope John Paul II's visit in 1979, when more than one million people gathered to celebrate mass.",Pope John Paul II also visited in 1983.,1,standard,1,0.0016824696213006973,0.9874123334884644,0.010905200615525246,1,0.0011966647580265999,0.9715015888214111,0.027301784604787827,2,0.0013310868525877595,0.012039046734571457,0.9866299629211426
42,random,"The tourist industry continued to expand, and though it became one of the top two income earners in Spain, a realization that unrestricted mass tourism was leading to damaging long-term consequences also began to grow.",Tourism is not very big in Spain.,2,standard,2,0.017577189952135086,0.03809395059943199,0.9443288445472717,1,0.009138500317931175,0.9694441556930542,0.021417368203401566,2,0.0012326050782576203,0.01960143633186817,0.9791659712791443
42,random,"She seemed so different  """,She had changed a lot since the last time we'd seen her.,1,standard,1,0.003763549728319049,0.9933891296386719,0.0028472733683884144,1,0.003881024196743965,0.9753098487854004,0.020809093490242958,2,0.006336749065667391,0.12942513823509216,0.8642381429672241
42,random,i'm not opposed to it but when its when the time is right it will probably just kind of happen you know,I cannot wait for it to happen.,1,standard,2,0.08749721944332123,0.19465336203575134,0.7178494930267334,1,0.013226966373622417,0.9303054809570312,0.05646761134266853,2,0.003115910803899169,0.10460955649614334,0.8922744989395142
42,random,The census of 1931 served as an alarm signal for the Malay national consciousness.,The 1931 Malay census was an alarm bell.,0,standard,0,0.968782365322113,0.026519736275076866,0.004697927739471197,2,0.0016645144205540419,0.14090655744075775,0.8574289083480835,2,0.0028067915700376034,0.022703325375914574,0.9744899272918701
42,random,"Mortifyingly enough, it is all  the difficulty, the laziness, the pathetic formlessness in youth, the round peg in the square hole, the whatever do you want?",Many youth are lazy.,0,standard,1,0.3227645754814148,0.6734545826911926,0.003780893050134182,1,0.005086960736662149,0.9781846404075623,0.016728399321436882,2,0.019481873139739037,0.2662562429904938,0.7142618298530579
42,random,"Conversely, an increase in government saving adds to the supply of resources available for investment and may put downward pressure on interest rates.",Interest rates should increase to increase saving.,2,standard,0,0.5477369427680969,0.3780478537082672,0.0742151290178299,1,0.001757246907800436,0.9874390959739685,0.010803630575537682,2,0.001305733690969646,0.016135504469275475,0.9825587272644043
42,random,"Britain's best-selling tabloid, the Sun , announced as a front-page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings against aging rock star Mick Jagger at the High Court in London.",There is a British publication called the Sun.,0,standard,0,0.9941433072090149,0.0044718277640640736,0.001384907285682857,2,0.0027785045094788074,0.18203642964363098,0.8151850700378418,2,0.0010501047363504767,0.009167053736746311,0.9897827506065369
42,random,"He was of two minds, one reveled in the peace of this village.",He loved how peaceful the village was.,0,standard,0,0.9134437441825867,0.08571158349514008,0.0008446744759567082,2,0.002405251609161496,0.38367509841918945,0.6139196753501892,2,0.0027177210431545973,0.02169918827712536,0.9755831360816956
42,random,"The vineyards hug the gentle slopes between the Vosges and the Rhine Valley along a single narrow 120-km (75-mile) strip that stretches from Marlenheim, just west of Strasbourg, down to Thann, outside Mulhouse.",The slopes between the Vosges and Rhine Valley are the only place appropriate for vineyards.,1,standard,1,0.0014496342046186328,0.9913881421089172,0.007162183988839388,2,0.0010788890067487955,0.200517937541008,0.7984031438827515,2,0.001351897488348186,0.007868533954024315,0.9907796382904053
42,random,"We did not study the reasons for these deviations specifically, but they likely result from the context in which federal CIOs operate.",These deviations mostly involve failure to apply software updates in a timely manner.,1,standard,1,0.0012264358811080456,0.9857631921768188,0.013010367751121521,1,0.004389503039419651,0.9927347898483276,0.002875661011785269,2,0.0034004156477749348,0.08240237087011337,0.9141972064971924
42,random,"Rouen is the ancient center of Normandy's thriving textile industry, and the place of Joan of Arc's martyrdom ' a national symbol of resistance to tyranny.","Joan of Arc sacrificed her life at Rouen, which became an enduring symbol of opposition to tyranny.",0,standard,1,0.0552029050886631,0.9336313605308533,0.011165667325258255,1,0.0013919073389843106,0.6585510969161987,0.34005698561668396,2,0.0004254933737684041,0.0020826731342822313,0.9974918365478516
42,random,"Table 2: Examples of BLM's, FHWA's, IRS's, and VBA's Customer Satisfaction Expectations for Senior Executive Performance",Senior Executive's have been studies on various aspects to reach the expectations.,0,standard,0,0.5871617197990417,0.41031575202941895,0.0025225249119102955,1,0.012244081124663353,0.9626294374465942,0.025126511231064796,2,0.0008888428565114737,0.010966083034873009,0.9881449937820435
42,random,"In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design.",It's impossible to have a plate hand-painted to your own design in Hong Kong.,2,standard,2,0.00037540614721365273,0.0008677312289364636,0.9987568855285645,1,0.007218873593956232,0.6897938251495361,0.30298730731010437,2,0.0005806872504763305,0.003329855389893055,0.9960894584655762
