seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,neutral,A woman is surfing,A fearful little boy is on a climbing wall,1,standard,2,4.126390558667481e-05,0.0005750342388637364,0.9993836879730225,1,6.443896563723683e-05,0.9996658563613892,0.00026972577325068414,0,0.8040905594825745,0.1516781449317932,0.04423128440976143
42,neutral,Some people are walking,A group of scouts are camping in the grass,1,standard,2,8.399169746553525e-05,0.004301080945879221,0.9956148862838745,1,8.750759297981858e-05,0.9995989203453064,0.00031365841277875006,0,0.7970190644264221,0.1877518743276596,0.015229111537337303
42,neutral,The muscular black man is dancing and the man behind him is wearing green beads,The muscular man is dancing and the man behind him is wearing green beads,0,standard,0,0.995802104473114,0.001723895431496203,0.0024739555083215237,1,0.00010542597010498866,0.999530553817749,0.0003640105715021491,0,0.9941336512565613,0.004248593468219042,0.0016177312936633825
42,neutral,A man is having fun with water,A man is doing a card trick,1,standard,2,0.00015983343473635614,0.0016604989068582654,0.9981796741485596,1,0.0002218407898908481,0.9675503373146057,0.03222784772515297,0,0.990403413772583,0.008181050419807434,0.0014155308017507195
42,neutral,There is no little girl playing the piano,A little girl is playing a grand piano on stage,2,standard,1,0.005027475766837597,0.6379520893096924,0.35702046751976013,1,0.0006073318072594702,0.972634494304657,0.02675815112888813,0,0.9199440479278564,0.07282277941703796,0.0072332220152020454
42,neutral,There are no little boys playing outside with a soccer ball on the green grass,Two children are playing soccer in the park,1,standard,2,0.12179426848888397,0.3781048059463501,0.50010085105896,1,0.0001204170985147357,0.9991549253463745,0.000724668730981648,0,0.8825422525405884,0.10776520520448685,0.009692487306892872
42,neutral,A woman is cracking some eggs outside a bowl,A woman is adding ingredients to a bowl,1,standard,0,0.9932378530502319,0.004361966624855995,0.0024000941775739193,2,0.0011438933433964849,0.37983712553977966,0.6190189719200134,0,0.9187576174736023,0.058584898710250854,0.022657543420791626
42,neutral,The girl in blue is chasing the base runner with a number on the jersey,A man in blue has a yellow ball in the mitt,1,standard,2,3.768960596062243e-05,0.000505240517668426,0.999457061290741,1,8.342447836184874e-05,0.9942851662635803,0.005631405394524336,0,0.991860568523407,0.006737807299941778,0.0014015675988048315
42,neutral,There is no man eating a pizza,A man is eating some food,1,standard,2,0.10601802170276642,0.2988095283508301,0.5951724648475647,1,0.0007729838835075498,0.5778430104255676,0.4213840067386627,0,0.9828601479530334,0.015561675652861595,0.0015782815171405673
42,neutral,The man is not taking a picture of himself and another guy,The man is taking a picture of himself and another guy,2,standard,2,0.0007173427729867399,0.0012738003861159086,0.9980089068412781,1,0.000102966048871167,0.9994184970855713,0.0004785859491676092,0,0.945364236831665,0.04415435343980789,0.010481406934559345
