premise,hypothesis,gold_label,heuristic,pred_full,pred_hyp_only,pred_prem_only
Two people sit facing away in a downtown scene with a motorcycle parked in front of a pool,The two people run as quickly as they can for shelter as the storm picks up and begins swirling all around them.,2,standard,2,1,2
A white dog with brown ears runs down a gravel path with a ball in its mouth.,A dog runs down a path with a green ball.,1,standard,1,2,1
"Six men, all wearing identifying number plaques, are participating in an outdoor race.",a number of guys wearing numbers race outside,0,standard,0,1,1
Five children of Indian origin are smiling and posing on a slide.,Children are on a slide.,0,standard,0,1,1
Kids are on a amusement ride.,Kids ride their favorite amusement ride.,1,standard,1,1,1
A black dog running in the snow by some trees.,a dog sitting at the beach,2,standard,2,2,1
A group of women in white robes walk through the grass.,women walk through the sand,2,standard,2,2,2
One little toddler wearing blue pajamas and a little girl wearing red pajamas opening presents on christmas day.,Two small children are unhappy with the opening of their presents.,1,standard,1,2,1
"Two children examine a stack of books and games, including the game ""Poncho Pal,"" next to a piece of furniture.",Two children are looking for something to do.,1,standard,1,1,1
A group of people is gathered around a table of food with their arms around each other.,A group of people are gather around a meeting room table.,1,standard,2,1,1
A man in the middle east with a corn-on-the-cob cart selling corn.,An old middle eastern man is selling corn-on-the-cob from his brother's cart.,1,standard,1,1,1
A cute puppy fetches a yellow ring chew toy in the yard.,A puppy plays fetch.,0,standard,0,2,1
A man in gray slacks and sweater observes marker placed in front of a fence in a field.,The man is old.,1,standard,1,1,1
There is a large group of people in front of Papa John's restaurant.,The people are outside of the restaurant.,0,standard,0,1,2
A bridal party assembles outside a stone building.,A farmer takes a cow through a wooden gate.,2,standard,2,1,1
Four people stand next to some bikes while one of them points.,Two people are sitting on the ground.,2,standard,2,1,1
"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.",Nobody has a suit,2,standard,2,2,1
"A woman is looking into a mirror, brushing her hair.",A woman is brushing her hair.,0,standard,0,2,2
"Two young men sitting at the end of a long table eating; there are 3 plates full of food, two glasses with a yellow colored drink and a small orange case on the table.",A small white case is on the table.,2,standard,2,1,2
A man in a green Celtics hat and a woman wearing a black sweater display identical tattoos on their right wrists.,Two men show off identical tats,2,standard,2,1,1
Two men selling fruit at a fruit market.,Two men are selling fruit at the market.,0,standard,0,2,1
A woman watches a child play near a small pool.,A woman snatches a child before the car hits her.,2,standard,2,2,2
The brown and white dog is playing in the snow.,A dog in the snow.,0,standard,0,2,1
A woman in a red shirt and blue jeans is walking outside while a man in a khaki jacket is right behind her.,A man in an army jacket is  following a woman in a pink dress.,2,standard,2,0,1
"Four people, One male in a blue shirt and slacks with three females, one in pink, one in blue, and the other with a white shirt and blue blouse, in line to enter a yellow school bus, while a female in pink hold paper is on the phone.",The people waiting in line are in middle school.,1,standard,1,2,1
A military group in uniform standing together while one of them gets their hat adjusted.,A group of uniformed men having his uniform adjusted to perfection.,0,standard,1,1,1
A man standing behind a small ice cream cart on a street corner.,The man is inside,2,standard,2,1,1
Four older men are playing musical instruments in a park by a wall in traditional costume.,Four men are playing music outdoors.,0,standard,0,2,2
People riding an old looking trolley.,Trolley's are a means of transportation for people.,0,standard,0,0,1
Asian workers assembling a wood project.,Asian workers are building a shed.,1,standard,1,1,1
"A woman with short blond-hair smiling and singing into a microphone while a man in a striped shirt, further back, plays an acoustic guitar.",A woman is singing a Britney Spears song with her brother,1,standard,1,2,1
A woman in a white dress with one leg stops to read a poster.,A lady in a white dress runs past a poster.,2,standard,2,2,2
"A man painting in front of a storefront, his paintings are displayed.",A man has made some paintings.,0,standard,0,1,0
A man is singing on stage with his fingers in a stuffed bear's nose.,The man on stage singing with his fingers in a bear's nose is mute.,1,standard,1,2,2
A person in gray snowboarding down a hill.,There is snow on the hill.,0,standard,0,1,1
An Asian man attempting to repair a green bicycle outdoors while two other Asian men stand by.,Some tall humans,1,standard,1,1,1
"A man and a woman at a meal, with a dog between them.",A man and woman have a dog between them.,0,standard,0,2,2
An older man is walking in a large grassy area with a small plane in the background about to land.,The person is sipping hot chocolate inside a skating rink.,2,standard,2,2,1
a big tan dog drinks water from an outdoor water spout.,A dog is in a park.,1,standard,1,2,2
"Young soccer players, wearing blue and white jerseys, walk around while waiting for their turn or play to begin in a soccer match.",the player is a woman,1,standard,1,1,1
A man jumping sideways in the ocean.,A man sits in a hotel lobby.,2,standard,2,1,2
Several firemen stand or sit on a gray roof while working.,Several fireman are working on a gray roof.,0,standard,0,1,1
A woman wearing a black shirt is standing next to an old rusted vehicle.,"The woman restores old cars, and is thinking of buying it.",1,standard,1,1,2
a child is on the ground crying.,A child on the ground crying as others look on.,1,standard,1,1,1
the shadow silhouette of a woman standing near the water looking at a large attraction on the other side.,She is eating a corn dog.,1,standard,2,1,1
"Male volleyball players in red attempt to score on the other team, lighter red.",Women are rollerblading.,2,standard,2,2,1
"Two men, one with a camera and another with hair clippers are helping another man in kitchen.",an elephant sits,2,standard,2,2,2
People sit around tables watching intently under a cloth covering.,People sit around tables in a living room watching intently under a cloth covering.,1,standard,1,1,1
A hiker pokes his head out of a tent high in the mountains.,The hiker is outside.,0,standard,0,1,2
Musicians are performing on stage.,Musicians are performing on a stage at a wedding.,1,standard,1,2,1
An African American wearing a red backpack looks the photographer as he walks past a concrete wall covered in graffiti.,a person wears a backpack,0,standard,0,1,1
A woman sits on a bed and puts on her red socks.,A woman is sitting on a bed.,0,standard,0,2,1
girl posing against a wall in the city,A girl is pulling a wagon along the dirt trail.,2,standard,2,2,2
"A man in a bear suit, holding the head of the costume in his hand, stands at the back of a crowd.",man in bear suit,0,standard,0,2,1
A man with a dark shirt and light shorts is standing next to a person wearing a light shirt on a sidewalk.,a couple pose together,1,standard,1,1,1
Middle-aged man in jeans and dark blue t-shirt carrying a black item and walking across a lawn.,Man in dark clothing walks across a lawn.,0,standard,0,1,1
