seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,neutral,Two people sit facing away in a downtown scene with a motorcycle parked in front of a pool,The two people run as quickly as they can for shelter as the storm picks up and begins swirling all around them.,2,standard,2,1.827631308515265e-07,2.8145283955012534e-13,0.9999997615814209,2,2.2336751499096863e-05,4.399949375510914e-06,0.9999732971191406,2,0.02514670602977276,3.0651906399725704e-06,0.9748502969741821
42,neutral,A white dog with brown ears runs down a gravel path with a ball in its mouth.,A dog runs down a path with a green ball.,1,standard,2,0.001385842333547771,0.0035377773456275463,0.9950763583183289,2,1.253042046300834e-05,4.6564548483729595e-07,0.999987006187439,2,0.02680138684809208,4.086971330252709e-06,0.9731945395469666
42,neutral,"Six men, all wearing identifying number plaques, are participating in an outdoor race.",a number of guys wearing numbers race outside,0,standard,2,0.030130300670862198,0.00017439555085729808,0.9696952700614929,2,2.466867954353802e-05,1.3826905842506676e-06,0.9999738931655884,2,0.025506237521767616,9.5659834187245e-06,0.9744842648506165
42,neutral,Five children of Indian origin are smiling and posing on a slide.,Children are on a slide.,0,standard,2,0.027989860624074936,8.806781988823786e-05,0.9719220995903015,2,0.0002315756428288296,0.0002798782952595502,0.9994884729385376,2,0.02616974152624607,4.161274773650803e-05,0.9737886786460876
42,neutral,Kids are on a amusement ride.,Kids ride their favorite amusement ride.,1,standard,2,0.002573268488049507,0.004350683651864529,0.993075966835022,2,1.1766214811359532e-05,1.6535015845420276e-07,0.9999880790710449,2,0.02968505583703518,3.5943692637374625e-05,0.9702789783477783
42,neutral,A black dog running in the snow by some trees.,a dog sitting at the beach,2,standard,2,1.1399311716786542e-08,1.2322158195000832e-20,1.0,2,7.486769391107373e-07,2.5312909754382495e-11,0.9999992847442627,2,0.013198167085647583,4.410384462971706e-06,0.9867974519729614
42,neutral,A group of women in white robes walk through the grass.,women walk through the sand,2,standard,2,9.421083086635917e-05,1.3069041848723373e-08,0.9999058246612549,2,0.00020089387544430792,0.0002876179351005703,0.9995114803314209,2,0.03046773560345173,4.674241154134506e-06,0.9695276021957397
42,neutral,One little toddler wearing blue pajamas and a little girl wearing red pajamas opening presents on christmas day.,Two small children are unhappy with the opening of their presents.,1,standard,2,0.0005453248741105199,0.0009272343013435602,0.9985274076461792,2,0.00012664298992604017,0.00013503129594027996,0.9997382760047913,2,0.02919900417327881,4.945697946823202e-05,0.9707515835762024
42,neutral,"Two children examine a stack of books and games, including the game ""Poncho Pal,"" next to a piece of furniture.",Two children are looking for something to do.,1,standard,2,0.003002782119438052,0.004449471831321716,0.9925478100776672,2,8.411929593421519e-05,3.650922735687345e-05,0.9998793601989746,2,0.025765560567378998,4.547907337837387e-06,0.9742299318313599
42,neutral,A group of people is gathered around a table of food with their arms around each other.,A group of people are gather around a meeting room table.,1,standard,2,0.0010968147544190288,0.00282091973349452,0.9960822463035583,2,8.712492854101583e-05,5.4136682592798024e-05,0.9998587369918823,2,0.03252999484539032,1.2914825902043958e-06,0.9674687385559082
42,neutral,A man in the middle east with a corn-on-the-cob cart selling corn.,An old middle eastern man is selling corn-on-the-cob from his brother's cart.,1,standard,2,0.0015147021040320396,0.0032222524750977755,0.9952629804611206,2,7.146903953980654e-05,3.6017107049701735e-05,0.9998924732208252,2,0.02566835656762123,2.4598230083938688e-05,0.9743070006370544
42,neutral,A cute puppy fetches a yellow ring chew toy in the yard.,A puppy plays fetch.,0,standard,2,0.002058114390820265,0.0023889574222266674,0.9955528378486633,2,3.9816393837099895e-05,9.260083970730193e-06,0.9999508857727051,2,0.02735438011586666,1.533907743578311e-05,0.9726303219795227
42,neutral,A man in gray slacks and sweater observes marker placed in front of a fence in a field.,The man is old.,1,standard,2,0.001997658284381032,0.004359175451099873,0.9936431646347046,2,0.0009640699136070907,0.002142811892554164,0.9968931674957275,2,0.029156401753425598,1.0983735592162702e-06,0.9708425998687744
42,neutral,There is a large group of people in front of Papa John's restaurant.,The people are outside of the restaurant.,0,standard,2,0.022029848769307137,0.00011662971519399434,0.9778534770011902,2,0.00017275675782002509,9.73903588601388e-05,0.9997298121452332,2,0.028309574350714684,1.9666424122988246e-05,0.9716706871986389
42,neutral,A bridal party assembles outside a stone building.,A farmer takes a cow through a wooden gate.,2,standard,2,2.871817628147255e-07,2.2661140000081181e-13,0.9999997615814209,2,0.0001069477730197832,0.00015968807565513998,0.9997333884239197,2,0.027405593544244766,1.488151519879466e-05,0.9725795984268188
42,neutral,Four people stand next to some bikes while one of them points.,Two people are sitting on the ground.,2,standard,2,1.1946854172606436e-08,1.4992675865556511e-21,1.0,2,0.00011507439921842888,2.5856588763417676e-05,0.999859094619751,2,0.03210293874144554,1.8640806956682354e-05,0.9678784012794495
42,neutral,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.",Nobody has a suit,2,standard,2,1.0294590069293008e-08,2.7292145764590913e-21,1.0,2,4.558165528578684e-06,5.790664392435474e-09,0.9999954700469971,2,0.035017479211091995,1.1966214515268803e-05,0.964970588684082
42,neutral,"A woman is looking into a mirror, brushing her hair.",A woman is brushing her hair.,0,standard,2,0.03150442615151405,5.086513556307182e-05,0.9684447050094604,2,0.00016478385077789426,0.0003019293362740427,0.9995332956314087,2,0.03122904896736145,2.6369732950115576e-05,0.9687446355819702
42,neutral,"Two young men sitting at the end of a long table eating; there are 3 plates full of food, two glasses with a yellow colored drink and a small orange case on the table.",A small white case is on the table.,2,standard,2,0.00015647387772332877,4.315901605878025e-06,0.999839186668396,2,0.00102435820735991,0.00201533199287951,0.9969603419303894,2,0.025272218510508537,9.420114110980649e-07,0.9747267961502075
42,neutral,A man in a green Celtics hat and a woman wearing a black sweater display identical tattoos on their right wrists.,Two men show off identical tats,2,standard,2,0.00015278291539289057,1.831395820772741e-06,0.9998453855514526,2,0.0004104360123164952,0.0005164075409993529,0.9990731477737427,2,0.029553305357694626,1.7887246940517798e-05,0.9704287052154541
42,neutral,Two men selling fruit at a fruit market.,Two men are selling fruit at the market.,0,standard,2,0.03128627687692642,8.047653682297096e-05,0.968633234500885,2,0.00011610666115302593,9.986013901652768e-05,0.9997840523719788,2,0.029078802093863487,2.3605953174410388e-05,0.9708976149559021
42,neutral,A woman watches a child play near a small pool.,A woman snatches a child before the car hits her.,2,standard,2,0.00030014023650437593,0.00027888829936273396,0.9994210004806519,2,3.666681732283905e-05,1.1994602573395241e-05,0.9999512434005737,2,0.031218810006976128,5.479612354974961e-06,0.968775749206543
42,neutral,The brown and white dog is playing in the snow.,A dog in the snow.,0,standard,2,0.025611845776438713,8.630337106296793e-05,0.974301815032959,2,5.622074695565971e-06,1.8437384952108005e-08,0.9999943971633911,2,0.020125392824411392,1.6505076928297058e-05,0.9798581600189209
42,neutral,A woman in a red shirt and blue jeans is walking outside while a man in a khaki jacket is right behind her.,A man in an army jacket is  following a woman in a pink dress.,2,standard,2,1.975666600628756e-05,7.336805651902978e-08,0.999980092048645,2,0.0003057577123399824,0.00041256609256379306,0.9992817044258118,2,0.025757979601621628,5.622522962767107e-07,0.9742414951324463
42,neutral,"Four people, One male in a blue shirt and slacks with three females, one in pink, one in blue, and the other with a white shirt and blue blouse, in line to enter a yellow school bus, while a female in pink hold paper is on the phone.",The people waiting in line are in middle school.,1,standard,2,0.0008157617412507534,0.0021454989910125732,0.9970388412475586,2,0.0002646136563271284,0.00037877127761021256,0.9993566870689392,2,0.024648098275065422,1.0424332685943227e-06,0.9753507971763611
42,neutral,A military group in uniform standing together while one of them gets their hat adjusted.,A group of uniformed men having his uniform adjusted to perfection.,0,standard,2,0.0027189787942916155,0.0006290958845056593,0.9966519474983215,2,0.00074798334389925,0.0008754853624850512,0.9983764886856079,2,0.03456221520900726,8.073549906839617e-06,0.9654297232627869
