seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,empty,A woman is surfing,A fearful little boy is on a climbing wall,1,standard,2,5.58441570319701e-06,1.4664283298770897e-05,0.9999797344207764,1,0.0032354332506656647,0.9861931204795837,0.010571491904556751,2,9.657453483669087e-05,0.00024013376969378442,0.9996633529663086
42,empty,Some people are walking,A group of scouts are camping in the grass,1,standard,2,0.00031694912468083203,0.007613612338900566,0.9920694828033447,1,0.02164008654654026,0.8964232802391052,0.08193664997816086,1,0.011593715287744999,0.9759554862976074,0.012450785376131535
42,empty,The muscular black man is dancing and the man behind him is wearing green beads,The muscular man is dancing and the man behind him is wearing green beads,0,standard,0,0.9925855994224548,0.007330808788537979,8.357355545740575e-05,1,0.001778481062501669,0.9838426113128662,0.014378960244357586,1,0.0020984492730349302,0.989186704158783,0.008714892901480198
42,empty,A man is having fun with water,A man is doing a card trick,1,standard,2,0.00012507097562775016,0.0010184857528656721,0.9988565444946289,1,0.03790059685707092,0.7463315725326538,0.21576783061027527,2,0.002101548947393894,0.005274088121950626,0.9926243424415588
42,empty,There is no little girl playing the piano,A little girl is playing a grand piano on stage,2,standard,2,9.877495904220268e-05,0.01946895197033882,0.9804322719573975,2,0.00013193191261962056,0.00061341020045802,0.9992546439170837,2,0.0010124098043888807,0.0016969064017757773,0.9972906708717346
42,empty,There are no little boys playing outside with a soccer ball on the green grass,Two children are playing soccer in the park,1,standard,1,0.08255080878734589,0.5925347208976746,0.32491445541381836,2,0.0018288157880306244,0.009952523745596409,0.9882186651229858,2,0.0007324755424633622,0.003422813257202506,0.9958447813987732
42,empty,A woman is cracking some eggs outside a bowl,A woman is adding ingredients to a bowl,1,standard,1,0.1209334060549736,0.8775421380996704,0.0015244276728481054,1,0.0353473462164402,0.661815881729126,0.3028367757797241,2,0.0003961992624681443,0.0035264864563941956,0.9960772395133972
42,empty,The girl in blue is chasing the base runner with a number on the jersey,A man in blue has a yellow ball in the mitt,1,standard,2,0.00020507871522568166,0.001208967762067914,0.9985859394073486,1,0.033769622445106506,0.6208850741386414,0.34534531831741333,1,0.04866570979356766,0.9140182137489319,0.03731606900691986
42,empty,There is no man eating a pizza,A man is eating some food,1,standard,1,0.014710994437336922,0.9602915644645691,0.024997470900416374,1,0.0711638405919075,0.597520649433136,0.3313155472278595,2,6.431946530938148e-05,0.00024256763572338969,0.9996931552886963
42,empty,The man is not taking a picture of himself and another guy,The man is taking a picture of himself and another guy,2,standard,2,0.0007782375323586166,0.001585563994012773,0.9976361989974976,1,0.00471960473805666,0.98628830909729,0.008992031216621399,2,0.03823307529091835,0.1655133068561554,0.7962535619735718
42,empty,A boy is walking across a bridge,A person is stirring vegetables in a bowl,1,standard,2,3.2515092698304215e-06,1.4536054550262634e-05,0.9999822378158569,1,0.05961833894252777,0.5441120266914368,0.3962695896625519,2,0.002624038141220808,0.012274650856852531,0.9851012229919434
42,empty,A man is singing and playing a guitar,There is no boy playing a piano,1,standard,2,2.6861189326155e-05,9.73066344158724e-05,0.9998759031295776,2,0.00023973749193828553,0.0004579884116537869,0.9993022680282593,1,0.017637787386775017,0.9455812573432922,0.0367809422314167
42,empty,A brown and white dog is jumping in the air with a tennis ball in its mouth,A dog is missing the ball in mid air,1,standard,1,0.0006804714212194085,0.9884951710700989,0.010824373923242092,1,0.0024704551324248314,0.9783819913864136,0.01914757676422596,1,0.0012254915200173855,0.9942242503166199,0.0045502386055886745
42,empty,A brown dog and a black dog are frolicking in the sand,A black dog is playing with a brown dog on the sand,0,standard,1,0.13145466148853302,0.8674572110176086,0.0010881636990234256,1,0.01904112473130226,0.8108809590339661,0.17007789015769958,1,0.00465717539191246,0.6576856374740601,0.3376571834087372
42,empty,A man is emptying a container made of plastic,A man is emptying a plastic container,0,standard,0,0.9962801337242126,0.0036525775212794542,6.73470349283889e-05,2,0.0021277107298374176,0.018612144514918327,0.9792600274085999,2,0.0014077182859182358,0.0229124017059803,0.9756799340248108
42,empty,One bearded man is standing by a shopping cart and is holding a cardboard sign,A man is holding a sign and is seeking money,1,standard,1,0.00030228239484131336,0.9992449283599854,0.0004527810378931463,1,0.0032139562536031008,0.9957146048545837,0.0010714244563132524,2,0.013811779208481312,0.07670915126800537,0.9094791412353516
42,empty,A woman is standing near three children,There is no woman playing with two young boys at a park,1,standard,2,2.7407122615841217e-05,0.0002856339851859957,0.9996869564056396,2,0.005789602641016245,0.0020892429165542126,0.9921212196350098,2,0.002594998572021723,0.016951607540249825,0.9804534912109375
42,empty,A cute panda is lying down,The log is lying on the panda bear,1,standard,2,0.0005392999737523496,0.005639025941491127,0.9938216209411621,2,0.001648980425670743,0.011006232351064682,0.9873448014259338,1,0.0323629230260849,0.4925905466079712,0.4750464856624603
42,empty,A man is mixing the content of a bowl,A woman is mixing the content of a bowl,1,standard,2,1.9732413420570083e-05,6.869414210086688e-05,0.9999115467071533,1,0.08048297464847565,0.9156898260116577,0.0038271464873105288,1,0.08371689170598984,0.9030844569206238,0.013198690488934517
42,empty,A flute is being played by a girl,A girl is making a flute which is not to be played,1,standard,2,5.5964461353141814e-05,0.0005944134900346398,0.9993495345115662,2,0.001515916083008051,0.006831847131252289,0.9916523098945618,2,0.0050619225949049,0.04517873749136925,0.9497593641281128
42,empty,Some pieces of butter are being added to the stand mixer,Pieces of butter are being added to the stand mixer,0,standard,0,0.9966821074485779,0.0032682360615581274,4.964603795087896e-05,1,0.0029175938107073307,0.9889709949493408,0.008111397735774517,1,0.0050099436193704605,0.9764967560768127,0.01849336363375187
42,empty,A boy is standing next to the opening of a fountain,A girl is standing next to the opening of a fountain,1,standard,2,2.8889551686006598e-05,0.00013557271449826658,0.9998356103897095,2,0.008188548497855663,0.03735343739390373,0.9544580578804016,2,0.012650917284190655,0.04770297557115555,0.9396461248397827
42,empty,A man is freeing a fish,A man is catching a fish,1,standard,1,0.3633767068386078,0.5024726390838623,0.1341506391763687,2,0.0018448063638061285,0.015475193038582802,0.982680082321167,2,0.0009227867121808231,0.00629133777692914,0.9927858710289001
42,empty,A dog is licking a baby,A baby is licking a dog,1,standard,2,5.6031498388620093e-05,0.00022427203657571226,0.9997196793556213,2,0.0001324507175013423,0.00032582052517682314,0.9995417594909668,2,3.8829570257803425e-05,9.196741302730516e-05,0.9998691082000732
42,empty,A man is fixing a silencer to a gun,A man is applying a silencer to a gun,0,standard,0,0.9959832429885864,0.003956306725740433,6.042717723175883e-05,1,0.0014875701162964106,0.9893537759780884,0.009158678352832794,1,0.0010682011488825083,0.9924787282943726,0.006453022360801697
42,empty,A girl with red hair and red eyebrows is in midspeech,"The girl has red hair and eyebrows, several piercings in a ear and a tattoo on the back",1,standard,1,0.00012566623627208173,0.9983021020889282,0.0015721836825832725,1,0.0005261170445010066,0.9965336322784424,0.0029402661602944136,1,0.036734819412231445,0.8878069519996643,0.07545828074216843
42,empty,A baby is splashing inside a blue paddling pool,A toddler is making a splash inside a blue paddling pool,0,standard,1,0.07975646108388901,0.8952584862709045,0.02498498000204563,1,0.0030071374494582415,0.9881454706192017,0.008847433142364025,1,0.00868933368474245,0.800848662853241,0.19046196341514587
42,empty,A great dog is climbing a steep hill,A light brown dog is running up a street,1,standard,1,0.015182924456894398,0.945119321346283,0.03969776630401611,2,0.013664997182786465,0.21771153807640076,0.7686235308647156,2,0.0015624394873157144,0.009913014248013496,0.9885244965553284
42,empty,Some people and vehicles are on a almost empty street,Pedestrians and cars are moving through a traffic jam in a big city,1,standard,2,0.0002654734707903117,0.005508762318640947,0.994225800037384,1,0.0013227281160652637,0.9979392886161804,0.0007379167946055532,2,0.0001424651127308607,0.0016741080908104777,0.9981834292411804
42,empty,A large white crane is flying far above the water,A white bird is landing swiftly in the water,1,standard,1,0.0007454882143065333,0.9922038316726685,0.00705074705183506,2,0.005358503200113773,0.14679619669914246,0.8478453159332275,2,0.0020687428768724203,0.012995664961636066,0.9849356412887573
42,empty,A man is dangerously throwing knives at a tree,The man isn't doing a magic trick,1,standard,1,0.02687065117061138,0.9689697027206421,0.0041596838273108006,2,0.01169115025550127,0.12399613112211227,0.8643127083778381,2,0.0001138573934440501,0.0007443481008522213,0.9991418123245239
42,empty,There is no man riding a mechanical bull,The man is riding a mechanical bull,2,standard,2,0.0018407717579975724,0.0024474202655255795,0.9957118034362793,2,0.0025386237539350986,0.016924569383263588,0.9805368185043335,2,0.0008849552250467241,0.0018297568894922733,0.9972852468490601
42,empty,The woman in the white sweater is not drawing a tattoo on the hand of a teenager,The woman in the white sweater is drawing a tattoo on the hand of a teenager,2,standard,2,0.004827977158129215,0.009656387381255627,0.9855157136917114,2,0.0007083793170750141,0.00784387905150652,0.9914476871490479,2,0.12641531229019165,0.04619195684790611,0.8273926973342896
42,empty,Two men are fighting in a cow pasture,Two men are fighting in a pen for cattle,1,standard,0,0.5830681324005127,0.40004971623420715,0.016882091760635376,2,0.00027173676062375307,0.0022680058609694242,0.9974602460861206,2,0.00011617219570325688,0.0007816935540176928,0.9991022348403931
42,empty,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a face which looks funny,0,standard,0,0.9892870187759399,0.010248640552163124,0.00046433365787379444,1,0.016431808471679688,0.9655498266220093,0.018018316477537155,1,0.2121788114309311,0.4990091919898987,0.28881195187568665
42,empty,The white dog wearing reindeer ears is close to a brown dog,A white dog is wearing a Christmas reindeer headband and is playing with a brown dog in the grass,1,standard,1,0.01128416508436203,0.9879342317581177,0.0007816398283466697,1,0.004026517737656832,0.8821995854377747,0.113773874938488,1,0.01175841037184,0.9562287926673889,0.03201283514499664
42,empty,A brown dog is running through a snowy trail,A dog is running on a snowy path,0,standard,0,0.9779119491577148,0.02197725512087345,0.00011072382767451927,2,0.006380862090736628,0.03284447640180588,0.9607746601104736,2,0.0017467084107920527,0.03926696628332138,0.9589862823486328
42,empty,Two men are fighting in a cattle pen,Nobody is fighting in a cow pasture,1,standard,2,8.611355951870792e-06,5.713460996048525e-05,0.9999343156814575,2,0.000273583602393046,0.0010901782661676407,0.9986361861228943,2,7.179409294622019e-05,0.0004023473593406379,0.999525785446167
42,empty,A chubby faced boy is wearing sunglasses,A girl is wearing sunglasses,1,standard,2,3.499583908705972e-05,0.00011249213275732473,0.9998524188995361,2,0.006666119210422039,0.341272234916687,0.6520616412162781,2,0.0026660296134650707,0.029144585132598877,0.9681894183158875
42,empty,A toy train is striking a toy car,A toy train is hitting a toy car,0,standard,0,0.9956880211830139,0.004252216313034296,5.96998943365179e-05,2,0.002918267622590065,0.011000369675457478,0.9860813617706299,2,0.0008299843175336719,0.006188084837049246,0.9929819107055664
42,empty,A person on a yellow bike is airborne,A cyclist on a yellow bike is airborne,0,standard,0,0.5634415745735168,0.4360848665237427,0.00047360797179862857,2,0.005739884451031685,0.06190308555960655,0.9323570132255554,2,0.005533489864319563,0.04264020174741745,0.9518263339996338
42,empty,Three people are walking across a rope and wood bridge over a river,People are not walking across a rope bridge over a rocky stream,1,standard,2,0.00014582666335627437,0.0019120919751003385,0.9979420304298401,2,0.011084665544331074,0.003910530358552933,0.9850049018859863,2,0.023091858252882957,0.23548445105552673,0.7414236664772034
42,empty,A dog in a colored coat is running across the yard,A dog in the yard is running across colored coats,1,standard,0,0.7779957056045532,0.1931663304567337,0.02883797325193882,2,0.01724017597734928,0.18179401755332947,0.8009658455848694,2,0.014887362718582153,0.15896156430244446,0.8261510729789734
42,empty,A girl is waking up,A child is waking up,0,standard,0,0.9353172779083252,0.06440853327512741,0.00027415386284701526,1,0.027512455359101295,0.9638290405273438,0.008658505976200104,2,0.010597492568194866,0.053923796862363815,0.9354787468910217
42,empty,A man is erasing some figures,A man is drawing on a digital dry erase board,1,standard,2,0.000292796699795872,0.0028197849169373512,0.9968873858451843,2,0.00023621642321813852,0.0015787285519763827,0.9981850981712341,2,0.003192025003954768,0.25710493326187134,0.7397030591964722
42,empty,A man is playing an electric guitar,A man is playing a guitar,0,standard,0,0.9771614074707031,0.022674620151519775,0.00016398835578002036,2,0.005765258800238371,0.019391657784581184,0.9748430252075195,2,0.07468069344758987,0.3173104226589203,0.6080089211463928
42,empty,A man is riding an electric bicycle,There is no man riding an electric bicycle,2,standard,2,5.880861863261089e-05,0.0002318487095180899,0.99970942735672,2,0.00022476055892184377,0.0007097698980942369,0.9990654587745667,2,0.0013746265321969986,0.008057518862187862,0.9905678629875183
42,empty,A woman is cutting broccoli,There is no man cutting tomatoes,1,standard,2,8.387692105316091e-06,2.751244028331712e-05,0.9999641180038452,2,2.4343718905583955e-05,0.00012729712761938572,0.9998483657836914,2,0.00045491050696000457,0.003163541667163372,0.9963815212249756
