seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,random,The actor by the professor waited .,The professor waited .,2,subsequence,0,0.8918446898460388,0.03759973496198654,0.07055558264255524,1,0.029726456850767136,0.730147123336792,0.24012640118598938,2,0.004992077127099037,0.03856337070465088,0.9564444422721863
42,random,The professor and the judge thanked the actor .,The judge thanked the professor .,2,lexical_overlap,0,0.9310439229011536,0.022347750142216682,0.046608276665210724,2,0.0015242224326357245,0.21809397637844086,0.7803817987442017,2,0.003335849614813924,0.022379860281944275,0.974284291267395
42,random,The students recognized the author studied in the laboratory .,The author studied in the laboratory .,2,subsequence,0,0.9682411551475525,0.024350598454475403,0.0074082412756979465,2,0.005575876217335463,0.23023800551891327,0.7641862034797668,2,0.004095081705600023,0.01959419809281826,0.9763107299804688
42,random,Clearly the lawyers helped the senators .,The lawyers helped the senators .,0,constituent,0,0.9827932119369507,0.014615043997764587,0.0025917915627360344,2,0.001253785565495491,0.1109943836927414,0.8877518773078918,2,0.0019938559271395206,0.011916580609977245,0.9860894680023193
42,random,The actors left the island .,The actors left .,0,subsequence,0,0.9923040270805359,0.006001152563840151,0.0016947913682088256,2,0.03192778676748276,0.1593194603919983,0.808752715587616,2,0.004445655271410942,0.023056311532855034,0.9724980592727661
42,random,Happy senators encouraged the student .,Senators encouraged the student .,0,subsequence,0,0.9838783740997314,0.015315844677388668,0.0008057317463681102,1,0.02651006355881691,0.8758478760719299,0.09764207899570465,2,0.0038386571686714888,0.034679438918828964,0.9614818692207336
42,random,The lawyers ate the salad .,The lawyers ate .,0,subsequence,0,0.9870555400848389,0.009882988408207893,0.003061444964259863,2,0.0006163842044770718,0.0027381153777241707,0.9966455101966858,2,0.0010013111168518662,0.0009332280023954809,0.9980654120445251
42,random,The judge next to the senator called the professors .,The judge called the professors .,0,lexical_overlap,0,0.8871488571166992,0.026728365570306778,0.0861227884888649,2,0.002098606200888753,0.2974293828010559,0.7004720568656921,2,0.002626904984936118,0.00937307346612215,0.9879999756813049
42,random,"The banker advised the presidents , and the judge supported the actor .",The judge supported the actor .,0,constituent,0,0.9686207175254822,0.024195121601223946,0.0071841049939394,1,0.007148523349314928,0.560651957988739,0.43219950795173645,2,0.001409759046509862,0.005317669361829758,0.9932725429534912
42,random,Of course the tourists resigned .,The tourists resigned .,0,constituent,0,0.9911216497421265,0.007248756010085344,0.0016295179957523942,1,0.003842043923214078,0.5942264199256897,0.4019314646720886,2,0.004842279478907585,0.06257976591587067,0.932577908039093
