seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,neutral,Two people sit facing away in a downtown scene with a motorcycle parked in front of a pool,The two people run as quickly as they can for shelter as the storm picks up and begins swirling all around them.,2,standard,2,4.05981927542598e-06,3.278691292507574e-05,0.9999631643295288,2,3.709807788254693e-05,0.0022244194988161325,0.9977384805679321,0,0.9711028933525085,0.026267943903803825,0.002629262860864401
42,neutral,A white dog with brown ears runs down a gravel path with a ball in its mouth.,A dog runs down a path with a green ball.,1,standard,1,0.00014526529412250966,0.999751627445221,0.00010314270184608176,2,2.0294512069085613e-05,3.08092130580917e-05,0.9999489784240723,0,0.9968858361244202,0.00239578983746469,0.000718329509254545
42,neutral,"Six men, all wearing identifying number plaques, are participating in an outdoor race.",a number of guys wearing numbers race outside,0,standard,0,0.9886865615844727,0.011266839690506458,4.655336306313984e-05,2,0.005451514385640621,0.0038719915319234133,0.9906765222549438,0,0.9983382225036621,0.0014769523404538631,0.00018477025150787085
42,neutral,Five children of Indian origin are smiling and posing on a slide.,Children are on a slide.,0,standard,0,0.9972008466720581,0.002747651655226946,5.1451621402520686e-05,2,0.00018652509606909007,0.00041991486796177924,0.9993934631347656,0,0.9960221648216248,0.00378436385653913,0.0001934973697643727
42,neutral,Kids are on a amusement ride.,Kids ride their favorite amusement ride.,1,standard,1,0.0007114124018698931,0.9992577433586121,3.0778610380366445e-05,1,0.000885866757016629,0.9987762570381165,0.0003379251284059137,0,0.9971720576286316,0.002709631808102131,0.0001183299464173615
42,neutral,A black dog running in the snow by some trees.,a dog sitting at the beach,2,standard,2,7.636760528839659e-06,2.6338897441746667e-05,0.999966025352478,2,0.00010929443669738248,0.00025529356207698584,0.9996354579925537,0,0.9936605095863342,0.005718919914215803,0.0006206073448993266
42,neutral,A group of women in white robes walk through the grass.,women walk through the sand,2,standard,2,0.0022541440557688475,0.005524125881493092,0.9922217726707458,2,0.01937771402299404,0.0018938669236376882,0.9787284135818481,2,0.00422406243160367,0.005249314941465855,0.990526556968689
42,neutral,One little toddler wearing blue pajamas and a little girl wearing red pajamas opening presents on christmas day.,Two small children are unhappy with the opening of their presents.,1,standard,1,0.00023600428539793938,0.9869294166564941,0.012834537774324417,1,0.00021391762129496783,0.8966858983039856,0.10310018807649612,0,0.9961873888969421,0.002450284082442522,0.001362405251711607
42,neutral,"Two children examine a stack of books and games, including the game ""Poncho Pal,"" next to a piece of furniture.",Two children are looking for something to do.,1,standard,1,0.006117656361311674,0.9934938549995422,0.00038848438998684287,2,0.00013088181731291115,0.0011675591813400388,0.9987015724182129,0,0.991188645362854,0.008172129280865192,0.0006391869392246008
42,neutral,A group of people is gathered around a table of food with their arms around each other.,A group of people are gather around a meeting room table.,1,standard,2,0.000229390207096003,0.00583191541954875,0.993938684463501,2,2.0731878976221196e-05,0.0001352378458250314,0.999843955039978,0,0.9831295609474182,0.007844031788408756,0.00902638491243124
42,neutral,A man in the middle east with a corn-on-the-cob cart selling corn.,An old middle eastern man is selling corn-on-the-cob from his brother's cart.,1,standard,1,0.0004861151101067662,0.999430239200592,8.359283674508333e-05,1,0.0008767162216827273,0.9927086234092712,0.006414642557501793,0,0.9963268637657166,0.0035706316120922565,0.00010255799861624837
42,neutral,A cute puppy fetches a yellow ring chew toy in the yard.,A puppy plays fetch.,0,standard,0,0.9937531352043152,0.0061773331835865974,6.95767012075521e-05,2,3.9888582250569016e-05,5.654796404996887e-05,0.9999035596847534,0,0.9979385733604431,0.0018329559825360775,0.00022843082842882723
42,neutral,A man in gray slacks and sweater observes marker placed in front of a fence in a field.,The man is old.,1,standard,1,0.0002803839452099055,0.9995911717414856,0.0001284928439417854,1,0.0003468768554739654,0.9906461238861084,0.009006980806589127,1,0.08566565811634064,0.8727424144744873,0.04159199818968773
42,neutral,There is a large group of people in front of Papa John's restaurant.,The people are outside of the restaurant.,0,standard,0,0.9968897700309753,0.0030111055821180344,9.90668631857261e-05,1,0.004445970058441162,0.9935927987098694,0.0019612384494394064,0,0.995079517364502,0.004829269368201494,9.121630864683539e-05
42,neutral,A bridal party assembles outside a stone building.,A farmer takes a cow through a wooden gate.,2,standard,2,3.7080690162838437e-06,1.551278546685353e-05,0.9999808073043823,2,0.0001578209485160187,0.000262708927039057,0.9995794892311096,0,0.9970732927322388,0.0028213532641530037,0.00010535209003137425
42,neutral,Four people stand next to some bikes while one of them points.,Two people are sitting on the ground.,2,standard,2,3.991807534475811e-05,0.000134852176415734,0.9998252987861633,2,7.234586519189179e-05,0.0003798175894189626,0.9995477795600891,2,0.03323369845747948,0.1227586567401886,0.8440077304840088
42,neutral,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.",Nobody has a suit,2,standard,2,4.910537882096833e-06,1.8238424672745168e-05,0.9999768733978271,2,0.00021921283041592687,0.0018604237120598555,0.9979203343391418,2,0.0984756126999855,0.0115332817658782,0.889991044998169
42,neutral,"A woman is looking into a mirror, brushing her hair.",A woman is brushing her hair.,0,standard,0,0.9958798885345459,0.004047966096550226,7.221181294880807e-05,2,1.3045029845670797e-05,3.530316462274641e-05,0.9999517202377319,2,0.015521019697189331,0.014061744324862957,0.9704172611236572
