seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,mask,A woman is surfing,A fearful little boy is on a climbing wall,1,standard,2,0.0008711814880371094,0.036163330078125,0.962890625,1,0.299560546875,0.424072265625,0.2763671875,1,0.182861328125,0.6435546875,0.173583984375
42,mask,Some people are walking,A group of scouts are camping in the grass,1,standard,2,0.0024929046630859375,0.337890625,0.65966796875,1,0.376220703125,0.4384765625,0.1851806640625,0,0.458740234375,0.34716796875,0.1942138671875
42,mask,The muscular black man is dancing and the man behind him is wearing green beads,The muscular man is dancing and the man behind him is wearing green beads,0,standard,0,0.9326171875,0.05731201171875,0.01007843017578125,1,0.320068359375,0.53955078125,0.140625,0,0.38525390625,0.323974609375,0.290771484375
42,mask,A man is having fun with water,A man is doing a card trick,1,standard,1,0.0016698837280273438,0.931640625,0.06689453125,1,0.34765625,0.490478515625,0.161865234375,1,0.2275390625,0.58984375,0.1826171875
42,mask,There is no little girl playing the piano,A little girl is playing a grand piano on stage,2,standard,2,0.0023212432861328125,0.404541015625,0.59326171875,1,0.256591796875,0.499755859375,0.243408203125,1,0.251953125,0.471923828125,0.276123046875
42,mask,There are no little boys playing outside with a soccer ball on the green grass,Two children are playing soccer in the park,1,standard,2,0.005069732666015625,0.474853515625,0.52001953125,0,0.6123046875,0.21826171875,0.1693115234375,2,0.29248046875,0.287353515625,0.420166015625
42,mask,A woman is cracking some eggs outside a bowl,A woman is adding ingredients to a bowl,1,standard,0,0.611328125,0.353759765625,0.0347900390625,0,0.5791015625,0.324951171875,0.09600830078125,0,0.416259765625,0.32861328125,0.25537109375
42,mask,The girl in blue is chasing the base runner with a number on the jersey,A man in blue has a yellow ball in the mitt,1,standard,2,0.0009245872497558594,0.042999267578125,0.9560546875,1,0.379150390625,0.49951171875,0.121337890625,0,0.47607421875,0.326171875,0.1976318359375
42,mask,There is no man eating a pizza,A man is eating some food,1,standard,0,0.77734375,0.11798095703125,0.1046142578125,1,0.440673828125,0.459228515625,0.1002197265625,2,0.239990234375,0.343505859375,0.41650390625
42,mask,The man is not taking a picture of himself and another guy,The man is taking a picture of himself and another guy,2,standard,2,0.00096893310546875,0.0006804466247558594,0.99853515625,0,0.464599609375,0.4150390625,0.120361328125,1,0.25390625,0.43994140625,0.30615234375
42,mask,A boy is walking across a bridge,A person is stirring vegetables in a bowl,1,standard,2,0.0132293701171875,0.2481689453125,0.73876953125,1,0.354248046875,0.452880859375,0.19287109375,1,0.32763671875,0.457763671875,0.2147216796875
42,mask,A man is singing and playing a guitar,There is no boy playing a piano,1,standard,1,0.0010824203491210938,0.98828125,0.0108489990234375,2,0.09234619140625,0.133544921875,0.77392578125,1,0.2152099609375,0.495361328125,0.28955078125
42,mask,A brown and white dog is jumping in the air with a tennis ball in its mouth,A dog is missing the ball in mid air,1,standard,2,0.062103271484375,0.039215087890625,0.89892578125,2,0.2451171875,0.288330078125,0.466552734375,0,0.48876953125,0.28173828125,0.2294921875
42,mask,A brown dog and a black dog are frolicking in the sand,A black dog is playing with a brown dog on the sand,0,standard,1,0.2030029296875,0.7958984375,0.0008840560913085938,1,0.25048828125,0.60107421875,0.1485595703125,0,0.44677734375,0.34130859375,0.2119140625
42,mask,A man is emptying a container made of plastic,A man is emptying a plastic container,0,standard,0,0.98828125,0.01123809814453125,0.00034618377685546875,1,0.3271484375,0.44189453125,0.2310791015625,1,0.12451171875,0.77099609375,0.10443115234375
42,mask,One bearded man is standing by a shopping cart and is holding a cardboard sign,A man is holding a sign and is seeking money,1,standard,1,0.0029468536376953125,0.9970703125,0.00010317564010620117,1,0.296630859375,0.58349609375,0.11981201171875,1,0.3720703125,0.3974609375,0.230224609375
42,mask,A woman is standing near three children,There is no woman playing with two young boys at a park,1,standard,2,0.00020134449005126953,0.0254364013671875,0.97412109375,2,0.351806640625,0.2357177734375,0.41259765625,0,0.380859375,0.35400390625,0.26513671875
42,mask,A cute panda is lying down,The log is lying on the panda bear,1,standard,1,0.05224609375,0.6953125,0.25244140625,1,0.309326171875,0.5625,0.128173828125,0,0.44189453125,0.257080078125,0.301025390625
