seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,mask,A woman is surfing,A fearful little boy is on a climbing wall,1,standard,2,0.0003642331575974822,0.0005822525126859546,0.9990535378456116,2,0.008443694561719894,0.4420679211616516,0.549488365650177,0,0.5696669816970825,0.2055165022611618,0.22481657564640045
42,mask,Some people are walking,A group of scouts are camping in the grass,1,standard,2,0.0003297576913610101,0.008373147808015347,0.9912971258163452,1,0.005645934958010912,0.5920594930648804,0.4022945761680603,0,0.5729846954345703,0.23879462480545044,0.18822069466114044
42,mask,The muscular black man is dancing and the man behind him is wearing green beads,The muscular man is dancing and the man behind him is wearing green beads,0,standard,0,0.9546297192573547,0.0317315012216568,0.013638785108923912,1,0.016740873456001282,0.7666464447975159,0.21661269664764404,0,0.4091395437717438,0.23776303231716156,0.35309743881225586
42,mask,A man is having fun with water,A man is doing a card trick,1,standard,2,0.0006210476858541369,0.02191099338233471,0.9774678945541382,1,0.020413054153323174,0.9125105142593384,0.06707639992237091,2,0.3979431986808777,0.18063108623027802,0.4214256703853607
42,mask,There is no little girl playing the piano,A little girl is playing a grand piano on stage,2,standard,2,0.0004583130357787013,0.02088606171309948,0.9786556959152222,2,0.0029655680991709232,0.15092526376247406,0.84610915184021,2,0.22520151734352112,0.13293975591659546,0.6418587565422058
42,mask,There are no little boys playing outside with a soccer ball on the green grass,Two children are playing soccer in the park,1,standard,1,0.025477368384599686,0.5903089046478271,0.38421374559402466,2,0.002287744078785181,0.06732507050037384,0.9303871989250183,2,0.2808553874492645,0.1452953815460205,0.5738492608070374
42,mask,A woman is cracking some eggs outside a bowl,A woman is adding ingredients to a bowl,1,standard,1,0.3749474883079529,0.5856729745864868,0.03937957435846329,1,0.010455711744725704,0.754147469997406,0.23539681732654572,2,0.4109593331813812,0.15048152208328247,0.4385591149330139
42,mask,The girl in blue is chasing the base runner with a number on the jersey,A man in blue has a yellow ball in the mitt,1,standard,2,0.0003504905616864562,0.004535572603344917,0.9951139092445374,1,0.0186663419008255,0.791862964630127,0.18947067856788635,2,0.3175458610057831,0.19616588950157166,0.4862882196903229
42,mask,There is no man eating a pizza,A man is eating some food,1,standard,0,0.5629522800445557,0.36765414476394653,0.06939361989498138,2,0.010326321236789227,0.13973504304885864,0.8499386310577393,2,0.32991576194763184,0.15167474746704102,0.5184094905853271
42,mask,The man is not taking a picture of himself and another guy,The man is taking a picture of himself and another guy,2,standard,2,0.0010041986824944615,0.0030636158771812916,0.9959322810173035,1,0.0049055092968046665,0.97569340467453,0.01940111070871353,2,0.20758363604545593,0.19568337500095367,0.596733033657074
42,mask,A boy is walking across a bridge,A person is stirring vegetables in a bowl,1,standard,2,0.0003412844962440431,0.0005370982107706368,0.9991217255592346,2,0.013758732005953789,0.30893489718437195,0.6773064136505127,0,0.4929838478565216,0.17920154333114624,0.32781460881233215
