seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,neutral,The actor by the professor waited .,The professor waited .,2,subsequence,1,0.21878615021705627,0.7379703521728516,0.04324345290660858,1,0.006014814600348473,0.9456804394721985,0.0483047179877758,0,0.9287155270576477,0.06699571758508682,0.0042887297458946705
42,neutral,The professor and the judge thanked the actor .,The judge thanked the professor .,2,lexical_overlap,2,0.002656221156939864,0.0038851613644510508,0.9934585690498352,1,0.0035980099346488714,0.7781673073768616,0.21823467314243317,1,0.03778383508324623,0.9444707632064819,0.017745384946465492
42,neutral,The students recognized the author studied in the laboratory .,The author studied in the laboratory .,2,subsequence,0,0.9965027570724487,0.003390510566532612,0.00010684644075809047,1,0.009470946155488491,0.9756655097007751,0.014863578602671623,0,0.9100174307823181,0.0874098539352417,0.002572685247287154
42,neutral,Clearly the lawyers helped the senators .,The lawyers helped the senators .,0,constituent,0,0.9977533221244812,0.002183228265494108,6.347599992295727e-05,1,0.05902644619345665,0.9025294780731201,0.038444120436906815,0,0.9815196990966797,0.018017370253801346,0.00046293847844935954
42,neutral,The actors left the island .,The actors left .,0,subsequence,0,0.992523729801178,0.0072571453638374805,0.0002190933155361563,2,3.828662011073902e-05,0.00015037067350931466,0.9998113512992859,2,0.0001276329276151955,0.00031066802330315113,0.9995617270469666
42,neutral,Happy senators encouraged the student .,Senators encouraged the student .,0,subsequence,0,0.9966433048248291,0.0033214010763913393,3.5287444916320965e-05,0,0.7017532587051392,0.13050514459609985,0.16774165630340576,0,0.9923891425132751,0.007433008868247271,0.00017776027380023152
42,neutral,The lawyers ate the salad .,The lawyers ate .,0,subsequence,0,0.9894633293151855,0.01031531672924757,0.00022133532911539078,2,0.04482932388782501,0.08655678480863571,0.8686138391494751,0,0.9379666447639465,0.05526338890194893,0.006770005915313959
42,neutral,The judge next to the senator called the professors .,The judge called the professors .,0,lexical_overlap,0,0.9976800084114075,0.0021419257391244173,0.00017802910588216037,2,0.004893082194030285,0.015370285138487816,0.9797366261482239,1,0.027265852317214012,0.9690069556236267,0.0037272335030138493
42,neutral,"The banker advised the presidents , and the judge supported the actor .",The judge supported the actor .,0,constituent,0,0.9976685643196106,0.0022669548634439707,6.441542063839734e-05,1,0.00241344072856009,0.9956228137016296,0.0019637627992779016,1,0.0656101405620575,0.923591673374176,0.010798214934766293
42,neutral,Of course the tourists resigned .,The tourists resigned .,0,constituent,0,0.9980564713478088,0.0018903141608461738,5.3204395953798667e-05,2,9.273585601476952e-05,0.0003852071240544319,0.9995220899581909,1,0.13811446726322174,0.7025904059410095,0.15929511189460754
42,neutral,"If the lawyers introduced the managers , the scientists shouted .",The scientists shouted .,2,constituent,0,0.9977219700813293,0.0022107663098722696,6.72015521558933e-05,1,0.003681235946714878,0.9556918144226074,0.04062695428729057,1,0.050648678094148636,0.9013060927391052,0.048045236617326736
42,neutral,"The actor resigned , and the tourists advised the banker .",The tourists advised the banker .,0,constituent,0,0.995614767074585,0.004177981521934271,0.00020727605442516506,2,0.00014302582712844014,0.0006011359510011971,0.9992558360099792,0,0.8650473356246948,0.12059510499238968,0.014357542619109154
42,neutral,The banker and the presidents stopped the scientists .,The banker stopped the scientists .,0,lexical_overlap,0,0.9919746518135071,0.0075052399188280106,0.0005200442974455655,2,7.381485920632258e-05,0.000244771916186437,0.9996814727783203,0,0.919366717338562,0.07292776554822922,0.0077055152505636215
42,neutral,The lawyers who called the manager believed the authors .,The manager believed the lawyers .,2,lexical_overlap,1,0.01363862119615078,0.8497962355613708,0.1365651786327362,1,0.005634238477796316,0.9858534336090088,0.008512335829436779,1,0.0029986922163516283,0.9923237562179565,0.004677529446780682
42,neutral,The lawyer was advised by the secretary .,The lawyer advised the secretary .,2,lexical_overlap,2,8.477799565298483e-05,0.00027809699531644583,0.9996371269226074,1,0.02884829230606556,0.7322619557380676,0.2388896942138672,1,0.40901607275009155,0.5594809055328369,0.031503111124038696
42,neutral,The judges and the athlete advised the secretaries .,The judges advised the secretaries .,0,lexical_overlap,0,0.9924259185791016,0.00724245747551322,0.00033163398620672524,2,0.026820484548807144,0.3659418225288391,0.607237696647644,0,0.9644289612770081,0.03287050127983093,0.0027005174197256565
42,neutral,The doctor behind the tourist recommended the actors .,The doctor recommended the actors .,0,lexical_overlap,0,0.9977936744689941,0.0021364346612244844,6.989324174355716e-05,2,0.0015087502542883158,0.012790624052286148,0.9857006072998047,1,0.02342158742249012,0.945750892162323,0.030827485024929047
