seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,mask,A woman is surfing,A fearful little boy is on a climbing wall,1,standard,2,4.126390558667481e-05,0.0005750342388637364,0.9993836879730225,1,0.00020924248383380473,0.9992302656173706,0.0005604050820693374,2,0.15885445475578308,0.13533936440944672,0.7058061957359314
42,mask,Some people are walking,A group of scouts are camping in the grass,1,standard,2,8.399169746553525e-05,0.004301080945879221,0.9956148862838745,1,0.0002436842623865232,0.999031662940979,0.0007246726308949292,1,0.17820078134536743,0.6962071657180786,0.12559208273887634
42,mask,The muscular black man is dancing and the man behind him is wearing green beads,The muscular man is dancing and the man behind him is wearing green beads,0,standard,0,0.995802104473114,0.001723895431496203,0.0024739555083215237,1,0.0003165833477396518,0.9988184571266174,0.0008649507071822882,0,0.6954501271247864,0.14151489734649658,0.16303491592407227
42,mask,A man is having fun with water,A man is doing a card trick,1,standard,2,0.00015983343473635614,0.0016604989068582654,0.9981796741485596,1,0.001312528969720006,0.9933815002441406,0.005305922124534845,0,0.6362590789794922,0.2954568564891815,0.06828413903713226
42,mask,There is no little girl playing the piano,A little girl is playing a grand piano on stage,2,standard,1,0.005027475766837597,0.6379520893096924,0.35702046751976013,1,0.000564234796911478,0.9966615438461304,0.00277423532679677,0,0.45793405175209045,0.29633551836013794,0.2457304149866104
42,mask,There are no little boys playing outside with a soccer ball on the green grass,Two children are playing soccer in the park,1,standard,2,0.12179426848888397,0.3781048059463501,0.50010085105896,1,0.00038692436646670103,0.998565137386322,0.0010480142664164305,1,0.1122317761182785,0.735701858997345,0.15206634998321533
42,mask,A woman is cracking some eggs outside a bowl,A woman is adding ingredients to a bowl,1,standard,0,0.9932378530502319,0.004361966624855995,0.0024000941775739193,1,0.0024707382544875145,0.9869282841682434,0.010600934736430645,2,0.19404643774032593,0.28463509678840637,0.5213184356689453
42,mask,The girl in blue is chasing the base runner with a number on the jersey,A man in blue has a yellow ball in the mitt,1,standard,2,3.768960596062243e-05,0.000505240517668426,0.999457061290741,1,0.0013514311285689473,0.6139589548110962,0.38468965888023376,0,0.5215049982070923,0.3173998296260834,0.16109517216682434
42,mask,There is no man eating a pizza,A man is eating some food,1,standard,2,0.10601802170276642,0.2988095283508301,0.5951724648475647,1,0.006399237550795078,0.9685307145118713,0.02507011406123638,2,0.20212562382221222,0.24481020867824554,0.5530641674995422
42,mask,The man is not taking a picture of himself and another guy,The man is taking a picture of himself and another guy,2,standard,2,0.0007173427729867399,0.0012738003861159086,0.9980089068412781,1,0.0005386827979236841,0.9976117610931396,0.0018495452823117375,2,0.386143296957016,0.18771350383758545,0.42614322900772095
42,mask,A boy is walking across a bridge,A person is stirring vegetables in a bowl,1,standard,2,0.001992990495637059,0.4111645221710205,0.5868424773216248,1,0.0008555454551242292,0.9979287385940552,0.0012156928423792124,0,0.43570494651794434,0.3187330365180969,0.24556203186511993
42,mask,A man is singing and playing a guitar,There is no boy playing a piano,1,standard,2,0.0004183518176432699,0.005451519973576069,0.9941300749778748,2,0.0005817210185341537,0.011629794724285603,0.9877884984016418,0,0.5147983431816101,0.32714274525642395,0.15805888175964355
42,mask,A brown and white dog is jumping in the air with a tennis ball in its mouth,A dog is missing the ball in mid air,1,standard,2,0.0028938448522239923,0.004354532808065414,0.9927515983581543,2,0.010541228577494621,0.08068034052848816,0.9087783694267273,2,0.01858329586684704,0.07861660420894623,0.9028000831604004
42,mask,A brown dog and a black dog are frolicking in the sand,A black dog is playing with a brown dog on the sand,0,standard,0,0.9968323111534119,0.0020956413354724646,0.0010720493737608194,1,0.0006406347965821624,0.9956851005554199,0.0036743611562997103,0,0.6228758096694946,0.29522812366485596,0.08189608156681061
42,mask,A man is emptying a container made of plastic,A man is emptying a plastic container,0,standard,0,0.9961503744125366,0.0030400778632611036,0.0008094972581602633,1,0.0006054701516404748,0.9955125451087952,0.0038819992914795876,1,0.05736391246318817,0.8229405283927917,0.11969560384750366
42,mask,One bearded man is standing by a shopping cart and is holding a cardboard sign,A man is holding a sign and is seeking money,1,standard,1,0.001135449972935021,0.9985878467559814,0.00027680755010806024,1,0.0005335788009688258,0.9985525012016296,0.0009140055626630783,2,0.007868407294154167,0.08736688643693924,0.9047646522521973
42,mask,A woman is standing near three children,There is no woman playing with two young boys at a park,1,standard,2,8.832754247123376e-05,0.0007060797652229667,0.9992056488990784,2,0.0008146959007717669,0.011466068215668201,0.9877192974090576,0,0.4392688274383545,0.33784347772598267,0.22288759052753448
42,mask,A cute panda is lying down,The log is lying on the panda bear,1,standard,1,0.0011104452423751354,0.9924299120903015,0.006459641270339489,1,0.0014772602589800954,0.8816965222358704,0.11682619154453278,0,0.43896573781967163,0.23512153327465057,0.3259127140045166
42,mask,A man is mixing the content of a bowl,A woman is mixing the content of a bowl,1,standard,2,0.00010284542804583907,0.0009609548142179847,0.9989362359046936,1,0.006398394703865051,0.9625986218452454,0.031003043055534363,0,0.39579471945762634,0.35097822546958923,0.25322699546813965
42,mask,A flute is being played by a girl,A girl is making a flute which is not to be played,1,standard,2,0.0007858207682147622,0.00232879095710814,0.996885359287262,1,0.0032196713145822287,0.7679997682571411,0.228780597448349,2,0.2114769071340561,0.15209150314331055,0.6364315748214722
42,mask,Some pieces of butter are being added to the stand mixer,Pieces of butter are being added to the stand mixer,0,standard,0,0.9920458793640137,0.00617096247151494,0.0017831884324550629,1,0.0005372199811972678,0.9975172281265259,0.0019454990979284048,2,0.08248478174209595,0.4078303575515747,0.5096849203109741
42,mask,A boy is standing next to the opening of a fountain,A girl is standing next to the opening of a fountain,1,standard,2,0.00013749391655437648,0.0010436729062348604,0.9988188147544861,1,0.001183236832730472,0.9765145778656006,0.02230227179825306,1,0.23800194263458252,0.40454351902008057,0.3574545085430145
42,mask,A man is freeing a fish,A man is catching a fish,1,standard,0,0.9750173091888428,0.012630277313292027,0.01235242560505867,1,0.0020891500171273947,0.9917134046554565,0.006197525653988123,1,0.051850683987140656,0.8061839938163757,0.14196538925170898
42,mask,A dog is licking a baby,A baby is licking a dog,1,standard,0,0.9960783123970032,0.00268830475397408,0.0012334029888734221,1,0.0018452893709763885,0.9790548086166382,0.019099928438663483,2,0.2311277836561203,0.1892126053571701,0.579659640789032
42,mask,A man is fixing a silencer to a gun,A man is applying a silencer to a gun,0,standard,0,0.9982261061668396,0.0012405583402141929,0.0005333850276656449,1,0.0014403844252228737,0.9953250885009766,0.0032344672363251448,0,0.540926992893219,0.26255565881729126,0.19651733338832855
42,mask,A girl with red hair and red eyebrows is in midspeech,"The girl has red hair and eyebrows, several piercings in a ear and a tattoo on the back",1,standard,1,6.277589272940531e-05,0.9997836947441101,0.00015355407958850265,1,0.00016243522986769676,0.9995527863502502,0.00028473735437728465,0,0.956278383731842,0.030418239533901215,0.013303403742611408
42,mask,A baby is splashing inside a blue paddling pool,A toddler is making a splash inside a blue paddling pool,0,standard,0,0.537158727645874,0.06870533525943756,0.3941359519958496,1,0.0008970092749223113,0.9927478432655334,0.006355137098580599,1,0.3522702157497406,0.3888440430164337,0.2588857412338257
42,mask,A great dog is climbing a steep hill,A light brown dog is running up a street,1,standard,2,0.0013743095332756639,0.45586201548576355,0.5427636504173279,1,0.00021884491434320807,0.9991207718849182,0.0006604373338632286,1,0.033306483179330826,0.9379405379295349,0.028752988204360008
42,mask,Some people and vehicles are on a almost empty street,Pedestrians and cars are moving through a traffic jam in a big city,1,standard,1,0.0004462202196009457,0.9939467310905457,0.0056070866994559765,1,0.0002648768131621182,0.9995493292808533,0.00018572324188426137,1,0.20709024369716644,0.7810879349708557,0.011821822263300419
42,mask,A large white crane is flying far above the water,A white bird is landing swiftly in the water,1,standard,1,0.3459402620792389,0.6526715159416199,0.0013882170896977186,1,0.001034302287735045,0.9977447986602783,0.0012209302512928843,1,0.04535580053925514,0.9217504262924194,0.03289381414651871
42,mask,A man is dangerously throwing knives at a tree,The man isn't doing a magic trick,1,standard,2,7.534637552453205e-05,0.0008062445558607578,0.9991183876991272,2,0.00031484736246056855,0.0021943789906799793,0.9974907636642456,2,0.12771844863891602,0.19146226346492767,0.6808193325996399
42,mask,There is no man riding a mechanical bull,The man is riding a mechanical bull,2,standard,2,0.0016641656402498484,0.001055475207976997,0.9972803592681885,1,0.00038460775977000594,0.9988871216773987,0.0007283032173290849,1,0.33266976475715637,0.5361472368240356,0.13118304312229156
42,mask,The woman in the white sweater is not drawing a tattoo on the hand of a teenager,The woman in the white sweater is drawing a tattoo on the hand of a teenager,2,standard,2,0.0006326778093352914,0.00088187784422189,0.9984855055809021,1,0.00023328377574216574,0.9968764781951904,0.002890258561819792,2,0.2017519623041153,0.12696292996406555,0.671285092830658
42,mask,Two men are fighting in a cow pasture,Two men are fighting in a pen for cattle,1,standard,2,0.012280253693461418,0.0016630266327410936,0.9860566854476929,1,0.000502699869684875,0.9975419044494629,0.0019554616883397102,1,0.12676993012428284,0.7778660655021667,0.0953640565276146
42,mask,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a face which looks funny,0,standard,0,0.997512936592102,0.0019969558343291283,0.000490193662699312,1,0.00014178952551446855,0.9969520568847656,0.0029061222448945045,2,0.16066335141658783,0.06556547433137894,0.7737711668014526
42,mask,The white dog wearing reindeer ears is close to a brown dog,A white dog is wearing a Christmas reindeer headband and is playing with a brown dog in the grass,1,standard,1,0.0001447413524147123,0.9994743466377258,0.00038088145083747804,2,0.000296434125630185,0.059962332248687744,0.9397412538528442,2,0.1893080621957779,0.1400260627269745,0.6706658601760864
42,mask,A brown dog is running through a snowy trail,A dog is running on a snowy path,0,standard,0,0.9976267218589783,0.0015173585852608085,0.000855947844684124,2,0.00023439014330506325,0.02094815857708454,0.9788174033164978,2,0.10280221700668335,0.310773640871048,0.5864241123199463
42,mask,Two men are fighting in a cattle pen,Nobody is fighting in a cow pasture,1,standard,2,6.64189356029965e-05,0.00022869769600220025,0.999704897403717,2,0.003906410187482834,0.14624394476413727,0.8498495817184448,1,0.23876027762889862,0.5296491384506226,0.2315906137228012
42,mask,A chubby faced boy is wearing sunglasses,A girl is wearing sunglasses,1,standard,2,0.00012824521400034428,0.0007815294084139168,0.9990901947021484,1,0.0019032885320484638,0.9828116297721863,0.015285035595297813,1,0.09832826256752014,0.7848299741744995,0.11684172600507736
42,mask,A toy train is striking a toy car,A toy train is hitting a toy car,0,standard,0,0.9964106678962708,0.002479461720213294,0.0011098402319476008,1,0.0014559226110577583,0.9939686059951782,0.004575483035296202,0,0.7085478901863098,0.19932867586612701,0.09212347120046616
42,mask,A person on a yellow bike is airborne,A cyclist on a yellow bike is airborne,0,standard,1,0.000397455005440861,0.9970634579658508,0.002539022359997034,1,0.0005632010288536549,0.9979236125946045,0.0015132365515455604,1,0.07616730779409409,0.8363274931907654,0.08750522136688232
42,mask,Three people are walking across a rope and wood bridge over a river,People are not walking across a rope bridge over a rocky stream,1,standard,2,9.015676187118515e-05,0.0004614588979166001,0.9994483590126038,2,0.003412180347368121,0.11303827911615372,0.8835495114326477,1,0.21452568471431732,0.5487343668937683,0.23673991858959198
42,mask,A dog in a colored coat is running across the yard,A dog in the yard is running across colored coats,1,standard,0,0.9979479908943176,0.001543714082799852,0.0005083201103843749,1,0.0012276257621124387,0.9941839575767517,0.004588472191244364,1,0.2591674327850342,0.6486629247665405,0.09216964989900589
42,mask,A girl is waking up,A child is waking up,0,standard,2,0.0035861320793628693,0.023663204163312912,0.9727506637573242,1,0.014692720957100391,0.9774115085601807,0.007895738817751408,0,0.45557326078414917,0.3993583619594574,0.14506839215755463
42,mask,A man is erasing some figures,A man is drawing on a digital dry erase board,1,standard,1,5.5005406466079876e-05,0.9992875456809998,0.0006574906292371452,1,0.0010963485110551119,0.9261599183082581,0.0727437362074852,0,0.44931766390800476,0.3992529511451721,0.15142935514450073
42,mask,A man is playing an electric guitar,A man is playing a guitar,0,standard,0,0.9983742237091064,0.0012841887073591352,0.00034159226925112307,1,0.0021934090182185173,0.9872016906738281,0.010604923591017723,0,0.453053742647171,0.35119906067848206,0.19574721157550812
42,mask,A man is riding an electric bicycle,There is no man riding an electric bicycle,2,standard,2,0.00015669563435949385,0.0004683140723500401,0.99937504529953,2,0.0009794533252716064,0.029589099809527397,0.9694315195083618,1,0.07765017449855804,0.8311261534690857,0.09122361242771149
42,mask,A woman is cutting broccoli,There is no man cutting tomatoes,1,standard,2,0.00017585026216693223,0.0035963559057563543,0.9962278604507446,2,0.0004763499600812793,0.00352198607288301,0.996001660823822,2,0.10168629139661789,0.07851774990558624,0.8197959661483765
42,mask,A man is wearing a hard hat and dancing,A man is wearing a hat which is hard and is dancing,0,standard,0,0.9981555342674255,0.0014052179176360369,0.0004392139380797744,1,0.000497751752845943,0.9915136694908142,0.007988639175891876,0,0.46277573704719543,0.3923770785331726,0.14484713971614838
42,mask,There is no clown singing,A clown is singing,2,standard,2,0.0038978883530944586,0.003481323830783367,0.9926207065582275,2,0.003916116431355476,0.4265495836734772,0.5695343613624573,2,0.030005842447280884,0.03628644719719887,0.9337076544761658
42,mask,A man is dancing upside-down on the ceiling,A man is idling on the floor,1,standard,2,0.07118909806013107,0.014234958216547966,0.91457599401474,1,0.0023799878545105457,0.8382112979888916,0.15940874814987183,0,0.4883067011833191,0.3824460208415985,0.12924730777740479
42,mask,The horse is being ridden by a man,A man is driving a motorbike,1,standard,1,0.00033087804331444204,0.9971572160720825,0.0025118913035839796,1,0.0015570992836728692,0.993878960609436,0.004563916474580765,1,0.32815268635749817,0.426218181848526,0.24562916159629822
42,mask,A person is unfolding a tortilla,A man is folding a tortilla,1,standard,1,0.11568313091993332,0.6132141351699829,0.2711027264595032,1,0.004876432474702597,0.6446303129196167,0.35049328207969666,0,0.8403515815734863,0.111171655356884,0.04847675561904907
42,mask,The black player is making the white player a play near the end of a purple field,A man is wearing a sports uniform and is running down the field,1,standard,1,0.000356100732460618,0.996225118637085,0.0034187480341643095,1,0.0011802121298387647,0.993213415145874,0.005606354214251041,1,0.08025969564914703,0.491825670003891,0.4279146194458008
42,mask,A man is singing and playing a guitar,A man is playing a guitar,0,standard,0,0.9968079924583435,0.0025588280986994505,0.0006330720498226583,1,0.0021934090182185173,0.9872016906738281,0.010604923591017723,0,0.5147983431816101,0.32714274525642395,0.15805888175964355
