seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,empty,"That time John Grisham defended men who watch child porn John Grisham's disturbing statements defending child porn consumers are coming back to haunt him. In a bizarre 2014 interview, the best-selling author said most men who watch kiddie porn are... John Grisham's bizarre defense of kiddie porn viewers ""We've got prisons now filled with guys my age, 60-year-old white men, in prison, who have never harmed anyone,” the best-selling author said.",John Grisham watches kiddie porn.,1,standard,0,0.9077366590499878,0.05288892611861229,0.03937437757849693,2,0.015382515266537666,0.16164804995059967,0.8229694962501526,1,0.004227643832564354,0.9113320112228394,0.08444032818078995
42,empty,"Cruise Lines International Association (CLIA) is an association of cruise lines. It merged with International Council of Cruise Lines (ICCL) in 2006, forming an expanded organization incorporating the existing functions of both organizations. The merged organization, which uses the CLIA name, is located in Washington, D.C.",CLIA does not own any boats,2,standard,2,0.0008569075143896043,0.06775329262018204,0.9313898086547852,2,0.00492530083283782,0.08179550617933273,0.9132791757583618,1,0.001988352509215474,0.9452152848243713,0.05279630050063133
42,empty,"That's right. That's the important hurdle, and we'd like to jump that first, but the other ones, Justice, you're right, in 1831 and in 1909 Congress extended terms in a way that is inconsistent with the strongest form of the test that we have advanced. Those extensions, however, were never challenged in any court and certainly not considered by this Court.",Congress extended terms in 2009 in an inconsistent way,2,standard,2,0.07995562255382538,0.28472742438316345,0.6353169679641724,1,0.0264006145298481,0.9037900567054749,0.06980931758880615,1,0.001687311683781445,0.6975322365760803,0.3007804751396179
42,empty,"Well, I think again that illustrates why the authority is vested in Congress to make these judgments rather than in courts to make these affect whether the judgments, because we're not talking about the effect on an individual author, or an individual creator. What the Framers of the Constitution were concerned about is a gross judgment with respect to what might generally provide incentives to the population --",Decisions Congress make impact society on a broad scale,0,standard,1,0.006678830366581678,0.964174211025238,0.029146945104002953,1,0.041311588138341904,0.919614315032959,0.03907402604818344,1,0.009864579886198044,0.8716577291488647,0.1184777319431305
42,empty,"Tonight the topic will be domestic affairs, but the format will be the same as that first debate. I'll moderate our discussion under detailed rules agreed to by the candidates, but the questions and the areas to be covered were chosen by me. I have not told the candidates or anyone else what they are.","the topic will be domestic affairs, moderated on rules and questions agreed to by the candidates.",2,standard,0,0.9274524450302124,0.05550378933548927,0.017043747007846832,1,0.1626967191696167,0.8138070106506348,0.023496229201555252,1,0.0230388306081295,0.7781781554222107,0.19878298044204712
42,empty,"And Charlotte Buckingham I recall really being the only person who got up to stand in defense of the school board, and she was Mr. Buckingham's wife, or is Mr. Buckingham's wife. And she quoted Scripture, Old Testament, actually, all Old Testament Scripture about why the school board is right, basically. And she also talked about school prayer and the need for school prayer in that speech that she had prepared.",Charlotte Buckingham has talked to carter,1,standard,1,0.341181218624115,0.5246832370758057,0.13413549959659576,2,0.23160605132579803,0.3631645441055298,0.40522944927215576,1,0.003154418198391795,0.9848091006278992,0.012036428786814213
42,empty,I do. I think that in this 21st century we will soon see the consequences of what's called global warming. There was a study just a few weeks ago suggesting that in summertime the north polar ice cap will be completely gone in 50 years. Already people see the strange weather conditions that the old timers say they've never seen before in their lifetimes.,the study was on the poler bear decline,2,standard,1,0.018949106335639954,0.551159679889679,0.4298912286758423,2,0.23485486209392548,0.28222665190696716,0.48291853070259094,1,0.007587019819766283,0.8715509176254272,0.12086199223995209
42,empty,"Honourable senators will remember that the committee which reported just prior to Christmas received information about a number of cases in which claims were brought by people living in poverty in Canada, usually women and children, both alluded to by my colleagues who spoke before me, against our federal and provincial governments.",there are cases of men living in poverty in canada ,0,standard,1,0.08599133789539337,0.7414958477020264,0.17251276969909668,1,0.1764921396970749,0.8154977560043335,0.008010122925043106,1,0.07248464226722717,0.903560221195221,0.02395516261458397
42,empty,Mark Halperin accused of sexual harassment Several women spoke out to CNN detailing alleged incidents of sexual harassment during Halperin's tenure as the political director of ABC News over a decade ago. Halperin apologized for his behavior in a statement to CNN.,Halperin did not commit the crime.,2,standard,1,0.018350111320614815,0.8296099901199341,0.15203985571861267,0,0.48155924677848816,0.4534827172756195,0.06495802104473114,1,0.004556930623948574,0.9331775307655334,0.062265507876873016
42,empty,"How to use turtle wax<br>Wash your car before you wax it. Clean your car as thoroughly as you can on the outside. Use all the basic cleaners, such as soap and water for the body and window cleaner for your windows.",Turtle wax is to be used in the car,2,standard,0,0.9185354113578796,0.06124114990234375,0.020223457366228104,2,0.022146079689264297,0.3243747055530548,0.6534792184829712,1,0.005097443703562021,0.5424327850341797,0.45246973633766174
