seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,mask,A woman is surfing,A fearful little boy is on a climbing wall,1,standard,2,1.55038222260373e-07,1.2784151382362434e-14,0.9999998807907104,1,2.1533242279130764e-24,1.0,8.76256541583532e-33,2,0.013331490568816662,0.0011912465561181307,0.9854772686958313
42,mask,Some people are walking,A group of scouts are camping in the grass,1,standard,2,1.1080583135480992e-05,1.6820018799990066e-07,0.9999887943267822,1,1.8520022390849013e-24,1.0,6.861778560928203e-33,2,0.0031597772613167763,0.0004924394888803363,0.9963478446006775
42,mask,The muscular black man is dancing and the man behind him is wearing green beads,The muscular man is dancing and the man behind him is wearing green beads,0,standard,2,0.03226830065250397,4.317728235037066e-05,0.9676886200904846,1,2.3711066357392516e-24,1.0,1.0574672242232434e-32,2,0.007805220317095518,0.0007411917904391885,0.9914536476135254
42,mask,A man is having fun with water,A man is doing a card trick,1,standard,2,0.00019290257478132844,0.00014330366684589535,0.9996637105941772,1,1.3526621923196208e-22,1.0,1.1867193626692501e-29,2,0.00952844973653555,0.0008344777743332088,0.9896371960639954
42,mask,There is no little girl playing the piano,A little girl is playing a grand piano on stage,2,standard,2,0.0006532748811878264,0.001361943781375885,0.997984766960144,1,1.851437414676763e-24,1.0,6.875193155522993e-33,2,0.016392789781093597,0.001196166966110468,0.9824109673500061
42,mask,There are no little boys playing outside with a soccer ball on the green grass,Two children are playing soccer in the park,1,standard,2,0.0032191623467952013,0.004975490737706423,0.9918054342269897,1,1.839062553656561e-24,1.0,6.812848608575226e-33,2,0.01044193934649229,0.0005866117426194251,0.9889714121818542
42,mask,A woman is cracking some eggs outside a bowl,A woman is adding ingredients to a bowl,1,standard,2,0.023741360753774643,0.0008412280585616827,0.9754173755645752,1,0.0007758043939247727,0.8282262086868286,0.1709979623556137,2,0.009913474321365356,0.0009385306038893759,0.989147961139679
42,mask,The girl in blue is chasing the base runner with a number on the jersey,A man in blue has a yellow ball in the mitt,1,standard,2,1.1687734513543546e-06,1.131533929055184e-11,0.9999988079071045,2,0.0021523647010326385,0.039868518710136414,0.9579792022705078,2,0.007056444883346558,0.0011475732317194343,0.99179607629776
42,mask,There is no man eating a pizza,A man is eating some food,1,standard,2,0.025588568300008774,0.0002675011055544019,0.9741438627243042,2,0.003279327880591154,0.008676133118569851,0.9880445599555969,2,0.015392197296023369,0.0007520923973061144,0.983855664730072
42,mask,The man is not taking a picture of himself and another guy,The man is taking a picture of himself and another guy,2,standard,2,8.030197204789147e-05,9.116676125131562e-08,0.9999195337295532,1,1.9408745198061953e-24,1.0,7.426430945765535e-33,2,0.006467991508543491,0.001194001641124487,0.9923381209373474
42,mask,A boy is walking across a bridge,A person is stirring vegetables in a bowl,1,standard,2,1.669650799840383e-07,4.448867083105615e-14,0.9999998807907104,1,8.116027849780494e-09,1.0,1.9163362452445654e-08,2,0.011733189225196838,0.0008026128052733839,0.987464189529419
42,mask,A man is singing and playing a guitar,There is no boy playing a piano,1,standard,2,5.378590017812712e-08,1.5273538459031321e-18,1.0,1,3.7361560820838955e-24,1.0,2.0657657238034982e-32,2,0.011430760845541954,0.0010791686363518238,0.9874901175498962
42,mask,A brown and white dog is jumping in the air with a tennis ball in its mouth,A dog is missing the ball in mid air,1,standard,2,0.0015504759503528476,0.0017835489707067609,0.996665894985199,1,1.8649050452659225e-24,1.0,6.940650558448533e-33,2,0.007087079808115959,0.000708085426595062,0.9922047257423401
42,mask,A brown dog and a black dog are frolicking in the sand,A black dog is playing with a brown dog on the sand,0,standard,2,0.006515671033412218,0.00481413071975112,0.9886701107025146,1,1.8749843210519314e-24,1.0,7.003630607029714e-33,2,0.009143025614321232,0.0009955069981515408,0.9898614883422852
42,mask,A man is emptying a container made of plastic,A man is emptying a plastic container,0,standard,2,0.028187459334731102,9.237778431270272e-05,0.9717202186584473,1,1.852878663550602e-24,1.0,6.881490866507524e-33,2,0.012971749529242516,0.000449779792688787,0.9865785241127014
42,mask,One bearded man is standing by a shopping cart and is holding a cardboard sign,A man is holding a sign and is seeking money,1,standard,2,0.001913118758238852,0.0036614330019801855,0.9944254159927368,2,0.0014483293052762747,0.0127550745382905,0.9857965111732483,2,0.006180855445563793,0.0001585531426826492,0.9936605095863342
42,mask,A woman is standing near three children,There is no woman playing with two young boys at a park,1,standard,2,0.00019623844127636403,8.27320254757069e-05,0.9997209906578064,1,1.8549013029115886e-24,1.0,6.882750849514811e-33,2,0.007373865228146315,0.0004586816648952663,0.9921674132347107
42,mask,A cute panda is lying down,The log is lying on the panda bear,1,standard,2,0.001269152038730681,0.002841272158548236,0.9958896040916443,1,1.8305935401933346e-24,1.0,6.754881308716332e-33,2,0.00735480897128582,0.0004458535404410213,0.9921993613243103
42,mask,A man is mixing the content of a bowl,A woman is mixing the content of a bowl,1,standard,2,1.2397676130149193e-07,4.89440539692184e-15,0.9999998807907104,1,3.171686694258824e-05,0.9985740184783936,0.0013943416997790337,2,0.009332820773124695,0.0018171868287026882,0.988849937915802
42,mask,A flute is being played by a girl,A girl is making a flute which is not to be played,1,standard,2,0.00010525967081775889,1.272097847504483e-06,0.9998934268951416,1,1.3899851328771229e-21,1.0,8.735854523695229e-28,2,0.008375653065741062,0.0014376825420185924,0.9901866912841797
42,mask,Some pieces of butter are being added to the stand mixer,Pieces of butter are being added to the stand mixer,0,standard,2,0.024726232513785362,0.0002228956582257524,0.9750508069992065,1,1.9500101207343335e-24,1.0,7.481879748977792e-33,2,0.006778208073228598,0.0016093163285404444,0.991612434387207
