seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,mask,The new rights are nice enough,Everyone really likes the newest benefits ,1,standard,1,0.0009578418103046715,0.9988492727279663,0.00019291919306851923,1,0.0018815129296854138,0.9980369210243225,8.153262024279684e-05,1,0.05573548004031181,0.8820635676383972,0.062200967222452164
42,mask,This site includes a list of all award winners and a searchable database of Government Executive articles.,The Government Executive articles housed on the website are not able to be searched.,2,standard,2,1.4323574760055635e-05,4.221644485369325e-05,0.9999434947967529,2,1.0052495781565085e-05,0.0003448707575444132,0.9996451139450073,1,0.01742936111986637,0.909911036491394,0.07265965640544891
42,mask,uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him,"I like him for the most part, but would still enjoy seeing someone beat him.",0,standard,0,0.7341813445091248,0.2658020853996277,1.6567189959459938e-05,1,0.00023062026593834162,0.9996860027313232,8.33899830467999e-05,1,0.0004381229227874428,0.9993614554405212,0.00020044560369569808
42,mask,yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food,My favorite restaurants are always at least a hundred miles away from my house. ,2,standard,2,2.6159232220379636e-05,0.0002349168062210083,0.9997389912605286,1,4.1600127588026226e-05,0.8913142681121826,0.10864411294460297,1,0.06787102669477463,0.836161732673645,0.09596719592809677
42,mask,i don't know um do you do a lot of camping,I know exactly.,2,standard,2,9.15411419555312e-06,4.450970664038323e-05,0.9999463558197021,2,8.190775406546891e-05,0.011509929783642292,0.9884081482887268,2,0.40020784735679626,0.14383892714977264,0.4559531509876251
42,mask,well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be,We have plenty of space in the landfill.,2,standard,2,2.2657552108285017e-05,5.2225481340428814e-05,0.9999251365661621,2,0.0003012161760125309,0.004014501813799143,0.9956842660903931,1,0.0027614294085651636,0.9871693849563599,0.01006918866187334
42,mask,yeah i know and i did that all through college and it worked too,I did that all through college but it never worked ,2,standard,2,1.2659917047130875e-05,5.2747393056051806e-05,0.9999345541000366,1,6.060149098630063e-05,0.9992984533309937,0.0006409751367755234,1,0.0014221541350707412,0.9955852031707764,0.0029925918206572533
42,mask,"Calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of Satyajit Ray or Mrinal Sen shown in Europe or North America than in India itself.",Most of Mrinal Sen's work can be found in European collections.,1,standard,0,0.9904562830924988,0.009303614497184753,0.00024012706126086414,1,7.38899689167738e-05,0.9997256398200989,0.0002004958805628121,1,0.24630631506443024,0.7504296898841858,0.0032640229910612106
42,mask,"If that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.",THe strike price could be $8.,2,standard,2,0.00026130882906727493,0.0009531263494864106,0.9987855553627014,1,0.0036280001513659954,0.9878494143486023,0.008522561751306057,0,0.7585558891296387,0.13955232501029968,0.10189178586006165
42,mask,"3)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?",Would you rise up and defeaat all evil lords in the town?,1,standard,1,0.0002661734470166266,0.9995403289794922,0.0001934869069373235,1,0.00017921344260685146,0.9993793964385986,0.00044140289537608624,0,0.9654140472412109,0.017112690955400467,0.017473381012678146
42,mask,"The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.","Go downwards to one of the gates, all of which will lead you into the cathedral.",2,standard,2,0.0001194848955492489,0.0066425432451069355,0.9932379722595215,2,0.00874555204063654,0.22179962694644928,0.769454836845398,2,0.4602062404155731,0.04786146432161331,0.4919322729110718
42,mask,The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.,The Tamils' bhakti movement froze the previously warm ritual of Hinduism.,2,standard,2,6.798943650210276e-05,0.00018406003073323518,0.9997480511665344,1,8.641205204185098e-05,0.9934212565422058,0.006492345593869686,0,0.4727835953235626,0.12376924604177475,0.40344715118408203
