seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,neutral,The actor by the professor waited .,The professor waited .,2,subsequence,2,0.38537004590034485,0.042889755219221115,0.5717402100563049,2,0.007701019756495953,0.284792959690094,0.707506000995636,0,0.9627814888954163,0.031247088685631752,0.005971490405499935
42,neutral,The professor and the judge thanked the actor .,The judge thanked the professor .,2,lexical_overlap,2,0.004923876374959946,0.0050298189744353294,0.9900463223457336,2,0.0015996471047401428,0.07874790579080582,0.9196524620056152,0,0.9681246876716614,0.027404963970184326,0.004470221232622862
42,neutral,The students recognized the author studied in the laboratory .,The author studied in the laboratory .,2,subsequence,0,0.9888007640838623,0.010542808100581169,0.0006564842187799513,1,0.015420662239193916,0.8657900094985962,0.11878931522369385,0,0.893118679523468,0.09388548880815506,0.012995963916182518
42,neutral,Clearly the lawyers helped the senators .,The lawyers helped the senators .,0,constituent,0,0.9916257858276367,0.007802370470017195,0.0005718156462535262,1,0.006959852296859026,0.5582777857780457,0.4347623884677887,0,0.9501766562461853,0.047658585011959076,0.002164814155548811
42,neutral,The actors left the island .,The actors left .,0,subsequence,0,0.99186110496521,0.00738914217799902,0.0007497083861380816,2,0.0003673199680633843,0.002613423392176628,0.9970191717147827,2,0.019769908860325813,0.0060915397480130196,0.9741385579109192
42,neutral,Happy senators encouraged the student .,Senators encouraged the student .,0,subsequence,0,0.9905844330787659,0.008906370960175991,0.0005091771017760038,1,0.008047320879995823,0.7928613424301147,0.19909127056598663,0,0.9765220880508423,0.0222853384912014,0.0011925058206543326
42,neutral,The lawyers ate the salad .,The lawyers ate .,0,subsequence,0,0.9886904954910278,0.009603923186659813,0.0017055909847840667,2,0.00035556204966269433,0.0008502940181642771,0.9987941980361938,0,0.960889458656311,0.02686246670782566,0.0122480858117342
42,neutral,The judge next to the senator called the professors .,The judge called the professors .,0,lexical_overlap,0,0.9902021288871765,0.008365976624190807,0.001431958400644362,2,0.0016996002523228526,0.030801404267549515,0.9674989581108093,0,0.9807000160217285,0.01749536022543907,0.0018046280601993203
42,neutral,"The banker advised the presidents , and the judge supported the actor .",The judge supported the actor .,0,constituent,0,0.9926357865333557,0.00678832596167922,0.0005759276682510972,1,0.0068490393459796906,0.8384095430374146,0.15474140644073486,0,0.9072652459144592,0.0750870481133461,0.017647717148065567
42,neutral,Of course the tourists resigned .,The tourists resigned .,0,constituent,0,0.9923692941665649,0.0067946407943964005,0.000836038903798908,2,0.00027876763488166034,0.0014628496719524264,0.9982582926750183,0,0.9164720773696899,0.052736807614564896,0.030791105702519417
42,neutral,"If the lawyers introduced the managers , the scientists shouted .",The scientists shouted .,2,constituent,0,0.9909991025924683,0.007620502728968859,0.001380415284074843,1,0.0023675011470913887,0.7089087963104248,0.2887236773967743,0,0.9073862433433533,0.07154437899589539,0.021069342270493507
