seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,mask,Two people sit facing away in a downtown scene with a motorcycle parked in front of a pool,The two people run as quickly as they can for shelter as the storm picks up and begins swirling all around them.,2,standard,2,0.0784173458814621,9.431868238607422e-05,0.921488344669342,2,0.13504105806350708,0.0001385343784932047,0.8648204803466797,2,0.3542330265045166,0.00010392182593932375,0.6456630229949951
42,mask,A white dog with brown ears runs down a gravel path with a ball in its mouth.,A dog runs down a path with a green ball.,1,standard,2,0.09419094026088715,9.155087900580838e-05,0.9057174921035767,2,0.08481083810329437,0.0001967559364857152,0.9149923920631409,2,0.35336530208587646,0.00013261816638987511,0.6465020775794983
42,mask,"Six men, all wearing identifying number plaques, are participating in an outdoor race.",a number of guys wearing numbers race outside,0,standard,0,0.9291527271270752,1.166246147477068e-05,0.07083568722009659,2,0.3046252429485321,0.00019281623826827854,0.6951819658279419,2,0.42385682463645935,0.00011855459160869941,0.57602459192276
42,mask,Five children of Indian origin are smiling and posing on a slide.,Children are on a slide.,0,standard,0,0.9869940876960754,2.0888066956104012e-06,0.01300381775945425,2,0.06865796446800232,0.0001422616624040529,0.9311997890472412,2,0.37334486842155457,0.00010884941730182618,0.6265462636947632
42,mask,Kids are on a amusement ride.,Kids ride their favorite amusement ride.,1,standard,2,0.3969564735889435,0.00037139200139790773,0.6026721596717834,2,0.22916659712791443,0.00046176250907592475,0.7703716158866882,2,0.4035250246524811,0.00015409933985210955,0.5963208675384521
42,mask,A black dog running in the snow by some trees.,a dog sitting at the beach,2,standard,2,0.007259057369083166,9.719302397570573e-06,0.9927312731742859,2,0.019363433122634888,8.52337761898525e-05,0.9805513620376587,2,0.37944304943084717,0.00011627050116658211,0.620440661907196
42,mask,A group of women in white robes walk through the grass.,women walk through the sand,2,standard,2,0.14168524742126465,3.8690472138114274e-05,0.8582760095596313,2,0.034399691969156265,6.381379353115335e-05,0.9655364751815796,2,0.3541983664035797,0.0001303765457123518,0.6456712484359741
42,mask,One little toddler wearing blue pajamas and a little girl wearing red pajamas opening presents on christmas day.,Two small children are unhappy with the opening of their presents.,1,standard,2,0.03587217628955841,0.000177891954081133,0.9639498591423035,2,0.0217609666287899,0.0004195549990981817,0.9778195023536682,2,0.3726138770580292,9.404624870512635e-05,0.6272920370101929
42,mask,"Two children examine a stack of books and games, including the game ""Poncho Pal,"" next to a piece of furniture.",Two children are looking for something to do.,1,standard,0,0.7872519493103027,0.0003292762557975948,0.21241876482963562,2,0.24837912619113922,0.0004313775571063161,0.7511894702911377,2,0.407052218914032,8.780345524428412e-05,0.5928599834442139
42,mask,A group of people is gathered around a table of food with their arms around each other.,A group of people are gather around a meeting room table.,1,standard,2,0.11635478585958481,5.57084204046987e-05,0.883589506149292,2,0.30835652351379395,0.00013207978918217123,0.691511332988739,2,0.441194087266922,0.00010274788655806333,0.5587031245231628
42,mask,A man in the middle east with a corn-on-the-cob cart selling corn.,An old middle eastern man is selling corn-on-the-cob from his brother's cart.,1,standard,2,0.05901306867599487,0.00026923505356535316,0.9407176375389099,2,0.05053950101137161,0.00015147389785852283,0.9493089914321899,2,0.3637983202934265,0.00010683204891392961,0.6360948085784912
