seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,empty,The new rights are nice enough,Everyone really likes the newest benefits ,1,standard,2,0.0009576381999067962,0.0021272702142596245,0.9969151020050049,1,1.8241244863400697e-24,1.0,6.71234384157992e-33,2,0.002968230750411749,0.0023058531805872917,0.9947260022163391
42,empty,This site includes a list of all award winners and a searchable database of Government Executive articles.,The Government Executive articles housed on the website are not able to be searched.,2,standard,2,2.1685855244868435e-06,2.542872336308566e-11,0.9999978542327881,1,1.82484826622061e-24,1.0,6.713470846788771e-33,2,0.003360581351444125,0.001197325880639255,0.9954420328140259
42,empty,uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him,"I like him for the most part, but would still enjoy seeing someone beat him.",0,standard,2,0.029684264212846756,0.00045810206211172044,0.9698576331138611,1,1.824061969113331e-24,1.0,6.712856650990466e-33,2,0.009266894310712814,0.002719160169363022,0.9880139827728271
42,empty,yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food,My favorite restaurants are always at least a hundred miles away from my house. ,2,standard,2,0.0010205792495980859,0.0016019220929592848,0.9973775148391724,1,1.824764844179883e-24,1.0,6.712907344184345e-33,2,0.00615569856017828,0.0029112433549016714,0.9909330606460571
42,empty,i don't know um do you do a lot of camping,I know exactly.,2,standard,2,3.4804106263663925e-08,2.397043352853321e-17,1.0,1,1.824235912942932e-24,1.0,6.712958772062194e-33,1,7.363174879828485e-21,1.0,1.7761451726013907e-27
42,empty,well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be,We have plenty of space in the landfill.,2,standard,2,9.373155762659735e-08,2.972738435800475e-18,0.9999998807907104,1,1.8245978028832023e-24,1.0,6.713367991033074e-33,2,0.008719111792743206,0.0007131060119718313,0.9905677437782288
42,empty,yeah i know and i did that all through college and it worked too,I did that all through college but it never worked ,2,standard,2,7.949803375595366e-07,4.508975224443157e-12,0.9999991655349731,1,1.8249667925716194e-24,1.0,6.713675823616196e-33,2,0.009054387919604778,0.0019051511771976948,0.9890404343605042
42,empty,"Calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of Satyajit Ray or Mrinal Sen shown in Europe or North America than in India itself.",Most of Mrinal Sen's work can be found in European collections.,1,standard,2,0.002832989674061537,0.00356665370054543,0.9936003684997559,1,1.82445166640051e-24,1.0,6.71275379523477e-33,2,0.006362229585647583,0.001723986933939159,0.9919137954711914
42,empty,"If that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.",THe strike price could be $8.,2,standard,2,0.00037091138074174523,0.00014719212776981294,0.9994819760322571,1,1.823901830349571e-24,1.0,6.712138864752495e-33,2,0.0028934096917510033,0.001592931686900556,0.9955136179924011
42,empty,"3)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?",Would you rise up and defeaat all evil lords in the town?,1,standard,2,0.0013576726196333766,0.002437871415168047,0.9962045550346375,1,1.8249598900386988e-24,1.0,6.713777944687923e-33,2,0.0016159926308318973,0.007837231270968914,0.9905468225479126
42,empty,"The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.","Go downwards to one of the gates, all of which will lead you into the cathedral.",2,standard,2,0.005521731451153755,6.398390542017296e-05,0.994414210319519,1,1.8244725712144985e-24,1.0,6.712497390529496e-33,2,0.006930030416697264,0.0007874196744523942,0.9922825694084167
42,empty,The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.,The Tamils' bhakti movement froze the previously warm ritual of Hinduism.,2,standard,2,1.5031685506983195e-05,7.559889381170137e-10,0.9999849796295166,1,1.8248066538078596e-24,1.0,6.713470846788771e-33,2,0.0068892547860741615,0.0012491620145738125,0.9918615818023682
42,empty,see now in a situation like that the boys are only sixteen years old and they were sexually involved with her and i think like at that particular point she was twenty three you know so she wasn't really that much older than them and being a boy at that age i think that they're very um you know let's face it that's at a point in your life when you you're just starting to realize all the things of life,Everyone involved was the same age.,2,standard,2,2.1990454115439206e-05,6.398575891353175e-09,0.9999780654907227,1,1.824069068861478e-24,1.0,6.712446697335617e-33,2,0.02343219704926014,0.00038013546145521104,0.9761876463890076
42,empty,"You and your friends are not welcome here, said Severn.",Severn said the people were not welcome there.,0,standard,2,0.03541016951203346,1.3553474218497286e-06,0.964588463306427,1,1.824952987505778e-24,1.0,6.713470846788771e-33,2,0.021784542128443718,0.0007653046050108969,0.9774501323699951
42,empty,um-hum um-hum yeah well uh i can see you know it's it's it's it's kind of funny because we it seems like we loan money you know we money with strings attached and if the government changes and the country that we loan the money to um i can see why the might have a different attitude towards paying it back it's a lot us that  you know we don't really loan money to to countries we loan money to governments and it's the,We don't loan a lot of money.,1,standard,2,0.010871644131839275,0.0015380051918327808,0.9875903129577637,1,1.824918080410722e-24,1.0,6.713061627817891e-33,2,0.0072776987217366695,0.0018791594775393605,0.9908431768417358
42,empty,i'm not sure what the overnight low was,I don't know how cold it got last night.,0,standard,2,0.004071753937751055,0.003479737788438797,0.9924485683441162,1,1.8245699955362933e-24,1.0,6.712396004141738e-33,2,0.006230463273823261,0.005359439179301262,0.9884101152420044
42,empty,so i have to find a way to supplement that,I need a way to add something extra.,0,standard,2,0.024874692782759666,0.0002485350123606622,0.9748767614364624,1,1.823734986268117e-24,1.0,6.713572967860499e-33,2,0.011548520065844059,0.003075990593060851,0.9853755235671997
