seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,mask,"That time John Grisham defended men who watch child porn John Grisham's disturbing statements defending child porn consumers are coming back to haunt him. In a bizarre 2014 interview, the best-selling author said most men who watch kiddie porn are... John Grisham's bizarre defense of kiddie porn viewers ""We've got prisons now filled with guys my age, 60-year-old white men, in prison, who have never harmed anyone,” the best-selling author said.",John Grisham watches kiddie porn.,1,standard,0,0.8611881136894226,7.111139439075487e-06,0.13880473375320435,2,0.03166588023304939,7.730392826488242e-05,0.9682567715644836,2,0.4464404881000519,8.714667637832463e-05,0.5534723401069641
42,mask,"Cruise Lines International Association (CLIA) is an association of cruise lines. It merged with International Council of Cruise Lines (ICCL) in 2006, forming an expanded organization incorporating the existing functions of both organizations. The merged organization, which uses the CLIA name, is located in Washington, D.C.",CLIA does not own any boats,2,standard,2,0.001921732327900827,6.327944902295712e-06,0.9980719089508057,2,0.004360296297818422,1.7235743143828586e-05,0.995622456073761,2,0.35945382714271545,4.8351077566621825e-05,0.6404977440834045
42,mask,"That's right. That's the important hurdle, and we'd like to jump that first, but the other ones, Justice, you're right, in 1831 and in 1909 Congress extended terms in a way that is inconsistent with the strongest form of the test that we have advanced. Those extensions, however, were never challenged in any court and certainly not considered by this Court.",Congress extended terms in 2009 in an inconsistent way,2,standard,2,0.2186855524778366,2.4666122044436634e-05,0.78128981590271,2,0.06120386719703674,5.775296449428424e-05,0.9387383460998535,2,0.3354545533657074,9.864725143415853e-05,0.6644468307495117
42,mask,"Well, I think again that illustrates why the authority is vested in Congress to make these judgments rather than in courts to make these affect whether the judgments, because we're not talking about the effect on an individual author, or an individual creator. What the Framers of the Constitution were concerned about is a gross judgment with respect to what might generally provide incentives to the population --",Decisions Congress make impact society on a broad scale,0,standard,2,0.28890958428382874,1.8070066289510578e-05,0.7110723257064819,2,0.1693141907453537,3.5404693335294724e-05,0.8306503891944885,2,0.24794258177280426,8.328135299962014e-05,0.7519741058349609
42,mask,"Tonight the topic will be domestic affairs, but the format will be the same as that first debate. I'll moderate our discussion under detailed rules agreed to by the candidates, but the questions and the areas to be covered were chosen by me. I have not told the candidates or anyone else what they are.","the topic will be domestic affairs, moderated on rules and questions agreed to by the candidates.",2,standard,0,0.8392212390899658,1.4228895452106372e-05,0.16076458990573883,2,0.0827738344669342,0.00015531716053374112,0.9170708060264587,2,0.3588188588619232,6.98404255672358e-05,0.6411113142967224
42,mask,"And Charlotte Buckingham I recall really being the only person who got up to stand in defense of the school board, and she was Mr. Buckingham's wife, or is Mr. Buckingham's wife. And she quoted Scripture, Old Testament, actually, all Old Testament Scripture about why the school board is right, basically. And she also talked about school prayer and the need for school prayer in that speech that she had prepared.",Charlotte Buckingham has talked to carter,1,standard,2,0.015725931152701378,2.2095615349826403e-05,0.9842519164085388,2,0.048913802951574326,4.4536263885675e-05,0.9510416984558105,2,0.4129381477832794,9.847255569184199e-05,0.5869633555412292
42,mask,I do. I think that in this 21st century we will soon see the consequences of what's called global warming. There was a study just a few weeks ago suggesting that in summertime the north polar ice cap will be completely gone in 50 years. Already people see the strange weather conditions that the old timers say they've never seen before in their lifetimes.,the study was on the poler bear decline,2,standard,2,0.097538061439991,4.565805647871457e-05,0.9024162888526917,2,0.055705949664115906,0.0001503772655269131,0.9441436529159546,2,0.3230727016925812,0.00011218975851079449,0.6768151521682739
42,mask,"Honourable senators will remember that the committee which reported just prior to Christmas received information about a number of cases in which claims were brought by people living in poverty in Canada, usually women and children, both alluded to by my colleagues who spoke before me, against our federal and provincial governments.",there are cases of men living in poverty in canada ,0,standard,2,0.26720672845840454,1.6649359167786315e-05,0.7327765822410583,2,0.10317421704530716,6.067844515200704e-05,0.8967651128768921,2,0.35084736347198486,6.682977254968137e-05,0.6490857601165771
42,mask,Mark Halperin accused of sexual harassment Several women spoke out to CNN detailing alleged incidents of sexual harassment during Halperin's tenure as the political director of ABC News over a decade ago. Halperin apologized for his behavior in a statement to CNN.,Halperin did not commit the crime.,2,standard,2,0.04596492648124695,3.333244603709318e-05,0.9540017247200012,2,0.026622649282217026,5.843308099429123e-05,0.973318874835968,2,0.38596978783607483,9.769754979060963e-05,0.6139324903488159
42,mask,"How to use turtle wax<br>Wash your car before you wax it. Clean your car as thoroughly as you can on the outside. Use all the basic cleaners, such as soap and water for the body and window cleaner for your windows.",Turtle wax is to be used in the car,2,standard,0,0.881028950214386,1.0321091394871473e-05,0.11896071583032608,2,0.045379944145679474,0.00010352999379392713,0.9545165300369263,2,0.3503059446811676,8.405309199588373e-05,0.6496099233627319
