seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,mask,The new rights are nice enough,Everyone really likes the newest benefits ,1,standard,1,0.016546469181776047,0.9401188492774963,0.0433347225189209,1,0.009709863923490047,0.9217441082000732,0.06854604184627533,2,0.2641192674636841,0.18895895779132843,0.5469217896461487
42,mask,This site includes a list of all award winners and a searchable database of Government Executive articles.,The Government Executive articles housed on the website are not able to be searched.,2,standard,2,0.0008855735650286078,0.0019348185742273927,0.9971796274185181,2,0.012421706691384315,0.23946410417556763,0.7481141686439514,2,0.13664305210113525,0.1317572146654129,0.7315996289253235
42,mask,uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him,"I like him for the most part, but would still enjoy seeing someone beat him.",0,standard,0,0.951785147190094,0.047407008707523346,0.0008077995153144002,1,0.00385144236497581,0.9793564081192017,0.01679215580224991,2,0.16545839607715607,0.13953186571598053,0.695009708404541
42,mask,yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food,My favorite restaurants are always at least a hundred miles away from my house. ,2,standard,1,0.007322531193494797,0.7762972712516785,0.21638011932373047,1,0.01114867627620697,0.569151759147644,0.4196995198726654,2,0.13575637340545654,0.13260455429553986,0.7316391468048096
42,mask,i don't know um do you do a lot of camping,I know exactly.,2,standard,2,0.00036728859413415194,0.0009535353747196496,0.9986792206764221,2,0.006423432379961014,0.0344223789870739,0.9591541886329651,2,0.14370080828666687,0.11227384209632874,0.7440253496170044
42,mask,well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be,We have plenty of space in the landfill.,2,standard,2,0.0014835572801530361,0.0013249715557321906,0.9971914887428284,2,0.010581107810139656,0.2949231266975403,0.6944957375526428,2,0.1104603260755539,0.12332233041524887,0.7662174105644226
42,mask,yeah i know and i did that all through college and it worked too,I did that all through college but it never worked ,2,standard,2,0.0002572321391198784,0.0017550861230120063,0.9979877471923828,1,0.001813592272810638,0.9245682954788208,0.07361811399459839,2,0.11377092450857162,0.09629244357347488,0.7899365425109863
42,mask,"Calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of Satyajit Ray or Mrinal Sen shown in Europe or North America than in India itself.",Most of Mrinal Sen's work can be found in European collections.,1,standard,1,0.03831411153078079,0.8733479976654053,0.08833789825439453,1,0.003709744196385145,0.9790107011795044,0.017279542982578278,2,0.16950932145118713,0.1167948916554451,0.713695764541626
42,mask,"If that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.",THe strike price could be $8.,2,standard,2,0.03260333463549614,0.08519046753644943,0.8822062611579895,1,0.015913821756839752,0.9357484579086304,0.048337649554014206,2,0.17346617579460144,0.13607855141162872,0.6904552578926086
42,mask,"3)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?",Would you rise up and defeaat all evil lords in the town?,1,standard,1,0.00870587583631277,0.7826853394508362,0.2086087316274643,1,0.0029200497083365917,0.9133684635162354,0.08371147513389587,2,0.10790370404720306,0.13837793469429016,0.7537183165550232
42,mask,"The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.","Go downwards to one of the gates, all of which will lead you into the cathedral.",2,standard,2,0.07729751616716385,0.023630402982234955,0.899071991443634,1,0.0044228085316717625,0.9498600363731384,0.045717183500528336,2,0.14594823122024536,0.12575320899486542,0.7282986640930176
42,mask,The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.,The Tamils' bhakti movement froze the previously warm ritual of Hinduism.,2,standard,2,0.0023223687894642353,0.0017364536179229617,0.995941162109375,1,0.004958916921168566,0.9073397517204285,0.08770134299993515,2,0.17698660492897034,0.1149868369102478,0.7080265283584595
42,mask,see now in a situation like that the boys are only sixteen years old and they were sexually involved with her and i think like at that particular point she was twenty three you know so she wasn't really that much older than them and being a boy at that age i think that they're very um you know let's face it that's at a point in your life when you you're just starting to realize all the things of life,Everyone involved was the same age.,2,standard,2,0.002649438800290227,0.005140721797943115,0.992209792137146,2,0.01440134271979332,0.10142043977975845,0.8841782212257385,2,0.20164962112903595,0.14423130452632904,0.654119074344635
42,mask,"You and your friends are not welcome here, said Severn.",Severn said the people were not welcome there.,0,standard,0,0.9884864091873169,0.010122915729880333,0.0013907650718465447,2,0.025700628757476807,0.4275210499763489,0.5467783212661743,2,0.21782009303569794,0.08663377910852432,0.6955461502075195
42,mask,um-hum um-hum yeah well uh i can see you know it's it's it's it's kind of funny because we it seems like we loan money you know we money with strings attached and if the government changes and the country that we loan the money to um i can see why the might have a different attitude towards paying it back it's a lot us that  you know we don't really loan money to to countries we loan money to governments and it's the,We don't loan a lot of money.,1,standard,0,0.6217719912528992,0.16531869769096375,0.21290934085845947,1,0.04037518799304962,0.8183948993682861,0.14122992753982544,2,0.19758683443069458,0.16018810868263245,0.6422249674797058
42,mask,i'm not sure what the overnight low was,I don't know how cold it got last night.,0,standard,1,0.13667355477809906,0.8486400246620178,0.01468640100210905,1,0.013054003939032555,0.6505717635154724,0.3363742232322693,2,0.22136476635932922,0.1734945923089981,0.6051406860351562
