seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,mask,The new rights are nice enough,Everyone really likes the newest benefits ,1,standard,1,0.01429845206439495,0.6772761344909668,0.3084253966808319,1,0.0016648519085720181,0.9929096102714539,0.005425493698567152,1,0.11305788159370422,0.874459445476532,0.012482734397053719
42,mask,This site includes a list of all award winners and a searchable database of Government Executive articles.,The Government Executive articles housed on the website are not able to be searched.,2,standard,2,0.00040186758269555867,0.00046228771680034697,0.9991359114646912,2,0.002038391539826989,0.1126943826675415,0.8852673172950745,1,0.11369524151086807,0.868522584438324,0.017782149836421013
42,mask,uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him,"I like him for the most part, but would still enjoy seeing someone beat him.",0,standard,0,0.9897796511650085,0.010127593763172626,9.268672147300094e-05,1,0.002316645812243223,0.9908086657524109,0.006874709390103817,1,0.07272671908140182,0.913558840751648,0.013714389875531197
42,mask,yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food,My favorite restaurants are always at least a hundred miles away from my house. ,2,standard,2,5.53904683329165e-05,0.00011766063107643276,0.999826967716217,1,0.004148079082369804,0.6467465758323669,0.3491052985191345,1,0.036419857293367386,0.954926073551178,0.008654107339680195
42,mask,i don't know um do you do a lot of camping,I know exactly.,2,standard,2,0.00019836243882309645,0.00018696462211664766,0.9996145963668823,1,0.15377384424209595,0.6832495331764221,0.16297659277915955,1,0.03274865821003914,0.946614682674408,0.020636625587940216
42,mask,well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be,We have plenty of space in the landfill.,2,standard,2,0.00023228548525366932,0.00013789063086733222,0.9996298551559448,1,0.007801640313118696,0.7793493866920471,0.2128489464521408,1,0.017124012112617493,0.9735473990440369,0.009328637272119522
42,mask,yeah i know and i did that all through college and it worked too,I did that all through college but it never worked ,2,standard,2,0.00021207232202868909,0.00022689437901135534,0.9995610117912292,1,9.948762453859672e-05,0.987220823764801,0.012679721228778362,1,0.015581833198666573,0.9733614325523376,0.011056775227189064
42,mask,"Calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of Satyajit Ray or Mrinal Sen shown in Europe or North America than in India itself.",Most of Mrinal Sen's work can be found in European collections.,1,standard,0,0.49986734986305237,0.4899289906024933,0.010203595273196697,1,0.0022309841588139534,0.9802924990653992,0.017476536333560944,1,0.029820691794157028,0.9066609144210815,0.06351841241121292
42,mask,"If that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.",THe strike price could be $8.,2,standard,2,0.0004452993453014642,0.0011972406646236777,0.998357355594635,1,0.00980102177709341,0.9824421405792236,0.007756758946925402,1,0.08365627378225327,0.8369397521018982,0.07940392196178436
42,mask,"3)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?",Would you rise up and defeaat all evil lords in the town?,1,standard,1,0.00046905866474844515,0.9986121654510498,0.0009187717223539948,1,0.0009440251160413027,0.9978898167610168,0.0011661819880828261,1,0.21901778876781464,0.7048867344856262,0.07609548419713974
