seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,mask,"That time John Grisham defended men who watch child porn John Grisham's disturbing statements defending child porn consumers are coming back to haunt him. In a bizarre 2014 interview, the best-selling author said most men who watch kiddie porn are... John Grisham's bizarre defense of kiddie porn viewers ""We've got prisons now filled with guys my age, 60-year-old white men, in prison, who have never harmed anyone,” the best-selling author said.",John Grisham watches kiddie porn.,1,standard,0,0.998386025428772,0.0012560904724523425,0.0003578591567929834,2,0.00013458939793054014,0.0009800640400499105,0.9988853335380554,0,0.8188256621360779,0.07144073396921158,0.10973349213600159
42,mask,"Cruise Lines International Association (CLIA) is an association of cruise lines. It merged with International Council of Cruise Lines (ICCL) in 2006, forming an expanded organization incorporating the existing functions of both organizations. The merged organization, which uses the CLIA name, is located in Washington, D.C.",CLIA does not own any boats,2,standard,1,0.00019609613809734583,0.9990217685699463,0.0007821129984222353,2,0.0003849371860269457,0.002838937332853675,0.9967761635780334,1,0.000284376903437078,0.9993427395820618,0.0003729142190422863
42,mask,"That's right. That's the important hurdle, and we'd like to jump that first, but the other ones, Justice, you're right, in 1831 and in 1909 Congress extended terms in a way that is inconsistent with the strongest form of the test that we have advanced. Those extensions, however, were never challenged in any court and certainly not considered by this Court.",Congress extended terms in 2009 in an inconsistent way,2,standard,2,9.53235212364234e-05,0.000474777101771906,0.9994298815727234,1,0.00012550926476251334,0.9993883371353149,0.0004862110654357821,1,0.001326870289631188,0.9440369009971619,0.054636284708976746
42,mask,"Well, I think again that illustrates why the authority is vested in Congress to make these judgments rather than in courts to make these affect whether the judgments, because we're not talking about the effect on an individual author, or an individual creator. What the Framers of the Constitution were concerned about is a gross judgment with respect to what might generally provide incentives to the population --",Decisions Congress make impact society on a broad scale,0,standard,1,0.002662049373611808,0.9832414388656616,0.014096403494477272,1,0.000799938861746341,0.9986347556114197,0.0005652225227095187,1,0.0012725833803415298,0.9955854415893555,0.0031419293954968452
42,mask,"Tonight the topic will be domestic affairs, but the format will be the same as that first debate. I'll moderate our discussion under detailed rules agreed to by the candidates, but the questions and the areas to be covered were chosen by me. I have not told the candidates or anyone else what they are.","the topic will be domestic affairs, moderated on rules and questions agreed to by the candidates.",2,standard,0,0.9975625276565552,0.0017951937625184655,0.0006422352162189782,1,0.011889963410794735,0.7343282103538513,0.25378182530403137,2,0.0008812045562081039,0.015449228696525097,0.9836695194244385
42,mask,"And Charlotte Buckingham I recall really being the only person who got up to stand in defense of the school board, and she was Mr. Buckingham's wife, or is Mr. Buckingham's wife. And she quoted Scripture, Old Testament, actually, all Old Testament Scripture about why the school board is right, basically. And she also talked about school prayer and the need for school prayer in that speech that she had prepared.",Charlotte Buckingham has talked to carter,1,standard,1,0.000351068185409531,0.9440451860427856,0.05560365319252014,1,0.00632070004940033,0.968828022480011,0.02485124208033085,1,0.012632519006729126,0.9830577969551086,0.004309623967856169
42,mask,I do. I think that in this 21st century we will soon see the consequences of what's called global warming. There was a study just a few weeks ago suggesting that in summertime the north polar ice cap will be completely gone in 50 years. Already people see the strange weather conditions that the old timers say they've never seen before in their lifetimes.,the study was on the poler bear decline,2,standard,1,0.0009275838965550065,0.9374129176139832,0.06165952980518341,1,0.019316278398036957,0.9407177567481995,0.039965979754924774,0,0.5630495548248291,0.2363707572221756,0.2005796581506729
42,mask,"Honourable senators will remember that the committee which reported just prior to Christmas received information about a number of cases in which claims were brought by people living in poverty in Canada, usually women and children, both alluded to by my colleagues who spoke before me, against our federal and provincial governments.",there are cases of men living in poverty in canada ,0,standard,1,0.019042953848838806,0.8308566808700562,0.15010038018226624,1,0.0002885569410864264,0.9992434978485107,0.00046807274338789284,1,0.39404818415641785,0.47751253843307495,0.1284392923116684
42,mask,Mark Halperin accused of sexual harassment Several women spoke out to CNN detailing alleged incidents of sexual harassment during Halperin's tenure as the political director of ABC News over a decade ago. Halperin apologized for his behavior in a statement to CNN.,Halperin did not commit the crime.,2,standard,2,3.177674807375297e-05,0.0008590525831095874,0.9991092085838318,2,0.0002931207127403468,0.002182543044909835,0.9975243210792542,2,0.00016088040138129145,0.0026592817157506943,0.9971798658370972
42,mask,"How to use turtle wax<br>Wash your car before you wax it. Clean your car as thoroughly as you can on the outside. Use all the basic cleaners, such as soap and water for the body and window cleaner for your windows.",Turtle wax is to be used in the car,2,standard,2,0.04289931058883667,0.02203761413693428,0.9350630640983582,1,0.004467271734029055,0.8179239630699158,0.17760872840881348,2,6.635425961576402e-05,0.0011327085085213184,0.9988008737564087
42,mask,"UN official condemns attacks on civilians, calls for unhindered relief access February 7, 2017 As fresh violence flared up in the Ouham – Pende province of the Central African Republic, a United Nations humanitarian official has urged to protect civilians and provide them with unobstructed relief access. ""I urge all parties to the conflict to respect international humanitarian law and to ensure the protection of civilians,"" said Michel Yao, the Acting Humanitarian Coordinator in the country. ""Attack against aid workers is a crime against humanity,"" he added.",The call for unhindered relief access came on a Thursday.,2,standard,1,0.00016619297093711793,0.9942536950111389,0.005580141209065914,1,0.00012246302503626794,0.9991616010665894,0.000715954985935241,1,0.0037025955971330404,0.8735268712043762,0.1227705106139183
