premise,hypothesis,gold_label,heuristic,pred_full,pred_hyp_only,pred_prem_only
This situation could also impact our ability to mount another festival next year.,We might not have another festival next year.,0,standard,0,1,1
"You'll return to it at once, and take your crew with you, or else....   But Ogle, violent of mien and gesture, interrupted him.",Ogle had a crew.,0,standard,0,1,1
28 In some cases longer outages are needed.,It is never necessary to have outages.,2,standard,2,1,1
Requiring attorneys to monitor the movements of eligible aliens at all times of the year would impose monumental burdens on LSC grantees.,It would be a trivial matter for attorney to monitor eligible aliens at all times.,2,standard,2,1,1
Figure 3 shows the basic results for the two models.,Figure 3 shows how the models calculate the incomes.,1,standard,1,1,1
"And, uh, they moved downtown and, there was, uh, and it's still like this in Augusta, this big street downtown called Broad Street, and it really was just this broad street in a downtown area.",They went to the street with the most restaurants and bars.,1,standard,1,1,1
.. why they have so little self-worth that they value the friendship of thieves and killers.,None of their friends are thieves and killers.,2,standard,2,1,1
TABLE A.- TOTAL MERCURY ALLOWANCES ALLOCATED OR AUCTIONED FOR EGUS,Mercury has allowances that are set.,0,standard,0,1,1
Words that do not fit cannot be returned.,Some words do not fit in the puzzle.,1,standard,1,1,0
28 In some cases longer outages are needed.,Sometimes longer outages are needed.,0,standard,0,1,1
"In contrast, the impact of volume is greater in the U.S. than in France because the U.S. has lower postal densities and a greater variation in volumes.",There is a much greater impact of volume in the United States.,0,standard,0,1,1
Dr. Richards never stops astonishing us.,We howled with laughter when we heard Dr. Richards' latest news.,1,standard,1,1,0
So why does Gates produce at such a frantic pace?,The President was wondering why machines in the Gates factory produce at such a high rate.,1,standard,1,1,0
"In most cases, the concentration-response relationship may be overestimated; in other cases, it may be underestimated.",The effects of the concentration-response relationship are rarely overestimated.,2,standard,2,1,1
yeah we have between the spouse and myself we have six,My husband and I have six kids total.,1,standard,0,1,1
The New Yorker has fought back with special issues--massive tomes about race or Hollywood or the future.,"The New Yorker has fought back with more than 20 special issues, including whole magazines about racism, space travel, and education.",1,standard,1,1,1
Time runs two anti-emotion articles.,Newsweek ran four very emotional articles.,2,standard,2,1,0
You have the effrontery to upbraid me because I will not take your hands when I know how they are stained; when I know you for a murderer and worse?   He stared at her open-mouthed.,"He chose to take her hands because they were small, delicate, and most of all, clean.",2,standard,2,1,1
‘Swounds! Perhaps you'll explain yourself? Whither has Wolverstone gone?,I want you to explain yourself! I know you know where Wolverstone is.,1,standard,2,1,2
"We were somewhat intimidated by the look of it, but we ate it--without enthusiasm, but with the stiff upper lip we had imbibed, so to speak, with our mothers' milk.","We reluctantly ate what was given to us, even though we didn't like the looks of it.",0,standard,0,1,1
"If you're looking for an evening alternative to Harvard Square, head to Hispanic-flavored Inman Square, located down Cambridge Street.",Harvard Square isn't great at night.,0,standard,1,1,2
It was still cultural area but suburbs was still the dominant form.,It was all very urban.,2,standard,2,1,0
Pilgrims would buy honey cakes for this snake and leave them at the temple entrance for it to enjoy.,The snake would only eat pilgrims attempting to gain access to the temple.,2,standard,1,1,1
"In Tokyo, a correspondent for The Economist sighted a T-shirt   O D on Bourgeoisie Milk Boy Milk.",A reporter for The Economist was in Tokyo and noticed a particular T-shirt.,0,standard,0,1,2
", the Regional Haze RIA and the NOx SIP Call RIA), the low-end estimate of benefits assumed a threshold in PM health effects at 15 :g/m3.",They had no idea how to estimate the benefits.,2,standard,2,1,1
"Conversely, if new precedents never sent out ripples, the common law could hardly evolve at all.",The law has been around for a while.,0,standard,1,1,1
"There are, of course, many elegant and flirtatious scenes set on yachts.",Large yachts are very expensive to maintain as they need regular maintenance and use large amounts of fuel.,1,standard,1,1,1
Only with the help of our philanthropic partners have we been able to achieve so much.,Bill Gates donated $5 million to us.,1,standard,1,1,1
it's kind of like a soap a nighttime soap opera type thing,It's like soap opera show.,0,standard,0,1,0
"Just east of the Star Ferry terminal, you'll come to City Hall.",City Hall is near the ferry terminal.,0,standard,0,1,1
Your contributions to the Annual Fund at the Maennerchor Society level have provided significant assistance to the school.,The Maennerchor Society is privately funded by Bill Gates.,2,standard,2,1,1
"Only lost two, three aircraft while we was there, and, uh, test phase.",A couple of aircraft got lost because of the weather.,1,standard,1,1,1
"Indeed, part of what we need is a way of characterizing the organization of real processes in the nonequilibrium world.",We need labels so we can see where the organization is doing well.,1,standard,1,1,0
"On weekends you can join the locals in the Parque de Palapas, where the strains of rock, salsa, and folk music can blend together into a bewildering cacophony.","You can't ever go to the Parque de Palapas, it is forbidden.",2,standard,2,2,1
consistency is a form of ritualism.,Being consistent is like performing rituals.,0,standard,0,1,2
Why would human beings have Laibson-style preferences in the first place?,Everyone should have Laibson-style preferences.,2,standard,2,1,0
Even though I don't see how he could have expected me to have it done.,I don't understand why he expected me to finish the drawing today,1,standard,1,1,1
"Four of the 9/11 attackers were pulled into secondary border inspection, but then admitted.",All of the 9/11 attackers were denied entry at the border.,2,standard,2,1,1
"Her presence at this moment, and considering the nature of his altercation with Wolverstone, was embarrassing.",She quickly fled the scene in order to avoid further scrutiny.,1,standard,2,2,1
"Only lost two, three aircraft while we was there, and, uh, test phase.",We've never lost an aircraft.,2,standard,2,1,1
um hum yeah so so so you got a sign up there that says you got this alarm system and what if a burglar comes along and cuts your phone line,There is a sign to say you have an alarm.,0,standard,0,1,1
huh well that's neat well um it was real funny i went to a seminar that was just it was is a satellite seminar it was really neat and it was just for women,There were a lot of people attending the satellite seminar.,1,standard,1,1,1
"In turn, object must be on machine for minutes, then machine for minutes, and so on.","If it the object does not stay on the machine for minutes, it will explode.",1,standard,1,1,0
