seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,neutral,A woman is surfing,A fearful little boy is on a climbing wall,1,standard,2,5.58441570319701e-06,1.4664283298770897e-05,0.9999797344207764,1,0.031427543610334396,0.8369596600532532,0.13161282241344452,2,0.010441391728818417,0.015835724771022797,0.9737228751182556
42,neutral,Some people are walking,A group of scouts are camping in the grass,1,standard,2,0.00031694912468083203,0.007613612338900566,0.9920694828033447,2,0.00010645342263160273,0.00048149150097742677,0.9994120597839355,1,0.12560045719146729,0.7424323558807373,0.1319672018289566
42,neutral,The muscular black man is dancing and the man behind him is wearing green beads,The muscular man is dancing and the man behind him is wearing green beads,0,standard,0,0.9925855994224548,0.007330808788537979,8.357355545740575e-05,1,0.01966266520321369,0.5952130556106567,0.38512423634529114,2,0.0003962110495194793,0.0017606861656531692,0.9978430271148682
42,neutral,A man is having fun with water,A man is doing a card trick,1,standard,2,0.00012507097562775016,0.0010184857528656721,0.9988565444946289,2,0.0014802056830376387,0.008663523942232132,0.9898562431335449,2,0.07549796253442764,0.0423160120844841,0.8821859955787659
42,neutral,There is no little girl playing the piano,A little girl is playing a grand piano on stage,2,standard,2,9.877495904220268e-05,0.01946895197033882,0.9804322719573975,2,8.18445478216745e-05,8.54049576446414e-05,0.9998326301574707,0,0.5315021276473999,0.34833118319511414,0.12016662955284119
42,neutral,There are no little boys playing outside with a soccer ball on the green grass,Two children are playing soccer in the park,1,standard,1,0.08255080878734589,0.5925347208976746,0.32491445541381836,2,0.0015446909237653017,0.00042044607107527554,0.9980348944664001,0,0.9524960517883301,0.03990599140524864,0.007597980555146933
42,neutral,A woman is cracking some eggs outside a bowl,A woman is adding ingredients to a bowl,1,standard,1,0.1209334060549736,0.8775421380996704,0.0015244276728481054,2,0.14814431965351105,0.06594624370336533,0.7859094142913818,2,0.10844965279102325,0.013388900086283684,0.8781614303588867
42,neutral,The girl in blue is chasing the base runner with a number on the jersey,A man in blue has a yellow ball in the mitt,1,standard,2,0.00020507871522568166,0.001208967762067914,0.9985859394073486,2,0.013331303372979164,0.05606291443109512,0.9306057691574097,0,0.9982653260231018,0.0014912642072886229,0.00024346483405679464
42,neutral,There is no man eating a pizza,A man is eating some food,1,standard,1,0.014710994437336922,0.9602915644645691,0.024997470900416374,2,0.0004939154605381191,0.0014800396747887135,0.9980260729789734,0,0.7184505462646484,0.218560591340065,0.06298882514238358
42,neutral,The man is not taking a picture of himself and another guy,The man is taking a picture of himself and another guy,2,standard,2,0.0007782375323586166,0.001585563994012773,0.9976361989974976,2,0.0022409530356526375,0.023416608572006226,0.974342405796051,0,0.9874604940414429,0.009437250904738903,0.0031022613402456045
42,neutral,A boy is walking across a bridge,A person is stirring vegetables in a bowl,1,standard,2,3.2515092698304215e-06,1.4536054550262634e-05,0.9999822378158569,1,0.4648321866989136,0.46822988986968994,0.06693796813488007,0,0.844287097454071,0.04038603603839874,0.11532686650753021
42,neutral,A man is singing and playing a guitar,There is no boy playing a piano,1,standard,2,2.6861189326155e-05,9.73066344158724e-05,0.9998759031295776,2,0.012234113179147243,0.002267025411128998,0.9854989051818848,2,0.0037813002709299326,0.004425630439072847,0.9917930960655212
42,neutral,A brown and white dog is jumping in the air with a tennis ball in its mouth,A dog is missing the ball in mid air,1,standard,1,0.0006804714212194085,0.9884951710700989,0.010824373923242092,2,0.00015295695629902184,0.0017871218733489513,0.9980598092079163,0,0.9962965846061707,0.0024412747006863356,0.0012621101923286915
42,neutral,A brown dog and a black dog are frolicking in the sand,A black dog is playing with a brown dog on the sand,0,standard,1,0.13145466148853302,0.8674572110176086,0.0010881636990234256,2,0.03288837894797325,0.04910298436880112,0.9180086851119995,2,0.002432110020890832,0.0018971110694110394,0.9956707954406738
42,neutral,A man is emptying a container made of plastic,A man is emptying a plastic container,0,standard,0,0.9962801337242126,0.0036525775212794542,6.73470349283889e-05,2,0.021870801225304604,0.021548833698034286,0.9565803408622742,0,0.9933360815048218,0.0050473143346607685,0.0016165768029168248
42,neutral,One bearded man is standing by a shopping cart and is holding a cardboard sign,A man is holding a sign and is seeking money,1,standard,1,0.00030228239484131336,0.9992449283599854,0.0004527810378931463,1,0.00045911225606687367,0.9941601753234863,0.0053807892836630344,0,0.9265188574790955,0.05666772648692131,0.01681346260011196
42,neutral,A woman is standing near three children,There is no woman playing with two young boys at a park,1,standard,2,2.7407122615841217e-05,0.0002856339851859957,0.9996869564056396,2,0.0004549137665890157,0.002567497082054615,0.9969775676727295,2,0.01271409634500742,0.02149464190006256,0.9657912850379944
42,neutral,A cute panda is lying down,The log is lying on the panda bear,1,standard,2,0.0005392999737523496,0.005639025941491127,0.9938216209411621,1,0.005060198251157999,0.8112931251525879,0.18364663422107697,0,0.9758407473564148,0.02343621291220188,0.0007230552146211267
42,neutral,A man is mixing the content of a bowl,A woman is mixing the content of a bowl,1,standard,2,1.9732413420570083e-05,6.869414210086688e-05,0.9999115467071533,0,0.9485305547714233,0.03403816372156143,0.01743127778172493,0,0.9977879524230957,0.0019161216914653778,0.00029597440152429044
42,neutral,A flute is being played by a girl,A girl is making a flute which is not to be played,1,standard,2,5.5964461353141814e-05,0.0005944134900346398,0.9993495345115662,2,5.0030761485686526e-05,0.00020974213839508593,0.9997401833534241,2,0.08702004700899124,0.014590630307793617,0.8983893394470215
42,neutral,Some pieces of butter are being added to the stand mixer,Pieces of butter are being added to the stand mixer,0,standard,0,0.9966821074485779,0.0032682360615581274,4.964603795087896e-05,1,0.0009612274589017034,0.9695872664451599,0.029451528564095497,0,0.993919849395752,0.00593601306900382,0.00014419801300391555
42,neutral,A boy is standing next to the opening of a fountain,A girl is standing next to the opening of a fountain,1,standard,2,2.8889551686006598e-05,0.00013557271449826658,0.9998356103897095,2,0.0013066735118627548,0.007109625265002251,0.9915837049484253,2,0.017769096419215202,0.0345882773399353,0.9476426839828491
42,neutral,A man is freeing a fish,A man is catching a fish,1,standard,1,0.3633767068386078,0.5024726390838623,0.1341506391763687,2,0.0002567573101259768,0.0005909855244681239,0.9991521835327148,0,0.965268611907959,0.029052458703517914,0.0056788926012814045
42,neutral,A dog is licking a baby,A baby is licking a dog,1,standard,2,5.6031498388620093e-05,0.00022427203657571226,0.9997196793556213,2,0.00011680971510941163,0.00010179031232837588,0.9997814297676086,0,0.9904649257659912,0.007370909675955772,0.0021641552448272705
42,neutral,A man is fixing a silencer to a gun,A man is applying a silencer to a gun,0,standard,0,0.9959832429885864,0.003956306725740433,6.042717723175883e-05,1,0.062348801642656326,0.6767488718032837,0.2609023451805115,0,0.9905581474304199,0.006040576379746199,0.0034012561663985252
42,neutral,A girl with red hair and red eyebrows is in midspeech,"The girl has red hair and eyebrows, several piercings in a ear and a tattoo on the back",1,standard,1,0.00012566623627208173,0.9983021020889282,0.0015721836825832725,1,0.000356128322891891,0.9907045960426331,0.008939282037317753,2,0.039406999945640564,0.007031689397990704,0.9535612463951111
42,neutral,A baby is splashing inside a blue paddling pool,A toddler is making a splash inside a blue paddling pool,0,standard,1,0.07975646108388901,0.8952584862709045,0.02498498000204563,0,0.664932131767273,0.07677028328180313,0.25829756259918213,0,0.9969242215156555,0.0025906881783157587,0.0004851554404012859
42,neutral,A great dog is climbing a steep hill,A light brown dog is running up a street,1,standard,1,0.015182924456894398,0.945119321346283,0.03969776630401611,2,0.007600842975080013,0.005624688230454922,0.9867744445800781,0,0.9969039559364319,0.002099244622513652,0.0009968782542273402
42,neutral,Some people and vehicles are on a almost empty street,Pedestrians and cars are moving through a traffic jam in a big city,1,standard,2,0.0002654734707903117,0.005508762318640947,0.994225800037384,1,0.0021228722762316465,0.9754472374916077,0.022429903969168663,2,0.005214853677898645,0.008166833780705929,0.9866182208061218
42,neutral,A large white crane is flying far above the water,A white bird is landing swiftly in the water,1,standard,1,0.0007454882143065333,0.9922038316726685,0.00705074705183506,2,0.002541844267398119,0.010828908532857895,0.9866291284561157,0,0.9830912947654724,0.01620856486260891,0.0007000724435783923
42,neutral,A man is dangerously throwing knives at a tree,The man isn't doing a magic trick,1,standard,1,0.02687065117061138,0.9689697027206421,0.0041596838273108006,2,0.0009777063969522715,0.017388509586453438,0.981633722782135,0,0.7033294439315796,0.16236594319343567,0.13430467247962952
42,neutral,There is no man riding a mechanical bull,The man is riding a mechanical bull,2,standard,2,0.0018407717579975724,0.0024474202655255795,0.9957118034362793,2,0.0008247626828961074,0.01774057373404503,0.98143470287323,0,0.4048277735710144,0.3123411238193512,0.2828310430049896
42,neutral,The woman in the white sweater is not drawing a tattoo on the hand of a teenager,The woman in the white sweater is drawing a tattoo on the hand of a teenager,2,standard,2,0.004827977158129215,0.009656387381255627,0.9855157136917114,2,0.0004691202484536916,0.013109316118061543,0.9864215850830078,1,0.05087677389383316,0.9103037118911743,0.038819506764411926
42,neutral,Two men are fighting in a cow pasture,Two men are fighting in a pen for cattle,1,standard,0,0.5830681324005127,0.40004971623420715,0.016882091760635376,2,0.00012407009489834309,0.001988657284528017,0.9978873133659363,0,0.916218101978302,0.05460337549448013,0.02917846292257309
42,neutral,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a face which looks funny,0,standard,0,0.9892870187759399,0.010248640552163124,0.00046433365787379444,1,0.009956637397408485,0.9620018601417542,0.028041468933224678,0,0.9818168878555298,0.013255885802209377,0.0049272142350673676
42,neutral,The white dog wearing reindeer ears is close to a brown dog,A white dog is wearing a Christmas reindeer headband and is playing with a brown dog in the grass,1,standard,1,0.01128416508436203,0.9879342317581177,0.0007816398283466697,2,0.0026982908602803946,0.01936337724328041,0.9779382944107056,2,0.05236855894327164,0.05035897716879845,0.897272527217865
42,neutral,A brown dog is running through a snowy trail,A dog is running on a snowy path,0,standard,0,0.9779119491577148,0.02197725512087345,0.00011072382767451927,2,0.0003952753613702953,0.0007264373125508428,0.9988781809806824,0,0.9973586201667786,0.0021820752881467342,0.0004593124322127551
42,neutral,Two men are fighting in a cattle pen,Nobody is fighting in a cow pasture,1,standard,2,8.611355951870792e-06,5.713460996048525e-05,0.9999343156814575,2,4.025371163152158e-05,0.0005474493955262005,0.9994122982025146,0,0.8560522198677063,0.08610530942678452,0.05784250423312187
42,neutral,A chubby faced boy is wearing sunglasses,A girl is wearing sunglasses,1,standard,2,3.499583908705972e-05,0.00011249213275732473,0.9998524188995361,2,0.006473545450717211,0.02903306484222412,0.9644933938980103,2,0.005209940951317549,0.0053123305551707745,0.9894776940345764
