seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,empty,Two people sit facing away in a downtown scene with a motorcycle parked in front of a pool,The two people run as quickly as they can for shelter as the storm picks up and begins swirling all around them.,2,standard,2,4.05981927542598e-06,3.278691292507574e-05,0.9999631643295288,1,0.0009273815667256713,0.9987978935241699,0.0002746664104051888,2,0.0002601938904263079,0.00029637300758622587,0.9994433522224426
42,empty,A white dog with brown ears runs down a gravel path with a ball in its mouth.,A dog runs down a path with a green ball.,1,standard,1,0.00014526529412250966,0.999751627445221,0.00010314270184608176,2,0.004357330035418272,0.027531296014785767,0.9681113958358765,1,0.007427646312862635,0.9705967903137207,0.021975575014948845
42,empty,"Six men, all wearing identifying number plaques, are participating in an outdoor race.",a number of guys wearing numbers race outside,0,standard,0,0.9886865615844727,0.011266839690506458,4.655336306313984e-05,1,0.009890791028738022,0.961530327796936,0.02857886627316475,1,0.0008088418981060386,0.9956833124160767,0.003507832996547222
42,empty,Five children of Indian origin are smiling and posing on a slide.,Children are on a slide.,0,standard,0,0.9972008466720581,0.002747651655226946,5.1451621402520686e-05,1,0.01175663061439991,0.9016585350036621,0.08658486604690552,1,0.0009250629809685051,0.9947133660316467,0.00436151959002018
42,empty,Kids are on a amusement ride.,Kids ride their favorite amusement ride.,1,standard,1,0.0007114124018698931,0.9992577433586121,3.0778610380366445e-05,1,0.0011288205860182643,0.9986953139305115,0.00017585208115633577,1,0.02253521792590618,0.976153552532196,0.001311239437200129
42,empty,A black dog running in the snow by some trees.,a dog sitting at the beach,2,standard,2,7.636760528839659e-06,2.6338897441746667e-05,0.999966025352478,2,0.002124091610312462,0.0051816427148878574,0.9926942586898804,1,0.0382937490940094,0.82017582654953,0.14153046905994415
42,empty,A group of women in white robes walk through the grass.,women walk through the sand,2,standard,2,0.0022541440557688475,0.005524125881493092,0.9922217726707458,2,0.003422811860218644,0.010373443365097046,0.9862037897109985,2,0.02208278514444828,0.08433172851800919,0.8935855031013489
42,empty,One little toddler wearing blue pajamas and a little girl wearing red pajamas opening presents on christmas day.,Two small children are unhappy with the opening of their presents.,1,standard,1,0.00023600428539793938,0.9869294166564941,0.012834537774324417,2,0.00011742932110792026,0.07267922163009644,0.927203357219696,1,0.0002697239979170263,0.996026873588562,0.003703373484313488
42,empty,"Two children examine a stack of books and games, including the game ""Poncho Pal,"" next to a piece of furniture.",Two children are looking for something to do.,1,standard,1,0.006117656361311674,0.9934938549995422,0.00038848438998684287,1,0.12298110127449036,0.7201780676841736,0.15684084594249725,1,0.2203970104455948,0.635653018951416,0.1439499706029892
42,empty,A group of people is gathered around a table of food with their arms around each other.,A group of people are gather around a meeting room table.,1,standard,2,0.000229390207096003,0.00583191541954875,0.993938684463501,1,0.019970253109931946,0.9608479142189026,0.019181858748197556,1,0.011902034282684326,0.9635046720504761,0.02459327131509781
42,empty,A man in the middle east with a corn-on-the-cob cart selling corn.,An old middle eastern man is selling corn-on-the-cob from his brother's cart.,1,standard,1,0.0004861151101067662,0.999430239200592,8.359283674508333e-05,1,0.02638181485235691,0.852271318435669,0.12134695053100586,1,0.00598748167976737,0.9789506793022156,0.015061790123581886
42,empty,A cute puppy fetches a yellow ring chew toy in the yard.,A puppy plays fetch.,0,standard,0,0.9937531352043152,0.0061773331835865974,6.95767012075521e-05,2,0.1519293636083603,0.39841049909591675,0.44966015219688416,1,0.0026012437883764505,0.9900689721107483,0.007329809013754129
42,empty,A man in gray slacks and sweater observes marker placed in front of a fence in a field.,The man is old.,1,standard,1,0.0002803839452099055,0.9995911717414856,0.0001284928439417854,1,0.0006950938841328025,0.9991127848625183,0.00019214152416680008,1,0.052483923733234406,0.8922783732414246,0.05523771792650223
42,empty,There is a large group of people in front of Papa John's restaurant.,The people are outside of the restaurant.,0,standard,0,0.9968897700309753,0.0030111055821180344,9.90668631857261e-05,1,0.006125698797404766,0.9725717306137085,0.02130255289375782,2,0.000705195649061352,0.006229484919458628,0.9930652379989624
42,empty,A bridal party assembles outside a stone building.,A farmer takes a cow through a wooden gate.,2,standard,2,3.7080690162838437e-06,1.551278546685353e-05,0.9999808073043823,1,0.03234298154711723,0.9161415696144104,0.05151541903614998,1,0.013326128013432026,0.9632084965705872,0.02346533164381981
42,empty,Four people stand next to some bikes while one of them points.,Two people are sitting on the ground.,2,standard,2,3.991807534475811e-05,0.000134852176415734,0.9998252987861633,1,0.026103347539901733,0.9679503440856934,0.005946314428001642,1,0.0018893686356022954,0.9938766360282898,0.004234054125845432
42,empty,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.",Nobody has a suit,2,standard,2,4.910537882096833e-06,1.8238424672745168e-05,0.9999768733978271,2,0.00015421972784679383,0.0016448399983346462,0.9982008934020996,1,0.003150076139718294,0.9883855581283569,0.008464411832392216
42,empty,"A woman is looking into a mirror, brushing her hair.",A woman is brushing her hair.,0,standard,0,0.9958798885345459,0.004047966096550226,7.221181294880807e-05,2,0.015112563967704773,0.2975613474845886,0.6873261332511902,2,0.002288462594151497,0.19745144248008728,0.8002601861953735
42,empty,"Two young men sitting at the end of a long table eating; there are 3 plates full of food, two glasses with a yellow colored drink and a small orange case on the table.",A small white case is on the table.,2,standard,2,2.8142912924522534e-05,8.604449249105528e-05,0.9998857975006104,1,0.04901730641722679,0.9472711682319641,0.003711545141413808,2,0.01382704358547926,0.3587283194065094,0.6274446845054626
42,empty,A man in a green Celtics hat and a woman wearing a black sweater display identical tattoos on their right wrists.,Two men show off identical tats,2,standard,2,0.0018595432629808784,0.0011613299138844013,0.9969792366027832,1,0.003839135868474841,0.8867975473403931,0.10936333239078522,1,0.0011735261650756001,0.9819791316986084,0.01684729941189289
42,empty,Two men selling fruit at a fruit market.,Two men are selling fruit at the market.,0,standard,0,0.9942165613174438,0.005723293870687485,6.008493801346049e-05,2,0.02601851336658001,0.1332695633172989,0.8407119512557983,1,0.019195938482880592,0.7711008787155151,0.20970319211483002
42,empty,A woman watches a child play near a small pool.,A woman snatches a child before the car hits her.,2,standard,2,5.596356004389236e-06,4.64777258457616e-05,0.9999479055404663,2,0.0030822542030364275,0.05046270042657852,0.9464550614356995,2,0.17674194276332855,0.048277225345373154,0.7749808430671692
42,empty,The brown and white dog is playing in the snow.,A dog in the snow.,0,standard,0,0.9934096932411194,0.006517195142805576,7.311027002288029e-05,2,0.11495422571897507,0.1461663544178009,0.7388795018196106,1,0.003076913533732295,0.9786192774772644,0.018303774297237396
42,empty,A woman in a red shirt and blue jeans is walking outside while a man in a khaki jacket is right behind her.,A man in an army jacket is  following a woman in a pink dress.,2,standard,2,5.0877835747087374e-05,0.0006780613330192864,0.9992710947990417,0,0.6544177532196045,0.2397109866142273,0.10587124526500702,1,0.016843454912304878,0.9180400967597961,0.06511642038822174
42,empty,"Four people, One male in a blue shirt and slacks with three females, one in pink, one in blue, and the other with a white shirt and blue blouse, in line to enter a yellow school bus, while a female in pink hold paper is on the phone.",The people waiting in line are in middle school.,1,standard,1,0.0008311285637319088,0.986705482006073,0.012463374994695187,2,0.001275938586331904,0.0378018394112587,0.960922122001648,1,0.00048015484935604036,0.9959545135498047,0.003565389895811677
42,empty,A military group in uniform standing together while one of them gets their hat adjusted.,A group of uniformed men having his uniform adjusted to perfection.,0,standard,1,0.09658531099557877,0.9029775261878967,0.0004371102841105312,1,0.03152403235435486,0.9468226432800293,0.021653322502970695,1,0.004053622018545866,0.9939708709716797,0.00197555311024189
