seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,neutral,The actor by the professor waited .,The professor waited .,2,subsequence,0,0.6788667440414429,4.659881233237684e-05,0.32108673453330994,2,0.02527630142867565,7.789725350448862e-05,0.9746458530426025,0,0.6735727787017822,2.5963414373109117e-05,0.3264012932777405
42,neutral,The professor and the judge thanked the actor .,The judge thanked the professor .,2,lexical_overlap,0,0.6479529738426208,5.1842755055986345e-05,0.35199517011642456,2,0.04418135806918144,7.316593109862879e-05,0.95574551820755,0,0.6217564940452576,1.8729268049355596e-05,0.37822476029396057
42,neutral,The students recognized the author studied in the laboratory .,The author studied in the laboratory .,2,subsequence,0,0.8105415105819702,1.5788151358719915e-05,0.1894426941871643,2,0.09654251486063004,3.266437488491647e-05,0.9034247994422913,0,0.6237893104553223,1.8191723938798532e-05,0.37619251012802124
42,neutral,Clearly the lawyers helped the senators .,The lawyers helped the senators .,0,constituent,0,0.8117929697036743,3.5568147723097354e-05,0.18817149102687836,2,0.05613327771425247,3.1324940209742635e-05,0.9438353776931763,0,0.629971981048584,1.9073197108809836e-05,0.3700089454650879
42,neutral,The actors left the island .,The actors left .,0,subsequence,0,0.8609473705291748,1.4635676052421331e-05,0.13903792202472687,2,0.02710394375026226,4.4436994357965887e-05,0.9728516340255737,0,0.5974256992340088,1.9158967916155234e-05,0.4025551378726959
42,neutral,Happy senators encouraged the student .,Senators encouraged the student .,0,subsequence,0,0.8741739392280579,1.93438827409409e-05,0.12580662965774536,2,0.07228398323059082,0.00015637997421436012,0.9275596141815186,0,0.6578323841094971,2.261244662804529e-05,0.34214505553245544
42,neutral,The lawyers ate the salad .,The lawyers ate .,0,subsequence,0,0.8487199544906616,2.217790279246401e-05,0.1512579321861267,2,0.007343683857470751,1.5276684280252084e-05,0.992641031742096,0,0.5363255739212036,3.3355339837726206e-05,0.46364104747772217
42,neutral,The judge next to the senator called the professors .,The judge called the professors .,0,lexical_overlap,0,0.7295969724655151,4.355820419732481e-05,0.27035945653915405,2,0.03245255723595619,5.5274489568546414e-05,0.9674921631813049,0,0.6306747198104858,2.1592039047391154e-05,0.36930370330810547
42,neutral,"The banker advised the presidents , and the judge supported the actor .",The judge supported the actor .,0,constituent,0,0.780725359916687,2.387662789260503e-05,0.21925072371959686,2,0.03429929167032242,7.465721864718944e-05,0.965626060962677,0,0.6213356852531433,1.876057285699062e-05,0.3786456286907196
42,neutral,Of course the tourists resigned .,The tourists resigned .,0,constituent,0,0.8590482473373413,3.63469916919712e-05,0.14091536402702332,2,0.034880202263593674,4.0746101149125025e-05,0.9650790691375732,0,0.610476016998291,2.741723983490374e-05,0.3894965946674347
