seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,random,A woman is surfing,A fearful little boy is on a climbing wall,1,standard,2,3.4992030123248696e-05,0.00028155374457128346,0.9996833801269531,2,9.636185859562829e-05,0.0005404108669608831,0.9993632435798645,2,0.0003476616111584008,0.0005502059357240796,0.9991021156311035
42,random,Some people are walking,A group of scouts are camping in the grass,1,standard,2,0.0004998123040422797,0.003789798356592655,0.9957103729248047,2,0.0003555536677595228,0.00231495825573802,0.9973294734954834,2,0.001163198729045689,0.002810677280649543,0.9960260391235352
42,random,The muscular black man is dancing and the man behind him is wearing green beads,The muscular man is dancing and the man behind him is wearing green beads,0,standard,0,0.9729837775230408,0.024203723296523094,0.0028125408571213484,2,0.002443925943225622,0.08766110986471176,0.9098950028419495,2,0.0011547069298103452,0.003593558445572853,0.9952516555786133
42,random,A man is having fun with water,A man is doing a card trick,1,standard,2,0.0007702673901803792,0.002829267643392086,0.9964004755020142,2,0.00018815229122992605,0.001306455465964973,0.9985053539276123,2,0.0006973349954932928,0.0012727665016427636,0.998029887676239
42,random,There is no little girl playing the piano,A little girl is playing a grand piano on stage,2,standard,2,0.00013005247456021607,0.0017562595894560218,0.998113751411438,2,0.00015868156333453953,0.0004902841756120324,0.9993510842323303,2,0.00041637144749984145,0.0062315696850419044,0.9933520555496216
42,random,There are no little boys playing outside with a soccer ball on the green grass,Two children are playing soccer in the park,1,standard,2,0.00038477935595437884,0.02607695572078228,0.973538339138031,2,0.00026043763500638306,0.0012081107124686241,0.9985314607620239,2,0.0007988520665094256,0.006279998924583197,0.9929211735725403
42,random,A woman is cracking some eggs outside a bowl,A woman is adding ingredients to a bowl,1,standard,0,0.6130800843238831,0.36007997393608093,0.026839902624487877,2,0.0028452142141759396,0.01628519967198372,0.9808695316314697,2,0.000706774415448308,0.0012246262049302459,0.998068630695343
42,random,The girl in blue is chasing the base runner with a number on the jersey,A man in blue has a yellow ball in the mitt,1,standard,2,0.00019968237029388547,0.004193817265331745,0.9956064820289612,2,0.0012042499147355556,0.008700290694832802,0.9900954961776733,2,0.0034817024134099483,0.009146962314844131,0.9873713254928589
42,random,There is no man eating a pizza,A man is eating some food,1,standard,2,0.09863061457872391,0.06466834992170334,0.8367010354995728,2,0.0075878966599702835,0.053875431418418884,0.9385367035865784,2,0.0012761977268382907,0.008156904019415379,0.9905669093132019
42,random,The man is not taking a picture of himself and another guy,The man is taking a picture of himself and another guy,2,standard,2,0.0017888509901240468,0.0017424714751541615,0.9964686632156372,2,0.007277281489223242,0.13356202840805054,0.8591607213020325,2,0.0016675040824338794,0.01906653679907322,0.9792659878730774
42,random,A boy is walking across a bridge,A person is stirring vegetables in a bowl,1,standard,2,0.0011001009261235595,0.0029911387246102095,0.9959087371826172,2,0.0008555970271117985,0.003764655441045761,0.9953796863555908,2,0.0006147479871287942,0.0012521798489615321,0.9981330037117004
42,random,A man is singing and playing a guitar,There is no boy playing a piano,1,standard,2,0.048589836806058884,0.4081082344055176,0.5433019399642944,2,0.003117336193099618,0.017819324508309364,0.9790633320808411,2,0.009210419841110706,0.034991297870874405,0.9557982087135315
42,random,A brown and white dog is jumping in the air with a tennis ball in its mouth,A dog is missing the ball in mid air,1,standard,2,0.0005009620217606425,0.008041048422455788,0.991457998752594,2,0.00030949251959100366,0.0014768807450309396,0.9982136487960815,2,0.0005482017295435071,0.0016513837035745382,0.9978004097938538
42,random,A brown dog and a black dog are frolicking in the sand,A black dog is playing with a brown dog on the sand,0,standard,0,0.997058629989624,0.0028279966209083796,0.00011338782496750355,2,0.0005328206461854279,0.0020053170155733824,0.9974617958068848,2,0.0005959748523309827,0.001512314542196691,0.9978917241096497
42,random,A man is emptying a container made of plastic,A man is emptying a plastic container,0,standard,0,0.9946829676628113,0.004281432833522558,0.0010356118436902761,2,0.0036159357987344265,0.040295906364917755,0.956088125705719,2,0.0014152684016153216,0.003503389423713088,0.9950813055038452
42,random,One bearded man is standing by a shopping cart and is holding a cardboard sign,A man is holding a sign and is seeking money,1,standard,1,0.0011064799036830664,0.9985432624816895,0.0003502785402815789,2,0.001301804673857987,0.016535868868231773,0.9821622967720032,2,0.001101518515497446,0.0031812090892344713,0.9957172274589539
42,random,A woman is standing near three children,There is no woman playing with two young boys at a park,1,standard,2,0.00011962975258938968,0.0031244419515132904,0.9967558979988098,2,0.0008353448938578367,0.009910888969898224,0.9892536997795105,2,0.0007602035766467452,0.00229676254093647,0.996942937374115
42,random,A cute panda is lying down,The log is lying on the panda bear,1,standard,1,0.014274004846811295,0.7881828546524048,0.1975431591272354,2,0.0010118813952431083,0.0029796252492815256,0.9960085153579712,2,0.00031092381686903536,0.0007477591279894114,0.9989413619041443
42,random,A man is mixing the content of a bowl,A woman is mixing the content of a bowl,1,standard,2,6.702356040477753e-05,0.0007074276800267398,0.9992254972457886,2,0.0015956589486449957,0.00646097119897604,0.991943359375,2,0.0007210277253761888,0.0017670824890956283,0.9975118637084961
42,random,A flute is being played by a girl,A girl is making a flute which is not to be played,1,standard,2,0.001303122378885746,0.014044185169041157,0.9846526980400085,2,0.0026786390226334333,0.0069527593441307545,0.9903685450553894,2,0.001174964476376772,0.0036951401270926,0.9951298236846924
