seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,neutral,This situation could also impact our ability to mount another festival next year.,We might not have another festival next year.,0,standard,0,0.9825228452682495,0.015414672903716564,0.002062520245090127,1,0.00019788857025559992,0.9993839263916016,0.0004181375843472779,1,0.03586186096072197,0.9641127586364746,2.5435829229536466e-05
42,neutral,"You'll return to it at once, and take your crew with you, or else....   But Ogle, violent of mien and gesture, interrupted him.",Ogle had a crew.,0,standard,1,0.20655104517936707,0.7911591529846191,0.0022897871676832438,1,0.012788582593202591,0.9732507467269897,0.013960651122033596,1,0.013388997875154018,0.9732667207717896,0.013344325125217438
42,neutral,28 In some cases longer outages are needed.,It is never necessary to have outages.,2,standard,2,1.1040452591259964e-05,8.264838106697425e-05,0.9999063014984131,1,0.000791477388702333,0.9782408475875854,0.020967721939086914,0,0.6186149716377258,0.32766079902648926,0.053724341094493866
42,neutral,Requiring attorneys to monitor the movements of eligible aliens at all times of the year would impose monumental burdens on LSC grantees.,It would be a trivial matter for attorney to monitor eligible aliens at all times.,2,standard,2,1.542899371997919e-05,4.698561679106206e-05,0.9999376535415649,1,0.0006797016831114888,0.9981364011764526,0.0011839299695566297,1,0.00019695213995873928,0.9992173910140991,0.0005856355419382453
42,neutral,Figure 3 shows the basic results for the two models.,Figure 3 shows how the models calculate the incomes.,1,standard,1,6.358970131259412e-05,0.9995205402374268,0.0004158380033914,1,0.0016581193776801229,0.9947777986526489,0.0035641230642795563,0,0.9958155751228333,0.0032874152529984713,0.000897014222573489
42,neutral,"And, uh, they moved downtown and, there was, uh, and it's still like this in Augusta, this big street downtown called Broad Street, and it really was just this broad street in a downtown area.",They went to the street with the most restaurants and bars.,1,standard,1,6.180421769386157e-05,0.9997395873069763,0.00019862446060869843,1,0.0006267818389460444,0.9992157220840454,0.00015748273290228099,0,0.9902673363685608,0.00940497312694788,0.00032765869400464
42,neutral,.. why they have so little self-worth that they value the friendship of thieves and killers.,None of their friends are thieves and killers.,2,standard,2,2.000197309826035e-05,0.00013286848843563348,0.9998470544815063,2,1.5811332559678704e-05,0.0007036880124360323,0.9992805123329163,0,0.9717249274253845,0.02762625180184841,0.0006488494109362364
42,neutral,TABLE A.- TOTAL MERCURY ALLOWANCES ALLOCATED OR AUCTIONED FOR EGUS,Mercury has allowances that are set.,0,standard,0,0.9940793514251709,0.00582358380779624,9.710013546282426e-05,1,0.001287655788473785,0.9978432655334473,0.0008690283866599202,1,0.05255589634180069,0.7069471478462219,0.24049696326255798
42,neutral,Words that do not fit cannot be returned.,Some words do not fit in the puzzle.,1,standard,0,0.9722673296928406,0.027149857953190804,0.0005827097920700908,1,0.005647749174386263,0.9899790287017822,0.004373287782073021,1,0.03778000921010971,0.9292269349098206,0.03299305960536003
42,neutral,28 In some cases longer outages are needed.,Sometimes longer outages are needed.,0,standard,0,0.9979203343391418,0.001988244242966175,9.152995335170999e-05,1,0.0010278591653332114,0.9979246854782104,0.001047474448569119,0,0.6186149716377258,0.32766079902648926,0.053724341094493866
42,neutral,"In contrast, the impact of volume is greater in the U.S. than in France because the U.S. has lower postal densities and a greater variation in volumes.",There is a much greater impact of volume in the United States.,0,standard,0,0.9972793459892273,0.0025675371289253235,0.00015313804033212364,1,0.00021972048853058368,0.9993255138397217,0.0004547398420982063,0,0.9650071263313293,0.03463725373148918,0.00035556888906285167
42,neutral,Dr. Richards never stops astonishing us.,We howled with laughter when we heard Dr. Richards' latest news.,1,standard,1,0.00024340303207281977,0.9996351003646851,0.00012150860129622743,1,0.00044046444236300886,0.9873960614204407,0.012163423001766205,1,0.12191729992628098,0.8769299983978271,0.0011527130845934153
42,neutral,So why does Gates produce at such a frantic pace?,The President was wondering why machines in the Gates factory produce at such a high rate.,1,standard,1,0.000582841457799077,0.9964697360992432,0.002947404747828841,1,0.0002560052671469748,0.9983665347099304,0.0013775243423879147,0,0.9757893085479736,0.023036841303110123,0.0011738591128960252
42,neutral,"In most cases, the concentration-response relationship may be overestimated; in other cases, it may be underestimated.",The effects of the concentration-response relationship are rarely overestimated.,2,standard,2,0.0007109731086529791,0.00331522966735065,0.9959737658500671,1,0.00459943525493145,0.9844738245010376,0.01092674769461155,0,0.6414980888366699,0.3170751631259918,0.04142678156495094
42,neutral,yeah we have between the spouse and myself we have six,My husband and I have six kids total.,1,standard,1,0.005178150255233049,0.9948028326034546,1.9081295249634422e-05,1,3.023919816769194e-05,0.9957447648048401,0.004224964417517185,1,0.09275311976671219,0.8989872336387634,0.008259638212621212
42,neutral,The New Yorker has fought back with special issues--massive tomes about race or Hollywood or the future.,"The New Yorker has fought back with more than 20 special issues, including whole magazines about racism, space travel, and education.",1,standard,1,0.00026264943880960345,0.999646782875061,9.05470151337795e-05,1,4.1110488382400945e-05,0.9994381070137024,0.000520778470672667,0,0.9576371312141418,0.038881443440914154,0.0034813866950571537
42,neutral,Time runs two anti-emotion articles.,Newsweek ran four very emotional articles.,2,standard,2,9.55920677370159e-06,0.0020059184171259403,0.9979845285415649,1,0.0010921780485659838,0.987773597240448,0.011134221218526363,0,0.9609085917472839,0.03224470838904381,0.006846698001027107
42,neutral,You have the effrontery to upbraid me because I will not take your hands when I know how they are stained; when I know you for a murderer and worse?   He stared at her open-mouthed.,"He chose to take her hands because they were small, delicate, and most of all, clean.",2,standard,2,8.910478754842188e-06,0.00010069302516058087,0.9998903274536133,2,0.0001153605044237338,0.027166804298758507,0.9727178812026978,0,0.9772883057594299,0.016200847923755646,0.006510782986879349
42,neutral,‘Swounds! Perhaps you'll explain yourself? Whither has Wolverstone gone?,I want you to explain yourself! I know you know where Wolverstone is.,1,standard,2,0.0004327974747866392,0.017786400392651558,0.9817807674407959,1,0.0017761100316420197,0.8330993056297302,0.16512459516525269,2,0.00021912268130108714,0.001380177796818316,0.9984007477760315
42,neutral,"We were somewhat intimidated by the look of it, but we ate it--without enthusiasm, but with the stiff upper lip we had imbibed, so to speak, with our mothers' milk.","We reluctantly ate what was given to us, even though we didn't like the looks of it.",0,standard,1,0.009900356642901897,0.9899899959564209,0.00010961888619931415,1,0.006163658574223518,0.9921979308128357,0.0016383673064410686,1,0.24126988649368286,0.7586300373077393,9.999801113735884e-05
42,neutral,"If you're looking for an evening alternative to Harvard Square, head to Hispanic-flavored Inman Square, located down Cambridge Street.",Harvard Square isn't great at night.,0,standard,0,0.9689215421676636,0.0297177005559206,0.0013608071021735668,2,0.0012100801104679704,0.017305608838796616,0.9814842939376831,1,0.0038263965398073196,0.9957807064056396,0.00039286952232941985
42,neutral,It was still cultural area but suburbs was still the dominant form.,It was all very urban.,2,standard,2,3.251147427363321e-05,0.00011408983846195042,0.9998533725738525,1,0.00037589395651593804,0.9980376362800598,0.0015864971792325377,0,0.983174741268158,0.01609317772090435,0.0007320987642742693
42,neutral,Pilgrims would buy honey cakes for this snake and leave them at the temple entrance for it to enjoy.,The snake would only eat pilgrims attempting to gain access to the temple.,2,standard,2,1.4907894183124881e-05,0.0017373153241351247,0.9982478618621826,1,0.00023972617054823786,0.9975059628486633,0.002254344057291746,1,0.04310428723692894,0.9535805583000183,0.0033151209354400635
42,neutral,"In Tokyo, a correspondent for The Economist sighted a T-shirt   O D on Bourgeoisie Milk Boy Milk.",A reporter for The Economist was in Tokyo and noticed a particular T-shirt.,0,standard,0,0.9975175857543945,0.0024523932952433825,3.006985025422182e-05,1,0.00010219805699307472,0.9996775388717651,0.000220302797970362,0,0.9366503953933716,0.062801793217659,0.0005478080129250884
42,neutral,", the Regional Haze RIA and the NOx SIP Call RIA), the low-end estimate of benefits assumed a threshold in PM health effects at 15 :g/m3.",They had no idea how to estimate the benefits.,2,standard,2,4.613508281181566e-06,3.16093755827751e-05,0.9999637603759766,1,0.00032071638270281255,0.9872370958328247,0.01244213804602623,1,0.004827113822102547,0.9928129315376282,0.0023599618580192327
42,neutral,"Conversely, if new precedents never sent out ripples, the common law could hardly evolve at all.",The law has been around for a while.,0,standard,1,0.024687042459845543,0.9692510366439819,0.006061925087124109,1,0.0012337270891293883,0.998633086681366,0.00013313195086084306,1,0.0033244893420487642,0.9904125332832336,0.00626297015696764
42,neutral,"There are, of course, many elegant and flirtatious scenes set on yachts.",Large yachts are very expensive to maintain as they need regular maintenance and use large amounts of fuel.,1,standard,1,0.00040422091842629015,0.9994113445281982,0.00018448405899107456,1,0.0014755259035155177,0.9982989430427551,0.00022560046636499465,0,0.9551775455474854,0.04361974447965622,0.0012026996118947864
42,neutral,Only with the help of our philanthropic partners have we been able to achieve so much.,Bill Gates donated $5 million to us.,1,standard,1,9.040846634889022e-05,0.9998301267623901,7.937930058687925e-05,1,0.00021500265575014055,0.9987679123878479,0.0010170191526412964,0,0.9895305633544922,0.009655577130615711,0.0008138681296259165
42,neutral,it's kind of like a soap a nighttime soap opera type thing,It's like soap opera show.,0,standard,0,0.98382169008255,0.015965543687343597,0.00021275892504490912,1,0.0054654693230986595,0.9879712462425232,0.006563299335539341,1,0.1397579461336136,0.8598570227622986,0.0003849961794912815
42,neutral,"Just east of the Star Ferry terminal, you'll come to City Hall.",City Hall is near the ferry terminal.,0,standard,0,0.996503472328186,0.0034023583866655827,9.422600851394236e-05,1,0.001642004819586873,0.9899988770484924,0.00835912860929966,1,0.0019305790774524212,0.9968923926353455,0.0011770545970648527
42,neutral,Your contributions to the Annual Fund at the Maennerchor Society level have provided significant assistance to the school.,The Maennerchor Society is privately funded by Bill Gates.,2,standard,1,2.291562304890249e-05,0.8563634157180786,0.14361363649368286,1,0.00015391295892186463,0.9988276362419128,0.0010184393031522632,0,0.9810125827789307,0.01866457611322403,0.000322878040606156
42,neutral,"Only lost two, three aircraft while we was there, and, uh, test phase.",A couple of aircraft got lost because of the weather.,1,standard,1,0.0001501046644989401,0.9997735619544983,7.629325409652665e-05,2,7.29524326743558e-05,0.0016836364520713687,0.9982434511184692,1,0.02579701878130436,0.9346185326576233,0.03958440199494362
42,neutral,"Indeed, part of what we need is a way of characterizing the organization of real processes in the nonequilibrium world.",We need labels so we can see where the organization is doing well.,1,standard,1,0.000718461349606514,0.9985790252685547,0.0007025243830867112,1,0.0025688051246106625,0.9963988065719604,0.0010323560563847423,1,0.0007186264265328646,0.9934358596801758,0.005845568608492613
42,neutral,"On weekends you can join the locals in the Parque de Palapas, where the strains of rock, salsa, and folk music can blend together into a bewildering cacophony.","You can't ever go to the Parque de Palapas, it is forbidden.",2,standard,2,3.7836653064005077e-06,1.7094511349569075e-05,0.9999791383743286,1,0.00024091568775475025,0.7020832300186157,0.2976757884025574,0,0.9764873385429382,0.02330167219042778,0.0002110590721713379
42,neutral,consistency is a form of ritualism.,Being consistent is like performing rituals.,0,standard,0,0.9971279501914978,0.0028242121916264296,4.7901517973514274e-05,1,0.0038495175540447235,0.995781660079956,0.00036885071313008666,0,0.8658036589622498,0.13072577118873596,0.003470627125352621
42,neutral,Why would human beings have Laibson-style preferences in the first place?,Everyone should have Laibson-style preferences.,2,standard,2,0.00012122650514356792,0.0017309589311480522,0.9981478452682495,1,0.0005092152277939022,0.9819102883338928,0.01758045330643654,0,0.9838598966598511,0.015471609309315681,0.0006685443804599345
42,neutral,Even though I don't see how he could have expected me to have it done.,I don't understand why he expected me to finish the drawing today,1,standard,1,0.00022935867309570312,0.9997280240058899,4.263707887730561e-05,2,0.003020532662048936,0.2925574779510498,0.7044219970703125,0,0.9216115474700928,0.07681088894605637,0.0015775637002661824
42,neutral,"Four of the 9/11 attackers were pulled into secondary border inspection, but then admitted.",All of the 9/11 attackers were denied entry at the border.,2,standard,2,1.0402348380011972e-05,3.9977559936232865e-05,0.9999496936798096,2,1.0144329280592501e-05,0.00015905914187896997,0.9998307228088379,1,0.038925401866436005,0.9462109804153442,0.014863652177155018
42,neutral,"Her presence at this moment, and considering the nature of his altercation with Wolverstone, was embarrassing.",She quickly fled the scene in order to avoid further scrutiny.,1,standard,2,1.29564896269585e-05,0.009102299809455872,0.9908847212791443,2,1.4610774087486789e-05,0.0002356013865210116,0.9997497200965881,0,0.9962894916534424,0.0035861150827258825,0.00012440049613360316
42,neutral,"Only lost two, three aircraft while we was there, and, uh, test phase.",We've never lost an aircraft.,2,standard,2,4.65129187432467e-06,1.6835896531119943e-05,0.9999785423278809,1,0.0005872469046153128,0.9986625909805298,0.000750123814214021,1,0.02579701878130436,0.9346185326576233,0.03958440199494362
42,neutral,um hum yeah so so so you got a sign up there that says you got this alarm system and what if a burglar comes along and cuts your phone line,There is a sign to say you have an alarm.,0,standard,0,0.998075008392334,0.0018704966641962528,5.452532059280202e-05,1,0.010384808294475079,0.986440122127533,0.0031750325579196215,1,0.00025315050152130425,0.9987297654151917,0.0010170481400564313
42,neutral,huh well that's neat well um it was real funny i went to a seminar that was just it was is a satellite seminar it was really neat and it was just for women,There were a lot of people attending the satellite seminar.,1,standard,1,0.00025324246962554753,0.9995070695877075,0.00023968260211404413,1,0.00025928550167009234,0.9981001019477844,0.0016406362410634756,0,0.9727789759635925,0.026367364451289177,0.0008536131936125457
42,neutral,"In turn, object must be on machine for minutes, then machine for minutes, and so on.","If it the object does not stay on the machine for minutes, it will explode.",1,standard,1,0.00018202381033916026,0.9994631409645081,0.00035479673533700407,1,0.00011781728971982375,0.9961419701576233,0.0037402804009616375,0,0.6732191443443298,0.24525390565395355,0.081526979804039
42,neutral,"The San Francisco Ballet has its main season at the Opera House in the spring, but also puts on performances during December.",The San Francisco Ballet has performances during more than one season.,0,standard,0,0.9962388277053833,0.003656951943412423,0.00010411011317046359,1,0.000851270800922066,0.9988516569137573,0.00029700854793190956,0,0.9864674210548401,0.01320481114089489,0.0003277345094829798
42,neutral,"The translators of the King James Bible were translating the Bible for a Christian audience; for them, the Bible consisted of the Old Testament and the New Testament.",The King James Bible contains only the Old Testament.,2,standard,2,3.2522864785278216e-05,0.00018071403610520065,0.9997867941856384,2,0.0016184779815375805,0.014805286191403866,0.983576238155365,0,0.9979538917541504,0.0016267138998955488,0.0004194020002614707
42,neutral,"The stadium itself, and the kind of activity that took place there, were called agon , a Greek word which originally meant simply `competition,' but which has given us our word `agony.",The word agon originally meant competition in Greek.,0,standard,0,0.9983077049255371,0.0016111675649881363,8.112283103400841e-05,1,0.0006340334075503051,0.9978457689285278,0.001520173973403871,0,0.9822713136672974,0.01700509525835514,0.0007235854282043874
42,neutral,"The second level of falsity is that Brock defends Hillary only to elevate his own, proprietary scandal.",Some people believe it is false that Brock defends Hillary to elevate himself.,1,standard,0,0.9971504807472229,0.002787586534395814,6.189038685988635e-05,1,0.0007730009965598583,0.9978504180908203,0.0013766223564743996,1,0.1862253099679947,0.8038424253463745,0.009932203218340874
42,neutral,"But... but... aboard this ship...?  The officer made a gesture of helplessness, and, surrendering to his bewilderment, fell abruptly silent.",The officer was confused by what was happening aboard the ship.,0,standard,0,0.9887393712997437,0.011217639781534672,4.304398680687882e-05,1,0.00027508308994583786,0.5703611969947815,0.4293636381626129,1,0.005352099891752005,0.9925674200057983,0.00208051735535264
42,neutral,a few years ago i was a student there and spent um a semester studying abroad in London,I have never studied abroad before.,2,standard,2,5.534197953238618e-06,2.801554546749685e-05,0.9999665021896362,2,7.806378562236205e-05,0.0036775879561901093,0.9962444305419922,0,0.8819358944892883,0.11569670587778091,0.0023674392141401768
42,neutral,Other advisers have echoed this concern.,Only one adviser did not voice concern over this plan.,1,standard,2,0.00013449863763526082,0.006472403183579445,0.9933930039405823,1,0.00014865855337120593,0.9992578625679016,0.0005935121444053948,1,0.0032036283519119024,0.9961782693862915,0.0006181197823025286
42,neutral,Practice 4: Manage Risk on a Continuing Basis,Chapter four contains a practice exercise on managing risk.,0,standard,0,0.9705506563186646,0.02883371151983738,0.0006156411254778504,2,0.011842502281069756,0.4055561423301697,0.5826013684272766,0,0.9749119281768799,0.02410527691245079,0.0009828200563788414
42,neutral,The rugged mountains of the Serra de Tramuntana sweep down to the sea so steeply here that there are few points of access and only one harbor and port of any size along the coast.,There are 27 harbors along the mountains,2,standard,2,0.00012050279474351555,0.0005881802644580603,0.999291181564331,2,0.0013157348148524761,0.005878606345504522,0.9928056597709656,1,0.026897039264440536,0.9723018407821655,0.0008010886376723647
42,neutral,but no we usually you know skirt and skirt and blouse or suit or dress is is what you see down here so it's nice with me working at home because i can wear pants,I don't dress up when I work at home.,0,standard,2,0.00018730462761595845,0.0005364190437830985,0.999276340007782,2,0.02467413805425167,0.01635420136153698,0.9589717388153076,2,0.0029292546678334475,0.011121129617094994,0.9859495759010315
42,neutral,"Last year, you generously donated $-.",You donated money last year.,0,standard,0,0.998164713382721,0.001793831936083734,4.14803325838875e-05,1,0.0002605391200631857,0.9994685053825378,0.00027093669632449746,1,0.030866043642163277,0.9569087028503418,0.012225264683365822
42,neutral,"Your help today will enable us to strengthen further America's philanthropic heritage by expanding the Center's crucial educational, leadership and outreach programs.",We don't plan on expanding at all.,2,standard,2,6.005345767334802e-06,3.693576218211092e-05,0.9999570846557617,1,0.00010840249888133258,0.9245492219924927,0.07534234970808029,0,0.9856808185577393,0.013566812500357628,0.0007524237735196948
42,neutral,The Director still has no strategy for removing information-sharing barriers and-more than two years since 9/11-has only appointed a working group on the subject.,The Director immediately abolished all information sharing barriers.,2,standard,2,6.139451215858571e-06,3.661657319753431e-05,0.9999572038650513,2,1.5608080502715893e-05,0.013333098031580448,0.9866513013839722,0,0.9652678370475769,0.03407541662454605,0.0006567489472217858
42,neutral,"On August 4, President Bush wrote President Musharraf to request his support in dealing with terrorism and to urge Pakistan to engage actively against al Qaeda.",President Musharraf replied to President Bush right away.,1,standard,1,6.388170731952414e-05,0.9997637867927551,0.00017228728393092752,1,0.0002551414945628494,0.998813271522522,0.0009316081996075809,1,0.00044652310316450894,0.9975966811180115,0.0019567334093153477
42,neutral,"He was allowed plainly to perceive that it was the graceful, elegant young trifler from St. James's, Lord Julian Wade, to whom her every moment was devoted.",She and Lord Julian Wade shared a kiss last night.,1,standard,1,0.00017673206457402557,0.9996424913406372,0.00018075585830956697,2,0.00017410668078809977,0.0019146667327731848,0.9979111552238464,1,0.10594388842582703,0.8875256776809692,0.006530394311994314
42,neutral,And who the devil may you be?  he exploded at last.,He quietly murmured to himself the whole time.,2,standard,2,1.3290919014252722e-06,5.8055753470398486e-05,0.9999406337738037,1,0.00011160707799717784,0.9959994554519653,0.0038889236748218536,1,0.0029282092582434416,0.996209979057312,0.0008618563297204673
42,neutral,but they did something a little different with them,The did the same thing as everyone else.,2,standard,2,3.905866833520122e-06,2.7735346520785242e-05,0.9999682903289795,1,0.002709688153117895,0.9913972616195679,0.005893000867217779,0,0.37333667278289795,0.3444642722606659,0.2821989953517914
42,neutral,We need resources to recruit and develop outstanding teachers.,"We need to hire 100 new, good teachers.",1,standard,1,0.0001236786920344457,0.9998170733451843,5.9324142057448626e-05,1,7.746875780867413e-05,0.9900584816932678,0.0098640825599432,1,0.001240296638570726,0.9832119345664978,0.015547728165984154
42,neutral,"In this case, the rate difference is 9a, which is equal to the cost difference of 6a inflated by the 50% markup.",9a is the most important metric.,1,standard,1,0.00047990851453505456,0.9991556406021118,0.00036444078432396054,1,0.016939405351877213,0.9743577241897583,0.008702938444912434,1,0.3709198236465454,0.6256557106971741,0.0034245001152157784
42,neutral,Out of the tail of his single eye he had espied a trim figure in grey silk that was ascending the companion.,He only has a left eye.,1,standard,1,0.00046110674156807363,0.9993683695793152,0.00017049084999598563,1,9.169409167952836e-05,0.9977954626083374,0.0021128435619175434,1,0.07858143746852875,0.9157028198242188,0.005715691484510899
42,neutral,uh yeah and i was gonna say uh I'll Fly Away which uh i think it was supposed to uh catch some of the same viewers as uh,I'll Fly Away is my favorite movie and I watch it weekly.,1,standard,1,3.679278597701341e-05,0.9989649057388306,0.0009983605705201626,1,7.526919216616079e-05,0.9996886253356934,0.00023613133816979825,1,0.00014699355233460665,0.9731566905975342,0.02669634111225605
42,neutral,"In chapter 5 we described the Southeast Asia travels of Nawaf al Hazmi, Khalid al Mihdhar, and others in January 2000 on the first part of the planes operation.",Khalid al Mihdhar never traveled.,2,standard,2,1.0640763321134727e-05,4.594686470227316e-05,0.9999434947967529,2,2.1655441742041148e-05,0.00015987081860657781,0.9998185038566589,2,0.14258091151714325,0.23614752292633057,0.6212714910507202
42,neutral,yeah there there's something about having a place to live i don't know,Having a place to live is a dream come true.,1,standard,1,0.0014794226735830307,0.9984219074249268,9.873838280327618e-05,2,0.00016018615860957652,0.008611182682216167,0.9912285804748535,1,0.0037208660505712032,0.9959918856620789,0.0002872802142519504
42,neutral,wow maybe i should go see it in a theatre and plan to go out to dinner afterwards so we could sit and talk about it,We can go to dinner after the show.,0,standard,0,0.9906333684921265,0.009227643720805645,0.00013903339277021587,2,0.003713266458362341,0.20406155288219452,0.7922251224517822,2,0.0029148804023861885,0.021712617948651314,0.9753724932670593
42,neutral,The FBI agent obtained from a foreign government a photo of the person believed to have directed the Cole bombing.,"The photograph was slightly blurry, but the face of the person was still visible.",1,standard,1,0.000285277928924188,0.9995782971382141,0.00013645294529851526,1,0.0014325804077088833,0.9984647035598755,0.00010273601219523698,1,0.007802601903676987,0.9701669812202454,0.02203044295310974
42,neutral,This is not to say that good architecture is merely utilitarian.,The single defining attribute of good architecture is utility.,2,standard,2,4.5870739995734766e-05,0.00032498498330824077,0.9996291399002075,1,0.002083948813378811,0.9891051650047302,0.008810821920633316,0,0.7717570662498474,0.22632759809494019,0.0019154042238369584
42,neutral,"Look for Emily Dickinson's forthcoming poem, All I Really Need to Know in Poetry I Learned at Microsoft.",Dickenson wrote novels.,2,standard,1,0.0029023392125964165,0.98260098695755,0.014496633782982826,2,0.07176049053668976,0.004304323811084032,0.9239351749420166,1,0.009586058557033539,0.9882932901382446,0.0021206121891736984
42,neutral,"On Christmas Day children went knocking on doors and visiting homes, asking for and receiving candy or small toys.",Children carried around big bags for collecting candy and toys on Christmas Day.,1,standard,1,0.0002820160589180887,0.9989336133003235,0.0007843680796213448,1,0.0029652013909071684,0.9587501883506775,0.03828458487987518,0,0.9746519327163696,0.02288166433572769,0.00246648071333766
42,neutral,It takes a partnership of private support and University funding for our law school to continue to grow in stature and influence.,Our law school is supported in part by the Melinda and Bill Gates Foundation.,1,standard,1,4.3129966798005626e-05,0.9997052550315857,0.00025158291100524366,1,0.0002538069384172559,0.9988312125205994,0.0009150012629106641,0,0.8663029670715332,0.13363999128341675,5.7158846175298095e-05
42,neutral,"Fully professional, fully produced theatre has made a difference to children like Becky, Stephanie, Marcus, Emily, and their classmates from across the state of Indiana.",Theatre has helped many children across Indiana.,0,standard,0,0.9889868497848511,0.010961297899484634,5.1892464398406446e-05,1,0.0003343402349855751,0.9993047714233398,0.0003608838014770299,0,0.9787630438804626,0.021081825718283653,0.00015514846018049866
42,neutral,We need these additional resources to continue our efforts to further strengthen GAO and be a model organization for the rest of the federal government and accountability organizations around the world.,We want to make GAO fall apart.,2,standard,2,6.151338766358094e-06,3.0517578125e-05,0.9999632835388184,1,0.0002139009302482009,0.9985584616661072,0.0012276265770196915,1,0.15595418214797974,0.6495899558067322,0.1944558471441269
42,neutral,The MCI Web site spells out the intended method of measuring these home runs.,The MCI Web site has guidelines that are easy to understand regarding measuring home runs.,1,standard,0,0.8075352311134338,0.19243982434272766,2.4978986402857117e-05,1,0.0002816544729284942,0.9995880722999573,0.00013023489736951888,0,0.9947031140327454,0.005066701676696539,0.00023017563216853887
42,neutral,i never have can't do anything with cakes so,I could never run out of ideas for cake!,2,standard,1,0.03905409947037697,0.9564391374588013,0.004506742116063833,2,1.7149215636891313e-05,0.00015322539547923952,0.9998295307159424,1,0.021457869559526443,0.9278742074966431,0.05066793039441109
42,neutral,uh-huh all right bye now,It was great talking to you and I'll talk to you tomorrow.,1,standard,1,0.00035249878419563174,0.9995612502098083,8.624269685242325e-05,1,0.00011742080096155405,0.9439978003501892,0.055884815752506256,2,0.00048755903844721615,0.0032321144826710224,0.9962803721427917
42,neutral,You are important to us and the I.U.,We and the I.U. consider you to be important because you are a prolific donor.,1,standard,1,5.147404954186641e-05,0.9998109936714172,0.00013758956629317254,1,0.00013610569294542074,0.9996594190597534,0.00020447537826839834,1,0.07667072862386703,0.9222409725189209,0.0010882775532081723
42,neutral,exactly and i was very flattered until she told me she the company she was with,She did not flatter me at all.,2,standard,2,4.988348791812314e-06,2.276770283060614e-05,0.9999722242355347,2,0.24565206468105316,0.15294529497623444,0.6014026403427124,1,0.018059909343719482,0.9643315076828003,0.017608528956770897
42,neutral,"By May 1, we must conclude membership renewal options for 1991 contributors.",There is space for 1500 members to renew their memberships.,1,standard,1,0.0002906416484620422,0.9987493753433228,0.000960016215685755,1,0.00010106284025823697,0.9990239143371582,0.0008750711567699909,0,0.9815261363983154,0.01608874648809433,0.0023851855657994747
