seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,neutral,The actor by the professor waited .,The professor waited .,2,subsequence,0,0.8382051587104797,0.03081657737493515,0.13097824156284332,2,0.0019189825979992747,0.19155798852443695,0.8065230846405029,0,0.8832932710647583,0.048208702355623245,0.06849801540374756
42,neutral,The professor and the judge thanked the actor .,The judge thanked the professor .,2,lexical_overlap,2,0.0024912001099437475,0.0025860227178782225,0.9949228167533875,1,0.0009283846011385322,0.9294924736022949,0.06957919150590897,0,0.9845581650733948,0.011136207729578018,0.004305703565478325
42,neutral,The students recognized the author studied in the laboratory .,The author studied in the laboratory .,2,subsequence,0,0.9353894591331482,0.06272567808628082,0.001884876168332994,1,0.0026472213212400675,0.8938586711883545,0.10349410027265549,0,0.866815447807312,0.12678202986717224,0.006402568891644478
42,neutral,Clearly the lawyers helped the senators .,The lawyers helped the senators .,0,constituent,0,0.9892776012420654,0.009950949810445309,0.0007715618703514338,1,0.0013449027901515365,0.9857586622238159,0.01289648562669754,0,0.9741608500480652,0.024746932089328766,0.0010922346264123917
42,neutral,The actors left the island .,The actors left .,0,subsequence,0,0.994506299495697,0.004562977235764265,0.0009307704749517143,2,0.00010829679376911372,0.0005426566931419075,0.999349057674408,2,0.008096314035356045,0.0024404607247561216,0.989463210105896
42,neutral,Happy senators encouraged the student .,Senators encouraged the student .,0,subsequence,0,0.996222734451294,0.003361727576702833,0.00041557083022780716,1,0.010864024050533772,0.8272255659103394,0.16191039979457855,0,0.9694268107414246,0.02402045577764511,0.006552748382091522
42,neutral,The lawyers ate the salad .,The lawyers ate .,0,subsequence,0,0.9945770502090454,0.004907391965389252,0.0005155643448233604,1,0.0016548229614272714,0.7180405855178833,0.2803046703338623,0,0.9792640805244446,0.017752554267644882,0.00298328441567719
42,neutral,The judge next to the senator called the professors .,The judge called the professors .,0,lexical_overlap,0,0.9855495095252991,0.012622511945664883,0.0018280188087373972,1,0.0025112773291766644,0.9201126098632812,0.07737606018781662,0,0.9824886322021484,0.01690768264234066,0.0006036630948074162
42,neutral,"The banker advised the presidents , and the judge supported the actor .",The judge supported the actor .,0,constituent,0,0.9980930685997009,0.0013577145291492343,0.0005491673946380615,1,0.01522346306592226,0.9540091156959534,0.03076741099357605,0,0.986271858215332,0.012709242291748524,0.001018842332996428
42,neutral,Of course the tourists resigned .,The tourists resigned .,0,constituent,0,0.9900345206260681,0.008337474428117275,0.0016279947012662888,2,0.00023972109192982316,0.015868982300162315,0.9838913083076477,0,0.4727497100830078,0.060080863535404205,0.46716946363449097
42,neutral,"If the lawyers introduced the managers , the scientists shouted .",The scientists shouted .,2,constituent,0,0.9840049743652344,0.009902973659336567,0.006091975141316652,1,0.0011442657560110092,0.9558233618736267,0.043032385408878326,0,0.9676914811134338,0.02891666814684868,0.0033918374683707952
42,neutral,"The actor resigned , and the tourists advised the banker .",The tourists advised the banker .,0,constituent,0,0.9905816316604614,0.007546274457126856,0.0018720353255048394,1,0.00830833613872528,0.6257648468017578,0.3659268021583557,0,0.9749422669410706,0.012371174059808254,0.012686622329056263
42,neutral,The banker and the presidents stopped the scientists .,The banker stopped the scientists .,0,lexical_overlap,0,0.8194863200187683,0.023897942155599594,0.156615749001503,1,0.0009516447316855192,0.69968181848526,0.2993665337562561,0,0.9745376706123352,0.02096940577030182,0.004492935258895159
42,neutral,The lawyers who called the manager believed the authors .,The manager believed the lawyers .,2,lexical_overlap,2,0.22942842543125153,0.2704276144504547,0.5001440048217773,1,0.0026020542718470097,0.9502990245819092,0.04709892347455025,0,0.856616735458374,0.09302451461553574,0.05035877600312233
42,neutral,The lawyer was advised by the secretary .,The lawyer advised the secretary .,2,lexical_overlap,0,0.4951573312282562,0.04059873893857002,0.46424388885498047,1,0.0037890863604843616,0.935882031917572,0.060328882187604904,0,0.978490948677063,0.018959805369377136,0.0025491584092378616
42,neutral,The judges and the athlete advised the secretaries .,The judges advised the secretaries .,0,lexical_overlap,0,0.8588303923606873,0.037875838577747345,0.10329378396272659,1,0.01257022563368082,0.630979061126709,0.3564506769180298,0,0.9931437969207764,0.006243714597076178,0.000612459669355303
42,neutral,The doctor behind the tourist recommended the actors .,The doctor recommended the actors .,0,lexical_overlap,0,0.9936834573745728,0.004984294064342976,0.0013322981540113688,1,0.006546380929648876,0.5068031549453735,0.4866504669189453,0,0.9648953080177307,0.02361028641462326,0.01149442233145237
42,neutral,The actor knew that the judges ran .,The judges ran .,0,constituent,0,0.9745518565177917,0.022940708324313164,0.0025074502918869257,2,0.019324468448758125,0.29135870933532715,0.6893168091773987,0,0.9610432386398315,0.032464370131492615,0.00649245735257864
42,neutral,The doctors who recognized the scientists contacted the secretary .,The doctors contacted the secretary .,0,lexical_overlap,0,0.9844672679901123,0.01318585779517889,0.002346922643482685,1,0.003211104543879628,0.9135990738868713,0.08318981528282166,0,0.8559184074401855,0.13024213910102844,0.013839555904269218
42,neutral,The bankers saw the president by the author .,The bankers saw the president .,0,subsequence,0,0.9876362681388855,0.009772215038537979,0.0025915829464793205,1,0.0006525892531499267,0.9618058204650879,0.03754155710339546,0,0.9720078110694885,0.027302056550979614,0.000690125918481499
42,neutral,"Since the professors saw the students , the managers called the artists .",The managers called the artists .,0,constituent,0,0.9877657890319824,0.010027730837464333,0.0022063986398279667,2,0.006295123137533665,0.3222411274909973,0.6714637875556946,0,0.9371607899665833,0.059256844222545624,0.0035823655780404806
42,neutral,Important secretaries introduced the scientist .,Secretaries introduced the scientist .,0,subsequence,0,0.9938794374465942,0.005547689739614725,0.0005728582036681473,1,0.0017672603717073798,0.9696416854858398,0.028591012582182884,0,0.9384596347808838,0.06039484217762947,0.0011456117499619722
42,neutral,The student who admired the athletes supported the scientists .,The scientists supported the student .,2,lexical_overlap,2,0.05825455114245415,0.008945473469793797,0.9327999949455261,1,0.00951488595455885,0.8876227736473083,0.10286235064268112,0,0.9486748576164246,0.023066269233822823,0.028258904814720154
42,neutral,The secretaries explored the forest .,The secretaries explored .,0,subsequence,0,0.9892497062683105,0.010044324211776257,0.0007059321505948901,2,0.0033018647227436304,0.13435779511928558,0.8623403310775757,0,0.8685051202774048,0.11117826402187347,0.020316505804657936
42,neutral,The actors by the professor avoided the authors .,The professor avoided the authors .,2,subsequence,0,0.9865697026252747,0.009572156704962254,0.003858115989714861,2,8.000440720934421e-05,0.0016628315206617117,0.9982572197914124,2,0.07838419824838638,0.014834517613053322,0.9067812561988831
42,neutral,"Because the tourist contacted the artist , the presidents saw the authors .",The tourist contacted the artist .,0,constituent,0,0.9945052266120911,0.0045556980185210705,0.000939108373131603,1,0.034762728959321976,0.7962726354598999,0.16896457970142365,0,0.93359375,0.06303251534700394,0.003373740939423442
42,neutral,The senator supported the banker who the artist called .,The banker supported the senator .,2,lexical_overlap,2,0.14456388354301453,0.01972585916519165,0.8357102274894714,1,0.0003726294089574367,0.9955684542655945,0.004058904480189085,0,0.9234364032745361,0.06574900448322296,0.010814551264047623
42,neutral,Supposedly the banker encouraged the secretaries .,The banker encouraged the secretaries .,2,constituent,0,0.9433273077011108,0.05316663533449173,0.003506104461848736,1,0.0019867955707013607,0.9686069488525391,0.0294062327593565,0,0.8339937925338745,0.15598048269748688,0.010025812312960625
42,neutral,The actors that mentioned the professor avoided the secretary .,The professor avoided the actors .,2,lexical_overlap,2,0.02404608391225338,0.024426070973277092,0.9515277743339539,2,7.700775313423946e-05,0.00224553351290524,0.9976775050163269,0,0.6102597117424011,0.18232496082782745,0.20741534233093262
