seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,random,A woman is surfing,A fearful little boy is on a climbing wall,1,standard,2,1.55038222260373e-07,1.2784151382362434e-14,0.9999998807907104,2,4.145154889556579e-05,4.280949269741541e-06,0.9999542236328125,2,4.26711358159082e-06,1.3206683524558116e-09,0.9999957084655762
42,random,Some people are walking,A group of scouts are camping in the grass,1,standard,2,1.1080583135480992e-05,1.6820018799990066e-07,0.9999887943267822,2,1.2826099009544123e-06,1.6137725600273711e-09,0.9999986886978149,2,7.361553434748203e-05,1.1708242709573824e-05,0.9999146461486816
42,random,The muscular black man is dancing and the man behind him is wearing green beads,The muscular man is dancing and the man behind him is wearing green beads,0,standard,2,0.03226830065250397,4.317728235037066e-05,0.9676886200904846,2,0.0002014568744925782,0.007514169439673424,0.99228435754776,2,2.160677013307577e-06,1.1861959331449512e-11,0.9999978542327881
42,random,A man is having fun with water,A man is doing a card trick,1,standard,2,0.00019290257478132844,0.00014330366684589535,0.9996637105941772,2,0.00040792630170471966,0.0010170277673751116,0.99857497215271,2,4.590144271787722e-06,9.40424516038263e-10,0.9999953508377075
42,random,There is no little girl playing the piano,A little girl is playing a grand piano on stage,2,standard,2,0.0006532748811878264,0.001361943781375885,0.997984766960144,2,1.1673822882585227e-05,3.112090212198382e-07,0.9999879598617554,2,1.076157423085533e-05,3.4413151439594e-08,0.9999892711639404
42,random,There are no little boys playing outside with a soccer ball on the green grass,Two children are playing soccer in the park,1,standard,2,0.0032191623467952013,0.004975490737706423,0.9918054342269897,2,8.099041792775097e-07,8.818993452175405e-11,0.9999991655349731,2,2.0026388369842607e-07,6.3428241134301684e-15,0.9999997615814209
42,random,A woman is cracking some eggs outside a bowl,A woman is adding ingredients to a bowl,1,standard,2,0.023741360753774643,0.0008412280585616827,0.9754173755645752,2,2.295986814715434e-05,1.913806727316114e-06,0.9999750852584839,2,3.426843875331542e-08,9.39927811585843e-19,1.0
42,random,The girl in blue is chasing the base runner with a number on the jersey,A man in blue has a yellow ball in the mitt,1,standard,2,1.1687734513543546e-06,1.131533929055184e-11,0.9999988079071045,2,0.0007592937909066677,0.0011412107851356268,0.9980995059013367,2,1.1038358849191354e-07,1.572086135612387e-16,0.9999998807907104
42,random,There is no man eating a pizza,A man is eating some food,1,standard,2,0.025588568300008774,0.0002675011055544019,0.9741438627243042,2,1.8491041942070296e-07,8.371781593701291e-14,0.9999997615814209,2,2.0096442767680855e-06,1.3203180215803911e-10,0.9999979734420776
42,random,The man is not taking a picture of himself and another guy,The man is taking a picture of himself and another guy,2,standard,2,8.030197204789147e-05,9.116676125131562e-08,0.9999195337295532,1,5.144248007127317e-06,0.9991763234138489,0.0008185476763173938,2,0.0003196570323780179,0.0006376566598191857,0.9990426898002625
