seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,empty,The new rights are nice enough,Everyone really likes the newest benefits ,1,standard,1,0.00030747405253350735,0.9995367527008057,0.0001558465592097491,1,0.0018845911836251616,0.9979133009910583,0.00020209429203532636,1,0.015248673036694527,0.982180118560791,0.0025711776688694954
42,empty,This site includes a list of all award winners and a searchable database of Government Executive articles.,The Government Executive articles housed on the website are not able to be searched.,2,standard,2,2.2262634956859984e-05,0.0002238835149910301,0.9997538924217224,1,0.0014922081027179956,0.9421862959861755,0.05632146820425987,1,0.0012963790213689208,0.9983593821525574,0.0003442226443439722
42,empty,uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him,"I like him for the most part, but would still enjoy seeing someone beat him.",0,standard,0,0.9979050159454346,0.0019353398820385337,0.00015960076416376978,1,7.700424612266943e-05,0.99953293800354,0.0003901635645888746,1,0.00011198454740224406,0.999444305896759,0.00044367770897224545
42,empty,yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food,My favorite restaurants are always at least a hundred miles away from my house. ,2,standard,2,0.00012029422941850498,0.00041929673170670867,0.9994603991508484,1,0.0028345128521323204,0.8885965347290039,0.10856896638870239,1,0.00916939228773117,0.9851452112197876,0.005685396958142519
42,empty,i don't know um do you do a lot of camping,I know exactly.,2,standard,2,6.476594717241824e-05,0.00020129322365392,0.9997339844703674,1,0.0018436707323417068,0.9978650212287903,0.00029135349905118346,1,0.18508517742156982,0.8070672750473022,0.007847526110708714
42,empty,well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be,We have plenty of space in the landfill.,2,standard,2,9.569482790539041e-05,0.00022036515292711556,0.9996839761734009,1,0.0001853572321124375,0.9994696974754333,0.00034493952989578247,1,0.000310084578813985,0.9984992742538452,0.0011906542349606752
42,empty,yeah i know and i did that all through college and it worked too,I did that all through college but it never worked ,2,standard,2,4.2695442971307784e-05,0.00017081777332350612,0.9997865557670593,1,6.472250970546156e-05,0.9992978572845459,0.0006374314543791115,1,8.344192610820755e-05,0.9997164607048035,0.00020003643294330686
42,empty,"Calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of Satyajit Ray or Mrinal Sen shown in Europe or North America than in India itself.",Most of Mrinal Sen's work can be found in European collections.,1,standard,1,0.0004536030755843967,0.9975886344909668,0.001957775792106986,1,8.652915130369365e-05,0.9996652603149414,0.0002482069539837539,1,0.0015763225965201855,0.9801140427589417,0.0183096993714571
42,empty,"If that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.",THe strike price could be $8.,2,standard,2,0.00028424905030988157,0.0015660483622923493,0.9981497526168823,1,0.0002676053554750979,0.9984093308448792,0.0013231801567599177,1,0.01734485849738121,0.8611533045768738,0.12150178104639053
42,empty,"3)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?",Would you rise up and defeaat all evil lords in the town?,1,standard,1,0.00018145797366742045,0.9993834495544434,0.00043512697448022664,1,0.0002539778652135283,0.9996067881584167,0.00013925734674558043,1,0.001153763267211616,0.9980396628379822,0.0008066658047027886
42,empty,"The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.","Go downwards to one of the gates, all of which will lead you into the cathedral.",2,standard,0,0.9744388461112976,0.006544992793351412,0.01901603862643242,1,0.0001853371795732528,0.9995207786560059,0.000293958728434518,1,0.00021002540597692132,0.9980989098548889,0.0016911064740270376
42,empty,The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.,The Tamils' bhakti movement froze the previously warm ritual of Hinduism.,2,standard,2,0.00019593065371736884,0.0002821885864250362,0.9995218515396118,1,0.019390016794204712,0.8898234963417053,0.09078644216060638,0,0.9883374571800232,0.010992717929184437,0.0006697506178170443
42,empty,see now in a situation like that the boys are only sixteen years old and they were sexually involved with her and i think like at that particular point she was twenty three you know so she wasn't really that much older than them and being a boy at that age i think that they're very um you know let's face it that's at a point in your life when you you're just starting to realize all the things of life,Everyone involved was the same age.,2,standard,2,3.742561602848582e-05,0.00028467117226682603,0.9996778964996338,1,0.00028308891342021525,0.9938238859176636,0.005893070716410875,1,0.0027197878807783127,0.9909624457359314,0.006317827384918928
42,empty,"You and your friends are not welcome here, said Severn.",Severn said the people were not welcome there.,0,standard,0,0.9965208768844604,0.003168285358697176,0.00031082777422852814,1,0.0006601967033930123,0.9991359114646912,0.00020388200937304646,1,0.005130546633154154,0.9944478273391724,0.0004216647648718208
42,empty,um-hum um-hum yeah well uh i can see you know it's it's it's it's kind of funny because we it seems like we loan money you know we money with strings attached and if the government changes and the country that we loan the money to um i can see why the might have a different attitude towards paying it back it's a lot us that  you know we don't really loan money to to countries we loan money to governments and it's the,We don't loan a lot of money.,1,standard,0,0.8651864528656006,0.09469425678253174,0.040119294077157974,1,0.0010139085352420807,0.9987059831619263,0.00028017573640681803,0,0.9750451445579529,0.022742869332432747,0.002211984945461154
42,empty,i'm not sure what the overnight low was,I don't know how cold it got last night.,0,standard,1,0.0004488379927352071,0.9959954023361206,0.003555724397301674,1,0.00041095519554801285,0.9970563650131226,0.002532580168917775,1,0.052732307463884354,0.9397708773612976,0.007496780250221491
42,empty,so i have to find a way to supplement that,I need a way to add something extra.,0,standard,0,0.9988266825675964,0.0009938201401382685,0.00017949103494174778,1,0.010081636719405651,0.9874805808067322,0.002437788527458906,1,0.3378862142562866,0.6595393419265747,0.002574348356574774
42,empty,the hologram makes up all these things and uh i mean sometimes  sometimes it's funny sometimes it's not but uh you know it's something to pass the time until we do and then and then we watch football,Sometimes it is amusing to see what the hologram creates.,0,standard,0,0.9910813570022583,0.008440491743385792,0.0004781266034115106,1,0.00023943431733641773,0.9995625615119934,0.00019804382463917136,1,0.00010713686788221821,0.999242901802063,0.0006500281160697341
42,empty,5 The share of gross national saving used to replace depreciated capital has increased over the past 40 years.,Gross national saving was highest this year.,1,standard,1,0.0003226973640266806,0.999357283115387,0.00031999501516111195,1,0.00012684533430729061,0.9992209672927856,0.0006521161994896829,1,0.00016817353025544435,0.999509334564209,0.0003224929387215525
42,empty,"So far, however, the number of mail pieces lost to alternative bill-paying methods is too small to have any material impact on First-Class volume.",The amount of lost mail is huge and really impacts mail volume,2,standard,2,0.00013065549137536436,0.0002517019456718117,0.9996175765991211,1,0.036785997450351715,0.9629213809967041,0.00029255024855956435,1,0.007044551894068718,0.9761220216751099,0.016833368688821793
42,empty,you want to punch the button and go,"You don't want to push the button lightly, but rather punch it hard.",1,standard,1,0.00040935029392130673,0.9990317821502686,0.0005588886560872197,1,0.00031645342824049294,0.9990999698638916,0.0005836057243868709,0,0.685588538646698,0.3049646317958832,0.009446811862289906
42,empty,Buffet and a  la carte available.,It has a buffet.,0,standard,0,0.9982450008392334,0.0013059454504400492,0.00044911616714671254,1,0.05840463936328888,0.939585268497467,0.0020101270638406277,0,0.9814619421958923,0.017658734694123268,0.0008793745073489845
42,empty,Blue says Blumenthal claimed Clinton had told him that Lewinsky had made unwanted sexual advances.,Clinton said that Monica Lewinsky made unwanted sexual advances during her time as a journalist in the White House. ,1,standard,1,0.00015157605230342597,0.9995224475860596,0.000326031178701669,1,0.000546810741070658,0.997946560382843,0.001506647327914834,1,0.0005421623354777694,0.9972049593925476,0.0022527645342051983
42,empty,We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission-related outcomes.,Leading organizations want to be sure their employees are safe.,1,standard,1,0.0005034955102019012,0.9992541670799255,0.00024225586093962193,1,0.0002614891855046153,0.9994939565658569,0.00024452118668705225,1,0.0024238391779363155,0.9972307085990906,0.000345506239682436
42,empty,oh uh-huh well no they wouldn't would they no,"No, they wouldn't go there.",1,standard,1,0.0003902651078533381,0.9994394183158875,0.00017020372615661472,1,0.000960129895247519,0.9980473518371582,0.000992450164631009,0,0.9910219311714172,0.007905569858849049,0.0010724973399192095
42,empty,Sorry but that's how it is.,This is how things are and there are no apologies about it.,2,standard,2,0.0042368583381175995,0.008892946876585484,0.9868702292442322,1,0.0002703380596358329,0.9993042945861816,0.0004253544320818037,0,0.9641523957252502,0.035125162452459335,0.0007225100416690111
42,empty,"Not quite as large is the Papal Crose commemorating Pope John Paul II's visit in 1979, when more than one million people gathered to celebrate mass.",Pope John Paul II also visited in 1983.,1,standard,1,5.3040017519379035e-05,0.9993301630020142,0.0006168545223772526,1,0.00013499995111487806,0.9996588230133057,0.00020610805950127542,1,0.02249917946755886,0.9737291932106018,0.0037715721409767866
42,empty,"The tourist industry continued to expand, and though it became one of the top two income earners in Spain, a realization that unrestricted mass tourism was leading to damaging long-term consequences also began to grow.",Tourism is not very big in Spain.,2,standard,2,0.00290767103433609,0.019381452351808548,0.9777109026908875,1,0.0006696671480312943,0.9990748167037964,0.0002554717939347029,1,0.00023703307670075446,0.9995224475860596,0.00024062348529696465
42,empty,"She seemed so different  """,She had changed a lot since the last time we'd seen her.,1,standard,1,0.00015810475451871753,0.9995908141136169,0.00025110901333391666,1,0.0018627530662342906,0.9967785477638245,0.0013587288558483124,0,0.9869928359985352,0.012632157653570175,0.0003749871102627367
42,empty,i'm not opposed to it but when its when the time is right it will probably just kind of happen you know,I cannot wait for it to happen.,1,standard,0,0.8703355193138123,0.08759824931621552,0.04206614941358566,1,0.009268431924283504,0.988249659538269,0.0024819180835038424,1,0.26598313450813293,0.7148562073707581,0.019160769879817963
42,empty,The census of 1931 served as an alarm signal for the Malay national consciousness.,The 1931 Malay census was an alarm bell.,0,standard,0,0.9902899861335754,0.008214875124394894,0.0014950784388929605,1,0.00020577241957653314,0.9992995262145996,0.000494706560857594,1,0.0032044067047536373,0.9893196821212769,0.007475824560970068
42,empty,"Mortifyingly enough, it is all  the difficulty, the laziness, the pathetic formlessness in youth, the round peg in the square hole, the whatever do you want?",Many youth are lazy.,0,standard,0,0.7446596622467041,0.2547076940536499,0.0006326980656012893,1,0.00048228271771222353,0.9983672499656677,0.001150541822426021,1,0.0005532763316296041,0.9989104270935059,0.0005363077507354319
42,empty,"Conversely, an increase in government saving adds to the supply of resources available for investment and may put downward pressure on interest rates.",Interest rates should increase to increase saving.,2,standard,1,0.4781566858291626,0.5053991079330444,0.01644430309534073,1,0.00033982060267589986,0.9994348883628845,0.0002253451239084825,1,0.00022189908486325294,0.9995502829551697,0.00022786732006352395
42,empty,"Britain's best-selling tabloid, the Sun , announced as a front-page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings against aging rock star Mick Jagger at the High Court in London.",There is a British publication called the Sun.,0,standard,0,0.9989896416664124,0.0005699890316464007,0.00044040026841685176,1,0.0003756163641810417,0.9986134767532349,0.001010941807180643,2,0.00014054587518330663,0.04714731499552727,0.9527121782302856
42,empty,"He was of two minds, one reveled in the peace of this village.",He loved how peaceful the village was.,0,standard,0,0.9802492260932922,0.019637998193502426,0.00011272166011622176,1,0.0020878431387245655,0.9976657629013062,0.0002464465796947479,1,0.008013767190277576,0.9915354251861572,0.00045081437565386295
42,empty,"The vineyards hug the gentle slopes between the Vosges and the Rhine Valley along a single narrow 120-km (75-mile) strip that stretches from Marlenheim, just west of Strasbourg, down to Thann, outside Mulhouse.",The slopes between the Vosges and Rhine Valley are the only place appropriate for vineyards.,1,standard,1,0.00012843526201322675,0.9995054006576538,0.0003661273804027587,1,0.00010785081394715235,0.9996091723442078,0.0002829877776093781,2,0.0008711036643944681,0.0029523824341595173,0.9961764812469482
42,empty,"We did not study the reasons for these deviations specifically, but they likely result from the context in which federal CIOs operate.",These deviations mostly involve failure to apply software updates in a timely manner.,1,standard,1,7.35077919671312e-05,0.9993962049484253,0.0005302794161252677,1,0.00014232663670554757,0.9995535016059875,0.00030416485969908535,1,0.0001769067021086812,0.9994582533836365,0.00036486246972344816
42,empty,"Rouen is the ancient center of Normandy's thriving textile industry, and the place of Joan of Arc's martyrdom ' a national symbol of resistance to tyranny.","Joan of Arc sacrificed her life at Rouen, which became an enduring symbol of opposition to tyranny.",0,standard,0,0.9965291619300842,0.0032656691037118435,0.00020510784815996885,1,0.0025692402850836515,0.9944400787353516,0.002990706590935588,2,0.018536487594246864,0.07813480496406555,0.9033286571502686
42,empty,"Table 2: Examples of BLM's, FHWA's, IRS's, and VBA's Customer Satisfaction Expectations for Senior Executive Performance",Senior Executive's have been studies on various aspects to reach the expectations.,0,standard,1,0.0005384019459597766,0.9991986155509949,0.0002630088129080832,1,0.0002904376306105405,0.9994807839393616,0.00022877947776578367,1,0.0029038151260465384,0.994948148727417,0.0021479977294802666
42,empty,"In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design.",It's impossible to have a plate hand-painted to your own design in Hong Kong.,2,standard,2,5.14627099619247e-05,0.00035404073423705995,0.999594509601593,1,0.0008164117462001741,0.99788898229599,0.0012946268543601036,1,0.03962656110525131,0.9591222405433655,0.0012511775130406022
42,empty,"There are a number of expensive jewelry and other duty-free shops, all with goods priced in US dollars (duty-free goods must always be paid for in foreign currency).",Jewelry and duty-free shops are an interesting place to buy goods.,1,standard,1,0.0011445716954767704,0.9985812902450562,0.00027418628451414406,1,0.01912500523030758,0.9804465770721436,0.00042837762157432735,2,9.742726251715794e-05,0.013330896385014057,0.9865716695785522
42,empty,"What's truly striking, though, is that Jobs has never really let this idea go.",Jobs never held onto an idea for long.,2,standard,0,0.9962134957313538,0.003020655596628785,0.0007658952381461859,1,0.0018965094350278378,0.9878318905830383,0.010271640494465828,1,0.0005890922038815916,0.9978493452072144,0.0015616596210747957
42,empty,"While it's probably true that democracies are unlikely to go to war unless they're attacked, sometimes they are the first to take the offensive.",Democracies probably won't go to war unless someone attacks them on their soil,0,standard,1,0.00016850071551743895,0.9997066855430603,0.00012481492012739182,1,0.0001259504642803222,0.9994356036186218,0.00043848942732438445,0,0.7820950150489807,0.215171679854393,0.002733297646045685
42,empty,"But to you, who know the truth, I propose to read certain passages which will throw some light on the extraordinary mentality of this great man."" He opened the book, and turned the thin pages.","There is no information on the mentality of the man, extraordinary or not, contained within the thin-paged book. ",2,standard,2,0.00020871905144304037,0.0011825038818642497,0.9986087679862976,1,0.03155011683702469,0.964866042137146,0.003583853831514716,1,0.0026615788228809834,0.9544669985771179,0.042871490120887756
42,empty,yeah i mean just when uh the they military paid for her education,The military didn't pay for her education.,2,standard,2,0.00018973459373228252,0.0004185863072052598,0.9993916749954224,1,0.000327643210766837,0.9993278980255127,0.0003445592010393739,2,0.002535443753004074,0.005220672581344843,0.9922438263893127
42,empty,but uh these guys were actually on the road uh two thousand miles from from home when they had to file their uh their final exams and send them in,These men filed their midterm exams from home. ,2,standard,0,0.9897488951683044,0.007930770516395569,0.0023203312885016203,1,0.00037076036096550524,0.9985906481742859,0.001038497663103044,1,0.017781533300876617,0.97254478931427,0.00967371091246605
42,empty,"But you have to have money to save it, and not many couples with young children have the luxury of tucking away $2,000 apiece annually for their Golden Years.",Not many couples with kids can save up for retirement.,0,standard,0,0.6265089511871338,0.3705165386199951,0.0029745197389274836,1,0.001391132245771587,0.997794508934021,0.0008144564926624298,1,0.00014763973013032228,0.9984681010246277,0.0013842281186953187
42,empty,and uh as a matter of fact he's a draft dodger,"They dodged the draft, I'll have you know.",0,standard,2,0.00013740237045567483,0.0005402452661655843,0.9993224143981934,1,0.0040579624474048615,0.9890144467353821,0.00692751444876194,1,0.002826948184520006,0.9207674860954285,0.07640553265810013
42,empty,"'Publicity.' Lincoln removed his great hat, making a small show of dusting it off.",Lincoln took his hat off.,0,standard,0,0.9987393021583557,0.0005166538758203387,0.0007441550260409713,0,0.9377065896987915,0.025450410321354866,0.03684297576546669,0,0.9699555039405823,0.027919787913560867,0.0021246077958494425
42,empty,"In the stock market, however, the damage can get much worse.",The stock market can experience much worse damage. ,0,standard,0,0.9985026121139526,0.001259871874935925,0.00023757226881571114,1,0.0002749600971583277,0.9993883371353149,0.00033671839628368616,1,0.001295735128223896,0.9971333742141724,0.0015708343125879765
42,empty,"Missouri was asked to continue its planning efforts and file a supplemental planning report with LSC on or before October 1, 1999.",Missouri was happy to continue it's planning efforts. ,1,standard,1,0.00013627071166411042,0.999529242515564,0.00033448581234551966,1,0.00032181202550418675,0.9993346333503723,0.00034360235440544784,1,0.2783378064632416,0.7127172946929932,0.008944841101765633
42,empty,He hadn't seen even pictures of such things since the few silent movies run in some of the little art theaters.,He had recently seen pictures depicting those things.,2,standard,2,0.0006343404529616237,0.0010390917304903269,0.9983265995979309,1,0.0003239824145566672,0.9991718530654907,0.0005042215925641358,1,0.015332438051700592,0.9059486389160156,0.07871896028518677
42,empty,"Look, there's a legend here.","See, there is a well known hero here.",0,standard,0,0.9946099519729614,0.005304889287799597,8.512299245921895e-05,1,0.0002007260627578944,0.999692440032959,0.00010687273606890813,1,0.0010176500072702765,0.998245358467102,0.0007370243547484279
42,empty,The Celts arrived in the wake of the Roman withdrawal at the end of the fourth century.,At the end of the fourth century was when baked goods flourished.,1,standard,2,3.8276597479125485e-05,0.0004311358788982034,0.999530553817749,1,0.00020723008492495865,0.9995785355567932,0.00021428859326988459,1,0.0005555519601330161,0.9990147352218628,0.0004296943952795118
42,empty,yeah and how about how about like on the weekends do you do sports or do you go out,No one plays sports on the weekend.,2,standard,2,9.698521171230823e-05,0.0014291342813521624,0.9984738230705261,1,0.0004474324523471296,0.9976654052734375,0.0018872404471039772,1,0.00019617741054389626,0.9995406866073608,0.0002632348914630711
42,empty,"Harlem was our first permanent office, he said. ",Harlem did a great job ,1,standard,1,0.00031674731872044504,0.9994729161262512,0.00021043269953224808,1,0.001895522465929389,0.9977768063545227,0.00032772045233286917,1,0.00027866539312526584,0.9988890290260315,0.0008324047084897757
42,empty,"But when the cushion is spent in a year or two, or when the next recession arrives, the disintermediating voters will find themselves playing the roles of budget analysts and tax wonks.",The cushion will likely be spent in under two years.,0,standard,1,0.012310871854424477,0.8771663904190063,0.11052273213863373,1,0.00026054662885144353,0.9964736104011536,0.0032658888958394527,1,0.42562562227249146,0.5312989354133606,0.043075431138277054
42,empty,"Oh, what a fool I feel! ",I am beyond proud.,2,standard,2,0.0019122731173411012,0.022923210635781288,0.975164532661438,1,0.0029465972911566496,0.995988667011261,0.0010648202151060104,1,0.4524475932121277,0.546201229095459,0.0013512209989130497
