seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,empty,This situation could also impact our ability to mount another festival next year.,We might not have another festival next year.,0,standard,2,0.12309540063142776,0.00011094591172877699,0.876793622970581,2,0.05057350546121597,0.0009086442296393216,0.9485177993774414,2,0.21652816236019135,0.00013735574611928314,0.7833344340324402
42,empty,"You'll return to it at once, and take your crew with you, or else....   But Ogle, violent of mien and gesture, interrupted him.",Ogle had a crew.,0,standard,0,0.9365335702896118,5.401675480243284e-06,0.063461072742939,2,0.23576132953166962,0.00011990636267000809,0.7641188502311707,2,0.22579026222229004,4.3546719098230824e-05,0.7741662263870239
42,empty,28 In some cases longer outages are needed.,It is never necessary to have outages.,2,standard,2,0.009915977716445923,1.1792404620791785e-05,0.9900722503662109,2,0.005938041489571333,3.6730245483340696e-05,0.9940252900123596,2,0.3473675847053528,9.911946108331904e-05,0.6525332927703857
42,empty,Requiring attorneys to monitor the movements of eligible aliens at all times of the year would impose monumental burdens on LSC grantees.,It would be a trivial matter for attorney to monitor eligible aliens at all times.,2,standard,2,0.447825163602829,3.3069805795094e-05,0.5521417856216431,2,0.06746470928192139,0.00013655598741024733,0.9323987364768982,2,0.13940641283988953,7.31084801373072e-05,0.8605204224586487
42,empty,Figure 3 shows the basic results for the two models.,Figure 3 shows how the models calculate the incomes.,1,standard,2,0.20742182433605194,4.829225508728996e-05,0.7925298810005188,2,0.18476170301437378,5.0582133553689346e-05,0.8151877522468567,2,0.3643902540206909,6.670673610642552e-05,0.6355430483818054
42,empty,"And, uh, they moved downtown and, there was, uh, and it's still like this in Augusta, this big street downtown called Broad Street, and it really was just this broad street in a downtown area.",They went to the street with the most restaurants and bars.,1,standard,2,0.023732462897896767,0.00027932049124501646,0.9759882092475891,2,0.04192700609564781,0.00025104181258939207,0.9578219056129456,2,0.3127562999725342,5.621951640932821e-05,0.6871874928474426
42,empty,.. why they have so little self-worth that they value the friendship of thieves and killers.,None of their friends are thieves and killers.,2,standard,2,0.05028974264860153,3.495742566883564e-05,0.9496752619743347,2,0.022855941206216812,5.189232251723297e-05,0.9770922064781189,2,0.15860459208488464,5.16877589689102e-05,0.8413437008857727
42,empty,TABLE A.- TOTAL MERCURY ALLOWANCES ALLOCATED OR AUCTIONED FOR EGUS,Mercury has allowances that are set.,0,standard,2,0.2138632833957672,0.0001329001534031704,0.7860037684440613,2,0.2047441005706787,0.00013627699809148908,0.7951197028160095,2,0.324470192193985,4.775152410729788e-05,0.6754820346832275
42,empty,Words that do not fit cannot be returned.,Some words do not fit in the puzzle.,1,standard,2,0.01820077933371067,0.00013974429748486727,0.981659471988678,2,0.030220944434404373,0.0004498246416915208,0.9693292379379272,2,0.10091397166252136,0.00010028910037362948,0.8989858031272888
42,empty,28 In some cases longer outages are needed.,Sometimes longer outages are needed.,0,standard,0,0.9686972498893738,1.3433843378152233e-05,0.03128935024142265,2,0.32057198882102966,0.0006115450523793697,0.6788164377212524,2,0.3473675847053528,9.911946108331904e-05,0.6525332927703857
42,empty,"In contrast, the impact of volume is greater in the U.S. than in France because the U.S. has lower postal densities and a greater variation in volumes.",There is a much greater impact of volume in the United States.,0,standard,0,0.9497202038764954,5.6474927987437695e-06,0.0502740815281868,2,0.3870304226875305,0.00024886371102184057,0.6127207279205322,2,0.26994481682777405,3.827223554253578e-05,0.7300168871879578
42,empty,Dr. Richards never stops astonishing us.,We howled with laughter when we heard Dr. Richards' latest news.,1,standard,2,0.09161412715911865,0.00014555832603946328,0.9082403779029846,2,0.16356144845485687,0.00019471641280688345,0.8362438678741455,2,0.03303196281194687,3.9169601222965866e-05,0.9669288992881775
42,empty,So why does Gates produce at such a frantic pace?,The President was wondering why machines in the Gates factory produce at such a high rate.,1,standard,2,0.09747423976659775,0.00028097827453166246,0.9022447466850281,2,0.05605323240160942,0.000391517038224265,0.9435552358627319,2,0.18090012669563293,0.00011193691898370162,0.8189879059791565
42,empty,"In most cases, the concentration-response relationship may be overestimated; in other cases, it may be underestimated.",The effects of the concentration-response relationship are rarely overestimated.,2,standard,2,0.20990018546581268,9.810861956793815e-05,0.7900017499923706,2,0.03955092653632164,0.000239141532802023,0.9602099061012268,2,0.3874209523200989,6.304375710897148e-05,0.6125160455703735
42,empty,yeah we have between the spouse and myself we have six,My husband and I have six kids total.,1,standard,2,0.1439252644777298,0.00017380499048158526,0.8559009432792664,2,0.13660721480846405,0.00017739379836712033,0.8632153868675232,2,0.271401047706604,7.202947017503902e-05,0.7285269498825073
42,empty,The New Yorker has fought back with special issues--massive tomes about race or Hollywood or the future.,"The New Yorker has fought back with more than 20 special issues, including whole magazines about racism, space travel, and education.",1,standard,2,0.3498521149158478,7.377312431344762e-05,0.6500740647315979,2,0.13135434687137604,5.681959737557918e-05,0.8685887455940247,2,0.2715471684932709,5.6430784752592444e-05,0.7283963561058044
42,empty,Time runs two anti-emotion articles.,Newsweek ran four very emotional articles.,2,standard,2,0.180808886885643,3.585483500501141e-05,0.8191552758216858,2,0.04953262209892273,0.0001629904581932351,0.9503044486045837,2,0.24325910210609436,4.046522008138709e-05,0.7567003965377808
42,empty,You have the effrontery to upbraid me because I will not take your hands when I know how they are stained; when I know you for a murderer and worse?   He stared at her open-mouthed.,"He chose to take her hands because they were small, delicate, and most of all, clean.",2,standard,2,0.3346022069454193,0.00033246574457734823,0.6650654077529907,2,0.14616365730762482,0.000607514230068773,0.8532288074493408,2,0.18057005107402802,6.186871905811131e-05,0.8193680047988892
42,empty,‘Swounds! Perhaps you'll explain yourself? Whither has Wolverstone gone?,I want you to explain yourself! I know you know where Wolverstone is.,1,standard,0,0.5728662610054016,4.40964286099188e-05,0.4270896315574646,2,0.0951283723115921,0.0001404220674885437,0.9047312140464783,2,0.21126823127269745,2.9782548153889365e-05,0.7887020111083984
42,empty,"We were somewhat intimidated by the look of it, but we ate it--without enthusiasm, but with the stiff upper lip we had imbibed, so to speak, with our mothers' milk.","We reluctantly ate what was given to us, even though we didn't like the looks of it.",0,standard,0,0.5874693989753723,0.00011390660074539483,0.41241681575775146,2,0.057814184576272964,0.00025060700136236846,0.9419351816177368,2,0.22673404216766357,6.297195795923471e-05,0.7732030153274536
42,empty,"If you're looking for an evening alternative to Harvard Square, head to Hispanic-flavored Inman Square, located down Cambridge Street.",Harvard Square isn't great at night.,0,standard,2,0.02397823892533779,0.00029018387431278825,0.9757315516471863,2,0.018294109031558037,0.0005399801884777844,0.981165885925293,2,0.26208046078681946,2.5941113563021645e-05,0.7378936409950256
42,empty,It was still cultural area but suburbs was still the dominant form.,It was all very urban.,2,standard,2,0.058414358645677567,6.381107232300565e-05,0.9415218234062195,2,0.024652061983942986,0.00015633142902515829,0.975191593170166,2,0.23326531052589417,4.7605630243197083e-05,0.7666870951652527
42,empty,Pilgrims would buy honey cakes for this snake and leave them at the temple entrance for it to enjoy.,The snake would only eat pilgrims attempting to gain access to the temple.,2,standard,2,0.008306475356221199,4.929786882712506e-05,0.9916442036628723,2,0.004620404448360205,0.00010484921949682757,0.9952747821807861,2,0.21275819838047028,5.610994412563741e-05,0.7871856689453125
42,empty,"In Tokyo, a correspondent for The Economist sighted a T-shirt   O D on Bourgeoisie Milk Boy Milk.",A reporter for The Economist was in Tokyo and noticed a particular T-shirt.,0,standard,0,0.9233196377754211,1.1249685485381633e-05,0.07666920870542526,2,0.08716752380132675,0.00014360185014083982,0.9126888513565063,2,0.25003284215927124,3.9290276617975906e-05,0.7499278783798218
