seed,ablation_strategy,premise,hypothesis,gold_label,heuristic,pred_full,prob_full_ent,prob_full_neu,prob_full_con,pred_hyp_only,prob_hyp_ent,prob_hyp_neu,prob_hyp_con,pred_prem_only,prob_prem_ent,prob_prem_neu,prob_prem_con
42,neutral,"That time John Grisham defended men who watch child porn John Grisham's disturbing statements defending child porn consumers are coming back to haunt him. In a bizarre 2014 interview, the best-selling author said most men who watch kiddie porn are... John Grisham's bizarre defense of kiddie porn viewers ""We've got prisons now filled with guys my age, 60-year-old white men, in prison, who have never harmed anyone,” the best-selling author said.",John Grisham watches kiddie porn.,1,standard,0,0.8611881136894226,7.111139439075487e-06,0.13880473375320435,2,0.049504354596138,3.6224329960532486e-05,0.950459361076355,0,0.6030909419059753,2.1449242922244594e-05,0.3968876004219055
42,neutral,"Cruise Lines International Association (CLIA) is an association of cruise lines. It merged with International Council of Cruise Lines (ICCL) in 2006, forming an expanded organization incorporating the existing functions of both organizations. The merged organization, which uses the CLIA name, is located in Washington, D.C.",CLIA does not own any boats,2,standard,2,0.001921732327900827,6.327944902295712e-06,0.9980719089508057,2,0.008418313227593899,8.622509085398633e-06,0.9915730953216553,0,0.7068465948104858,9.122762094193604e-06,0.2931442856788635
42,neutral,"That's right. That's the important hurdle, and we'd like to jump that first, but the other ones, Justice, you're right, in 1831 and in 1909 Congress extended terms in a way that is inconsistent with the strongest form of the test that we have advanced. Those extensions, however, were never challenged in any court and certainly not considered by this Court.",Congress extended terms in 2009 in an inconsistent way,2,standard,2,0.2186855524778366,2.4666122044436634e-05,0.78128981590271,2,0.058789826929569244,3.112805279670283e-05,0.9411789774894714,0,0.5042759776115417,2.0583227524184622e-05,0.49570348858833313
42,neutral,"Well, I think again that illustrates why the authority is vested in Congress to make these judgments rather than in courts to make these affect whether the judgments, because we're not talking about the effect on an individual author, or an individual creator. What the Framers of the Constitution were concerned about is a gross judgment with respect to what might generally provide incentives to the population --",Decisions Congress make impact society on a broad scale,0,standard,2,0.28890958428382874,1.8070066289510578e-05,0.7110723257064819,2,0.1465284377336502,1.7788017430575565e-05,0.8534537553787231,2,0.4789997935295105,2.9105287467245944e-05,0.5209711194038391
42,neutral,"Tonight the topic will be domestic affairs, but the format will be the same as that first debate. I'll moderate our discussion under detailed rules agreed to by the candidates, but the questions and the areas to be covered were chosen by me. I have not told the candidates or anyone else what they are.","the topic will be domestic affairs, moderated on rules and questions agreed to by the candidates.",2,standard,0,0.8392212390899658,1.4228895452106372e-05,0.16076458990573883,2,0.10031184554100037,5.873448390047997e-05,0.8996294140815735,0,0.5340873599052429,1.5495643310714513e-05,0.46589720249176025
42,neutral,"And Charlotte Buckingham I recall really being the only person who got up to stand in defense of the school board, and she was Mr. Buckingham's wife, or is Mr. Buckingham's wife. And she quoted Scripture, Old Testament, actually, all Old Testament Scripture about why the school board is right, basically. And she also talked about school prayer and the need for school prayer in that speech that she had prepared.",Charlotte Buckingham has talked to carter,1,standard,2,0.015725931152701378,2.2095615349826403e-05,0.9842519164085388,2,0.07239940762519836,1.7877600839710794e-05,0.9275826811790466,0,0.7096506953239441,1.9469793187454343e-05,0.29032978415489197
42,neutral,I do. I think that in this 21st century we will soon see the consequences of what's called global warming. There was a study just a few weeks ago suggesting that in summertime the north polar ice cap will be completely gone in 50 years. Already people see the strange weather conditions that the old timers say they've never seen before in their lifetimes.,the study was on the poler bear decline,2,standard,2,0.097538061439991,4.565805647871457e-05,0.9024162888526917,2,0.1020715981721878,4.818787783733569e-05,0.8978802561759949,0,0.5720831751823425,2.6322661142330617e-05,0.42789044976234436
42,neutral,"Honourable senators will remember that the committee which reported just prior to Christmas received information about a number of cases in which claims were brought by people living in poverty in Canada, usually women and children, both alluded to by my colleagues who spoke before me, against our federal and provincial governments.",there are cases of men living in poverty in canada ,0,standard,2,0.26720672845840454,1.6649359167786315e-05,0.7327765822410583,2,0.14376528561115265,2.4572835172875784e-05,0.8562101721763611,0,0.6345074772834778,1.0654406651156023e-05,0.36548176407814026
42,neutral,Mark Halperin accused of sexual harassment Several women spoke out to CNN detailing alleged incidents of sexual harassment during Halperin's tenure as the political director of ABC News over a decade ago. Halperin apologized for his behavior in a statement to CNN.,Halperin did not commit the crime.,2,standard,2,0.04596492648124695,3.333244603709318e-05,0.9540017247200012,2,0.032959870994091034,3.650621874839999e-05,0.9670037031173706,2,0.4921049475669861,2.7000874979421496e-05,0.5078681111335754
42,neutral,"How to use turtle wax<br>Wash your car before you wax it. Clean your car as thoroughly as you can on the outside. Use all the basic cleaners, such as soap and water for the body and window cleaner for your windows.",Turtle wax is to be used in the car,2,standard,0,0.881028950214386,1.0321091394871473e-05,0.11896071583032608,2,0.06465664505958557,6.483343167928979e-05,0.935278594493866,0,0.551077663898468,2.2577625713893212e-05,0.4488997161388397
42,neutral,"UN official condemns attacks on civilians, calls for unhindered relief access February 7, 2017 As fresh violence flared up in the Ouham – Pende province of the Central African Republic, a United Nations humanitarian official has urged to protect civilians and provide them with unobstructed relief access. ""I urge all parties to the conflict to respect international humanitarian law and to ensure the protection of civilians,"" said Michel Yao, the Acting Humanitarian Coordinator in the country. ""Attack against aid workers is a crime against humanity,"" he added.",The call for unhindered relief access came on a Thursday.,2,standard,2,0.06984680145978928,2.659368146851193e-05,0.9301266074180603,2,0.07722660899162292,6.462606688728556e-05,0.9227087497711182,2,0.4636657238006592,1.4191955415299162e-05,0.5363200902938843
42,neutral,"Fiers (6-5) struck out six and picked up the win Saturday against the Rangers. He gave up one run on five hits and one walk over six innings. Fiers continued his good pitching of late, as he's now given up just a single run in three straight starts (21 innings), bringing his season ERA down to 3.65. However, this was his first win during the stretch, as the Tigers bats have done him no favors. Fiers won't have an easy time keeping his hot streak going, as his next start is scheduled for Friday in Houston.",Fiers does not play for the Rangers.,0,standard,2,0.03744269907474518,4.000043554697186e-05,0.9625173211097717,2,0.022759899497032166,0.0001087719647330232,0.9771313071250916,2,0.4320491552352905,2.773717642412521e-05,0.5679230690002441
42,neutral,Brown signed a reserve/future contract with the Rams on Monday. Brown spent the preseason with the Colts but finished the regular season on the Rams' practice squad. The 23-year-old will likely need to contribute on special teams if he is going to make the 2018 53-man roster.,Brown contains a q,2,standard,2,0.09575476497411728,1.7188507626997307e-05,0.9042280912399292,2,0.18386927247047424,2.1996018404024653e-05,0.816108763217926,2,0.4302387833595276,5.072002386441454e-05,0.5697104930877686
42,neutral,"""You Make Me Feel So Good"" is the third single released by the American synthpop band Book of Love. The song was included on the band's eponymous debut album ""Book of Love"" in 1986. The song was written by band members Susan Ottaviano and Ted Ottaviano.",The book was released in 1986.,2,standard,0,0.773597776889801,5.188137038203422e-06,0.22639711201190948,2,0.052578382194042206,2.2653570340480655e-05,0.9473990201950073,0,0.611250638961792,1.1604515748331323e-05,0.3887377679347992
42,neutral,"Then , all at once , down at the far end of the garden , I saw a woman walking .<br>I thought at first that it must be Mary Sloane ; but , as she crossed a moonlit path , I saw it was not our old servant 's stout , homely figure .<br>This woman was tall and erect .<br>Although no suspicion of the truth came to me , something about her reminded me of Hester .<br>Even so had Hester liked to wander about the garden in the twilight .<br>I had seen her thus a thousand times .<br>I wondered who the woman could be .<br>Some neighbor , of course .<br>But what a strange way for her to come !",It was a neighbor,0,standard,0,0.8913872241973877,8.515345143678132e-06,0.10860426723957062,2,0.12919382750988007,3.1743627914693207e-05,0.8707744479179382,0,0.6969916224479675,2.097951619361993e-05,0.3029874265193939
42,neutral,"How to prepare filter coffee<br>Fill the machine with water. Most coffee makers will have a water reservoir which you'll need to fill before brewing. Only pour in as much water as you'd like to brew, since the machine will continue to brew until the reservoir is empty.",The water has to be filled fully,2,standard,2,0.2751867473125458,4.1939383663702756e-05,0.7247713804244995,2,0.09749696403741837,0.0001112071331590414,0.902391791343689,0,0.5110677480697632,2.396758645772934e-05,0.4889082908630371
42,neutral,"Victoria's Secret supermodel Adriana Lima confirms to People that she secretly got married (to basketball player Marko Jaric) on Valentine's Day! JJ reported on their engagement in June of 2008. The pair eloped in Jackson Hole, Wyoming in a small, private civil ceremony. Adriana said, ""We are so excited about our future together. And we are really looking forward to a big romantic wedding this summer with all of our friends and family.""  The happy couple will look to celebrate next in Adriana's native Brazil or Marko's native Serbia.",Jaric plays basketball in Serbia,1,standard,2,0.19416122138500214,9.94182028080104e-06,0.8058288097381592,2,0.0693548396229744,1.5095123671926558e-05,0.9306300282478333,0,0.6555742621421814,1.1712329978763591e-05,0.34441396594047546
42,neutral,"In the negotiations over the past two years, it is understandable that table 2 union members had no hesitation using their right to strike, which they had obtained on December 16, 1998. So, in a perfectly legal context, the union is exercising its means of pressure by holding rotating strikes across the country since January 18.",Strikes began on New Year's day.,2,standard,2,0.1200929507613182,8.503123535774648e-05,0.8798220753669739,2,0.11406607925891876,0.00011905261635547504,0.8858148455619812,2,0.4934975802898407,1.5735566194052808e-05,0.5064866542816162
42,neutral,"Cosmonaut Valery Polyakov set the record for the longest continuous amount of time spent in space, a staggering 438 days, between 1994 and 1995. He orbited the Earth 7000 times, witnessing 7000 sunrises and 7000 sunsets."," Valery Polyakov spent an incredible, staggering amount of time in space, over two years",2,standard,2,0.3991416394710541,4.146479841438122e-05,0.6008169054985046,2,0.19331392645835876,1.8206217646365985e-05,0.8066678047180176,0,0.6720216274261475,1.4899463167239446e-05,0.3279634416103363
42,neutral,"Wilhelm Killmayer (21 August 1927 – 20 August 2017) was a German composer of classical music, a conductor and an academic teacher of composition at the Hochschule für Musik und Theater München from 1973 to 1992. He composed symphonies and song cycles on poems by Friedrich Hölderlin, Joseph von Eichendorff, Georg Trakl and Peter Härtling, among others.",Wilhelm Killmayer passed away after his 95th birthday. ,2,standard,2,0.1479356437921524,0.00010835458670044318,0.8519559502601624,2,0.2440519481897354,9.31450558709912e-05,0.7558549046516418,0,0.5187993049621582,1.7319724065600894e-05,0.48118332028388977
42,neutral,"Anderson Souza Conceição (born 1 February 1994), known as Anderson Talisca or simply Talisca, is a Brazilian professional footballer who plays for Turkish club Beşiktaş, on loan from Portuguese club Benfica. He can play as an attacking midfielder or a forward.",Anderson Souza Conceição is from south america,0,standard,2,0.07786723971366882,5.657915608026087e-06,0.9221271276473999,2,0.1538281887769699,5.982120910630329e-06,0.8461658358573914,0,0.5166581869125366,1.4652710888185538e-05,0.48332712054252625
42,neutral,"One percent of America got $89 billion last year in a tax cut, but people working hard, playing by the rules, trying to take care of their kids, family values, that we're supposed to value so much in America -- I'm tired of politicians who talk about family values and don't value families.","One percent of Americans had to pay 89 billion dollars less than they would have to pay if there would be no tax cut, so they got to keep a lot more money",0,standard,2,0.38118648529052734,8.46962648211047e-05,0.6187288165092468,2,0.11769692599773407,4.907958646072075e-05,0.8822540044784546,0,0.5277587175369263,1.9655934011097997e-05,0.47222161293029785
42,neutral,"The River Ure is a river in North Yorkshire, England, approximately 74 mi long from its source to the point where it changes name to the River Ouse. It is the principal river of Wensleydale, which is the only one of the major Dales now named after a village rather than its river. The old name for the valley was Yoredale after the river that runs through it.",The river is located in a town with the abbreviation NY,0,standard,0,0.6744330525398254,1.2531514585134573e-05,0.32555443048477173,2,0.25572267174720764,3.15342731482815e-05,0.7442458271980286,0,0.6434674263000488,1.5977166185621172e-05,0.35651662945747375
42,neutral,Drivers are reporting heavy traffic on the northbound M6 this morning following reports of debris on the road. The debris was reported to be at junction 28 for Leyland Way. No official lane closures were in place. Traffic is also reported to be slow leading onto the M65 in both directions between junctions 2 for the M61 and Junction 3 for Bolton Road. This is thought to have been caused by earlier flooding. Matrix signs have been set to 40mph.,Traffic is reported to be fast on M62.,1,standard,2,0.24656862020492554,1.855949085438624e-05,0.7534127831459045,2,0.1155141144990921,7.574238406959921e-05,0.8844101428985596,2,0.2893791198730469,1.933381281560287e-05,0.7106015086174011
42,neutral,Japan's Toshiba Corp. announced Tuesday that it has developed the first laptop computer with its new HD DVD drive: a next-generation disc format it is promoting over a rival standard pushed by Sony Corp.,Sony and Toshiba are in the same business sector,0,standard,2,0.0623701848089695,7.040564469207311e-06,0.9376227855682373,2,0.09123950451612473,6.170488632051274e-06,0.9087543487548828,0,0.5720075368881226,9.961455361917615e-06,0.42798253893852234
42,neutral,"When it was first announced there would be another Grinch movie, not many were pleased. After the flop that was the 2000 live-action adaptation, another version of the green Christmas-hating creature was always going to be under heavy scrutiny. The Grinch, voiced by Benedict Cumberbatch, premiers in cinemas on Friday, November 9. Some like to know whether it's worth heading to the cinemas before taking the risk.","According to them, people disliked the 2000 movie",0,standard,2,0.22607296705245972,4.7750709200045094e-05,0.7738792896270752,2,0.017721831798553467,0.00016344482719432563,0.9821146726608276,0,0.6282873749732971,2.502540883142501e-05,0.3716875910758972
42,neutral,"On Thursday, February 11, Ed Roberson will read at the University of Chicago. Roberson is the recipient of the 2015 Ron Offen prize and the subject of a special section in the upcoming issue of CR. He will read from his ten books of poetry and present unpublished work. Event co-sponsored by the Ron Offen Poetry Prize Fund and the Program in Poetry & Poetics Thursday, February 11, 6 PM Logan Center for the Arts Seminar Terrace, Room 801 University of Chicago 915 E. 60th St. Free admission",Roberson's poems will appear in a special section in the upcoming issue of CR.,1,standard,0,0.7535396814346313,4.585235728882253e-05,0.24641449749469757,2,0.20532549917697906,0.0002738013572525233,0.7944007515907288,0,0.6503013372421265,1.880739364423789e-05,0.34967973828315735
42,neutral,We have fought to try to raise the minimum wage in the last years. But the Republican leadership of the House and Senate won't even let us have a vote on it. We're not allowed to vote on it. They don't want to raise the minimum wage. The minimum wage is the lowest minimum wage value it has been in our nation in 50 years.,"The republican leaders do not want a higher minimum wage, that is the reason why they do not allow a vote on it",0,standard,2,0.49309784173965454,7.151917088776827e-05,0.5068307518959045,2,0.08552998304367065,0.00010248343460261822,0.9143675565719604,2,0.40282800793647766,6.675957411061972e-05,0.5971052646636963
